dt,open,high,low,close,volume
2026-05-19 09:20:00+05:30,260.75,261.3,260.3,261.1,162331.0
2026-05-19 09:25:00+05:30,261.05,262.4,261.0,262.25,190762.0
2026-05-19 09:30:00+05:30,262.3,262.35,260.6,260.6,186828.0
2026-05-19 09:35:00+05:30,260.65,260.95,260.1,260.75,136697.0
2026-05-19 09:40:00+05:30,260.9,261.35,260.75,260.75,209904.0
2026-05-19 09:45:00+05:30,260.85,260.9,259.8,260.1,206851.0
2026-05-19 09:50:00+05:30,260.1,260.35,259.85,260.35,138030.0
2026-05-19 09:55:00+05:30,260.35,260.55,260.0,260.1,76989.0
2026-05-19 10:00:00+05:30,260.05,260.4,260.0,260.3,72622.0
2026-05-19 10:05:00+05:30,260.35,260.85,260.15,260.7,76731.0
2026-05-19 10:10:00+05:30,260.6,261.2,260.6,261.1,91421.0
2026-05-19 10:15:00+05:30,261.1,261.7,260.85,260.85,127016.0
2026-05-19 10:20:00+05:30,260.85,261.15,260.65,261.0,117749.0
2026-05-19 10:25:00+05:30,261.1,261.3,260.9,260.95,51174.0
2026-05-19 10:30:00+05:30,260.95,261.0,260.6,260.85,55445.0
2026-05-19 10:35:00+05:30,260.75,260.95,260.55,260.8,50719.0
2026-05-19 10:40:00+05:30,260.75,261.15,260.7,260.8,73334.0
2026-05-19 10:45:00+05:30,261.0,261.1,260.7,260.75,48295.0
2026-05-19 10:50:00+05:30,260.95,261.3,260.55,260.8,98420.0
2026-05-19 10:55:00+05:30,260.8,261.3,260.8,261.05,50494.0
2026-05-19 11:00:00+05:30,261.1,261.25,260.55,260.75,102889.0
2026-05-19 11:05:00+05:30,260.6,260.9,260.3,260.3,90352.0
2026-05-19 11:10:00+05:30,260.3,260.65,260.25,260.25,60404.0
2026-05-19 11:15:00+05:30,260.35,260.45,260.1,260.4,56575.0
2026-05-19 11:20:00+05:30,260.45,260.65,260.25,260.45,38119.0
2026-05-19 11:25:00+05:30,260.5,260.55,260.2,260.55,28952.0
2026-05-19 11:30:00+05:30,260.55,260.8,260.55,260.8,34488.0
2026-05-19 11:35:00+05:30,260.8,261.0,260.15,260.3,50841.0
2026-05-19 11:40:00+05:30,260.35,260.95,260.3,260.75,96477.0
2026-05-19 11:45:00+05:30,260.85,261.0,260.3,260.75,242351.0
2026-05-19 11:50:00+05:30,260.7,261.1,260.7,260.9,76384.0
2026-05-19 11:55:00+05:30,260.9,261.15,260.55,260.7,246639.0
2026-05-19 12:00:00+05:30,260.8,261.3,260.7,261.25,36899.0
2026-05-19 12:05:00+05:30,261.25,261.7,261.25,261.55,83306.0
2026-05-19 12:10:00+05:30,261.55,262.1,261.5,262.0,88615.0
2026-05-19 12:15:00+05:30,262.0,262.0,261.4,261.75,33833.0
2026-05-19 12:20:00+05:30,261.65,261.75,261.0,261.0,95818.0
2026-05-19 12:25:00+05:30,260.85,261.2,260.65,261.2,94233.0
2026-05-19 12:30:00+05:30,261.25,261.35,261.0,261.0,33454.0
