dt,open,high,low,close,volume
2026-06-12 09:20:00+05:30,447.35,448.75,447.05,448.05,19812.0
2026-06-12 09:25:00+05:30,448.2,448.45,446.4,446.4,11124.0
2026-06-12 09:30:00+05:30,446.5,447.4,446.2,447.2,18762.0
2026-06-12 09:35:00+05:30,447.2,447.6,446.6,446.8,11154.0
2026-06-12 09:40:00+05:30,446.85,447.15,446.05,446.2,6470.0
2026-06-12 09:45:00+05:30,446.25,447.3,446.15,447.25,9529.0
2026-06-12 09:50:00+05:30,447.25,447.4,446.05,446.15,5050.0
2026-06-12 09:55:00+05:30,446.1,446.45,445.8,445.9,9886.0
2026-06-12 10:00:00+05:30,446.0,446.0,445.15,445.9,5872.0
2026-06-12 10:05:00+05:30,445.9,446.65,445.85,445.85,11467.0
2026-06-12 10:10:00+05:30,445.9,446.2,445.4,446.0,3445.0
2026-06-12 10:15:00+05:30,446.2,446.7,446.0,446.6,2945.0
2026-06-12 10:20:00+05:30,446.0,447.1,446.0,447.1,3878.0
2026-06-12 10:25:00+05:30,446.9,447.1,446.3,446.9,3007.0
2026-06-12 10:30:00+05:30,446.95,447.15,446.5,446.85,2354.0
2026-06-12 10:35:00+05:30,446.7,446.7,446.1,446.25,2700.0
2026-06-12 10:40:00+05:30,446.45,446.5,445.75,446.1,6455.0
2026-06-12 10:45:00+05:30,446.15,446.15,444.55,445.0,15624.0
2026-06-12 10:50:00+05:30,444.9,444.9,443.85,444.6,22638.0
2026-06-12 10:55:00+05:30,444.7,444.7,443.9,443.9,14911.0
2026-06-12 11:00:00+05:30,443.75,444.45,443.45,443.45,28889.0
2026-06-12 11:05:00+05:30,443.5,445.0,443.4,444.45,28368.0
2026-06-12 11:10:00+05:30,444.45,444.9,444.2,444.45,16531.0
2026-06-12 11:15:00+05:30,444.7,444.9,444.0,444.05,19319.0
2026-06-12 11:20:00+05:30,444.0,444.4,443.55,444.15,16060.0
2026-06-12 11:25:00+05:30,444.1,444.25,443.05,443.05,18303.0
2026-06-12 11:30:00+05:30,443.75,443.75,443.0,443.65,27507.0
2026-06-12 11:35:00+05:30,443.25,443.95,442.85,443.45,31396.0
2026-06-12 11:40:00+05:30,443.45,444.15,443.05,443.8,29695.0
2026-06-12 11:45:00+05:30,444.05,444.05,443.15,443.9,20260.0
2026-06-12 11:50:00+05:30,443.55,443.75,443.05,443.15,18295.0
2026-06-12 11:55:00+05:30,443.15,443.4,442.85,442.9,18298.0
2026-06-12 12:00:00+05:30,442.9,443.45,442.85,443.0,19747.0
2026-06-12 12:05:00+05:30,442.9,443.25,441.8,441.8,21325.0
2026-06-12 12:10:00+05:30,441.85,442.05,440.0,440.2,26047.0
2026-06-12 12:15:00+05:30,440.25,440.6,440.1,440.15,19842.0
2026-06-12 12:20:00+05:30,440.15,440.95,440.15,440.45,29630.0
2026-06-12 12:25:00+05:30,440.45,440.95,440.35,440.75,27319.0
2026-06-12 12:30:00+05:30,440.7,441.05,440.25,440.3,20268.0
2026-06-12 12:35:00+05:30,440.3,440.5,439.9,439.9,20448.0
2026-06-12 12:40:00+05:30,439.95,440.2,439.0,439.0,21573.0
2026-06-12 12:45:00+05:30,439.0,439.6,438.75,438.95,20350.0
2026-06-12 12:50:00+05:30,438.95,439.6,438.95,439.2,22162.0
2026-06-12 12:55:00+05:30,439.1,439.7,438.95,439.35,20070.0
2026-06-12 13:00:00+05:30,439.25,439.35,438.8,439.0,17678.0
2026-06-12 13:05:00+05:30,439.5,439.8,438.9,439.3,34975.0
2026-06-12 13:10:00+05:30,439.3,440.2,439.2,439.6,21088.0
2026-06-12 13:15:00+05:30,439.7,440.05,439.3,439.45,23313.0
2026-06-12 13:20:00+05:30,439.75,439.85,438.9,438.9,14704.0
2026-06-12 13:25:00+05:30,438.9,441.0,438.6,440.6,41604.0
2026-06-12 13:30:00+05:30,440.6,441.5,440.5,441.3,29546.0
2026-06-12 13:35:00+05:30,441.4,446.45,441.15,446.05,142366.0
2026-06-12 13:40:00+05:30,445.9,447.65,445.8,446.6,67186.0
2026-06-12 13:45:00+05:30,446.8,447.2,446.0,446.7,38427.0
2026-06-12 13:50:00+05:30,446.75,449.2,446.25,447.85,96629.0
2026-06-12 13:55:00+05:30,448.0,448.1,447.4,447.9,27120.0
2026-06-12 14:00:00+05:30,447.85,448.15,447.15,447.55,6699.0
2026-06-12 14:05:00+05:30,447.55,447.85,447.25,447.75,6702.0
2026-06-12 14:10:00+05:30,446.15,446.4,444.9,445.55,65519.0
2026-06-12 14:15:00+05:30,445.5,446.75,445.5,446.4,6595.0
2026-06-12 14:20:00+05:30,446.4,446.95,446.05,446.95,5554.0
2026-06-12 14:25:00+05:30,446.95,447.6,446.15,447.45,16614.0
2026-06-12 14:30:00+05:30,447.65,448.05,447.4,447.75,21377.0
2026-06-12 14:35:00+05:30,447.75,447.95,446.75,447.95,6460.0
2026-06-12 14:40:00+05:30,447.95,448.95,447.75,448.85,19484.0
2026-06-12 14:45:00+05:30,448.85,450.35,448.25,449.85,48955.0
2026-06-12 14:50:00+05:30,449.95,450.4,449.45,450.05,27082.0
2026-06-12 14:55:00+05:30,450.0,450.1,448.6,448.85,9916.0
2026-06-12 15:00:00+05:30,448.6,450.1,448.1,450.1,27274.0
