dt,open,high,low,close,volume
2026-05-20 09:20:00+05:30,243.16,243.56,242.9,243.35,362165.0
2026-05-20 09:25:00+05:30,243.36,243.9,243.22,243.52,351687.0
2026-05-20 09:30:00+05:30,243.51,244.49,243.43,244.08,458101.0
2026-05-20 09:35:00+05:30,244.08,244.33,243.9,244.27,206120.0
2026-05-20 09:40:00+05:30,244.26,244.26,243.52,243.7,348435.0
2026-05-20 09:45:00+05:30,243.69,243.84,243.4,243.61,163596.0
2026-05-20 09:50:00+05:30,243.68,244.1,243.6,243.65,144696.0
2026-05-20 09:55:00+05:30,243.62,244.14,243.62,244.1,336413.0
2026-05-20 10:00:00+05:30,244.1,244.19,243.05,243.45,481267.0
2026-05-20 10:05:00+05:30,243.45,243.45,242.5,242.71,437608.0
2026-05-20 10:10:00+05:30,242.71,243.3,242.3,243.0,363454.0
2026-05-20 10:15:00+05:30,242.97,243.36,242.87,243.16,209990.0
2026-05-20 10:20:00+05:30,243.16,243.39,242.97,243.03,130302.0
2026-05-20 10:25:00+05:30,243.03,243.8,243.0,243.8,325862.0
2026-05-20 10:30:00+05:30,243.8,243.99,243.5,243.86,228767.0
2026-05-20 10:35:00+05:30,243.85,244.4,243.72,244.16,421004.0
2026-05-20 10:40:00+05:30,244.16,244.16,243.5,243.7,262735.0
2026-05-20 10:45:00+05:30,243.7,243.88,243.5,243.64,222134.0
2026-05-20 10:50:00+05:30,243.65,244.21,243.61,244.18,351060.0
2026-05-20 10:55:00+05:30,244.18,244.18,243.9,243.95,145798.0
2026-05-20 11:00:00+05:30,243.95,244.21,243.95,244.04,172722.0
2026-05-20 11:05:00+05:30,244.13,244.38,244.0,244.01,133073.0
2026-05-20 11:10:00+05:30,244.12,244.2,243.4,243.65,453496.0
2026-05-20 11:15:00+05:30,243.65,243.94,243.56,243.9,135506.0
2026-05-20 11:20:00+05:30,243.9,244.44,243.73,244.29,184040.0
2026-05-20 11:25:00+05:30,244.3,244.7,244.25,244.34,633387.0
2026-05-20 11:30:00+05:30,244.38,244.8,244.28,244.8,170026.0
2026-05-20 11:35:00+05:30,244.79,245.13,244.5,244.54,559911.0
2026-05-20 11:40:00+05:30,244.54,244.7,244.15,244.29,142749.0
2026-05-20 11:45:00+05:30,244.33,244.55,244.2,244.46,150050.0
2026-05-20 11:50:00+05:30,244.46,244.64,244.29,244.48,133576.0
2026-05-20 11:55:00+05:30,244.46,244.64,244.23,244.56,120601.0
2026-05-20 12:00:00+05:30,244.56,244.56,244.21,244.33,81387.0
2026-05-20 12:05:00+05:30,244.34,244.43,244.11,244.22,116445.0
2026-05-20 12:10:00+05:30,244.31,244.5,244.17,244.38,53365.0
2026-05-20 12:15:00+05:30,244.41,244.65,244.37,244.42,72773.0
2026-05-20 12:20:00+05:30,244.42,244.79,244.37,244.56,85629.0
2026-05-20 12:25:00+05:30,244.59,244.6,244.41,244.51,57110.0
2026-05-20 12:30:00+05:30,244.56,244.61,244.4,244.58,91773.0
2026-05-20 12:35:00+05:30,244.54,244.7,244.47,244.62,85290.0
2026-05-20 12:40:00+05:30,244.7,244.75,244.42,244.68,1073663.0
2026-05-20 12:45:00+05:30,244.68,244.73,244.23,244.3,115048.0
2026-05-20 12:50:00+05:30,244.3,244.44,244.2,244.25,118556.0
2026-05-20 12:55:00+05:30,244.25,244.57,244.2,244.47,94748.0
2026-05-20 13:00:00+05:30,244.52,244.73,244.22,244.57,124050.0
2026-05-20 13:05:00+05:30,244.57,244.78,244.5,244.71,111927.0
2026-05-20 13:10:00+05:30,244.8,245.01,244.45,244.6,1562926.0
2026-05-20 13:15:00+05:30,244.6,244.76,244.32,244.51,260831.0
2026-05-20 13:20:00+05:30,244.51,244.57,244.42,244.57,179776.0
2026-05-20 13:25:00+05:30,244.57,244.89,244.4,244.53,151446.0
2026-05-20 13:30:00+05:30,244.43,244.95,244.43,244.79,171891.0
2026-05-20 13:35:00+05:30,244.86,244.94,244.6,244.65,148127.0
2026-05-20 13:40:00+05:30,244.7,244.75,244.37,244.54,164741.0
2026-05-20 13:45:00+05:30,244.55,244.64,244.5,244.55,84900.0
2026-05-20 13:50:00+05:30,244.59,244.9,244.5,244.9,171079.0
2026-05-20 13:55:00+05:30,244.93,245.68,244.93,245.52,414062.0
2026-05-20 14:00:00+05:30,245.61,245.61,245.0,245.1,459050.0
2026-05-20 14:05:00+05:30,245.12,245.26,244.75,245.18,175252.0
2026-05-20 14:10:00+05:30,245.21,245.34,245.0,245.0,194005.0
2026-05-20 14:15:00+05:30,245.01,245.23,245.0,245.05,114965.0
2026-05-20 14:20:00+05:30,245.08,245.12,244.88,244.9,147291.0
2026-05-20 14:25:00+05:30,244.98,245.0,244.51,244.65,330789.0
2026-05-20 14:30:00+05:30,244.65,244.75,243.57,243.72,772018.0
2026-05-20 14:35:00+05:30,243.72,243.8,243.38,243.53,980519.0
2026-05-20 14:40:00+05:30,243.51,243.58,243.12,243.3,745888.0
2026-05-20 14:45:00+05:30,243.3,243.8,243.25,243.72,235874.0
2026-05-20 14:50:00+05:30,243.7,243.88,243.58,243.83,211509.0
2026-05-20 14:55:00+05:30,243.83,243.85,243.35,243.69,249868.0
2026-05-20 15:00:00+05:30,243.67,243.67,243.13,243.28,706640.0
2026-05-20 15:05:00+05:30,243.28,243.83,243.24,243.83,429989.0
2026-05-20 15:10:00+05:30,243.82,243.82,243.16,243.21,471283.0
2026-05-20 15:15:00+05:30,243.21,243.37,243.13,243.28,584407.0
2026-05-20 15:20:00+05:30,243.25,243.47,243.1,243.41,577967.0
2026-05-20 15:25:00+05:30,243.4,243.69,243.1,243.5,465172.0
2026-05-21 09:15:00+05:30,245.7,247.91,245.65,245.8,1320748.0
2026-05-21 09:20:00+05:30,245.83,246.65,245.3,246.25,567297.0
