dt,open,high,low,close,volume
2026-05-21 09:20:00+05:30,1242.1,1243.0,1241.1,1242.5,129106.0
2026-05-21 09:25:00+05:30,1242.5,1243.2,1241.3,1243.1,87129.0
2026-05-21 09:30:00+05:30,1243.1,1243.8,1240.3,1240.8,111002.0
2026-05-21 09:35:00+05:30,1240.4,1244.2,1239.5,1243.8,172457.0
2026-05-21 09:40:00+05:30,1243.8,1245.8,1242.6,1245.7,152078.0
2026-05-21 09:45:00+05:30,1245.2,1246.3,1244.2,1245.4,123633.0
2026-05-21 09:50:00+05:30,1244.8,1246.2,1244.2,1245.6,124564.0
2026-05-21 09:55:00+05:30,1245.2,1246.1,1243.4,1243.9,105310.0
2026-05-21 10:00:00+05:30,1243.6,1245.3,1243.6,1244.8,80064.0
2026-05-21 10:05:00+05:30,1244.4,1245.2,1242.4,1244.3,96310.0
2026-05-21 10:10:00+05:30,1244.3,1245.5,1243.5,1244.7,74637.0
2026-05-21 10:15:00+05:30,1244.4,1246.4,1244.4,1245.6,68248.0
2026-05-21 10:20:00+05:30,1245.6,1246.0,1244.8,1245.4,89912.0
2026-05-21 10:25:00+05:30,1245.3,1246.3,1244.3,1245.7,128861.0
2026-05-21 10:30:00+05:30,1245.7,1246.2,1244.9,1246.0,86142.0
2026-05-21 10:35:00+05:30,1245.8,1246.1,1244.0,1244.6,127782.0
2026-05-21 10:40:00+05:30,1244.3,1245.5,1244.1,1245.3,68329.0
2026-05-21 10:45:00+05:30,1245.1,1246.1,1244.6,1244.9,66736.0
2026-05-21 10:50:00+05:30,1244.5,1245.0,1243.2,1244.5,95030.0
2026-05-21 10:55:00+05:30,1244.4,1244.7,1242.8,1243.6,92686.0
2026-05-21 11:00:00+05:30,1243.6,1243.9,1242.0,1243.0,165726.0
2026-05-21 11:05:00+05:30,1243.0,1243.7,1242.9,1243.4,110387.0
2026-05-21 11:10:00+05:30,1243.4,1243.6,1242.1,1242.8,72175.0
2026-05-21 11:15:00+05:30,1242.8,1243.0,1239.2,1242.1,116281.0
2026-05-21 11:20:00+05:30,1241.8,1243.7,1241.8,1243.7,79105.0
2026-05-21 11:25:00+05:30,1243.7,1246.0,1243.5,1246.0,72599.0
2026-05-21 11:30:00+05:30,1246.0,1246.3,1245.0,1246.1,108615.0
2026-05-21 11:35:00+05:30,1245.9,1246.3,1245.5,1245.8,64519.0
2026-05-21 11:40:00+05:30,1245.7,1248.3,1245.1,1248.3,125465.0
2026-05-21 11:45:00+05:30,1248.0,1248.3,1246.1,1246.5,55748.0
2026-05-21 11:50:00+05:30,1246.5,1247.8,1246.2,1247.6,94519.0
2026-05-21 11:55:00+05:30,1247.4,1247.4,1245.2,1245.3,80356.0
2026-05-21 12:00:00+05:30,1245.4,1247.8,1245.1,1247.5,77839.0
2026-05-21 12:05:00+05:30,1247.7,1247.8,1246.4,1247.1,87822.0
2026-05-21 12:10:00+05:30,1246.8,1247.1,1244.6,1245.0,74471.0
2026-05-21 12:15:00+05:30,1245.0,1245.7,1243.4,1245.6,279621.0
2026-05-21 12:20:00+05:30,1245.6,1246.8,1244.3,1244.5,563381.0
2026-05-21 12:25:00+05:30,1244.5,1245.1,1241.8,1242.3,254083.0
2026-05-21 12:30:00+05:30,1242.1,1242.3,1240.7,1241.7,116240.0
2026-05-21 12:35:00+05:30,1241.7,1242.1,1239.7,1240.2,324343.0
2026-05-21 12:40:00+05:30,1239.8,1241.6,1238.0,1240.2,340208.0
2026-05-21 12:45:00+05:30,1239.8,1240.0,1237.3,1238.6,191487.0
2026-05-21 12:50:00+05:30,1238.5,1239.3,1238.1,1238.3,71599.0
2026-05-21 12:55:00+05:30,1238.3,1238.5,1235.6,1236.0,98495.0
2026-05-21 13:00:00+05:30,1235.8,1236.3,1234.4,1235.8,102342.0
2026-05-21 13:05:00+05:30,1235.8,1238.3,1235.6,1237.8,260793.0
2026-05-21 13:10:00+05:30,1237.8,1238.7,1236.4,1237.9,244923.0
2026-05-21 13:15:00+05:30,1237.5,1238.4,1236.8,1238.3,93789.0
2026-05-21 13:20:00+05:30,1238.1,1239.5,1237.3,1237.7,407107.0
2026-05-21 13:25:00+05:30,1237.5,1237.7,1236.5,1236.5,71350.0
2026-05-21 13:30:00+05:30,1236.5,1237.7,1235.6,1237.2,62748.0
2026-05-21 13:35:00+05:30,1237.2,1240.7,1237.2,1240.2,114717.0
2026-05-21 13:40:00+05:30,1240.1,1242.0,1240.0,1241.0,62984.0
2026-05-21 13:45:00+05:30,1241.4,1241.9,1239.4,1239.4,177169.0
2026-05-21 13:50:00+05:30,1239.1,1240.0,1238.0,1238.9,88979.0
2026-05-21 13:55:00+05:30,1238.4,1240.1,1238.2,1239.8,74818.0
2026-05-21 14:00:00+05:30,1240.1,1240.1,1238.5,1239.0,61861.0
2026-05-21 14:05:00+05:30,1239.0,1239.1,1237.8,1238.6,89153.0
2026-05-21 14:10:00+05:30,1238.4,1240.5,1238.4,1240.0,275873.0
2026-05-21 14:15:00+05:30,1239.8,1241.0,1239.0,1240.5,62181.0
2026-05-21 14:20:00+05:30,1240.5,1242.4,1240.5,1242.4,61180.0
2026-05-21 14:25:00+05:30,1241.9,1242.9,1239.4,1240.9,252118.0
2026-05-21 14:30:00+05:30,1241.0,1244.0,1240.7,1242.5,950186.0
2026-05-21 14:35:00+05:30,1242.1,1243.0,1241.6,1242.2,118376.0
2026-05-21 14:40:00+05:30,1242.1,1245.4,1242.1,1243.8,192632.0
2026-05-21 14:45:00+05:30,1243.5,1244.9,1243.2,1244.3,147981.0
2026-05-21 14:50:00+05:30,1244.4,1245.8,1243.6,1244.9,335217.0
2026-05-21 14:55:00+05:30,1244.9,1245.5,1243.4,1244.5,219512.0
2026-05-21 15:00:00+05:30,1244.6,1245.2,1242.1,1244.9,773111.0
2026-05-21 15:05:00+05:30,1244.7,1244.9,1242.2,1243.2,1179656.0
2026-05-21 15:10:00+05:30,1243.0,1244.8,1241.2,1241.9,815621.0
2026-05-21 15:15:00+05:30,1241.4,1242.4,1240.2,1241.6,477096.0
2026-05-21 15:20:00+05:30,1241.6,1243.0,1240.7,1242.5,337626.0
2026-05-21 15:25:00+05:30,1242.7,1244.5,1242.0,1244.4,309453.0
2026-05-22 09:15:00+05:30,1242.0,1252.0,1242.0,1251.0,217349.0
2026-05-22 09:20:00+05:30,1250.6,1259.8,1250.6,1259.0,474825.0
2026-05-22 09:25:00+05:30,1258.6,1261.2,1258.4,1261.1,327296.0
2026-05-22 09:30:00+05:30,1261.3,1264.5,1261.1,1264.5,456172.0
2026-05-22 09:35:00+05:30,1264.5,1264.8,1261.4,1261.9,302593.0
2026-05-22 09:40:00+05:30,1262.0,1263.6,1260.0,1262.5,144728.0
2026-05-22 09:45:00+05:30,1262.5,1265.0,1262.2,1263.2,151020.0
2026-05-22 09:50:00+05:30,1263.1,1264.4,1262.8,1262.8,140235.0
2026-05-22 09:55:00+05:30,1262.8,1265.0,1262.5,1264.9,148742.0
2026-05-22 10:00:00+05:30,1264.8,1265.0,1263.0,1263.8,159148.0
2026-05-22 10:05:00+05:30,1263.8,1266.4,1263.0,1265.9,219684.0
2026-05-22 10:10:00+05:30,1265.9,1267.0,1264.7,1266.4,263566.0
2026-05-22 10:15:00+05:30,1266.5,1267.8,1264.6,1264.6,213195.0
2026-05-22 10:20:00+05:30,1265.1,1265.8,1264.0,1264.1,129823.0
2026-05-22 10:25:00+05:30,1264.7,1265.1,1264.1,1264.4,129256.0
2026-05-22 10:30:00+05:30,1264.5,1264.8,1263.0,1263.8,104836.0
2026-05-22 10:35:00+05:30,1263.8,1264.8,1263.1,1264.0,84529.0
2026-05-22 10:40:00+05:30,1264.2,1265.0,1263.7,1264.6,51853.0
2026-05-22 10:45:00+05:30,1264.6,1265.1,1263.7,1265.0,82329.0
2026-05-22 10:50:00+05:30,1265.0,1265.0,1263.6,1263.9,101150.0
2026-05-22 10:55:00+05:30,1263.6,1263.9,1262.4,1263.0,75919.0
2026-05-22 11:00:00+05:30,1262.9,1263.4,1261.9,1262.6,82964.0
2026-05-22 11:05:00+05:30,1262.7,1262.8,1262.0,1262.4,55661.0
2026-05-22 11:10:00+05:30,1262.3,1263.8,1261.5,1263.2,127095.0
2026-05-22 11:15:00+05:30,1263.2,1263.3,1262.4,1262.7,55582.0
2026-05-22 11:20:00+05:30,1262.8,1262.9,1260.9,1262.1,138590.0
2026-05-22 11:25:00+05:30,1261.9,1262.2,1259.7,1260.3,140674.0
2026-05-22 11:30:00+05:30,1260.3,1260.8,1259.6,1260.0,158626.0
2026-05-22 11:35:00+05:30,1260.0,1260.8,1259.7,1260.6,129377.0
2026-05-22 11:40:00+05:30,1260.6,1263.9,1260.3,1263.8,140118.0
2026-05-22 11:45:00+05:30,1263.7,1264.9,1263.4,1264.6,88029.0
2026-05-22 11:50:00+05:30,1264.6,1264.9,1263.7,1264.0,48905.0
2026-05-22 11:55:00+05:30,1264.0,1265.3,1263.8,1265.1,60763.0
2026-05-22 12:00:00+05:30,1265.4,1265.4,1264.1,1264.6,66070.0
2026-05-22 12:05:00+05:30,1264.6,1265.5,1264.4,1265.1,79801.0
2026-05-22 12:10:00+05:30,1265.1,1267.5,1264.9,1267.1,105339.0
2026-05-22 12:15:00+05:30,1267.2,1268.4,1266.8,1267.8,141098.0
2026-05-22 12:20:00+05:30,1267.8,1268.0,1266.3,1266.8,166905.0
2026-05-22 12:25:00+05:30,1266.5,1267.0,1266.4,1266.7,82780.0
2026-05-22 12:30:00+05:30,1266.8,1267.5,1266.4,1267.0,245547.0
2026-05-22 12:35:00+05:30,1267.3,1267.3,1265.1,1265.6,109391.0
2026-05-22 12:40:00+05:30,1265.6,1267.3,1265.1,1266.6,100731.0
2026-05-22 12:45:00+05:30,1267.0,1268.0,1266.2,1268.0,67158.0
2026-05-22 12:50:00+05:30,1268.1,1270.8,1268.1,1269.2,286451.0
2026-05-22 12:55:00+05:30,1269.4,1269.6,1268.7,1269.1,141930.0
2026-05-22 13:00:00+05:30,1269.2,1270.1,1268.3,1270.1,431555.0
2026-05-22 13:05:00+05:30,1269.6,1270.0,1268.1,1268.1,117281.0
2026-05-22 13:10:00+05:30,1268.6,1269.0,1266.1,1266.5,119882.0
2026-05-22 13:15:00+05:30,1267.1,1267.2,1266.0,1266.8,71759.0
2026-05-22 13:20:00+05:30,1267.0,1267.9,1266.5,1267.5,72316.0
2026-05-22 13:25:00+05:30,1268.0,1269.0,1267.3,1268.8,105411.0
2026-05-22 13:30:00+05:30,1268.8,1269.5,1268.0,1268.9,81221.0
2026-05-22 13:35:00+05:30,1268.9,1269.8,1268.3,1269.1,87541.0
2026-05-22 13:40:00+05:30,1269.2,1269.8,1268.3,1268.9,191417.0
2026-05-22 13:45:00+05:30,1269.1,1270.7,1268.9,1269.1,119719.0
2026-05-22 13:50:00+05:30,1269.1,1269.8,1267.9,1268.8,139987.0
2026-05-22 13:55:00+05:30,1268.9,1269.4,1267.2,1268.1,335277.0
2026-05-22 14:00:00+05:30,1268.2,1269.0,1267.5,1268.2,75790.0
2026-05-22 14:05:00+05:30,1268.3,1269.2,1267.5,1268.5,115377.0
2026-05-22 14:10:00+05:30,1268.8,1269.0,1267.5,1268.1,110948.0
2026-05-22 14:15:00+05:30,1268.1,1268.8,1265.2,1265.4,100352.0
2026-05-22 14:20:00+05:30,1265.4,1266.0,1264.8,1265.7,66582.0
2026-05-22 14:25:00+05:30,1265.7,1265.7,1264.1,1264.3,93083.0
2026-05-22 14:30:00+05:30,1264.3,1265.0,1263.3,1264.2,91373.0
2026-05-22 14:35:00+05:30,1264.2,1264.3,1262.8,1263.6,71987.0
2026-05-22 14:40:00+05:30,1263.6,1264.1,1262.5,1262.5,116311.0
2026-05-22 14:45:00+05:30,1262.7,1263.3,1262.3,1263.0,114530.0
2026-05-22 14:50:00+05:30,1263.0,1263.3,1262.0,1262.5,159520.0
2026-05-22 14:55:00+05:30,1262.5,1263.6,1262.2,1263.2,102590.0
2026-05-22 15:00:00+05:30,1263.5,1263.5,1261.8,1262.6,237820.0
2026-05-22 15:05:00+05:30,1262.6,1263.2,1262.1,1262.1,230280.0
2026-05-22 15:10:00+05:30,1262.2,1263.9,1261.6,1263.6,292658.0
2026-05-22 15:15:00+05:30,1263.7,1266.0,1263.4,1264.9,373728.0
2026-05-22 15:20:00+05:30,1265.0,1267.3,1264.6,1267.1,299246.0
2026-05-22 15:25:00+05:30,1267.1,1268.8,1266.3,1267.2,220108.0
2026-05-25 09:15:00+05:30,1271.0,1284.3,1270.9,1282.6,1007236.0
2026-05-25 09:20:00+05:30,1282.6,1282.7,1278.4,1280.6,658859.0
2026-05-25 09:25:00+05:30,1280.6,1281.8,1279.3,1280.7,272065.0
2026-05-25 09:30:00+05:30,1280.7,1281.2,1278.2,1280.0,543578.0
2026-05-25 09:35:00+05:30,1280.1,1281.1,1279.6,1280.0,515751.0
2026-05-25 09:40:00+05:30,1280.0,1282.4,1279.6,1281.1,584232.0
2026-05-25 09:45:00+05:30,1281.3,1281.4,1274.5,1276.8,1051195.0
2026-05-25 09:50:00+05:30,1277.0,1278.5,1276.0,1276.7,165215.0
2026-05-25 09:55:00+05:30,1276.7,1276.7,1273.8,1274.7,94532.0
2026-05-25 10:00:00+05:30,1274.9,1277.2,1273.7,1276.4,114489.0
2026-05-25 10:05:00+05:30,1276.8,1277.7,1275.3,1276.1,59859.0
2026-05-25 10:10:00+05:30,1276.5,1276.9,1274.8,1276.7,54471.0
2026-05-25 10:15:00+05:30,1276.7,1279.5,1276.4,1278.9,140966.0
2026-05-25 10:20:00+05:30,1278.8,1279.9,1278.5,1279.0,81212.0
2026-05-25 10:25:00+05:30,1278.8,1280.1,1278.1,1280.1,79129.0
2026-05-25 10:30:00+05:30,1280.1,1282.5,1280.0,1280.9,295297.0
2026-05-25 10:35:00+05:30,1281.0,1282.4,1280.8,1282.0,239619.0
2026-05-25 10:40:00+05:30,1282.0,1282.5,1281.0,1281.5,87737.0
2026-05-25 10:45:00+05:30,1281.5,1282.5,1280.8,1281.5,149336.0
2026-05-25 10:50:00+05:30,1281.4,1281.8,1279.9,1280.2,88950.0
2026-05-25 10:55:00+05:30,1280.2,1280.2,1277.5,1278.0,129879.0
