dt,open,high,low,close,volume
2026-06-11 09:20:00+05:30,73.06,73.55,73.0,73.34,526655.0
2026-06-11 09:25:00+05:30,73.3,73.47,73.22,73.44,330999.0
2026-06-11 09:30:00+05:30,73.45,73.49,73.16,73.31,452340.0
2026-06-11 09:35:00+05:30,73.28,73.43,73.23,73.43,455767.0
2026-06-11 09:40:00+05:30,73.42,73.5,73.2,73.37,340179.0
2026-06-11 09:45:00+05:30,73.37,73.39,73.2,73.23,233608.0
2026-06-11 09:50:00+05:30,73.24,73.31,73.17,73.18,466043.0
2026-06-11 09:55:00+05:30,73.15,73.22,72.97,72.99,212624.0
2026-06-11 10:00:00+05:30,73.0,73.13,72.98,73.04,357925.0
2026-06-11 10:05:00+05:30,73.09,73.3,73.04,73.27,207755.0
2026-06-11 10:10:00+05:30,73.29,73.31,73.16,73.16,193266.0
2026-06-11 10:15:00+05:30,73.16,73.21,73.12,73.21,257245.0
2026-06-11 10:20:00+05:30,73.21,73.25,73.15,73.17,81550.0
2026-06-11 10:25:00+05:30,73.16,73.17,73.05,73.05,209164.0
2026-06-11 10:30:00+05:30,73.05,73.06,72.87,72.93,329130.0
2026-06-11 10:35:00+05:30,72.93,72.97,72.86,72.92,127980.0
2026-06-11 10:40:00+05:30,72.92,72.92,72.87,72.88,94293.0
2026-06-11 10:45:00+05:30,72.88,72.99,72.86,72.89,385059.0
2026-06-11 10:50:00+05:30,72.87,72.89,72.69,72.7,182162.0
2026-06-11 10:55:00+05:30,72.69,72.79,72.61,72.79,314075.0
2026-06-11 11:00:00+05:30,72.79,72.82,72.6,72.73,209602.0
2026-06-11 11:05:00+05:30,72.72,72.85,72.7,72.72,162633.0
2026-06-11 11:10:00+05:30,72.72,72.74,72.65,72.68,193073.0
2026-06-11 11:15:00+05:30,72.68,72.68,72.55,72.6,167057.0
2026-06-11 11:20:00+05:30,72.6,72.7,72.53,72.65,226742.0
2026-06-11 11:25:00+05:30,72.67,72.88,72.65,72.82,166157.0
2026-06-11 11:30:00+05:30,72.82,72.84,72.69,72.83,200943.0
2026-06-11 11:35:00+05:30,72.81,72.82,72.65,72.68,126469.0
2026-06-11 11:40:00+05:30,72.68,72.78,72.68,72.77,161269.0
2026-06-11 11:45:00+05:30,72.79,72.85,72.78,72.83,153582.0
2026-06-11 11:50:00+05:30,72.83,72.93,72.83,72.84,118398.0
2026-06-11 11:55:00+05:30,72.84,73.09,72.83,72.93,362426.0
2026-06-11 12:00:00+05:30,72.95,72.97,72.88,72.89,86757.0
2026-06-11 12:05:00+05:30,72.86,72.9,72.74,72.75,92731.0
2026-06-11 12:10:00+05:30,72.75,72.75,72.65,72.71,230701.0
2026-06-11 12:15:00+05:30,72.72,72.81,72.67,72.7,175911.0
2026-06-11 12:20:00+05:30,72.7,72.72,72.62,72.66,56013.0
2026-06-11 12:25:00+05:30,72.66,72.85,72.64,72.84,311104.0
2026-06-11 12:30:00+05:30,72.86,72.89,72.77,72.84,108525.0
2026-06-11 12:35:00+05:30,72.87,72.94,72.77,72.82,112713.0
2026-06-11 12:40:00+05:30,72.82,72.91,72.7,72.87,243486.0
2026-06-11 12:45:00+05:30,72.87,72.87,72.66,72.68,134082.0
2026-06-11 12:50:00+05:30,72.67,72.72,72.64,72.68,116146.0
2026-06-11 12:55:00+05:30,72.67,72.76,72.64,72.69,193160.0
2026-06-11 13:00:00+05:30,72.73,72.8,72.69,72.74,133635.0
2026-06-11 13:05:00+05:30,72.74,72.74,72.67,72.67,114101.0
2026-06-11 13:10:00+05:30,72.66,72.68,72.6,72.62,181986.0
2026-06-11 13:15:00+05:30,72.62,72.8,72.6,72.63,293658.0
2026-06-11 13:20:00+05:30,72.6,72.63,72.41,72.5,170925.0
2026-06-11 13:25:00+05:30,72.5,72.54,72.4,72.52,157931.0
2026-06-11 13:30:00+05:30,72.52,72.69,72.49,72.53,101891.0
2026-06-11 13:35:00+05:30,72.57,72.6,72.36,72.4,258339.0
2026-06-11 13:40:00+05:30,72.38,72.43,72.33,72.43,267146.0
2026-06-11 13:45:00+05:30,72.41,72.51,72.36,72.43,74778.0
2026-06-11 13:50:00+05:30,72.4,72.5,72.4,72.47,135014.0
2026-06-11 13:55:00+05:30,72.45,72.58,72.42,72.47,186023.0
2026-06-11 14:00:00+05:30,72.51,72.54,72.45,72.51,100630.0
2026-06-11 14:05:00+05:30,72.45,72.49,72.35,72.36,178172.0
2026-06-11 14:10:00+05:30,72.38,72.48,72.35,72.47,170139.0
2026-06-11 14:15:00+05:30,72.47,72.49,72.4,72.49,84026.0
2026-06-11 14:20:00+05:30,72.47,72.54,72.43,72.46,141150.0
2026-06-11 14:25:00+05:30,72.43,72.67,72.43,72.6,156409.0
2026-06-11 14:30:00+05:30,72.62,72.62,72.51,72.55,111430.0
2026-06-11 14:35:00+05:30,72.53,72.58,72.43,72.43,116564.0
2026-06-11 14:40:00+05:30,72.45,72.49,72.4,72.43,144115.0
2026-06-11 14:45:00+05:30,72.42,72.45,72.22,72.34,372344.0
2026-06-11 14:50:00+05:30,72.35,72.4,72.3,72.35,156213.0
