dt,open,high,low,close,volume
2026-06-11 09:20:00+05:30,81.39,81.62,80.8,80.91,677882.0
2026-06-11 09:25:00+05:30,80.91,81.3,80.75,81.19,241913.0
2026-06-11 09:30:00+05:30,81.21,81.3,80.9,80.97,253524.0
2026-06-11 09:35:00+05:30,81.0,81.66,80.96,81.4,573138.0
2026-06-11 09:40:00+05:30,81.4,81.82,81.21,81.7,270537.0
2026-06-11 09:45:00+05:30,81.64,81.7,81.2,81.38,403485.0
2026-06-11 09:50:00+05:30,81.38,81.69,81.21,81.5,116551.0
2026-06-11 09:55:00+05:30,81.47,81.52,81.3,81.32,83935.0
2026-06-11 10:00:00+05:30,81.32,81.5,81.2,81.31,271439.0
2026-06-11 10:05:00+05:30,81.3,81.68,81.22,81.65,160623.0
2026-06-11 10:10:00+05:30,81.64,81.68,81.33,81.33,332761.0
2026-06-11 10:15:00+05:30,81.34,81.65,81.29,81.65,83364.0
2026-06-11 10:20:00+05:30,81.67,81.92,81.6,81.79,136330.0
2026-06-11 10:25:00+05:30,81.79,81.83,81.66,81.81,95733.0
2026-06-11 10:30:00+05:30,81.81,81.81,81.66,81.67,72050.0
2026-06-11 10:35:00+05:30,81.66,81.75,81.51,81.55,37081.0
2026-06-11 10:40:00+05:30,81.6,81.79,81.52,81.64,103833.0
2026-06-11 10:45:00+05:30,81.58,81.8,81.53,81.53,47300.0
2026-06-11 10:50:00+05:30,81.53,81.57,81.22,81.27,129398.0
2026-06-11 10:55:00+05:30,81.27,81.37,81.1,81.33,93559.0
2026-06-11 11:00:00+05:30,81.35,81.51,81.22,81.36,50270.0
2026-06-11 11:05:00+05:30,81.37,81.7,81.37,81.5,29807.0
2026-06-11 11:10:00+05:30,81.51,81.79,81.3,81.75,474320.0
2026-06-11 11:15:00+05:30,81.68,82.39,81.68,82.36,284664.0
2026-06-11 11:20:00+05:30,82.36,82.62,82.31,82.49,233927.0
2026-06-11 11:25:00+05:30,82.48,83.12,82.42,83.0,394732.0
2026-06-11 11:30:00+05:30,83.05,83.1,82.4,82.41,279547.0
2026-06-11 11:35:00+05:30,82.43,82.43,82.11,82.24,119344.0
2026-06-11 11:40:00+05:30,82.21,82.35,82.16,82.35,29172.0
2026-06-11 11:45:00+05:30,82.35,82.44,82.32,82.37,40160.0
2026-06-11 11:50:00+05:30,82.37,82.48,82.37,82.45,43280.0
2026-06-11 11:55:00+05:30,82.45,82.5,82.32,82.35,35755.0
2026-06-11 12:00:00+05:30,82.35,82.45,82.32,82.43,17659.0
2026-06-11 12:05:00+05:30,82.45,82.45,82.05,82.05,55374.0
2026-06-11 12:10:00+05:30,82.04,82.04,81.75,81.87,163211.0
2026-06-11 12:15:00+05:30,81.94,82.01,81.69,81.69,71479.0
2026-06-11 12:20:00+05:30,81.71,81.88,81.7,81.85,28555.0
2026-06-11 12:25:00+05:30,81.87,81.93,81.78,81.91,36558.0
2026-06-11 12:30:00+05:30,81.93,82.0,81.9,81.98,46719.0
2026-06-11 12:35:00+05:30,81.98,81.99,81.7,81.79,32850.0
2026-06-11 12:40:00+05:30,81.79,81.8,81.7,81.73,20734.0
2026-06-11 12:45:00+05:30,81.76,81.76,81.4,81.47,102953.0
2026-06-11 12:50:00+05:30,81.5,81.58,81.46,81.49,70361.0
2026-06-11 12:55:00+05:30,81.53,81.66,81.41,81.58,52606.0
2026-06-11 13:00:00+05:30,81.63,81.68,81.42,81.47,28959.0
2026-06-11 13:05:00+05:30,81.46,81.48,81.24,81.24,44657.0
2026-06-11 13:10:00+05:30,81.24,81.32,81.1,81.13,82294.0
2026-06-11 13:15:00+05:30,81.14,81.27,81.05,81.1,87971.0
2026-06-11 13:20:00+05:30,81.1,81.12,80.79,80.99,309017.0
2026-06-11 13:25:00+05:30,80.95,81.14,80.82,81.05,146696.0
2026-06-11 13:30:00+05:30,81.06,81.41,81.0,81.38,167366.0
2026-06-11 13:35:00+05:30,81.3,81.44,81.3,81.3,123175.0
2026-06-11 13:40:00+05:30,81.34,81.39,81.01,81.11,244800.0
2026-06-11 13:45:00+05:30,81.1,81.38,81.1,81.22,74445.0
2026-06-11 13:50:00+05:30,81.22,81.38,81.2,81.33,25860.0
2026-06-11 13:55:00+05:30,81.39,81.44,81.3,81.34,28482.0
2026-06-11 14:00:00+05:30,81.39,81.49,81.3,81.49,20665.0
2026-06-11 14:05:00+05:30,81.49,81.55,81.32,81.36,50589.0
2026-06-11 14:10:00+05:30,81.36,81.49,81.3,81.45,16957.0
2026-06-11 14:15:00+05:30,81.45,81.51,81.42,81.5,13779.0
2026-06-11 14:20:00+05:30,81.5,81.65,81.44,81.59,65019.0
2026-06-11 14:25:00+05:30,81.55,81.9,81.55,81.86,75842.0
2026-06-11 14:30:00+05:30,81.85,81.96,81.8,81.88,56580.0
2026-06-11 14:35:00+05:30,81.88,81.93,81.66,81.71,49843.0
2026-06-11 14:40:00+05:30,81.71,81.8,81.69,81.78,34491.0
2026-06-11 14:45:00+05:30,81.78,81.8,81.45,81.75,132727.0
2026-06-11 14:50:00+05:30,81.72,81.74,81.53,81.66,61498.0
2026-06-11 14:55:00+05:30,81.65,81.68,81.08,81.31,168042.0
2026-06-11 15:00:00+05:30,81.31,81.43,80.99,80.99,151334.0
2026-06-11 15:05:00+05:30,80.98,81.09,80.9,81.04,189033.0
2026-06-11 15:10:00+05:30,81.09,81.14,80.95,81.14,280155.0
2026-06-11 15:15:00+05:30,81.11,81.32,81.07,81.17,186388.0
2026-06-11 15:20:00+05:30,81.13,81.19,81.0,81.13,214299.0
2026-06-11 15:25:00+05:30,81.13,81.43,81.06,81.38,194588.0
2026-06-12 09:15:00+05:30,83.0,83.75,82.33,83.6,805217.0
2026-06-12 09:20:00+05:30,83.52,83.8,83.15,83.76,288281.0
2026-06-12 09:25:00+05:30,83.77,83.89,83.05,83.09,173733.0
2026-06-12 09:30:00+05:30,83.05,83.3,82.9,83.3,113648.0
2026-06-12 09:35:00+05:30,83.3,83.38,83.13,83.32,89700.0
2026-06-12 09:40:00+05:30,83.41,83.46,83.18,83.2,83263.0
