dt,open,high,low,close,volume
2026-06-12 09:20:00+05:30,816.8,819.8,816.3,818.55,13712.0
2026-06-12 09:25:00+05:30,818.45,821.05,818.0,818.4,16220.0
2026-06-12 09:30:00+05:30,818.8,819.85,818.0,819.4,10103.0
2026-06-12 09:35:00+05:30,820.15,820.35,817.25,817.9,19975.0
2026-06-12 09:40:00+05:30,817.6,817.95,815.65,816.05,8898.0
2026-06-12 09:45:00+05:30,815.8,817.0,815.55,816.7,7604.0
2026-06-12 09:50:00+05:30,816.8,817.6,813.85,814.0,7773.0
2026-06-12 09:55:00+05:30,814.0,814.0,810.5,810.7,20687.0
2026-06-12 10:00:00+05:30,810.75,810.75,808.0,808.95,20361.0
2026-06-12 10:05:00+05:30,809.75,812.35,809.75,811.65,9573.0
2026-06-12 10:10:00+05:30,811.5,813.4,811.2,813.2,4919.0
2026-06-12 10:15:00+05:30,812.65,813.85,812.15,813.45,4880.0
2026-06-12 10:20:00+05:30,813.8,816.0,813.5,814.4,22587.0
2026-06-12 10:25:00+05:30,814.4,817.45,814.2,815.5,21591.0
2026-06-12 10:30:00+05:30,815.5,818.5,815.5,816.9,6648.0
2026-06-12 10:35:00+05:30,816.75,816.95,816.0,816.65,3887.0
2026-06-12 10:40:00+05:30,817.0,817.2,816.0,816.25,3953.0
2026-06-12 10:45:00+05:30,816.65,816.65,814.15,814.8,3634.0
2026-06-12 10:50:00+05:30,814.8,815.2,814.05,814.75,3033.0
2026-06-12 10:55:00+05:30,814.8,815.8,814.5,815.1,3414.0
2026-06-12 11:00:00+05:30,815.65,815.75,814.8,815.05,3167.0
2026-06-12 11:05:00+05:30,815.3,815.95,814.4,814.4,2329.0
2026-06-12 11:10:00+05:30,814.7,816.2,814.4,814.85,4653.0
2026-06-12 11:15:00+05:30,815.4,816.2,814.55,814.95,3097.0
2026-06-12 11:20:00+05:30,815.0,815.6,814.5,815.2,2970.0
2026-06-12 11:25:00+05:30,815.4,815.7,814.5,815.15,4456.0
2026-06-12 11:30:00+05:30,815.45,817.95,814.95,817.8,4492.0
2026-06-12 11:35:00+05:30,817.8,817.85,817.0,817.25,2822.0
2026-06-12 11:40:00+05:30,817.25,817.95,817.1,817.6,3422.0
2026-06-12 11:45:00+05:30,817.6,820.8,817.6,819.65,7710.0
2026-06-12 11:50:00+05:30,819.7,820.25,818.65,818.9,5628.0
2026-06-12 11:55:00+05:30,818.6,819.2,818.1,818.65,3376.0
2026-06-12 12:00:00+05:30,818.7,820.2,818.45,819.4,5024.0
2026-06-12 12:05:00+05:30,819.85,820.5,818.0,818.4,7219.0
2026-06-12 12:10:00+05:30,818.6,820.15,817.85,819.65,9030.0
2026-06-12 12:15:00+05:30,820.1,820.1,817.55,818.8,4509.0
2026-06-12 12:20:00+05:30,819.0,822.25,818.7,821.05,11008.0
2026-06-12 12:25:00+05:30,821.6,822.35,821.05,821.75,6789.0
2026-06-12 12:30:00+05:30,821.9,821.9,821.0,821.65,3688.0
2026-06-12 12:35:00+05:30,821.8,821.9,816.8,816.85,12719.0
2026-06-12 12:40:00+05:30,817.0,818.0,814.5,814.5,10938.0
2026-06-12 12:45:00+05:30,814.85,814.85,812.2,813.2,7565.0
2026-06-12 12:50:00+05:30,813.2,815.45,812.45,813.45,14757.0
2026-06-12 12:55:00+05:30,813.8,813.9,810.95,811.8,12086.0
2026-06-12 13:00:00+05:30,811.8,811.8,810.4,810.5,4894.0
2026-06-12 13:05:00+05:30,810.75,811.7,809.8,810.25,16183.0
2026-06-12 13:10:00+05:30,810.4,812.25,810.25,810.55,6235.0
2026-06-12 13:15:00+05:30,811.05,811.1,810.1,810.15,2152.0
2026-06-12 13:20:00+05:30,811.1,811.2,810.15,810.6,3843.0
2026-06-12 13:25:00+05:30,810.8,812.25,810.0,811.45,5557.0
2026-06-12 13:30:00+05:30,811.85,812.5,811.0,812.15,3231.0
2026-06-12 13:35:00+05:30,812.4,819.0,811.6,818.8,13023.0
2026-06-12 13:40:00+05:30,818.85,820.3,817.65,820.15,21250.0
2026-06-12 13:45:00+05:30,820.15,821.7,818.5,821.45,28295.0
2026-06-12 13:50:00+05:30,821.45,821.6,819.5,819.75,5373.0
2026-06-12 13:55:00+05:30,820.0,820.8,819.05,820.75,7012.0
2026-06-12 14:00:00+05:30,820.8,820.8,819.2,819.5,6691.0
2026-06-12 14:05:00+05:30,819.75,820.45,818.45,819.15,5530.0
