dt,open,high,low,close,volume
2026-06-09 09:20:00+05:30,141.43,142.0,141.32,141.94,672517.0
2026-06-09 09:25:00+05:30,142.06,142.19,141.72,141.84,454237.0
2026-06-09 09:30:00+05:30,141.84,142.38,141.51,141.55,486267.0
2026-06-09 09:35:00+05:30,141.55,141.9,141.45,141.9,285059.0
2026-06-09 09:40:00+05:30,141.92,141.95,141.4,141.8,354932.0
2026-06-09 09:45:00+05:30,141.8,142.09,141.51,141.54,331270.0
2026-06-09 09:50:00+05:30,141.54,142.05,141.53,142.04,190650.0
2026-06-09 09:55:00+05:30,142.0,142.5,141.91,142.05,484108.0
2026-06-09 10:00:00+05:30,142.02,142.25,141.96,142.0,284707.0
2026-06-09 10:05:00+05:30,142.05,142.05,141.8,142.03,118445.0
2026-06-09 10:10:00+05:30,142.04,142.26,142.04,142.15,170978.0
2026-06-09 10:15:00+05:30,142.22,142.35,142.14,142.21,107977.0
2026-06-09 10:20:00+05:30,142.21,142.21,141.9,141.96,226946.0
2026-06-09 10:25:00+05:30,141.96,142.2,141.96,142.15,52553.0
2026-06-09 10:30:00+05:30,142.2,142.22,142.01,142.11,175561.0
2026-06-09 10:35:00+05:30,142.11,142.38,142.11,142.34,164860.0
2026-06-09 10:40:00+05:30,142.3,142.54,142.3,142.38,200377.0
2026-06-09 10:45:00+05:30,142.4,142.58,142.38,142.4,167976.0
2026-06-09 10:50:00+05:30,142.42,142.48,142.13,142.4,231842.0
2026-06-09 10:55:00+05:30,142.4,142.57,142.35,142.45,179373.0
2026-06-09 11:00:00+05:30,142.45,142.9,142.45,142.84,248460.0
2026-06-09 11:05:00+05:30,142.9,142.92,142.64,142.66,319457.0
2026-06-09 11:10:00+05:30,142.66,142.7,142.38,142.45,176033.0
2026-06-09 11:15:00+05:30,142.45,142.69,142.45,142.6,114778.0
2026-06-09 11:20:00+05:30,142.6,142.65,142.1,142.19,231786.0
2026-06-09 11:25:00+05:30,142.19,142.42,142.11,142.37,111808.0
2026-06-09 11:30:00+05:30,142.37,142.58,142.32,142.47,199451.0
2026-06-09 11:35:00+05:30,142.53,143.2,142.47,143.03,296882.0
2026-06-09 11:40:00+05:30,143.03,143.05,142.57,142.67,198610.0
2026-06-09 11:45:00+05:30,142.67,143.14,142.67,143.01,158146.0
2026-06-09 11:50:00+05:30,143.01,143.25,142.93,143.1,203390.0
2026-06-09 11:55:00+05:30,143.05,143.11,142.82,142.99,116728.0
2026-06-09 12:00:00+05:30,143.0,143.2,142.99,143.07,95045.0
2026-06-09 12:05:00+05:30,143.12,143.17,143.0,143.12,67446.0
2026-06-09 12:10:00+05:30,143.12,143.25,143.05,143.14,126007.0
2026-06-09 12:15:00+05:30,143.14,143.16,142.92,143.06,143848.0
2026-06-09 12:20:00+05:30,143.05,143.21,143.02,143.09,97086.0
2026-06-09 12:25:00+05:30,143.09,143.18,143.04,143.15,83352.0
2026-06-09 12:30:00+05:30,143.16,143.2,143.01,143.14,77907.0
2026-06-09 12:35:00+05:30,143.15,143.39,143.1,143.36,147755.0
2026-06-09 12:40:00+05:30,143.36,143.44,143.21,143.35,121014.0
2026-06-09 12:45:00+05:30,143.35,143.4,143.0,143.2,239415.0
2026-06-09 12:50:00+05:30,143.2,143.23,142.55,142.61,275209.0
2026-06-09 12:55:00+05:30,142.61,142.75,142.44,142.52,157147.0
2026-06-09 13:00:00+05:30,142.52,142.73,142.52,142.66,76733.0
2026-06-09 13:05:00+05:30,142.66,142.85,142.66,142.73,79562.0
2026-06-09 13:10:00+05:30,142.73,142.99,142.73,142.95,99285.0
2026-06-09 13:15:00+05:30,142.95,143.0,142.8,142.86,125683.0
2026-06-09 13:20:00+05:30,142.86,143.0,142.75,142.94,124363.0
2026-06-09 13:25:00+05:30,142.94,143.03,142.91,142.92,83293.0
2026-06-09 13:30:00+05:30,142.92,142.96,142.72,142.82,152818.0
2026-06-09 13:35:00+05:30,142.82,142.99,142.82,142.95,73613.0
2026-06-09 13:40:00+05:30,142.95,143.04,142.8,142.8,95232.0
2026-06-09 13:45:00+05:30,142.8,142.96,142.78,142.86,113959.0
2026-06-09 13:50:00+05:30,142.86,142.95,142.75,142.95,44019.0
2026-06-09 13:55:00+05:30,142.95,143.04,142.62,142.73,265990.0
2026-06-09 14:00:00+05:30,142.71,142.89,142.6,142.73,100616.0
2026-06-09 14:05:00+05:30,142.73,142.92,142.73,142.81,89245.0
2026-06-09 14:10:00+05:30,142.81,143.31,142.81,143.2,177408.0
2026-06-09 14:15:00+05:30,143.22,144.0,143.11,143.35,674954.0
2026-06-09 14:20:00+05:30,143.35,143.44,143.08,143.19,142492.0
2026-06-09 14:25:00+05:30,143.19,143.39,143.16,143.37,118353.0
2026-06-09 14:30:00+05:30,143.37,143.56,143.3,143.5,176374.0
2026-06-09 14:35:00+05:30,143.5,144.14,143.37,143.93,506667.0
