dt,open,high,low,close,volume
2026-06-09 09:20:00+05:30,431.6,433.9,431.6,433.6,116000.0
2026-06-09 09:25:00+05:30,433.4,434.4,432.6,432.65,85830.0
2026-06-09 09:30:00+05:30,432.8,433.35,432.1,432.2,62444.0
2026-06-09 09:35:00+05:30,432.3,432.65,431.9,432.4,38262.0
2026-06-09 09:40:00+05:30,432.55,433.7,431.95,433.2,186929.0
2026-06-09 09:45:00+05:30,433.3,435.9,433.15,435.4,168401.0
2026-06-09 09:50:00+05:30,435.6,438.0,435.35,437.3,403181.0
2026-06-09 09:55:00+05:30,437.1,437.7,436.0,436.0,69185.0
2026-06-09 10:00:00+05:30,436.0,436.35,435.0,435.2,355257.0
2026-06-09 10:05:00+05:30,435.25,435.95,435.25,435.45,59465.0
2026-06-09 10:10:00+05:30,435.6,436.75,435.5,435.8,227373.0
2026-06-09 10:15:00+05:30,435.9,436.55,435.75,436.2,147505.0
2026-06-09 10:20:00+05:30,436.2,436.65,435.1,435.25,60737.0
2026-06-09 10:25:00+05:30,435.25,436.05,435.2,435.9,44814.0
2026-06-09 10:30:00+05:30,435.7,435.8,435.0,435.8,223424.0
2026-06-09 10:35:00+05:30,435.5,435.85,435.0,435.05,25274.0
2026-06-09 10:40:00+05:30,435.05,436.2,435.05,435.15,190789.0
2026-06-09 10:45:00+05:30,435.15,436.0,434.95,435.0,149436.0
2026-06-09 10:50:00+05:30,435.0,435.45,434.05,435.3,138211.0
2026-06-09 10:55:00+05:30,435.25,435.8,434.6,435.8,36499.0
2026-06-09 11:00:00+05:30,435.8,435.8,435.3,435.55,19370.0
2026-06-09 11:05:00+05:30,435.55,436.75,435.5,436.4,49622.0
2026-06-09 11:10:00+05:30,436.4,437.2,435.8,435.85,148912.0
2026-06-09 11:15:00+05:30,435.85,436.0,435.05,435.45,37798.0
2026-06-09 11:20:00+05:30,435.5,435.5,434.45,434.45,15833.0
2026-06-09 11:25:00+05:30,434.5,434.95,434.1,434.75,44013.0
2026-06-09 11:30:00+05:30,434.65,434.75,434.4,434.7,19342.0
2026-06-09 11:35:00+05:30,434.7,435.3,434.55,434.8,37639.0
2026-06-09 11:40:00+05:30,434.8,435.2,434.4,435.05,50436.0
2026-06-09 11:45:00+05:30,434.95,436.0,434.8,435.25,20191.0
2026-06-09 11:50:00+05:30,435.25,435.7,434.85,435.3,23046.0
2026-06-09 11:55:00+05:30,435.3,436.0,435.15,435.7,30768.0
2026-06-09 12:00:00+05:30,435.7,436.0,435.65,435.85,18750.0
2026-06-09 12:05:00+05:30,435.95,436.35,435.8,435.8,23492.0
2026-06-09 12:10:00+05:30,435.8,436.15,435.7,436.15,19080.0
2026-06-09 12:15:00+05:30,436.1,436.45,436.1,436.2,23246.0
2026-06-09 12:20:00+05:30,436.15,436.8,436.05,436.25,37115.0
2026-06-09 12:25:00+05:30,436.15,436.25,436.0,436.05,9723.0
2026-06-09 12:30:00+05:30,436.0,436.4,435.75,436.1,34601.0
2026-06-09 12:35:00+05:30,436.05,436.25,435.7,436.05,16007.0
2026-06-09 12:40:00+05:30,435.9,436.45,435.85,435.9,11360.0
2026-06-09 12:45:00+05:30,435.9,435.95,435.15,435.15,12011.0
2026-06-09 12:50:00+05:30,435.15,435.15,434.5,434.55,27054.0
2026-06-09 12:55:00+05:30,434.55,434.65,433.8,433.8,59893.0
2026-06-09 13:00:00+05:30,433.8,434.45,433.65,433.75,50574.0
2026-06-09 13:05:00+05:30,433.75,434.6,433.75,434.15,23642.0
2026-06-09 13:10:00+05:30,434.15,435.95,434.05,435.8,52029.0
2026-06-09 13:15:00+05:30,435.8,436.0,435.3,435.5,29423.0
2026-06-09 13:20:00+05:30,435.7,435.75,434.9,434.95,29060.0
2026-06-09 13:25:00+05:30,434.95,435.9,434.95,435.55,37241.0
2026-06-09 13:30:00+05:30,435.7,435.75,435.35,435.65,13980.0
2026-06-09 13:35:00+05:30,435.65,436.3,435.65,436.3,32037.0
2026-06-09 13:40:00+05:30,436.3,436.4,436.05,436.3,18614.0
2026-06-09 13:45:00+05:30,436.25,436.3,435.95,436.0,11994.0
2026-06-09 13:50:00+05:30,435.95,436.1,435.25,435.45,17255.0
2026-06-09 13:55:00+05:30,435.45,436.0,435.15,435.85,25181.0
2026-06-09 14:00:00+05:30,435.8,436.05,435.6,435.9,29795.0
2026-06-09 14:05:00+05:30,435.85,435.9,435.55,435.7,14547.0
2026-06-09 14:10:00+05:30,435.75,436.0,435.65,435.7,9402.0
2026-06-09 14:15:00+05:30,435.65,436.1,435.45,435.85,29275.0
