dt,open,high,low,close,volume
2026-07-06 09:15:00+05:30,9598.5,9598.5,9545.0,9573.5,0.0
2026-07-06 09:20:00+05:30,9567.0,9572.0,9545.0,9555.0,3368.0
2026-07-06 09:25:00+05:30,9555.5,9592.0,9555.5,9588.0,2842.0
2026-07-06 09:30:00+05:30,9585.5,9589.5,9555.5,9555.5,2844.0
2026-07-06 09:35:00+05:30,9554.5,9554.5,9530.0,9540.0,4273.0
2026-07-06 09:40:00+05:30,9540.5,9553.5,9525.5,9531.5,3171.0
2026-07-06 09:45:00+05:30,9538.0,9538.0,9523.5,9535.0,2626.0
2026-07-06 09:50:00+05:30,9531.0,9538.0,9525.0,9530.0,2329.0
2026-07-06 09:55:00+05:30,9525.0,9530.5,9525.0,9527.0,1312.0
2026-07-06 10:00:00+05:30,9529.0,9535.5,9525.0,9532.0,1462.0
2026-07-06 10:05:00+05:30,9538.0,9538.0,9510.5,9520.5,2849.0
2026-07-06 10:10:00+05:30,9520.0,9532.5,9501.0,9523.5,7934.0
2026-07-06 10:15:00+05:30,9523.5,9564.0,9520.0,9564.0,3296.0
2026-07-06 10:20:00+05:30,9564.0,9574.0,9534.0,9544.0,5871.0
2026-07-06 10:25:00+05:30,9541.5,9543.5,9531.0,9533.0,1295.0
2026-07-06 10:30:00+05:30,9535.0,9541.5,9525.0,9527.0,1845.0
2026-07-06 10:35:00+05:30,9530.0,9538.0,9522.0,9534.0,2237.0
2026-07-06 10:40:00+05:30,9535.0,9536.5,9526.0,9530.0,947.0
2026-07-06 10:45:00+05:30,9531.0,9537.5,9526.5,9533.0,973.0
2026-07-06 10:50:00+05:30,9537.0,9537.0,9526.5,9533.0,730.0
2026-07-06 10:55:00+05:30,9533.0,9540.0,9527.0,9532.0,937.0
2026-07-06 11:00:00+05:30,9532.0,9537.0,9520.0,9529.5,2894.0
2026-07-06 11:05:00+05:30,9527.5,9532.5,9521.0,9521.0,1163.0
2026-07-06 11:10:00+05:30,9522.0,9533.5,9522.0,9528.5,1241.0
2026-07-06 11:15:00+05:30,9529.0,9531.5,9520.0,9523.5,1538.0
2026-07-06 11:20:00+05:30,9524.0,9534.5,9520.5,9524.5,1405.0
2026-07-06 11:25:00+05:30,9525.5,9529.0,9520.5,9521.0,1263.0
2026-07-06 11:30:00+05:30,9520.5,9530.5,9520.0,9524.0,1331.0
2026-07-06 11:35:00+05:30,9526.0,9545.5,9524.0,9545.5,2482.0
2026-07-06 11:40:00+05:30,9544.0,9558.0,9541.0,9545.0,2064.0
2026-07-06 11:45:00+05:30,9543.0,9547.5,9530.5,9541.0,1674.0
2026-07-06 11:50:00+05:30,9540.0,9543.0,9532.0,9543.0,1426.0
2026-07-06 11:55:00+05:30,9543.0,9549.0,9535.0,9538.0,1369.0
2026-07-06 12:00:00+05:30,9537.5,9541.0,9535.0,9537.0,692.0
2026-07-06 12:05:00+05:30,9538.0,9540.0,9533.5,9533.5,561.0
2026-07-06 12:10:00+05:30,9538.5,9540.0,9535.0,9537.0,572.0
2026-07-06 12:15:00+05:30,9537.0,9539.5,9530.0,9532.0,1598.0
2026-07-06 12:20:00+05:30,9535.5,9538.5,9520.0,9527.5,1577.0
2026-07-06 12:25:00+05:30,9527.0,9533.5,9523.0,9531.0,632.0
2026-07-06 12:30:00+05:30,9532.0,9540.0,9530.5,9540.0,636.0
2026-07-06 12:35:00+05:30,9540.0,9554.0,9537.0,9542.0,1979.0
2026-07-06 12:40:00+05:30,9546.0,9550.0,9539.0,9542.0,1489.0
2026-07-06 12:45:00+05:30,9542.5,9548.5,9542.0,9543.0,457.0
2026-07-06 12:50:00+05:30,9543.0,9548.0,9528.5,9535.0,1329.0
2026-07-06 12:55:00+05:30,9535.5,9543.5,9520.0,9520.0,4220.0
2026-07-06 13:00:00+05:30,9520.0,9531.0,9520.0,9530.5,1726.0
2026-07-06 13:05:00+05:30,9526.5,9537.0,9526.5,9536.0,2232.0
2026-07-06 13:10:00+05:30,9531.0,9545.0,9529.0,9535.5,2061.0
2026-07-06 13:15:00+05:30,9534.0,9535.5,9525.0,9526.0,946.0
2026-07-06 13:20:00+05:30,9526.0,9536.0,9525.0,9531.0,758.0
2026-07-06 13:25:00+05:30,9530.5,9535.0,9525.5,9532.5,984.0
2026-07-06 13:30:00+05:30,9528.0,9541.5,9527.5,9533.5,1307.0
2026-07-06 13:35:00+05:30,9533.5,9539.0,9530.0,9530.5,1384.0
2026-07-06 13:40:00+05:30,9530.5,9533.5,9526.5,9527.5,1385.0
2026-07-06 13:45:00+05:30,9531.5,9533.0,9525.0,9528.0,1027.0
2026-07-06 13:50:00+05:30,9525.0,9540.0,9520.0,9535.5,3122.0
2026-07-06 13:55:00+05:30,9531.0,9531.0,9522.0,9525.5,1087.0
2026-07-06 14:00:00+05:30,9526.5,9533.0,9521.0,9527.0,1336.0
2026-07-06 14:05:00+05:30,9525.0,9529.0,9521.0,9522.0,1108.0
2026-07-06 14:10:00+05:30,9522.0,9526.5,9521.0,9521.5,1392.0
