dt,open,high,low,close,volume
2026-06-12 09:20:00+05:30,166.95,167.17,166.76,167.04,104822.0
2026-06-12 09:25:00+05:30,167.15,167.22,166.91,166.99,149176.0
2026-06-12 09:30:00+05:30,167.09,167.09,166.75,167.0,88980.0
2026-06-12 09:35:00+05:30,167.0,167.34,166.87,167.2,110771.0
2026-06-12 09:40:00+05:30,167.16,167.2,166.82,167.07,47065.0
2026-06-12 09:45:00+05:30,167.1,167.49,167.1,167.11,134716.0
2026-06-12 09:50:00+05:30,167.2,167.42,167.12,167.2,63681.0
2026-06-12 09:55:00+05:30,167.26,167.4,167.16,167.23,38778.0
2026-06-12 10:00:00+05:30,167.3,167.52,167.22,167.52,58163.0
2026-06-12 10:05:00+05:30,167.56,168.08,167.31,167.37,262985.0
2026-06-12 10:10:00+05:30,167.37,167.6,167.35,167.53,58374.0
2026-06-12 10:15:00+05:30,167.58,167.62,167.41,167.43,91642.0
2026-06-12 10:20:00+05:30,167.38,168.8,167.35,168.7,262935.0
2026-06-12 10:25:00+05:30,168.64,168.9,168.35,168.44,197332.0
2026-06-12 10:30:00+05:30,168.48,168.69,168.15,168.33,81743.0
2026-06-12 10:35:00+05:30,168.33,168.49,168.24,168.35,22970.0
2026-06-12 10:40:00+05:30,168.35,168.79,168.35,168.7,101058.0
2026-06-12 10:45:00+05:30,168.71,168.94,168.4,168.79,121553.0
2026-06-12 10:50:00+05:30,168.75,169.2,168.66,169.19,204435.0
2026-06-12 10:55:00+05:30,169.18,169.42,168.93,169.42,152916.0
2026-06-12 11:00:00+05:30,169.38,169.45,168.82,168.95,105579.0
2026-06-12 11:05:00+05:30,168.88,168.95,168.58,168.7,82563.0
2026-06-12 11:10:00+05:30,168.7,168.98,168.65,168.84,34831.0
2026-06-12 11:15:00+05:30,168.85,169.0,168.2,168.25,211753.0
2026-06-12 11:20:00+05:30,168.31,168.47,168.12,168.31,65985.0
2026-06-12 11:25:00+05:30,168.33,168.33,167.85,167.97,116906.0
2026-06-12 11:30:00+05:30,167.98,168.15,167.9,168.1,43527.0
2026-06-12 11:35:00+05:30,168.07,168.1,167.87,167.91,25292.0
2026-06-12 11:40:00+05:30,167.94,168.0,167.9,168.0,26107.0
2026-06-12 11:45:00+05:30,167.99,168.0,167.9,167.98,69977.0
2026-06-12 11:50:00+05:30,167.97,168.0,167.76,167.84,52542.0
2026-06-12 11:55:00+05:30,167.87,167.96,167.81,167.84,36883.0
2026-06-12 12:00:00+05:30,167.9,167.98,167.82,167.92,40013.0
2026-06-12 12:05:00+05:30,167.92,168.0,167.52,167.6,54360.0
2026-06-12 12:10:00+05:30,167.55,167.6,166.91,166.95,369710.0
2026-06-12 12:15:00+05:30,166.99,167.03,166.4,166.51,168940.0
2026-06-12 12:20:00+05:30,166.56,166.99,166.51,166.99,150019.0
2026-06-12 12:25:00+05:30,166.99,167.32,166.85,167.25,165546.0
2026-06-12 12:30:00+05:30,167.31,167.31,167.1,167.25,26849.0
2026-06-12 12:35:00+05:30,167.25,167.25,166.8,166.92,175315.0
2026-06-12 12:40:00+05:30,166.93,166.93,166.45,166.6,43095.0
2026-06-12 12:45:00+05:30,166.55,166.77,166.47,166.71,220452.0
2026-06-12 12:50:00+05:30,166.65,166.98,166.6,166.85,70972.0
2026-06-12 12:55:00+05:30,166.77,166.86,166.55,166.84,253503.0
2026-06-12 13:00:00+05:30,166.84,166.96,166.71,166.88,35367.0
2026-06-12 13:05:00+05:30,166.95,167.09,166.9,167.09,70646.0
2026-06-12 13:10:00+05:30,167.1,167.19,166.9,167.06,62297.0
2026-06-12 13:15:00+05:30,167.06,167.2,167.05,167.18,22961.0
2026-06-12 13:20:00+05:30,167.18,167.24,167.0,167.04,44969.0
2026-06-12 13:25:00+05:30,167.05,167.84,166.92,167.78,132122.0
2026-06-12 13:30:00+05:30,167.84,167.9,167.6,167.6,225607.0
2026-06-12 13:35:00+05:30,167.61,168.31,167.55,168.23,143752.0
2026-06-12 13:40:00+05:30,168.23,168.66,168.23,168.58,196103.0
2026-06-12 13:45:00+05:30,168.62,168.7,168.41,168.55,577398.0
2026-06-12 13:50:00+05:30,168.55,168.69,168.45,168.59,165632.0
2026-06-12 13:55:00+05:30,168.63,168.7,168.45,168.57,54083.0
2026-06-12 14:00:00+05:30,168.63,168.7,168.34,168.52,65352.0
2026-06-12 14:05:00+05:30,168.5,168.5,168.34,168.5,77241.0
2026-06-12 14:10:00+05:30,168.5,168.66,168.3,168.66,82973.0
2026-06-12 14:15:00+05:30,168.66,168.98,168.62,168.7,740626.0
2026-06-12 14:20:00+05:30,168.77,168.77,168.46,168.6,378516.0
2026-06-12 14:25:00+05:30,168.6,168.78,168.45,168.62,319924.0
2026-06-12 14:30:00+05:30,168.64,168.75,168.56,168.7,269727.0
2026-06-12 14:35:00+05:30,168.7,168.74,168.43,168.7,624739.0
2026-06-12 14:40:00+05:30,168.7,169.6,168.7,169.58,611519.0
2026-06-12 14:45:00+05:30,169.6,169.6,169.29,169.5,322745.0
2026-06-12 14:50:00+05:30,169.42,169.64,169.19,169.43,318579.0
2026-06-12 14:55:00+05:30,169.5,169.55,169.24,169.26,258652.0
2026-06-12 15:00:00+05:30,169.31,170.29,169.15,170.17,426063.0
2026-06-12 15:05:00+05:30,170.18,170.22,169.83,170.15,320673.0
