dt,open,high,low,close,volume
2026-05-20 09:20:00+05:30,21.62,21.72,21.6,21.7,2467867.0
2026-05-20 09:25:00+05:30,21.7,21.71,21.64,21.65,1627776.0
2026-05-20 09:30:00+05:30,21.66,21.71,21.63,21.7,1209005.0
2026-05-20 09:35:00+05:30,21.7,21.71,21.66,21.71,813796.0
2026-05-20 09:40:00+05:30,21.71,21.71,21.66,21.69,786803.0
2026-05-20 09:45:00+05:30,21.69,21.76,21.68,21.76,941091.0
2026-05-20 09:50:00+05:30,21.76,21.81,21.74,21.76,968010.0
2026-05-20 09:55:00+05:30,21.77,21.79,21.75,21.77,570454.0
2026-05-20 10:00:00+05:30,21.77,21.79,21.72,21.73,799988.0
2026-05-20 10:05:00+05:30,21.72,21.73,21.68,21.72,847434.0
2026-05-20 10:10:00+05:30,21.7,21.75,21.7,21.75,328154.0
2026-05-20 10:15:00+05:30,21.75,21.75,21.72,21.74,219904.0
2026-05-20 10:20:00+05:30,21.74,21.76,21.7,21.71,586838.0
2026-05-20 10:25:00+05:30,21.71,21.75,21.7,21.75,503148.0
2026-05-20 10:30:00+05:30,21.74,21.81,21.74,21.78,1402126.0
2026-05-20 10:35:00+05:30,21.78,21.82,21.78,21.8,769798.0
2026-05-20 10:40:00+05:30,21.8,21.82,21.77,21.78,667524.0
2026-05-20 10:45:00+05:30,21.78,21.78,21.7,21.7,545699.0
2026-05-20 10:50:00+05:30,21.72,21.76,21.71,21.76,375892.0
2026-05-20 10:55:00+05:30,21.75,21.76,21.74,21.76,204137.0
2026-05-20 11:00:00+05:30,21.76,21.81,21.75,21.79,879002.0
2026-05-20 11:05:00+05:30,21.78,21.82,21.77,21.8,390726.0
2026-05-20 11:10:00+05:30,21.79,21.81,21.77,21.78,372574.0
2026-05-20 11:15:00+05:30,21.78,21.79,21.76,21.77,227055.0
2026-05-20 11:20:00+05:30,21.77,21.8,21.76,21.79,268667.0
2026-05-20 11:25:00+05:30,21.77,21.81,21.77,21.8,343713.0
2026-05-20 11:30:00+05:30,21.81,21.81,21.78,21.79,364026.0
2026-05-20 11:35:00+05:30,21.79,21.82,21.79,21.81,553604.0
2026-05-20 11:40:00+05:30,21.81,21.82,21.79,21.81,242074.0
2026-05-20 11:45:00+05:30,21.82,21.89,21.81,21.84,2141513.0
2026-05-20 11:50:00+05:30,21.84,21.89,21.84,21.88,739752.0
2026-05-20 11:55:00+05:30,21.88,21.88,21.85,21.87,555957.0
2026-05-20 12:00:00+05:30,21.87,21.87,21.81,21.83,674214.0
2026-05-20 12:05:00+05:30,21.83,21.83,21.78,21.82,745048.0
2026-05-20 12:10:00+05:30,21.82,21.82,21.78,21.79,149496.0
2026-05-20 12:15:00+05:30,21.79,21.82,21.79,21.8,225011.0
2026-05-20 12:20:00+05:30,21.81,21.85,21.8,21.83,409816.0
2026-05-20 12:25:00+05:30,21.84,21.84,21.78,21.79,392937.0
2026-05-20 12:30:00+05:30,21.8,21.8,21.77,21.79,662521.0
2026-05-20 12:35:00+05:30,21.77,21.79,21.77,21.78,223293.0
2026-05-20 12:40:00+05:30,21.79,21.79,21.76,21.77,416580.0
2026-05-20 12:45:00+05:30,21.77,21.79,21.76,21.76,133980.0
2026-05-20 12:50:00+05:30,21.77,21.79,21.76,21.77,205381.0
2026-05-20 12:55:00+05:30,21.77,21.81,21.76,21.79,382899.0
2026-05-20 13:00:00+05:30,21.79,21.79,21.75,21.76,370862.0
