dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,763.5,769.95,760.05,768.4,2647.0
2026-05-29 09:20:00+05:30,768.4,768.4,765.75,767.45,39.0
2026-05-29 09:25:00+05:30,767.55,767.55,765.75,766.0,124.0
2026-05-29 09:30:00+05:30,764.35,766.85,762.0,764.05,525.0
2026-05-29 09:35:00+05:30,763.2,765.0,762.6,763.75,143.0
2026-05-29 09:40:00+05:30,763.6,764.95,755.65,756.0,1802.0
2026-05-29 09:45:00+05:30,758.25,763.2,758.25,763.15,266.0
2026-05-29 09:50:00+05:30,761.9,772.15,761.9,771.25,2857.0
2026-05-29 09:55:00+05:30,771.25,808.95,771.25,808.9,24708.0
2026-05-29 10:00:00+05:30,807.5,813.85,803.0,805.65,11903.0
2026-05-29 10:05:00+05:30,806.0,806.4,797.45,802.0,8411.0
2026-05-29 10:10:00+05:30,801.95,801.95,797.4,799.2,4819.0
2026-05-29 10:15:00+05:30,798.65,808.75,798.65,805.05,7300.0
2026-05-29 10:20:00+05:30,806.0,817.95,803.55,809.95,16975.0
2026-05-29 10:25:00+05:30,809.9,809.9,804.5,805.35,3705.0
2026-05-29 10:30:00+05:30,808.95,817.05,807.9,813.1,10698.0
2026-05-29 10:35:00+05:30,813.0,817.15,812.15,814.15,5575.0
2026-05-29 10:40:00+05:30,814.4,817.25,806.1,807.8,11307.0
2026-05-29 10:45:00+05:30,807.8,807.95,804.0,805.5,4146.0
2026-05-29 10:50:00+05:30,804.1,804.45,802.1,802.1,1739.0
2026-05-29 10:55:00+05:30,802.2,815.9,802.1,815.9,9410.0
2026-05-29 11:00:00+05:30,814.9,839.65,814.9,832.9,71599.0
2026-05-29 11:05:00+05:30,830.9,842.7,827.0,840.7,34828.0
2026-05-29 11:10:00+05:30,841.05,850.0,834.25,837.0,66753.0
2026-05-29 11:15:00+05:30,837.2,840.0,824.4,825.35,42132.0
2026-05-29 11:20:00+05:30,825.5,830.0,824.6,826.45,10454.0
2026-05-29 11:25:00+05:30,828.4,831.8,826.0,827.85,6850.0
2026-05-29 11:30:00+05:30,828.0,828.8,814.85,820.35,18131.0
2026-05-29 11:35:00+05:30,821.3,825.0,818.95,825.0,9939.0
2026-05-29 11:40:00+05:30,824.95,825.0,820.0,825.0,3585.0
2026-05-29 11:45:00+05:30,823.1,826.0,821.4,822.0,6129.0
2026-05-29 11:50:00+05:30,822.0,823.95,820.3,823.95,2186.0
2026-05-29 11:55:00+05:30,823.95,824.0,819.4,820.5,2839.0
2026-05-29 12:00:00+05:30,822.3,822.35,816.1,818.1,3993.0
2026-05-29 12:05:00+05:30,818.15,818.75,815.5,816.3,3418.0
2026-05-29 12:10:00+05:30,817.55,817.55,815.85,815.85,1102.0
