dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,535.0,542.7,535.0,540.05,1210.0
2026-05-29 09:20:00+05:30,540.0,540.0,538.1,539.15,519.0
2026-05-29 09:25:00+05:30,539.15,539.5,536.0,537.1,3216.0
2026-05-29 09:30:00+05:30,537.05,537.8,536.6,536.95,289.0
2026-05-29 09:35:00+05:30,537.4,537.85,534.8,536.2,2367.0
2026-05-29 09:40:00+05:30,536.35,536.55,534.6,534.85,851.0
2026-05-29 09:45:00+05:30,534.85,536.85,534.85,536.7,401.0
2026-05-29 09:50:00+05:30,536.85,536.85,535.9,536.4,469.0
2026-05-29 09:55:00+05:30,536.45,536.85,535.9,536.45,558.0
2026-05-29 10:00:00+05:30,536.8,537.0,536.2,537.0,627.0
2026-05-29 10:05:00+05:30,537.0,537.35,534.75,535.15,1148.0
2026-05-29 10:10:00+05:30,534.65,534.95,533.1,534.95,2082.0
2026-05-29 10:15:00+05:30,534.3,534.9,533.85,534.3,1714.0
2026-05-29 10:20:00+05:30,534.75,534.8,529.0,529.9,9845.0
2026-05-29 10:25:00+05:30,529.85,531.5,529.85,531.1,423.0
2026-05-29 10:30:00+05:30,531.55,531.55,530.15,530.45,1341.0
2026-05-29 10:35:00+05:30,530.8,531.15,530.25,530.6,1826.0
2026-05-29 10:40:00+05:30,530.95,531.65,530.4,531.2,493.0
2026-05-29 10:45:00+05:30,531.8,532.55,531.2,531.45,541.0
2026-05-29 10:50:00+05:30,532.2,532.2,529.6,529.6,2479.0
2026-05-29 10:55:00+05:30,529.4,530.9,529.15,530.85,963.0
2026-05-29 11:00:00+05:30,530.8,531.85,530.25,531.25,880.0
2026-05-29 11:05:00+05:30,531.85,532.15,530.25,531.1,1677.0
2026-05-29 11:10:00+05:30,531.3,531.75,530.25,530.45,747.0
2026-05-29 11:15:00+05:30,530.85,531.85,530.2,530.45,1673.0
2026-05-29 11:20:00+05:30,530.8,530.9,530.1,530.3,315.0
2026-05-29 11:25:00+05:30,530.65,530.85,530.1,530.45,304.0
2026-05-29 11:30:00+05:30,530.25,530.85,529.9,530.0,835.0
2026-05-29 11:35:00+05:30,530.0,530.6,529.85,530.1,348.0
2026-05-29 11:40:00+05:30,530.0,530.35,529.35,530.0,1078.0
2026-05-29 11:45:00+05:30,530.0,530.45,529.7,529.95,353.0
2026-05-29 11:50:00+05:30,529.95,530.0,529.4,529.85,969.0
2026-05-29 11:55:00+05:30,529.85,530.45,529.5,530.25,651.0
2026-05-29 12:00:00+05:30,530.0,530.3,529.35,529.85,268.0
2026-05-29 12:05:00+05:30,529.85,530.0,529.4,529.85,285.0
2026-05-29 12:10:00+05:30,529.95,530.0,529.1,529.6,405.0
2026-05-29 12:15:00+05:30,529.75,529.85,529.0,529.8,484.0
2026-05-29 12:20:00+05:30,529.85,529.85,529.25,529.7,285.0
2026-05-29 12:25:00+05:30,529.7,529.85,529.2,529.7,527.0
2026-05-29 12:30:00+05:30,529.85,530.0,529.3,530.0,2190.0
2026-05-29 12:35:00+05:30,529.85,530.75,528.15,530.2,2851.0
2026-05-29 12:40:00+05:30,530.65,530.7,529.65,530.0,481.0
2026-05-29 12:45:00+05:30,529.95,530.75,529.95,530.3,277.0
2026-05-29 12:50:00+05:30,530.7,530.7,530.0,530.1,472.0
2026-05-29 12:55:00+05:30,530.5,530.7,529.4,530.0,2677.0
2026-05-29 13:00:00+05:30,529.7,530.85,528.1,530.2,1338.0
2026-05-29 13:05:00+05:30,530.75,530.85,529.55,530.25,894.0
2026-05-29 13:10:00+05:30,530.4,530.75,530.0,530.2,310.0
2026-05-29 13:15:00+05:30,530.45,530.7,530.0,530.2,449.0
2026-05-29 13:20:00+05:30,530.7,530.75,529.75,530.1,1363.0
2026-05-29 13:25:00+05:30,530.0,530.7,529.9,530.0,374.0
2026-05-29 13:30:00+05:30,530.45,530.5,529.6,530.0,412.0
2026-05-29 13:35:00+05:30,530.45,530.55,529.95,530.0,423.0
2026-05-29 13:40:00+05:30,530.35,530.65,529.0,529.15,2670.0
2026-05-29 13:45:00+05:30,529.55,529.8,528.0,528.05,1171.0
2026-05-29 13:50:00+05:30,528.65,528.85,527.0,527.4,1989.0
2026-05-29 13:55:00+05:30,527.65,528.25,527.2,527.8,249.0
2026-05-29 14:00:00+05:30,528.2,528.65,527.1,527.8,495.0
2026-05-29 14:05:00+05:30,528.45,528.85,527.5,527.9,381.0
2026-05-29 14:10:00+05:30,528.4,528.5,524.45,525.3,7104.0
2026-05-29 14:15:00+05:30,525.55,526.45,524.15,524.5,2902.0
2026-05-29 14:20:00+05:30,524.7,524.7,522.05,524.35,3760.0
2026-05-29 14:25:00+05:30,524.4,525.05,524.0,524.95,2351.0
2026-05-29 14:30:00+05:30,524.85,525.0,524.0,524.45,382.0
2026-05-29 14:35:00+05:30,524.5,525.0,524.5,524.5,657.0
2026-05-29 14:40:00+05:30,524.5,525.0,524.45,524.9,344.0
2026-05-29 14:45:00+05:30,525.0,530.75,525.0,529.0,5561.0
2026-05-29 14:50:00+05:30,529.0,530.2,528.15,529.75,4309.0
2026-05-29 14:55:00+05:30,530.0,531.2,528.15,529.65,2679.0
2026-05-29 15:00:00+05:30,529.9,530.0,527.65,529.85,3362.0
2026-05-29 15:05:00+05:30,530.0,530.05,529.05,529.75,4154.0
2026-05-29 15:10:00+05:30,529.9,530.85,529.05,530.4,7470.0
2026-05-29 15:15:00+05:30,531.2,535.8,530.15,535.6,27203.0
2026-05-29 15:20:00+05:30,535.85,540.0,533.05,538.05,23556.0
2026-05-29 15:25:00+05:30,538.05,540.0,526.65,526.65,21820.0
2026-06-01 09:15:00+05:30,534.85,537.0,527.6,528.25,6534.0
2026-06-01 09:20:00+05:30,527.6,527.6,523.55,524.55,5400.0
2026-06-01 09:25:00+05:30,525.55,525.9,523.0,523.75,2512.0
2026-06-01 09:30:00+05:30,523.2,524.35,521.65,521.8,2186.0
2026-06-01 09:35:00+05:30,521.95,521.95,520.1,521.4,4739.0
2026-06-01 09:40:00+05:30,521.95,522.7,521.5,521.75,674.0
2026-06-01 09:45:00+05:30,522.0,522.25,518.15,518.2,6841.0
2026-06-01 09:50:00+05:30,518.2,518.5,515.4,516.25,4478.0
2026-06-01 09:55:00+05:30,515.55,517.4,515.55,516.7,2051.0
2026-06-01 10:00:00+05:30,517.1,521.45,517.1,518.95,6528.0
2026-06-01 10:05:00+05:30,518.6,518.6,517.5,517.65,266.0
2026-06-01 10:10:00+05:30,518.2,519.4,517.25,518.3,1252.0
2026-06-01 10:15:00+05:30,518.55,518.55,517.1,517.25,419.0
2026-06-01 10:20:00+05:30,517.3,519.0,517.3,518.15,793.0
2026-06-01 10:25:00+05:30,518.15,518.25,518.15,518.15,70.0
2026-06-01 10:30:00+05:30,519.45,520.45,518.2,520.0,8231.0
2026-06-01 10:35:00+05:30,520.0,520.35,520.0,520.35,78.0
2026-06-01 10:40:00+05:30,520.35,520.35,519.1,519.65,624.0
2026-06-01 10:45:00+05:30,519.65,523.75,519.4,523.0,5744.0
2026-06-01 10:50:00+05:30,523.0,524.1,520.95,523.2,114713.0
2026-06-01 10:55:00+05:30,522.55,523.1,522.5,522.5,127.0
2026-06-01 11:00:00+05:30,522.5,522.95,522.35,522.5,1166.0
2026-06-01 11:05:00+05:30,522.95,522.95,522.6,522.6,86.0
2026-06-01 11:10:00+05:30,522.9,522.9,522.6,522.7,100.0
2026-06-01 11:15:00+05:30,522.75,522.8,522.65,522.65,262.0
2026-06-01 11:20:00+05:30,522.65,522.75,521.7,521.7,905.0
2026-06-01 11:25:00+05:30,521.7,522.35,521.7,522.2,743.0
2026-06-01 11:30:00+05:30,522.4,525.0,522.0,523.3,7719.0
2026-06-01 11:35:00+05:30,523.3,523.55,523.3,523.4,39.0
2026-06-01 11:40:00+05:30,523.4,523.55,520.0,520.5,76982.0
2026-06-01 11:45:00+05:30,520.5,520.5,520.0,520.0,1782.0
2026-06-01 11:50:00+05:30,520.0,520.45,520.0,520.0,88.0
2026-06-01 11:55:00+05:30,520.4,520.4,516.0,516.2,5612.0
2026-06-01 12:00:00+05:30,516.2,516.6,516.2,516.3,352.0
2026-06-01 12:05:00+05:30,516.6,516.9,516.15,516.25,1186.0
2026-06-01 12:10:00+05:30,516.25,516.25,515.4,515.55,677.0
