dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,478.6,478.6,472.25,473.65,7835.0
2026-05-29 09:20:00+05:30,473.5,476.65,473.45,474.55,3493.0
2026-05-29 09:25:00+05:30,474.55,476.65,473.1,473.5,2237.0
2026-05-29 09:30:00+05:30,473.2,473.45,471.0,472.35,2510.0
2026-05-29 09:35:00+05:30,472.65,474.75,472.65,472.95,1392.0
2026-05-29 09:40:00+05:30,472.95,473.95,471.05,471.05,722.0
2026-05-29 09:45:00+05:30,471.2,473.75,470.5,472.35,703.0
2026-05-29 09:50:00+05:30,471.3,474.15,471.3,472.85,621.0
2026-05-29 09:55:00+05:30,474.0,474.9,472.9,473.65,950.0
2026-05-29 10:00:00+05:30,474.7,474.75,472.35,473.65,1759.0
2026-05-29 10:05:00+05:30,474.45,474.6,473.65,474.05,695.0
2026-05-29 10:10:00+05:30,475.0,477.0,474.2,475.85,2474.0
2026-05-29 10:15:00+05:30,477.2,478.95,476.1,478.75,2459.0
2026-05-29 10:20:00+05:30,478.75,481.2,478.0,478.6,3086.0
2026-05-29 10:25:00+05:30,479.5,479.5,477.65,477.65,1052.0
2026-05-29 10:30:00+05:30,478.6,478.65,477.5,478.55,543.0
2026-05-29 10:35:00+05:30,477.75,478.5,476.6,477.5,1738.0
2026-05-29 10:40:00+05:30,477.5,477.5,476.6,476.75,510.0
2026-05-29 10:45:00+05:30,476.75,477.5,476.3,476.3,139.0
2026-05-29 10:50:00+05:30,476.3,477.55,475.85,477.25,417.0
2026-05-29 10:55:00+05:30,477.25,477.25,473.7,475.05,3500.0
2026-05-29 11:00:00+05:30,475.0,475.0,473.0,475.0,6602.0
2026-05-29 11:05:00+05:30,475.0,476.4,475.0,475.15,370.0
2026-05-29 11:10:00+05:30,475.15,476.35,474.6,474.7,585.0
2026-05-29 11:15:00+05:30,475.75,475.75,474.0,474.1,924.0
2026-05-29 11:20:00+05:30,474.1,475.15,474.1,474.3,142.0
2026-05-29 11:25:00+05:30,470.8,473.65,470.8,472.15,3824.0
2026-05-29 11:30:00+05:30,473.1,473.25,472.25,472.5,174.0
2026-05-29 11:35:00+05:30,472.5,473.2,472.25,472.25,549.0
2026-05-29 11:40:00+05:30,472.25,473.1,472.25,472.4,151.0
2026-05-29 11:45:00+05:30,472.35,473.65,472.35,472.65,477.0
2026-05-29 11:50:00+05:30,472.45,473.95,472.4,472.7,1497.0
2026-05-29 11:55:00+05:30,473.75,473.75,472.7,473.0,582.0
2026-05-29 12:00:00+05:30,473.0,473.95,472.4,472.4,726.0
2026-05-29 12:05:00+05:30,472.4,473.0,472.25,472.3,637.0
2026-05-29 12:10:00+05:30,473.05,473.05,471.3,472.0,653.0
2026-05-29 12:15:00+05:30,472.0,472.0,471.2,471.2,33.0
2026-05-29 12:20:00+05:30,472.2,472.25,471.5,471.9,163.0
2026-05-29 12:25:00+05:30,472.25,473.15,471.65,471.9,703.0
2026-05-29 12:30:00+05:30,472.0,472.0,471.7,471.7,150.0
2026-05-29 12:35:00+05:30,471.6,471.6,469.0,470.05,1416.0
2026-05-29 12:40:00+05:30,470.45,470.95,470.05,470.25,175.0
2026-05-29 12:45:00+05:30,470.05,471.0,470.05,470.3,1266.0
2026-05-29 12:50:00+05:30,470.4,470.4,469.0,469.05,298.0
2026-05-29 12:55:00+05:30,469.0,470.1,469.0,469.15,288.0
2026-05-29 13:00:00+05:30,469.25,469.5,468.15,468.2,432.0
2026-05-29 13:05:00+05:30,468.5,468.6,468.0,468.6,19.0
2026-05-29 13:10:00+05:30,468.75,468.75,467.55,467.65,268.0
2026-05-29 13:15:00+05:30,467.65,470.25,467.65,469.15,381.0
2026-05-29 13:20:00+05:30,469.15,469.95,469.05,469.7,126.0
2026-05-29 13:25:00+05:30,469.7,469.8,468.95,468.95,94.0
2026-05-29 13:30:00+05:30,468.95,470.2,468.95,470.2,496.0
2026-05-29 13:35:00+05:30,469.45,470.9,469.35,470.35,95.0
2026-05-29 13:40:00+05:30,470.8,471.2,469.85,470.6,904.0
2026-05-29 13:45:00+05:30,470.6,470.6,469.1,469.65,369.0
2026-05-29 13:50:00+05:30,469.65,469.65,469.35,469.4,14.0
2026-05-29 13:55:00+05:30,470.35,470.35,468.65,469.25,294.0
2026-05-29 14:00:00+05:30,469.25,470.0,468.75,468.85,376.0
2026-05-29 14:05:00+05:30,468.85,469.8,468.85,469.25,95.0
2026-05-29 14:10:00+05:30,469.25,470.0,469.1,469.3,78.0
2026-05-29 14:15:00+05:30,469.3,470.4,469.3,470.3,225.0
2026-05-29 14:20:00+05:30,471.0,471.2,470.3,471.2,77.0
2026-05-29 14:25:00+05:30,472.35,472.35,470.4,470.4,577.0
2026-05-29 14:30:00+05:30,471.05,472.25,471.0,471.65,78.0
2026-05-29 14:35:00+05:30,472.0,473.65,471.7,472.85,1570.0
2026-05-29 14:40:00+05:30,473.65,477.15,473.65,476.0,2083.0
2026-05-29 14:45:00+05:30,476.0,483.4,476.0,479.1,7820.0
2026-05-29 14:50:00+05:30,479.1,480.0,476.2,477.45,4674.0
2026-05-29 14:55:00+05:30,476.35,480.0,476.35,478.5,3100.0
2026-05-29 15:00:00+05:30,478.3,479.35,465.05,471.05,9352.0
2026-05-29 15:05:00+05:30,469.3,471.0,466.2,470.35,2731.0
2026-05-29 15:10:00+05:30,469.45,470.25,465.45,465.65,4292.0
2026-05-29 15:15:00+05:30,466.35,470.4,466.35,468.0,1642.0
2026-05-29 15:20:00+05:30,469.0,469.1,466.5,466.6,1775.0
2026-05-29 15:25:00+05:30,466.5,467.4,461.3,464.7,9086.0
2026-06-01 09:15:00+05:30,458.0,470.6,458.0,461.05,6991.0
2026-06-01 09:20:00+05:30,461.1,462.35,459.4,461.05,3934.0
2026-06-01 09:25:00+05:30,461.05,462.3,460.9,461.35,793.0
2026-06-01 09:30:00+05:30,461.95,462.25,460.5,460.55,1439.0
2026-06-01 09:35:00+05:30,461.0,461.0,458.25,460.2,2564.0
2026-06-01 09:40:00+05:30,459.6,460.55,459.1,459.9,308.0
2026-06-01 09:45:00+05:30,459.2,459.45,458.0,458.2,1674.0
2026-06-01 09:50:00+05:30,459.3,459.5,454.45,455.2,7524.0
2026-06-01 09:55:00+05:30,456.15,457.0,454.55,455.85,2604.0
2026-06-01 10:00:00+05:30,455.35,456.0,454.0,454.45,2737.0
2026-06-01 10:05:00+05:30,454.45,455.85,454.0,455.45,1209.0
2026-06-01 10:10:00+05:30,454.45,455.6,454.45,455.35,246.0
2026-06-01 10:15:00+05:30,455.35,456.35,454.55,455.15,896.0
2026-06-01 10:20:00+05:30,455.15,456.2,455.15,455.6,704.0
2026-06-01 10:25:00+05:30,456.2,456.3,455.5,455.55,994.0
2026-06-01 10:30:00+05:30,455.5,457.65,455.5,456.55,1900.0
2026-06-01 10:35:00+05:30,456.05,456.85,455.65,456.65,405.0
2026-06-01 10:40:00+05:30,455.9,457.95,455.3,456.05,2112.0
2026-06-01 10:45:00+05:30,457.4,457.95,456.0,457.2,512.0
2026-06-01 10:50:00+05:30,457.9,459.9,457.3,459.05,816.0
2026-06-01 10:55:00+05:30,460.35,461.1,459.4,460.25,465.0
2026-06-01 11:00:00+05:30,460.7,461.9,460.2,461.25,1154.0
2026-06-01 11:05:00+05:30,461.55,462.4,461.0,462.25,685.0
2026-06-01 11:10:00+05:30,462.5,468.9,462.2,468.1,10576.0
2026-06-01 11:15:00+05:30,468.15,486.65,468.15,482.5,69185.0
2026-06-01 11:20:00+05:30,482.3,488.3,476.5,483.1,46091.0
2026-06-01 11:25:00+05:30,482.2,490.0,482.0,489.9,36063.0
2026-06-01 11:30:00+05:30,489.15,506.95,489.0,505.25,191344.0
2026-06-01 11:35:00+05:30,505.35,505.35,482.3,488.0,162138.0
2026-06-01 11:40:00+05:30,488.7,489.35,478.35,478.9,87597.0
2026-06-01 11:45:00+05:30,479.7,479.7,470.9,474.5,76711.0
2026-06-01 11:50:00+05:30,474.15,476.75,472.0,474.15,42525.0
2026-06-01 11:55:00+05:30,474.35,483.8,474.0,483.75,58131.0
2026-06-01 12:00:00+05:30,484.0,486.3,478.0,483.0,69578.0
2026-06-01 12:05:00+05:30,483.0,483.0,478.0,479.0,13980.0
2026-06-01 12:10:00+05:30,478.85,482.6,477.0,482.6,11623.0
2026-06-01 12:15:00+05:30,482.0,483.95,478.2,480.3,18339.0
2026-06-01 12:20:00+05:30,480.35,480.35,474.4,474.4,15717.0
2026-06-01 12:25:00+05:30,474.4,476.85,474.4,475.15,3673.0
2026-06-01 12:30:00+05:30,475.15,476.0,471.5,474.05,10369.0
2026-06-01 12:35:00+05:30,474.05,474.55,471.5,472.3,5333.0
2026-06-01 12:40:00+05:30,473.0,473.95,471.4,473.95,3672.0
