dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,337.3,337.3,330.65,331.05,30051.0
2026-05-29 09:20:00+05:30,331.2,331.2,328.2,330.1,26347.0
2026-05-29 09:25:00+05:30,330.4,330.4,326.1,326.75,31752.0
2026-05-29 09:30:00+05:30,326.85,326.9,325.2,326.9,16274.0
2026-05-29 09:35:00+05:30,326.95,328.4,326.65,327.0,7764.0
2026-05-29 09:40:00+05:30,327.2,327.3,325.6,325.7,12647.0
2026-05-29 09:45:00+05:30,326.0,327.3,325.9,327.0,10970.0
2026-05-29 09:50:00+05:30,327.3,327.95,327.0,327.0,2793.0
2026-05-29 09:55:00+05:30,327.45,327.45,325.85,326.2,4381.0
2026-05-29 10:00:00+05:30,326.2,326.75,325.25,326.75,10286.0
2026-05-29 10:05:00+05:30,326.5,327.7,326.25,327.65,3803.0
2026-05-29 10:10:00+05:30,327.7,328.0,327.05,327.5,2049.0
2026-05-29 10:15:00+05:30,327.55,328.4,325.7,326.1,8463.0
2026-05-29 10:20:00+05:30,326.25,326.25,325.0,325.0,20062.0
2026-05-29 10:25:00+05:30,325.2,325.85,325.0,325.15,8719.0
2026-05-29 10:30:00+05:30,325.0,325.7,324.5,325.1,8426.0
2026-05-29 10:35:00+05:30,325.0,325.8,324.7,325.4,4354.0
2026-05-29 10:40:00+05:30,325.2,325.95,325.0,325.25,4594.0
2026-05-29 10:45:00+05:30,325.25,325.45,325.15,325.45,2047.0
2026-05-29 10:50:00+05:30,325.2,325.95,325.2,325.8,1310.0
2026-05-29 10:55:00+05:30,325.85,326.55,325.0,325.0,9743.0
2026-05-29 11:00:00+05:30,325.7,326.05,325.05,325.05,7654.0
2026-05-29 11:05:00+05:30,325.05,325.95,325.0,325.15,8273.0
2026-05-29 11:10:00+05:30,325.8,325.8,325.0,325.05,2763.0
2026-05-29 11:15:00+05:30,325.05,325.65,325.0,325.0,3953.0
2026-05-29 11:20:00+05:30,325.25,325.25,325.0,325.25,934.0
2026-05-29 11:25:00+05:30,325.25,325.5,325.0,325.2,2276.0
2026-05-29 11:30:00+05:30,325.1,325.5,325.1,325.5,1477.0
2026-05-29 11:35:00+05:30,325.5,325.5,325.1,325.1,1965.0
2026-05-29 11:40:00+05:30,325.2,325.3,322.3,322.9,22246.0
2026-05-29 11:45:00+05:30,322.95,323.3,322.05,322.6,13915.0
2026-05-29 11:50:00+05:30,322.6,323.3,322.5,323.3,5854.0
