dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,310.0,313.8,308.3,313.45,15058.0
2026-05-29 09:20:00+05:30,313.1,313.4,311.0,312.55,6375.0
2026-05-29 09:25:00+05:30,312.95,312.95,311.15,311.7,8180.0
2026-05-29 09:30:00+05:30,311.1,311.6,308.0,309.15,8155.0
2026-05-29 09:35:00+05:30,309.0,310.95,309.0,310.0,2719.0
2026-05-29 09:40:00+05:30,310.1,311.4,309.5,309.95,2926.0
2026-05-29 09:45:00+05:30,309.15,310.65,309.1,309.1,1123.0
2026-05-29 09:50:00+05:30,309.0,309.55,309.0,309.35,2191.0
2026-05-29 09:55:00+05:30,309.05,309.2,307.6,308.0,1193.0
2026-05-29 10:00:00+05:30,308.0,308.4,307.45,307.65,557.0
2026-05-29 10:05:00+05:30,308.4,309.35,308.1,309.35,1925.0
2026-05-29 10:10:00+05:30,309.4,310.0,309.3,310.0,1044.0
2026-05-29 10:15:00+05:30,310.0,310.5,309.35,309.6,1002.0
2026-05-29 10:20:00+05:30,310.0,310.2,309.9,310.2,977.0
2026-05-29 10:25:00+05:30,310.25,310.55,309.9,310.0,473.0
2026-05-29 10:30:00+05:30,310.4,310.4,309.65,309.65,313.0
2026-05-29 10:35:00+05:30,309.65,311.2,309.35,311.1,1649.0
2026-05-29 10:40:00+05:30,311.2,311.4,309.7,309.7,601.0
2026-05-29 10:45:00+05:30,309.85,309.85,309.15,309.65,363.0
2026-05-29 10:50:00+05:30,309.65,309.75,309.05,309.75,355.0
2026-05-29 10:55:00+05:30,309.75,309.75,309.65,309.7,74.0
2026-05-29 11:00:00+05:30,309.9,310.15,309.4,309.85,480.0
2026-05-29 11:05:00+05:30,309.85,310.15,309.5,309.5,303.0
2026-05-29 11:10:00+05:30,310.1,310.1,309.35,309.35,303.0
2026-05-29 11:15:00+05:30,309.35,309.85,309.25,309.85,1148.0
2026-05-29 11:20:00+05:30,309.25,309.25,308.65,308.95,1837.0
2026-05-29 11:25:00+05:30,309.0,309.0,308.95,308.95,263.0
