dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,195.0,200.0,195.0,199.46,389750.0
2026-05-29 09:20:00+05:30,198.8,199.74,196.12,199.28,194391.0
2026-05-29 09:25:00+05:30,199.38,205.0,199.04,200.0,507480.0
2026-05-29 09:30:00+05:30,199.6,199.95,197.0,198.5,254391.0
2026-05-29 09:35:00+05:30,198.41,200.44,198.13,200.08,197524.0
2026-05-29 09:40:00+05:30,200.16,201.34,198.2,199.07,184267.0
2026-05-29 09:45:00+05:30,198.81,201.4,198.61,200.19,153042.0
2026-05-29 09:50:00+05:30,200.55,201.5,199.05,200.9,129845.0
2026-05-29 09:55:00+05:30,201.0,204.28,200.9,202.21,353433.0
2026-05-29 10:00:00+05:30,202.0,208.0,202.0,207.6,541599.0
2026-05-29 10:05:00+05:30,207.84,210.0,207.36,208.0,627186.0
2026-05-29 10:10:00+05:30,208.09,209.4,207.5,208.5,276220.0
2026-05-29 10:15:00+05:30,208.48,211.69,208.13,209.56,729623.0
2026-05-29 10:20:00+05:30,209.56,215.5,209.5,213.06,1237063.0
2026-05-29 10:25:00+05:30,212.95,213.2,208.35,208.84,476743.0
2026-05-29 10:30:00+05:30,208.69,210.7,208.11,210.2,232747.0
2026-05-29 10:35:00+05:30,210.04,210.69,209.24,210.03,137814.0
2026-05-29 10:40:00+05:30,210.26,211.78,209.58,210.69,136367.0
2026-05-29 10:45:00+05:30,210.69,210.74,210.01,210.59,35398.0
2026-05-29 10:50:00+05:30,210.6,211.85,209.68,210.8,154881.0
2026-05-29 10:55:00+05:30,210.8,211.95,210.66,211.8,120610.0
2026-05-29 11:00:00+05:30,211.8,211.94,209.83,210.01,92017.0
2026-05-29 11:05:00+05:30,210.26,210.39,205.65,205.75,361602.0
2026-05-29 11:10:00+05:30,205.93,207.29,205.89,206.6,160339.0
2026-05-29 11:15:00+05:30,206.6,206.99,205.02,206.03,141172.0
2026-05-29 11:20:00+05:30,206.1,206.93,205.43,206.5,79968.0
2026-05-29 11:25:00+05:30,206.81,206.81,203.26,203.4,170693.0
2026-05-29 11:30:00+05:30,203.33,204.48,203.33,204.4,87368.0
2026-05-29 11:35:00+05:30,204.4,205.37,204.3,205.37,59375.0
2026-05-29 11:40:00+05:30,205.35,205.35,203.76,203.96,70681.0
2026-05-29 11:45:00+05:30,203.71,205.22,203.69,205.0,51905.0
2026-05-29 11:50:00+05:30,205.23,206.53,205.23,206.15,99759.0
2026-05-29 11:55:00+05:30,206.15,206.2,205.0,205.51,24252.0
2026-05-29 12:00:00+05:30,205.66,205.79,205.1,205.2,21646.0
2026-05-29 12:05:00+05:30,205.2,206.52,205.1,206.22,26430.0
2026-05-29 12:10:00+05:30,206.22,206.44,205.11,205.16,27657.0
2026-05-29 12:15:00+05:30,205.15,206.51,205.15,206.46,43151.0
2026-05-29 12:20:00+05:30,206.46,206.8,205.7,205.78,30839.0
2026-05-29 12:25:00+05:30,205.82,206.05,205.1,205.98,34304.0
2026-05-29 12:30:00+05:30,205.77,206.0,203.5,204.28,69970.0
2026-05-29 12:35:00+05:30,204.02,205.56,203.78,205.15,32959.0
2026-05-29 12:40:00+05:30,205.29,205.5,205.0,205.16,11772.0
2026-05-29 12:45:00+05:30,205.3,205.5,205.0,205.5,18143.0
2026-05-29 12:50:00+05:30,205.5,206.35,204.64,204.64,36258.0
2026-05-29 12:55:00+05:30,204.4,205.57,204.4,205.34,17478.0
2026-05-29 13:00:00+05:30,204.88,205.53,204.45,205.3,20362.0
2026-05-29 13:05:00+05:30,205.29,205.5,204.5,204.98,7737.0
2026-05-29 13:10:00+05:30,204.98,205.19,204.77,204.8,7057.0
2026-05-29 13:15:00+05:30,204.8,204.8,204.3,204.3,19935.0
2026-05-29 13:20:00+05:30,204.3,204.34,202.1,203.63,102177.0
2026-05-29 13:25:00+05:30,203.41,204.35,203.21,204.35,24152.0
2026-05-29 13:30:00+05:30,204.34,204.41,204.0,204.3,15721.0
2026-05-29 13:35:00+05:30,204.48,206.49,204.48,205.5,93056.0
2026-05-29 13:40:00+05:30,205.5,205.75,204.69,205.75,27608.0
2026-05-29 13:45:00+05:30,205.74,206.45,205.55,205.77,40331.0
2026-05-29 13:50:00+05:30,205.77,207.2,205.21,205.49,115155.0
2026-05-29 13:55:00+05:30,205.33,205.49,204.1,204.15,41708.0
2026-05-29 14:00:00+05:30,204.1,204.79,204.0,204.51,30332.0
2026-05-29 14:05:00+05:30,204.65,204.95,204.06,204.61,22296.0
2026-05-29 14:10:00+05:30,204.33,205.62,203.11,205.62,43303.0
2026-05-29 14:15:00+05:30,205.96,205.96,204.29,204.53,17550.0
2026-05-29 14:20:00+05:30,204.54,205.12,203.49,203.8,26356.0
2026-05-29 14:25:00+05:30,203.72,203.82,199.0,199.81,242453.0
2026-05-29 14:30:00+05:30,199.99,200.0,199.28,200.0,56463.0
2026-05-29 14:35:00+05:30,200.0,200.79,198.22,199.85,92028.0
2026-05-29 14:40:00+05:30,199.71,200.05,199.25,199.49,38515.0
2026-05-29 14:45:00+05:30,199.33,200.08,199.3,199.78,47101.0
2026-05-29 14:50:00+05:30,199.75,199.75,197.57,198.25,94098.0
2026-05-29 14:55:00+05:30,198.26,198.86,197.02,198.0,79600.0
2026-05-29 15:00:00+05:30,197.54,197.98,196.5,197.47,53909.0
2026-05-29 15:05:00+05:30,197.43,197.84,195.64,196.28,79759.0
2026-05-29 15:10:00+05:30,196.03,196.75,195.59,196.18,35425.0
2026-05-29 15:15:00+05:30,196.0,196.37,194.25,195.61,107930.0
2026-05-29 15:20:00+05:30,195.92,195.94,194.91,195.0,66602.0
2026-05-29 15:25:00+05:30,195.0,195.32,192.1,194.0,105213.0
