dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,530.2,534.2,529.2,529.2,16853.0
2026-05-29 09:20:00+05:30,528.75,531.4,528.6,530.1,8317.0
2026-05-29 09:25:00+05:30,530.05,530.05,528.2,528.85,4367.0
2026-05-29 09:30:00+05:30,528.2,529.45,528.2,528.4,2322.0
2026-05-29 09:35:00+05:30,528.65,530.0,528.4,528.6,6295.0
2026-05-29 09:40:00+05:30,528.9,529.3,526.2,527.3,8794.0
2026-05-29 09:45:00+05:30,526.8,527.65,523.4,524.5,25344.0
2026-05-29 09:50:00+05:30,524.25,527.6,523.0,523.9,76394.0
2026-05-29 09:55:00+05:30,523.9,523.9,521.3,522.05,6741.0
2026-05-29 10:00:00+05:30,522.05,523.9,522.0,523.55,28868.0
2026-05-29 10:05:00+05:30,523.55,523.8,523.0,523.35,3315.0
2026-05-29 10:10:00+05:30,523.35,525.35,523.0,524.65,8553.0
2026-05-29 10:15:00+05:30,524.5,525.0,524.0,525.0,3008.0
2026-05-29 10:20:00+05:30,524.95,525.85,524.5,524.65,5440.0
2026-05-29 10:25:00+05:30,524.5,524.8,524.0,524.15,2234.0
2026-05-29 10:30:00+05:30,523.75,525.8,523.6,525.1,9044.0
2026-05-29 10:35:00+05:30,525.3,526.3,524.65,525.25,5058.0
2026-05-29 10:40:00+05:30,525.05,525.75,525.0,525.2,2292.0
2026-05-29 10:45:00+05:30,524.4,524.7,523.4,523.7,3303.0
2026-05-29 10:50:00+05:30,523.65,523.7,523.0,523.65,3561.0
2026-05-29 10:55:00+05:30,523.5,523.7,523.4,523.65,2745.0
2026-05-29 11:00:00+05:30,523.65,524.65,523.5,524.65,3934.0
2026-05-29 11:05:00+05:30,524.55,524.8,523.85,524.5,2285.0
2026-05-29 11:10:00+05:30,524.5,524.5,523.25,523.6,3246.0
2026-05-29 11:15:00+05:30,523.45,524.5,523.3,524.45,2947.0
2026-05-29 11:20:00+05:30,524.25,524.8,523.75,524.65,2787.0
2026-05-29 11:25:00+05:30,524.65,524.65,523.9,524.35,2487.0
2026-05-29 11:30:00+05:30,524.0,524.8,524.0,524.75,1921.0
2026-05-29 11:35:00+05:30,524.5,524.75,524.0,524.0,1674.0
2026-05-29 11:40:00+05:30,523.8,525.95,523.3,523.8,7317.0
2026-05-29 11:45:00+05:30,523.9,524.45,523.5,524.25,4824.0
2026-05-29 11:50:00+05:30,524.25,524.4,524.0,524.2,616.0
2026-05-29 11:55:00+05:30,523.9,524.15,523.5,523.9,2197.0
2026-05-29 12:00:00+05:30,523.65,523.65,522.2,522.35,5720.0
2026-05-29 12:05:00+05:30,522.75,523.6,522.4,523.55,4983.0
2026-05-29 12:10:00+05:30,523.5,523.8,522.55,522.75,5724.0
2026-05-29 12:15:00+05:30,522.5,522.75,522.2,522.35,1535.0
2026-05-29 12:20:00+05:30,522.15,522.35,522.1,522.35,950.0
2026-05-29 12:25:00+05:30,521.95,522.1,521.5,521.95,5440.0
2026-05-29 12:30:00+05:30,521.95,522.65,521.55,522.35,10873.0
2026-05-29 12:35:00+05:30,522.35,522.45,522.0,522.35,2404.0
2026-05-29 12:40:00+05:30,522.1,522.45,522.0,522.15,1647.0
2026-05-29 12:45:00+05:30,522.15,522.15,521.0,521.6,10853.0
2026-05-29 12:50:00+05:30,521.5,521.65,520.3,521.25,7441.0
2026-05-29 12:55:00+05:30,521.25,521.25,520.0,520.45,7934.0
2026-05-29 13:00:00+05:30,520.35,521.1,519.35,520.65,10716.0
2026-05-29 13:05:00+05:30,520.25,525.55,520.1,525.45,25119.0
2026-05-29 13:10:00+05:30,525.3,525.65,523.2,523.2,12765.0
2026-05-29 13:15:00+05:30,523.0,524.0,523.0,523.8,1247.0
2026-05-29 13:20:00+05:30,523.5,524.95,523.5,523.65,9179.0
2026-05-29 13:25:00+05:30,523.85,523.85,522.9,523.35,1651.0
2026-05-29 13:30:00+05:30,522.95,523.25,522.6,522.8,1217.0
2026-05-29 13:35:00+05:30,522.5,523.5,522.5,522.95,1365.0
2026-05-29 13:40:00+05:30,522.7,523.25,522.7,523.05,390.0
2026-05-29 13:45:00+05:30,522.85,522.85,522.1,522.55,408.0
2026-05-29 13:50:00+05:30,522.15,522.55,520.8,521.4,5708.0
2026-05-29 13:55:00+05:30,521.4,521.55,521.0,521.4,509.0
2026-05-29 14:00:00+05:30,521.4,521.45,520.7,521.0,947.0
2026-05-29 14:05:00+05:30,521.0,521.25,520.65,521.15,1187.0
2026-05-29 14:10:00+05:30,521.0,521.45,520.5,521.3,4265.0
2026-05-29 14:15:00+05:30,520.9,521.45,520.65,521.1,1998.0
2026-05-29 14:20:00+05:30,521.1,521.45,518.7,519.9,20866.0
2026-05-29 14:25:00+05:30,519.85,521.3,519.55,521.2,1762.0
2026-05-29 14:30:00+05:30,520.95,521.3,520.45,520.8,1810.0
2026-05-29 14:35:00+05:30,520.45,521.45,520.35,521.45,1172.0
2026-05-29 14:40:00+05:30,521.45,521.75,520.65,521.45,1487.0
2026-05-29 14:45:00+05:30,521.7,521.95,521.4,521.85,1247.0
2026-05-29 14:50:00+05:30,521.85,521.9,520.1,520.45,8577.0
