dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,650.0,650.0,639.0,639.05,5764.0
2026-05-29 09:20:00+05:30,639.0,640.55,637.2,638.4,3296.0
2026-05-29 09:25:00+05:30,638.4,638.6,636.8,637.8,596.0
2026-05-29 09:30:00+05:30,637.95,639.0,637.5,637.75,304.0
2026-05-29 09:35:00+05:30,637.75,639.65,637.3,639.65,825.0
2026-05-29 09:40:00+05:30,639.65,639.65,637.9,638.0,768.0
2026-05-29 09:45:00+05:30,638.0,638.8,637.45,638.8,382.0
2026-05-29 09:50:00+05:30,639.1,639.45,638.3,639.45,1266.0
2026-05-29 09:55:00+05:30,638.5,638.5,637.3,637.9,1008.0
2026-05-29 10:00:00+05:30,638.35,639.45,637.35,637.9,982.0
2026-05-29 10:05:00+05:30,638.75,639.4,638.2,639.0,279.0
2026-05-29 10:10:00+05:30,639.15,639.45,639.15,639.2,318.0
2026-05-29 10:15:00+05:30,639.2,639.4,639.15,639.15,115.0
2026-05-29 10:20:00+05:30,638.75,639.4,638.3,639.2,299.0
2026-05-29 10:25:00+05:30,638.45,639.35,638.2,638.45,332.0
2026-05-29 10:30:00+05:30,639.4,642.05,639.4,640.0,1915.0
2026-05-29 10:35:00+05:30,640.25,652.95,640.0,650.85,195375.0
2026-05-29 10:40:00+05:30,650.85,652.25,649.95,650.0,15813.0
2026-05-29 10:45:00+05:30,650.05,653.45,650.0,652.75,8394.0
2026-05-29 10:50:00+05:30,652.6,655.0,650.7,651.15,9951.0
2026-05-29 10:55:00+05:30,651.0,653.2,651.0,651.0,7184.0
2026-05-29 11:00:00+05:30,652.1,652.1,650.0,650.45,5482.0
2026-05-29 11:05:00+05:30,651.35,651.35,650.25,650.7,1384.0
2026-05-29 11:10:00+05:30,650.7,652.0,650.15,650.15,2516.0
2026-05-29 11:15:00+05:30,651.4,651.4,650.15,650.15,2488.0
2026-05-29 11:20:00+05:30,650.15,650.5,650.0,650.0,1428.0
2026-05-29 11:25:00+05:30,650.0,650.9,650.0,650.0,973.0
2026-05-29 11:30:00+05:30,650.45,650.9,650.0,650.0,1021.0
2026-05-29 11:35:00+05:30,650.6,651.7,650.0,650.35,1233.0
2026-05-29 11:40:00+05:30,650.4,650.9,649.8,650.0,6895.0
2026-05-29 11:45:00+05:30,650.55,650.55,649.95,650.0,1308.0
2026-05-29 11:50:00+05:30,650.0,650.35,650.0,650.0,956.0
2026-05-29 11:55:00+05:30,650.1,650.7,649.05,649.5,1897.0
2026-05-29 12:00:00+05:30,649.5,650.55,649.3,649.65,6372.0
2026-05-29 12:05:00+05:30,649.5,650.7,649.45,650.0,1946.0
2026-05-29 12:10:00+05:30,649.75,650.1,649.35,649.5,923.0
2026-05-29 12:15:00+05:30,649.5,650.4,649.0,649.5,2437.0
2026-05-29 12:20:00+05:30,649.5,650.15,649.5,650.0,2477.0
2026-05-29 12:25:00+05:30,650.0,650.25,649.9,650.0,882.0
2026-05-29 12:30:00+05:30,650.3,650.4,649.9,650.0,1245.0
2026-05-29 12:35:00+05:30,650.0,650.6,649.9,650.0,1837.0
2026-05-29 12:40:00+05:30,650.0,650.5,648.45,650.0,5020.0
2026-05-29 12:45:00+05:30,650.0,650.5,649.9,650.1,844.0
2026-05-29 12:50:00+05:30,650.4,650.45,649.9,650.35,2626.0
2026-05-29 12:55:00+05:30,650.0,650.25,649.9,650.25,1291.0
2026-05-29 13:00:00+05:30,649.9,650.7,649.75,650.0,3149.0
2026-05-29 13:05:00+05:30,650.35,650.35,649.9,650.2,854.0
2026-05-29 13:10:00+05:30,650.0,650.2,649.9,650.0,5718.0
2026-05-29 13:15:00+05:30,650.1,650.2,649.9,650.2,1123.0
2026-05-29 13:20:00+05:30,650.0,650.25,650.0,650.0,1174.0
2026-05-29 13:25:00+05:30,650.0,650.3,649.95,650.0,1325.0
