dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,222.82,225.99,222.27,224.71,2751.0
2026-05-29 09:20:00+05:30,225.99,225.99,224.0,224.0,781.0
2026-05-29 09:25:00+05:30,223.91,224.1,223.0,223.0,2687.0
2026-05-29 09:30:00+05:30,223.0,223.14,222.42,223.0,1305.0
2026-05-29 09:35:00+05:30,223.0,224.27,223.0,223.46,37.0
2026-05-29 09:40:00+05:30,223.46,224.3,223.46,223.64,154.0
2026-05-29 09:45:00+05:30,224.09,224.09,223.38,224.0,1435.0
2026-05-29 09:50:00+05:30,224.11,225.54,224.11,225.0,1150.0
2026-05-29 09:55:00+05:30,224.64,224.64,224.0,224.0,980.0
2026-05-29 10:00:00+05:30,224.74,224.74,224.74,224.74,103.0
2026-05-29 10:05:00+05:30,224.74,224.74,224.69,224.69,14.0
2026-05-29 10:10:00+05:30,224.69,224.77,224.69,224.77,85.0
2026-05-29 10:15:00+05:30,224.65,224.79,224.29,224.79,42.0
2026-05-29 10:20:00+05:30,224.88,224.92,224.34,224.41,305.0
2026-05-29 10:25:00+05:30,224.41,224.93,224.41,224.93,417.0
2026-05-29 10:30:00+05:30,224.93,224.93,224.6,224.6,32.0
2026-05-29 10:35:00+05:30,224.6,225.4,224.6,225.4,1031.0
2026-05-29 10:40:00+05:30,225.45,225.45,224.96,225.0,675.0
2026-05-29 10:45:00+05:30,225.0,225.0,224.51,224.51,2.0
2026-05-29 10:50:00+05:30,224.44,224.44,224.44,224.44,49.0
2026-05-29 10:55:00+05:30,224.44,224.44,224.44,224.44,0.0
2026-05-29 11:00:00+05:30,224.44,225.0,224.44,225.0,576.0
2026-05-29 11:05:00+05:30,225.0,225.0,225.0,225.0,5.0
2026-05-29 11:10:00+05:30,224.67,225.0,224.66,224.98,125.0
2026-05-29 11:15:00+05:30,224.98,225.0,224.98,225.0,889.0
2026-05-29 11:20:00+05:30,225.0,225.0,225.0,225.0,565.0
2026-05-29 11:25:00+05:30,225.0,225.05,224.59,225.05,231.0
2026-05-29 11:30:00+05:30,225.05,225.05,224.97,224.97,30.0
2026-05-29 11:35:00+05:30,224.58,224.58,224.58,224.58,100.0
2026-05-29 11:40:00+05:30,224.97,224.97,224.44,224.44,529.0
2026-05-29 11:45:00+05:30,224.4,224.4,224.29,224.29,11.0
2026-05-29 11:50:00+05:30,224.29,224.29,224.01,224.01,201.0
2026-05-29 11:55:00+05:30,224.01,224.01,224.01,224.01,0.0
2026-05-29 12:00:00+05:30,224.01,224.5,224.01,224.5,4054.0
2026-05-29 12:05:00+05:30,224.26,224.26,224.01,224.01,10.0
2026-05-29 12:10:00+05:30,224.01,224.01,224.0,224.0,641.0
2026-05-29 12:15:00+05:30,224.28,224.28,224.0,224.2,67.0
2026-05-29 12:20:00+05:30,224.2,224.2,224.0,224.0,13.0
2026-05-29 12:25:00+05:30,224.0,224.21,224.0,224.21,35.0
2026-05-29 12:30:00+05:30,224.21,224.21,222.5,222.58,4252.0
2026-05-29 12:35:00+05:30,222.5,222.75,222.41,222.41,123.0
2026-05-29 12:40:00+05:30,222.97,223.0,222.53,222.71,223.0
2026-05-29 12:45:00+05:30,222.71,223.26,222.71,223.26,200.0
2026-05-29 12:50:00+05:30,223.26,223.26,222.0,222.78,2614.0
2026-05-29 12:55:00+05:30,221.99,222.25,221.94,221.99,1182.0
2026-05-29 13:00:00+05:30,221.99,222.59,221.89,222.4,2651.0
2026-05-29 13:05:00+05:30,222.4,222.4,222.05,222.05,12.0
2026-05-29 13:10:00+05:30,222.05,222.1,221.82,221.98,471.0
2026-05-29 13:15:00+05:30,221.98,222.36,221.76,222.36,92.0
2026-05-29 13:20:00+05:30,222.39,222.39,221.78,221.87,437.0
2026-05-29 13:25:00+05:30,222.08,222.08,221.01,221.17,1927.0
2026-05-29 13:30:00+05:30,221.17,221.65,219.75,219.86,2815.0
2026-05-29 13:35:00+05:30,219.99,220.49,219.82,220.49,672.0
2026-05-29 13:40:00+05:30,220.09,220.93,220.01,220.25,477.0
2026-05-29 13:45:00+05:30,220.3,220.82,220.02,220.39,468.0
2026-05-29 13:50:00+05:30,220.02,220.1,219.24,219.24,6803.0
2026-05-29 13:55:00+05:30,219.2,219.7,219.01,219.01,324.0
2026-05-29 14:00:00+05:30,219.54,219.78,219.52,219.78,183.0
2026-05-29 14:05:00+05:30,219.83,219.83,219.48,219.48,120.0
2026-05-29 14:10:00+05:30,219.48,219.98,219.01,219.98,1289.0
2026-05-29 14:15:00+05:30,219.73,220.31,219.34,220.0,537.0
2026-05-29 14:20:00+05:30,220.0,220.0,219.43,219.92,190.0
2026-05-29 14:25:00+05:30,219.92,219.92,219.5,219.5,510.0
2026-05-29 14:30:00+05:30,219.99,219.99,219.6,219.6,30.0
2026-05-29 14:35:00+05:30,220.0,220.0,219.61,219.61,263.0
2026-05-29 14:40:00+05:30,219.99,220.14,219.62,219.97,748.0
2026-05-29 14:45:00+05:30,219.97,220.0,219.6,219.6,819.0
2026-05-29 14:50:00+05:30,219.6,220.37,218.95,219.19,3017.0
2026-05-29 14:55:00+05:30,219.5,219.58,219.21,219.21,201.0
2026-05-29 15:00:00+05:30,219.21,219.6,217.89,218.97,3074.0
2026-05-29 15:05:00+05:30,218.65,220.09,218.65,219.99,1917.0
2026-05-29 15:10:00+05:30,219.99,219.99,219.15,219.5,463.0
2026-05-29 15:15:00+05:30,219.76,220.0,219.0,219.02,3734.0
2026-05-29 15:20:00+05:30,219.97,219.98,219.0,219.51,522.0
2026-05-29 15:25:00+05:30,219.97,219.97,219.01,219.2,1631.0
2026-06-01 09:15:00+05:30,220.25,222.19,220.25,221.33,4255.0
2026-06-01 09:20:00+05:30,221.33,221.57,221.0,221.0,1359.0
2026-06-01 09:25:00+05:30,220.66,221.86,220.66,221.31,876.0
2026-06-01 09:30:00+05:30,221.31,221.58,221.0,221.08,82.0
2026-06-01 09:35:00+05:30,221.46,221.56,220.7,221.19,1369.0
2026-06-01 09:40:00+05:30,221.05,222.58,221.05,222.38,2055.0
2026-06-01 09:45:00+05:30,222.38,222.99,222.38,222.66,600.0
2026-06-01 09:50:00+05:30,222.42,223.52,221.78,223.05,1254.0
2026-06-01 09:55:00+05:30,222.7,222.7,222.12,222.58,156.0
2026-06-01 10:00:00+05:30,222.5,222.5,220.82,220.82,538.0
2026-06-01 10:05:00+05:30,221.2,221.29,220.71,221.29,1969.0
2026-06-01 10:10:00+05:30,221.0,221.43,220.7,221.43,207.0
2026-06-01 10:15:00+05:30,221.43,221.58,221.0,221.58,401.0
2026-06-01 10:20:00+05:30,221.08,221.41,221.08,221.41,12.0
2026-06-01 10:25:00+05:30,221.42,221.86,221.41,221.41,24.0
2026-06-01 10:30:00+05:30,221.41,221.81,221.41,221.81,3.0
2026-06-01 10:35:00+05:30,221.81,222.0,221.19,221.21,387.0
2026-06-01 10:40:00+05:30,221.21,221.79,221.21,221.79,122.0
2026-06-01 10:45:00+05:30,221.79,221.9,221.24,221.24,533.0
2026-06-01 10:50:00+05:30,221.51,221.51,221.35,221.5,980.0
2026-06-01 10:55:00+05:30,221.5,221.5,221.48,221.48,89.0
2026-06-01 11:00:00+05:30,221.37,221.37,221.37,221.37,9.0
2026-06-01 11:05:00+05:30,221.37,221.9,221.32,221.9,1867.0
2026-06-01 11:10:00+05:30,221.99,221.99,221.41,221.97,286.0
2026-06-01 11:15:00+05:30,221.97,221.97,221.96,221.96,10.0
2026-06-01 11:20:00+05:30,221.94,222.0,221.35,221.35,857.0
2026-06-01 11:25:00+05:30,221.35,221.35,221.3,221.3,60.0
2026-06-01 11:30:00+05:30,221.0,221.0,220.7,220.73,4079.0
2026-06-01 11:35:00+05:30,220.76,221.28,220.76,221.28,198.0
2026-06-01 11:40:00+05:30,220.84,221.21,220.84,221.16,18.0
2026-06-01 11:45:00+05:30,221.16,221.17,220.94,220.94,38.0
2026-06-01 11:50:00+05:30,220.94,221.53,220.94,221.41,1054.0
2026-06-01 11:55:00+05:30,221.26,221.26,220.85,220.85,12.0
2026-06-01 12:00:00+05:30,221.13,221.33,220.76,220.76,640.0
2026-06-01 12:05:00+05:30,220.76,221.1,220.76,220.99,83.0
2026-06-01 12:10:00+05:30,220.99,220.99,220.69,220.98,171.0
2026-06-01 12:15:00+05:30,220.77,220.91,220.69,220.69,221.0
2026-06-01 12:20:00+05:30,220.69,221.11,220.69,220.75,16.0
2026-06-01 12:25:00+05:30,220.75,220.75,220.75,220.75,1.0
2026-06-01 12:30:00+05:30,220.75,220.98,220.75,220.98,3.0
2026-06-01 12:35:00+05:30,220.98,220.98,220.95,220.95,233.0
2026-06-01 12:40:00+05:30,220.92,220.99,220.7,220.99,1163.0
2026-06-01 12:45:00+05:30,220.99,220.99,220.5,220.75,510.0
2026-06-01 12:50:00+05:30,220.75,220.75,220.75,220.75,521.0
2026-06-01 12:55:00+05:30,220.75,220.75,220.33,220.33,355.0
2026-06-01 13:00:00+05:30,220.33,220.33,220.33,220.33,0.0
2026-06-01 13:05:00+05:30,220.33,220.33,220.33,220.33,0.0
2026-06-01 13:10:00+05:30,220.59,220.59,220.05,220.21,1515.0
2026-06-01 13:15:00+05:30,220.13,220.75,220.13,220.65,1136.0
2026-06-01 13:20:00+05:30,220.65,220.65,220.05,220.29,301.0
2026-06-01 13:25:00+05:30,220.29,220.29,220.29,220.29,120.0
2026-06-01 13:30:00+05:30,220.29,220.61,220.29,220.61,10.0
2026-06-01 13:35:00+05:30,220.61,220.61,220.61,220.61,2.0
2026-06-01 13:40:00+05:30,220.3,220.5,220.3,220.5,1040.0
2026-06-01 13:45:00+05:30,220.49,220.49,220.2,220.2,73.0
2026-06-01 13:50:00+05:30,220.1,220.49,220.1,220.49,595.0
2026-06-01 13:55:00+05:30,220.12,220.49,220.05,220.11,560.0
2026-06-01 14:00:00+05:30,220.46,220.5,220.05,220.05,230.0
2026-06-01 14:05:00+05:30,220.05,220.4,220.05,220.07,35.0
2026-06-01 14:10:00+05:30,220.07,220.5,220.07,220.5,277.0
2026-06-01 14:15:00+05:30,220.5,220.5,220.1,220.5,164.0
2026-06-01 14:20:00+05:30,220.5,220.5,220.17,220.45,138.0
2026-06-01 14:25:00+05:30,220.45,220.45,220.12,220.12,133.0
2026-06-01 14:30:00+05:30,220.11,220.5,220.11,220.5,816.0
2026-06-01 14:35:00+05:30,220.5,220.5,220.5,220.5,268.0
2026-06-01 14:40:00+05:30,220.5,220.5,220.5,220.5,152.0
2026-06-01 14:45:00+05:30,220.5,220.58,220.5,220.58,17.0
2026-06-01 14:50:00+05:30,220.65,220.65,219.98,220.02,3018.0
2026-06-01 14:55:00+05:30,220.02,220.31,220.02,220.08,278.0
2026-06-01 15:00:00+05:30,220.07,220.59,220.07,220.59,809.0
2026-06-01 15:05:00+05:30,220.59,220.9,220.55,220.8,2239.0
2026-06-01 15:10:00+05:30,220.8,220.9,220.63,220.63,763.0
