dt,open,high,low,close,volume
2026-05-29 09:16:00+05:30,61.58,61.58,61.58,61.58,218.0
2026-05-29 09:20:00+05:30,62.39,62.69,61.61,62.59,3188.0
2026-05-29 09:25:00+05:30,62.59,62.59,61.79,62.5,1408.0
2026-05-29 09:30:00+05:30,62.5,62.5,61.91,61.91,78.0
2026-05-29 09:35:00+05:30,61.81,61.81,61.81,61.81,16.0
2026-05-29 09:40:00+05:30,61.81,62.15,61.81,62.15,62.0
2026-05-29 09:45:00+05:30,62.15,62.15,62.12,62.12,18.0
2026-05-29 09:50:00+05:30,62.12,62.12,61.91,61.91,261.0
2026-05-29 09:55:00+05:30,61.91,61.91,61.91,61.91,79.0
2026-05-29 10:00:00+05:30,61.91,61.91,61.89,61.89,12.0
2026-05-29 10:05:00+05:30,61.89,61.89,61.87,61.87,139.0
2026-05-29 10:10:00+05:30,61.87,61.87,61.79,61.87,533.0
2026-05-29 10:15:00+05:30,61.87,61.87,61.87,61.87,8.0
2026-05-29 10:20:00+05:30,61.51,61.51,61.5,61.5,2982.0
2026-05-29 10:25:00+05:30,61.84,61.84,61.84,61.84,400.0
2026-05-29 10:30:00+05:30,61.84,61.84,61.54,61.54,155.0
2026-05-29 10:35:00+05:30,61.54,61.54,61.54,61.54,0.0
2026-05-29 10:40:00+05:30,61.54,61.82,61.54,61.79,248.0
2026-05-29 10:45:00+05:30,61.82,61.82,61.82,61.82,80.0
2026-05-29 10:50:00+05:30,61.82,61.82,61.57,61.57,408.0
2026-05-29 10:55:00+05:30,61.57,61.57,61.57,61.57,0.0
2026-05-29 11:00:00+05:30,61.78,61.78,61.59,61.59,102.0
2026-05-29 11:05:00+05:30,61.59,61.74,61.59,61.74,32.0
2026-05-29 11:10:00+05:30,61.74,61.74,61.55,61.55,183.0
2026-05-29 11:15:00+05:30,61.68,61.68,61.68,61.68,45.0
2026-05-29 11:20:00+05:30,61.68,61.68,61.68,61.68,5.0
2026-05-29 11:25:00+05:30,61.68,61.68,61.68,61.68,3.0
2026-05-29 11:30:00+05:30,61.5,61.5,61.5,61.5,517.0
2026-05-29 11:35:00+05:30,61.5,61.5,61.5,61.5,10.0
2026-05-29 11:40:00+05:30,61.5,61.5,61.5,61.5,100.0
2026-05-29 11:45:00+05:30,61.5,61.58,61.5,61.58,8.0
