dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,231.0,231.99,227.33,228.97,13616.0
2026-05-29 09:20:00+05:30,229.33,230.0,227.2,227.68,15772.0
2026-05-29 09:25:00+05:30,227.79,229.52,227.65,228.86,2460.0
2026-05-29 09:30:00+05:30,229.16,229.24,227.2,227.29,7900.0
2026-05-29 09:35:00+05:30,227.47,228.05,226.62,227.31,7499.0
2026-05-29 09:40:00+05:30,227.26,227.79,226.2,226.2,3562.0
2026-05-29 09:45:00+05:30,226.4,226.94,224.5,225.59,10536.0
2026-05-29 09:50:00+05:30,225.59,225.95,225.59,225.79,807.0
2026-05-29 09:55:00+05:30,225.72,226.0,225.71,225.98,8308.0
2026-05-29 10:00:00+05:30,225.51,226.0,225.51,225.94,3785.0
2026-05-29 10:05:00+05:30,225.61,226.0,225.51,225.98,1909.0
2026-05-29 10:10:00+05:30,225.98,226.0,225.51,225.92,4499.0
2026-05-29 10:15:00+05:30,225.84,226.0,225.61,226.0,562.0
2026-05-29 10:20:00+05:30,225.99,226.5,225.64,226.49,3155.0
2026-05-29 10:25:00+05:30,226.4,226.4,225.72,226.2,3437.0
2026-05-29 10:30:00+05:30,225.64,226.06,225.64,226.06,504.0
2026-05-29 10:35:00+05:30,225.51,226.06,225.51,225.99,3555.0
2026-05-29 10:40:00+05:30,225.99,225.99,225.22,225.22,705.0
2026-05-29 10:45:00+05:30,225.58,225.77,225.23,225.69,522.0
2026-05-29 10:50:00+05:30,225.68,225.77,225.26,225.77,589.0
2026-05-29 10:55:00+05:30,225.36,225.66,225.2,225.44,2519.0
2026-05-29 11:00:00+05:30,225.53,225.62,224.61,224.89,8017.0
2026-05-29 11:05:00+05:30,224.82,224.99,224.61,224.77,3262.0
2026-05-29 11:10:00+05:30,224.61,224.71,223.79,223.84,4812.0
2026-05-29 11:15:00+05:30,223.73,224.58,223.41,224.46,1064.0
2026-05-29 11:20:00+05:30,224.43,224.59,223.99,224.24,1083.0
2026-05-29 11:25:00+05:30,223.99,224.51,223.99,224.3,1497.0
2026-05-29 11:30:00+05:30,224.2,224.35,223.72,223.74,1370.0
2026-05-29 11:35:00+05:30,223.97,224.07,223.5,223.96,392.0
2026-05-29 11:40:00+05:30,223.4,224.08,223.21,224.08,2370.0
2026-05-29 11:45:00+05:30,223.93,224.59,223.9,224.59,777.0
2026-05-29 11:50:00+05:30,224.47,224.63,223.76,223.99,4420.0
2026-05-29 11:55:00+05:30,223.99,224.55,223.82,224.55,1449.0
2026-05-29 12:00:00+05:30,224.5,224.5,223.83,223.83,843.0
2026-05-29 12:05:00+05:30,223.9,224.18,223.7,223.87,1054.0
2026-05-29 12:10:00+05:30,223.7,223.87,222.86,223.09,4179.0
2026-05-29 12:15:00+05:30,223.08,223.76,222.82,223.31,817.0
2026-05-29 12:20:00+05:30,223.28,223.77,222.5,223.23,3819.0
2026-05-29 12:25:00+05:30,222.85,223.52,222.85,223.5,1217.0
2026-05-29 12:30:00+05:30,223.34,223.49,223.22,223.32,263.0
2026-05-29 12:35:00+05:30,223.32,223.58,222.65,223.15,1403.0
2026-05-29 12:40:00+05:30,223.15,223.37,222.61,223.01,1035.0
2026-05-29 12:45:00+05:30,223.01,223.38,222.8,223.32,2320.0
2026-05-29 12:50:00+05:30,223.26,223.5,222.83,223.34,805.0
2026-05-29 12:55:00+05:30,223.26,223.28,222.41,222.57,2141.0
2026-05-29 13:00:00+05:30,222.7,223.15,222.41,222.99,2221.0
2026-05-29 13:05:00+05:30,222.77,222.77,221.6,221.82,5787.0
2026-05-29 13:10:00+05:30,221.81,221.99,221.0,221.38,3399.0
2026-05-29 13:15:00+05:30,221.42,221.7,221.32,221.69,811.0
2026-05-29 13:20:00+05:30,221.79,222.0,221.38,221.88,2200.0
2026-05-29 13:25:00+05:30,221.81,221.99,221.5,221.93,627.0
2026-05-29 13:30:00+05:30,221.92,221.98,221.54,221.86,707.0
2026-05-29 13:35:00+05:30,221.72,221.86,221.15,221.15,4179.0
2026-05-29 13:40:00+05:30,221.3,221.33,220.0,220.47,13289.0
2026-05-29 13:45:00+05:30,220.17,221.34,219.53,221.26,2965.0
2026-05-29 13:50:00+05:30,221.26,221.85,220.85,221.77,1963.0
