dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,428.05,434.8,426.05,427.6,3004.0
2026-05-29 09:20:00+05:30,427.8,428.6,427.3,427.3,3353.0
2026-05-29 09:25:00+05:30,427.35,428.15,424.8,425.0,2193.0
2026-05-29 09:30:00+05:30,424.4,426.5,424.4,426.2,3275.0
2026-05-29 09:35:00+05:30,425.3,426.5,425.25,425.95,545.0
2026-05-29 09:40:00+05:30,426.35,426.35,424.8,424.8,401.0
2026-05-29 09:45:00+05:30,425.2,427.0,425.2,426.2,883.0
2026-05-29 09:50:00+05:30,426.2,428.25,426.2,427.45,1041.0
2026-05-29 09:55:00+05:30,427.35,427.75,426.35,427.2,3893.0
2026-05-29 10:00:00+05:30,428.4,428.4,426.35,427.05,1721.0
2026-05-29 10:05:00+05:30,427.2,430.95,427.2,430.95,7608.0
2026-05-29 10:10:00+05:30,432.0,432.35,431.05,431.3,2293.0
2026-05-29 10:15:00+05:30,431.5,432.5,431.2,431.9,756.0
2026-05-29 10:20:00+05:30,431.9,434.0,431.9,433.75,2291.0
2026-05-29 10:25:00+05:30,433.65,433.65,430.55,432.1,4528.0
2026-05-29 10:30:00+05:30,431.35,431.35,430.5,431.25,3510.0
2026-05-29 10:35:00+05:30,431.25,431.25,430.8,431.25,184.0
2026-05-29 10:40:00+05:30,431.25,431.25,430.1,430.2,190.0
2026-05-29 10:45:00+05:30,430.2,430.2,428.4,428.9,1982.0
2026-05-29 10:50:00+05:30,428.9,429.85,428.7,429.0,1303.0
2026-05-29 10:55:00+05:30,429.0,429.95,428.6,429.95,462.0
2026-05-29 11:00:00+05:30,429.35,429.95,429.05,429.75,989.0
2026-05-29 11:05:00+05:30,429.2,429.9,428.55,429.9,1229.0
2026-05-29 11:10:00+05:30,430.0,430.0,428.7,429.0,702.0
2026-05-29 11:15:00+05:30,429.0,429.95,429.0,429.85,421.0
2026-05-29 11:20:00+05:30,429.9,430.0,429.3,429.3,484.0
2026-05-29 11:25:00+05:30,429.3,429.7,429.05,429.65,251.0
2026-05-29 11:30:00+05:30,429.65,431.8,428.8,431.8,6515.0
2026-05-29 11:35:00+05:30,431.75,432.3,431.3,431.45,1153.0
2026-05-29 11:40:00+05:30,431.3,431.85,430.9,431.0,508.0
2026-05-29 11:45:00+05:30,431.5,431.95,431.5,431.55,177.0
2026-05-29 11:50:00+05:30,431.55,432.15,430.9,431.5,931.0
2026-05-29 11:55:00+05:30,431.45,432.9,430.45,430.6,22806.0
2026-05-29 12:00:00+05:30,430.0,430.0,428.85,428.85,1020.0
2026-05-29 12:05:00+05:30,429.55,429.85,429.1,429.75,143.0
2026-05-29 12:10:00+05:30,428.9,429.15,426.85,426.85,2253.0
2026-05-29 12:15:00+05:30,426.85,427.7,426.85,427.1,283.0
2026-05-29 12:20:00+05:30,427.75,428.1,427.5,428.1,75.0
2026-05-29 12:25:00+05:30,428.1,428.15,427.5,428.15,158.0
2026-05-29 12:30:00+05:30,427.5,428.15,427.1,427.55,353.0
2026-05-29 12:35:00+05:30,427.25,428.0,427.25,427.3,724.0
2026-05-29 12:40:00+05:30,427.85,427.85,427.25,427.25,43.0
2026-05-29 12:45:00+05:30,427.25,427.9,427.25,427.9,176.0
2026-05-29 12:50:00+05:30,427.9,427.9,427.25,427.6,172.0
2026-05-29 12:55:00+05:30,427.25,427.25,426.85,426.9,1847.0
2026-05-29 13:00:00+05:30,426.95,426.95,426.45,426.85,156.0
2026-05-29 13:05:00+05:30,426.45,426.95,426.2,426.95,402.0
2026-05-29 13:10:00+05:30,426.95,426.95,425.5,425.5,486.0
2026-05-29 13:15:00+05:30,425.5,425.6,424.85,425.6,1596.0
2026-05-29 13:20:00+05:30,425.5,426.0,425.0,425.0,474.0
2026-05-29 13:25:00+05:30,425.0,427.2,425.0,426.0,926.0
2026-05-29 13:30:00+05:30,425.9,426.4,425.9,426.25,368.0
2026-05-29 13:35:00+05:30,426.4,426.9,425.85,426.65,898.0
2026-05-29 13:40:00+05:30,426.75,426.8,425.95,425.95,422.0
2026-05-29 13:45:00+05:30,425.95,426.05,425.25,425.25,563.0
2026-05-29 13:50:00+05:30,425.95,425.95,424.85,425.15,565.0
2026-05-29 13:55:00+05:30,425.25,425.7,424.9,425.05,400.0
2026-05-29 14:00:00+05:30,425.05,425.05,423.85,424.05,2782.0
2026-05-29 14:05:00+05:30,424.05,424.8,423.95,424.2,1014.0
2026-05-29 14:10:00+05:30,424.0,424.7,424.0,424.45,1267.0
2026-05-29 14:15:00+05:30,424.2,424.85,424.2,424.45,375.0
2026-05-29 14:20:00+05:30,423.75,424.35,423.45,424.35,3465.0
2026-05-29 14:25:00+05:30,424.35,424.95,423.8,424.45,771.0
2026-05-29 14:30:00+05:30,424.9,426.95,424.9,426.45,1477.0
2026-05-29 14:35:00+05:30,426.8,426.8,425.65,426.4,1018.0
2026-05-29 14:40:00+05:30,426.25,427.35,425.9,426.35,3581.0
2026-05-29 14:45:00+05:30,425.9,426.4,425.8,426.4,224.0
2026-05-29 14:50:00+05:30,425.75,426.5,425.75,426.5,1290.0
2026-05-29 14:55:00+05:30,426.4,426.4,425.1,425.1,727.0
2026-05-29 15:00:00+05:30,425.5,425.5,422.1,423.45,3064.0
2026-05-29 15:05:00+05:30,422.55,423.0,420.5,421.65,2161.0
2026-05-29 15:10:00+05:30,421.0,421.5,419.2,419.9,3630.0
2026-05-29 15:15:00+05:30,419.7,420.0,419.55,419.7,1667.0
2026-05-29 15:20:00+05:30,419.6,419.95,419.0,419.05,4465.0
2026-05-29 15:25:00+05:30,419.05,420.95,419.05,419.7,7226.0
2026-06-01 09:15:00+05:30,425.1,437.65,419.1,429.8,3039.0
2026-06-01 09:20:00+05:30,430.0,430.0,425.3,426.0,2681.0
2026-06-01 09:25:00+05:30,425.15,426.35,424.65,424.95,3860.0
2026-06-01 09:30:00+05:30,425.0,427.05,424.3,425.75,979.0
2026-06-01 09:35:00+05:30,425.15,426.2,423.2,425.25,2794.0
2026-06-01 09:40:00+05:30,425.95,425.95,422.15,422.65,1948.0
2026-06-01 09:45:00+05:30,422.85,424.0,422.55,422.7,1175.0
2026-06-01 09:50:00+05:30,422.95,425.55,422.55,424.05,5766.0
2026-06-01 09:55:00+05:30,423.75,431.9,423.75,430.2,8988.0
2026-06-01 10:00:00+05:30,430.1,430.9,428.7,429.95,1839.0
