dt,open,high,low,close,volume
2026-05-29 09:18:00+05:30,779.0,779.0,779.0,779.0,113.0
2026-05-29 09:20:00+05:30,779.0,798.25,779.0,791.9,1299.0
2026-05-29 09:25:00+05:30,791.9,791.9,786.1,787.9,157.0
2026-05-29 09:30:00+05:30,787.9,788.6,787.9,788.6,200.0
2026-05-29 09:35:00+05:30,788.6,788.6,785.0,785.0,310.0
2026-05-29 09:40:00+05:30,788.0,788.05,788.0,788.05,46.0
2026-05-29 09:45:00+05:30,788.05,788.05,787.4,787.4,116.0
2026-05-29 09:50:00+05:30,787.4,787.4,783.1,783.1,86.0
2026-05-29 09:55:00+05:30,783.1,783.1,783.1,783.1,0.0
2026-05-29 10:00:00+05:30,783.1,783.1,783.1,783.1,0.0
2026-05-29 10:05:00+05:30,783.1,783.1,783.1,783.1,0.0
2026-05-29 10:10:00+05:30,783.1,783.1,783.1,783.1,0.0
2026-05-29 10:15:00+05:30,783.1,783.35,783.1,783.15,16.0
2026-05-29 10:20:00+05:30,783.15,783.15,783.15,783.15,0.0
2026-05-29 10:25:00+05:30,783.2,784.9,783.2,784.9,203.0
2026-05-29 10:30:00+05:30,784.9,787.0,784.9,787.0,160.0
2026-05-29 10:35:00+05:30,787.0,787.0,787.0,787.0,0.0
2026-05-29 10:40:00+05:30,787.0,787.0,787.0,787.0,0.0
2026-05-29 10:45:00+05:30,787.0,789.85,787.0,789.85,1.0
2026-05-29 10:50:00+05:30,789.85,789.85,789.85,789.85,0.0
2026-05-29 10:55:00+05:30,789.85,789.85,789.85,789.85,0.0
2026-05-29 11:00:00+05:30,789.85,789.85,787.55,787.65,27.0
2026-05-29 11:05:00+05:30,787.65,787.65,787.0,787.0,785.0
2026-05-29 11:10:00+05:30,785.15,785.15,784.4,784.4,52.0
2026-05-29 11:15:00+05:30,784.4,784.4,783.1,783.1,25.0
2026-05-29 11:20:00+05:30,783.1,783.1,783.1,783.1,0.0
2026-05-29 11:25:00+05:30,783.1,783.15,783.1,783.15,10.0
2026-05-29 11:30:00+05:30,783.15,784.9,783.15,784.9,1.0
2026-05-29 11:35:00+05:30,784.9,784.9,782.0,782.0,116.0
2026-05-29 11:40:00+05:30,782.0,782.0,780.05,780.05,113.0
2026-05-29 11:45:00+05:30,780.05,780.05,779.0,779.0,23.0
2026-05-29 11:50:00+05:30,779.0,779.0,779.0,779.0,0.0
2026-05-29 11:55:00+05:30,779.8,779.8,779.8,779.8,7.0
2026-05-29 12:00:00+05:30,779.8,779.8,779.8,779.8,0.0
2026-05-29 12:05:00+05:30,779.0,779.05,779.0,779.05,757.0
2026-05-29 12:10:00+05:30,780.0,780.0,779.0,779.0,245.0
2026-05-29 12:15:00+05:30,779.0,779.0,778.0,778.0,2.0
2026-05-29 12:20:00+05:30,778.0,790.0,778.0,790.0,1089.0
2026-05-29 12:25:00+05:30,790.0,792.9,790.0,792.9,390.0
2026-05-29 12:30:00+05:30,789.35,794.4,789.35,794.4,116.0
2026-05-29 12:35:00+05:30,794.4,794.4,790.55,790.55,53.0
2026-05-29 12:40:00+05:30,790.55,795.0,790.55,793.5,407.0
2026-05-29 12:45:00+05:30,793.5,793.6,791.45,791.45,149.0
2026-05-29 12:50:00+05:30,791.45,791.45,790.0,790.0,521.0
2026-05-29 12:55:00+05:30,790.55,790.55,790.55,790.55,6.0
2026-05-29 13:00:00+05:30,790.55,790.8,790.0,790.0,50.0
2026-05-29 13:05:00+05:30,790.0,792.4,790.0,792.4,77.0
2026-05-29 13:10:00+05:30,792.4,792.4,792.4,792.4,0.0
2026-05-29 13:15:00+05:30,791.25,791.25,790.4,790.4,172.0
2026-05-29 13:20:00+05:30,791.0,791.0,790.0,790.0,790.0
2026-05-29 13:25:00+05:30,790.0,791.0,790.0,791.0,1012.0
2026-05-29 13:30:00+05:30,791.0,791.0,791.0,791.0,0.0
2026-05-29 13:35:00+05:30,791.0,792.05,791.0,792.05,4.0
2026-05-29 13:40:00+05:30,792.05,792.05,792.05,792.05,0.0
2026-05-29 13:45:00+05:30,792.05,792.05,791.45,791.45,5.0
2026-05-29 13:50:00+05:30,790.5,790.5,790.0,790.05,402.0
2026-05-29 13:55:00+05:30,790.05,790.05,790.05,790.05,0.0
2026-05-29 14:00:00+05:30,790.05,790.05,790.05,790.05,0.0
2026-05-29 14:05:00+05:30,790.05,790.05,790.0,790.0,75.0
2026-05-29 14:10:00+05:30,790.0,790.05,790.0,790.05,10.0
2026-05-29 14:15:00+05:30,790.05,790.05,790.05,790.05,0.0
2026-05-29 14:20:00+05:30,790.15,790.15,790.15,790.15,54.0
2026-05-29 14:25:00+05:30,790.15,790.15,790.0,790.0,8.0
2026-05-29 14:30:00+05:30,790.0,790.0,790.0,790.0,0.0
2026-05-29 14:35:00+05:30,790.0,799.0,790.0,790.45,503.0
2026-05-29 14:40:00+05:30,790.45,790.7,790.0,790.0,318.0
2026-05-29 14:45:00+05:30,790.0,799.35,790.0,798.6,520.0
2026-05-29 14:50:00+05:30,798.6,814.45,798.6,814.45,3372.0
2026-05-29 14:55:00+05:30,821.0,917.9,807.45,915.0,37081.0
2026-05-29 15:00:00+05:30,915.1,919.0,875.0,893.95,8942.0
2026-05-29 15:05:00+05:30,893.95,894.5,881.3,893.6,21138.0
2026-05-29 15:10:00+05:30,893.0,893.0,866.0,866.0,3948.0
2026-05-29 15:15:00+05:30,870.1,870.1,845.0,849.8,4898.0
2026-05-29 15:20:00+05:30,848.0,857.95,828.05,844.95,2190.0
2026-05-29 15:25:00+05:30,841.35,848.15,833.0,844.0,2096.0
2026-06-01 09:15:00+05:30,852.0,878.95,844.05,861.15,3447.0
2026-06-01 09:20:00+05:30,861.0,864.45,853.0,856.3,695.0
2026-06-01 09:25:00+05:30,854.75,861.85,853.25,853.25,456.0
2026-06-01 09:30:00+05:30,853.25,853.25,852.2,852.2,4.0
2026-06-01 09:35:00+05:30,852.35,854.6,850.35,850.35,422.0
2026-06-01 09:40:00+05:30,853.35,869.9,849.05,869.9,2196.0
2026-06-01 09:45:00+05:30,874.0,885.5,870.05,880.0,2679.0
2026-06-01 09:50:00+05:30,880.6,890.0,880.45,880.7,1716.0
2026-06-01 09:55:00+05:30,880.6,887.95,877.55,880.1,546.0
2026-06-01 10:00:00+05:30,888.9,888.9,885.0,888.3,364.0
2026-06-01 10:05:00+05:30,888.3,890.0,879.45,879.45,1335.0
2026-06-01 10:10:00+05:30,879.45,890.0,879.45,886.0,211.0
2026-06-01 10:15:00+05:30,886.4,899.0,880.65,899.0,1139.0
2026-06-01 10:20:00+05:30,896.05,899.0,885.05,894.6,977.0
2026-06-01 10:25:00+05:30,890.0,894.8,882.75,892.4,962.0
2026-06-01 10:30:00+05:30,889.75,897.55,889.0,895.7,1205.0
2026-06-01 10:35:00+05:30,893.9,910.6,883.55,910.3,4063.0
2026-06-01 10:40:00+05:30,906.1,911.95,885.1,890.9,4289.0
2026-06-01 10:45:00+05:30,890.9,897.2,886.55,897.2,844.0
2026-06-01 10:50:00+05:30,896.05,896.95,893.0,893.0,296.0
2026-06-01 10:55:00+05:30,893.0,896.95,893.0,895.3,346.0
2026-06-01 11:00:00+05:30,895.3,896.05,890.85,895.1,190.0
2026-06-01 11:05:00+05:30,895.1,897.35,884.0,892.45,1664.0
2026-06-01 11:10:00+05:30,892.45,892.5,890.0,891.95,232.0
2026-06-01 11:15:00+05:30,889.55,891.5,887.0,888.85,92.0
2026-06-01 11:20:00+05:30,888.85,888.85,882.5,882.5,81.0
2026-06-01 11:25:00+05:30,881.95,890.0,880.0,882.4,949.0
2026-06-01 11:30:00+05:30,882.4,882.4,880.05,880.05,46.0
2026-06-01 11:35:00+05:30,882.15,882.5,880.5,882.0,164.0
2026-06-01 11:40:00+05:30,882.0,882.35,882.0,882.35,1.0
2026-06-01 11:45:00+05:30,882.35,882.35,877.5,878.0,406.0
2026-06-01 11:50:00+05:30,876.0,881.9,876.0,880.05,246.0
2026-06-01 11:55:00+05:30,880.05,880.55,879.05,879.6,92.0
2026-06-01 12:00:00+05:30,877.6,878.2,877.1,878.15,60.0
2026-06-01 12:05:00+05:30,877.25,878.2,876.1,876.5,73.0
2026-06-01 12:10:00+05:30,878.9,878.95,878.9,878.95,17.0
