dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,548.9,548.9,523.7,523.7,2396.0
2026-05-29 09:20:00+05:30,523.7,528.45,520.15,526.45,1958.0
2026-05-29 09:25:00+05:30,524.15,524.15,523.75,523.8,73.0
2026-05-29 09:30:00+05:30,523.75,525.75,523.75,525.75,277.0
2026-05-29 09:35:00+05:30,526.15,526.85,524.75,524.75,540.0
2026-05-29 09:40:00+05:30,526.2,526.2,525.0,525.0,51.0
2026-05-29 09:45:00+05:30,525.0,526.2,524.75,526.2,183.0
2026-05-29 09:50:00+05:30,526.25,529.95,526.25,529.95,2383.0
2026-05-29 09:55:00+05:30,529.9,529.9,529.7,529.8,101.0
2026-05-29 10:00:00+05:30,529.8,536.45,527.25,528.55,5283.0
2026-05-29 10:05:00+05:30,532.0,532.0,531.85,531.85,31.0
2026-05-29 10:10:00+05:30,532.0,533.9,532.0,533.9,89.0
2026-05-29 10:15:00+05:30,533.9,533.9,525.5,525.55,1622.0
2026-05-29 10:20:00+05:30,525.55,531.95,525.55,528.0,126.0
2026-05-29 10:25:00+05:30,528.0,531.0,528.0,531.0,175.0
2026-05-29 10:30:00+05:30,531.0,531.0,530.65,530.75,16.0
2026-05-29 10:35:00+05:30,531.1,532.95,531.1,532.95,141.0
2026-05-29 10:40:00+05:30,532.85,532.85,530.4,532.45,205.0
2026-05-29 10:45:00+05:30,530.7,530.7,530.7,530.7,8.0
2026-05-29 10:50:00+05:30,530.7,532.1,530.7,532.1,75.0
2026-05-29 10:55:00+05:30,532.1,532.1,528.05,530.95,788.0
2026-05-29 11:00:00+05:30,530.95,530.95,530.95,530.95,10.0
2026-05-29 11:05:00+05:30,530.95,530.95,530.95,530.95,0.0
2026-05-29 11:10:00+05:30,530.95,530.95,530.95,530.95,101.0
2026-05-29 11:15:00+05:30,530.95,530.95,530.95,530.95,0.0
2026-05-29 11:20:00+05:30,530.95,530.95,530.95,530.95,0.0
2026-05-29 11:25:00+05:30,530.95,530.95,530.95,530.95,0.0
2026-05-29 11:30:00+05:30,530.95,530.95,530.95,530.95,20.0
2026-05-29 11:35:00+05:30,530.95,531.0,530.95,531.0,1.0
2026-05-29 11:40:00+05:30,531.0,535.0,531.0,535.0,478.0
2026-05-29 11:45:00+05:30,535.0,535.0,535.0,535.0,0.0
2026-05-29 11:50:00+05:30,529.45,531.6,529.45,531.6,1306.0
2026-05-29 11:55:00+05:30,531.6,537.15,531.6,537.15,659.0
2026-05-29 12:00:00+05:30,534.6,534.6,534.1,534.1,628.0
2026-05-29 12:05:00+05:30,533.35,533.35,533.35,533.35,5.0
2026-05-29 12:10:00+05:30,533.35,533.85,533.35,533.85,22.0
2026-05-29 12:15:00+05:30,533.85,536.5,533.85,536.5,500.0
2026-05-29 12:20:00+05:30,535.25,535.25,534.6,534.6,19.0
2026-05-29 12:25:00+05:30,534.6,535.45,532.55,532.55,261.0
2026-05-29 12:30:00+05:30,532.55,532.55,532.55,532.55,0.0
2026-05-29 12:35:00+05:30,532.05,532.05,530.0,530.0,168.0
2026-05-29 12:40:00+05:30,530.0,531.95,530.0,530.15,5.0
2026-05-29 12:45:00+05:30,530.15,530.85,530.15,530.65,412.0
2026-05-29 12:50:00+05:30,530.05,530.05,530.05,530.05,1.0
2026-05-29 12:55:00+05:30,530.05,532.0,530.05,532.0,525.0
2026-05-29 13:00:00+05:30,530.8,530.85,530.7,530.85,1887.0
2026-05-29 13:05:00+05:30,532.1,533.3,531.05,531.05,130.0
2026-05-29 13:10:00+05:30,531.05,531.1,531.05,531.1,504.0
2026-05-29 13:15:00+05:30,531.85,531.85,530.55,530.55,293.0
2026-05-29 13:20:00+05:30,530.55,530.55,530.55,530.55,0.0
2026-05-29 13:25:00+05:30,530.55,530.55,530.55,530.55,0.0
2026-05-29 13:30:00+05:30,532.95,532.95,530.6,530.6,7.0
2026-05-29 13:35:00+05:30,530.6,530.6,530.6,530.6,0.0
2026-05-29 13:40:00+05:30,530.6,530.75,530.6,530.6,8.0
2026-05-29 13:45:00+05:30,535.45,535.45,533.9,533.9,369.0
2026-05-29 13:50:00+05:30,533.9,534.8,532.55,532.55,102.0
2026-05-29 13:55:00+05:30,540.0,549.75,539.6,549.75,16561.0
2026-05-29 14:00:00+05:30,549.75,549.75,549.75,549.75,7826.0
2026-05-29 14:05:00+05:30,549.75,549.75,547.75,549.75,2263.0
2026-05-29 14:10:00+05:30,549.75,549.75,537.5,549.65,2332.0
2026-05-29 14:15:00+05:30,549.65,549.65,542.05,542.05,4.0
2026-05-29 14:20:00+05:30,542.05,545.95,537.25,543.25,106.0
2026-05-29 14:25:00+05:30,543.25,545.9,543.25,545.85,41.0
2026-05-29 14:30:00+05:30,543.1,545.85,541.65,545.0,75.0
2026-05-29 14:35:00+05:30,545.0,549.75,541.65,549.75,1002.0
2026-05-29 14:40:00+05:30,549.75,549.75,543.6,549.75,295.0
2026-05-29 14:45:00+05:30,549.75,549.75,549.75,549.75,5208.0
2026-05-29 14:50:00+05:30,543.6,549.75,543.6,545.35,714.0
2026-05-29 14:55:00+05:30,545.1,549.75,545.1,545.1,1891.0
2026-05-29 15:00:00+05:30,545.1,546.0,545.1,545.9,463.0
2026-05-29 15:05:00+05:30,543.65,547.1,543.6,544.05,217.0
2026-05-29 15:10:00+05:30,543.6,549.0,543.6,547.75,1419.0
2026-05-29 15:15:00+05:30,548.9,548.95,545.05,545.1,157.0
2026-05-29 15:20:00+05:30,545.1,545.5,545.1,545.5,59.0
2026-05-29 15:25:00+05:30,546.0,548.45,543.7,543.75,1168.0
2026-06-01 09:15:00+05:30,564.9,569.9,550.4,559.75,1815.0
2026-06-01 09:20:00+05:30,559.35,564.0,555.95,564.0,1944.0
2026-06-01 09:25:00+05:30,563.2,563.2,557.5,558.35,341.0
2026-06-01 09:30:00+05:30,557.5,560.1,557.5,557.7,87.0
2026-06-01 09:35:00+05:30,562.95,562.95,558.9,558.95,461.0
2026-06-01 09:40:00+05:30,559.2,559.6,558.95,559.0,51.0
2026-06-01 09:45:00+05:30,559.0,559.0,557.05,557.05,323.0
2026-06-01 09:50:00+05:30,557.05,557.05,554.85,554.85,128.0
