dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,47.0,47.39,46.05,46.24,165177.0
2026-05-29 09:20:00+05:30,46.18,46.35,45.9,46.15,65530.0
2026-05-29 09:25:00+05:30,46.14,46.37,46.1,46.17,56875.0
2026-05-29 09:30:00+05:30,46.19,46.25,45.91,46.1,32444.0
2026-05-29 09:35:00+05:30,46.14,46.3,46.05,46.11,12859.0
2026-05-29 09:40:00+05:30,46.05,46.23,45.82,45.83,40136.0
2026-05-29 09:45:00+05:30,45.88,46.19,45.83,46.19,22352.0
2026-05-29 09:50:00+05:30,46.09,46.29,46.01,46.28,21141.0
2026-05-29 09:55:00+05:30,46.28,46.41,46.15,46.27,66034.0
2026-05-29 10:00:00+05:30,46.27,46.27,45.9,45.98,24963.0
2026-05-29 10:05:00+05:30,45.97,45.97,45.81,45.85,16110.0
2026-05-29 10:10:00+05:30,45.87,45.98,45.75,45.75,33940.0
2026-05-29 10:15:00+05:30,45.84,45.99,45.8,45.92,7840.0
2026-05-29 10:20:00+05:30,45.97,46.0,45.87,46.0,16584.0
2026-05-29 10:25:00+05:30,46.01,46.12,45.9,46.11,16432.0
2026-05-29 10:30:00+05:30,46.05,46.08,45.92,45.96,8104.0
2026-05-29 10:35:00+05:30,45.9,46.19,45.9,46.03,10322.0
2026-05-29 10:40:00+05:30,46.03,46.12,45.98,45.98,6418.0
2026-05-29 10:45:00+05:30,45.96,46.05,45.9,46.0,11404.0
2026-05-29 10:50:00+05:30,46.04,46.19,46.04,46.19,16392.0
2026-05-29 10:55:00+05:30,46.16,46.16,46.15,46.15,1497.0
2026-05-29 11:00:00+05:30,46.16,46.29,46.12,46.27,8136.0
2026-05-29 11:05:00+05:30,46.3,46.39,46.17,46.27,10240.0
2026-05-29 11:10:00+05:30,46.21,46.3,46.17,46.17,6609.0
2026-05-29 11:15:00+05:30,46.17,46.23,46.17,46.22,2157.0
2026-05-29 11:20:00+05:30,46.2,46.27,46.15,46.27,7120.0
2026-05-29 11:25:00+05:30,46.22,46.29,46.15,46.2,6715.0
2026-05-29 11:30:00+05:30,46.2,46.3,46.2,46.22,1439.0
2026-05-29 11:35:00+05:30,46.22,46.37,46.21,46.26,8172.0
2026-05-29 11:40:00+05:30,46.26,46.3,46.16,46.18,5911.0
2026-05-29 11:45:00+05:30,46.16,46.23,46.15,46.15,5616.0
2026-05-29 11:50:00+05:30,46.15,46.3,46.15,46.24,6473.0
2026-05-29 11:55:00+05:30,46.24,46.37,46.23,46.28,1770.0
2026-05-29 12:00:00+05:30,46.28,46.33,46.0,46.0,25542.0
