dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,696.9,698.95,685.0,685.0,2291.0
2026-05-29 09:20:00+05:30,685.65,685.65,680.25,680.85,2709.0
2026-05-29 09:25:00+05:30,680.0,680.0,676.9,676.9,6130.0
2026-05-29 09:30:00+05:30,676.9,680.0,676.05,678.1,2748.0
2026-05-29 09:35:00+05:30,679.6,683.4,678.1,682.05,4589.0
2026-05-29 09:40:00+05:30,681.35,681.6,679.0,679.95,2350.0
2026-05-29 09:45:00+05:30,679.85,681.85,679.15,681.8,528.0
2026-05-29 09:50:00+05:30,681.65,681.8,679.95,680.85,1641.0
2026-05-29 09:55:00+05:30,681.6,681.65,679.8,679.85,1740.0
2026-05-29 10:00:00+05:30,679.8,682.8,679.4,682.75,1405.0
2026-05-29 10:05:00+05:30,682.8,684.45,682.8,683.7,414.0
2026-05-29 10:10:00+05:30,683.7,685.45,682.9,682.9,1213.0
2026-05-29 10:15:00+05:30,684.0,684.3,683.2,683.2,625.0
2026-05-29 10:20:00+05:30,684.15,686.0,683.25,685.5,3684.0
2026-05-29 10:25:00+05:30,684.35,686.5,684.2,684.9,1312.0
2026-05-29 10:30:00+05:30,685.4,687.95,685.2,687.85,2770.0
2026-05-29 10:35:00+05:30,688.0,688.8,685.7,685.9,751.0
2026-05-29 10:40:00+05:30,685.8,686.35,685.65,686.2,492.0
2026-05-29 10:45:00+05:30,685.55,686.55,685.4,686.1,513.0
2026-05-29 10:50:00+05:30,685.75,686.85,685.75,686.15,41.0
2026-05-29 10:55:00+05:30,686.15,686.4,685.5,685.5,1178.0
2026-05-29 11:00:00+05:30,687.4,687.4,686.1,686.8,332.0
2026-05-29 11:05:00+05:30,686.8,686.8,681.55,683.5,9212.0
2026-05-29 11:10:00+05:30,683.95,684.05,683.9,684.0,118.0
2026-05-29 11:15:00+05:30,685.1,685.75,684.5,684.9,419.0
2026-05-29 11:20:00+05:30,684.9,684.9,683.0,683.55,442.0
2026-05-29 11:25:00+05:30,684.15,684.7,683.55,684.7,463.0
2026-05-29 11:30:00+05:30,683.6,684.0,682.0,682.05,2354.0
2026-05-29 11:35:00+05:30,682.5,682.85,682.0,682.8,764.0
2026-05-29 11:40:00+05:30,682.8,683.55,682.6,682.65,1584.0
2026-05-29 11:45:00+05:30,682.1,683.0,679.3,681.2,4469.0
2026-05-29 11:50:00+05:30,681.15,681.15,680.1,680.25,496.0
2026-05-29 11:55:00+05:30,680.3,682.15,680.3,681.95,587.0
2026-05-29 12:00:00+05:30,681.45,682.2,681.45,681.45,348.0
2026-05-29 12:05:00+05:30,681.45,682.0,681.1,681.75,401.0
2026-05-29 12:10:00+05:30,680.95,681.4,680.1,680.25,350.0
2026-05-29 12:15:00+05:30,680.0,680.0,679.7,680.0,263.0
2026-05-29 12:20:00+05:30,680.25,680.75,680.25,680.75,41.0
2026-05-29 12:25:00+05:30,680.75,681.65,680.75,681.65,83.0
2026-05-29 12:30:00+05:30,681.55,682.35,681.55,682.1,215.0
2026-05-29 12:35:00+05:30,682.0,683.7,682.0,683.65,834.0
2026-05-29 12:40:00+05:30,683.65,684.0,683.3,684.0,92.0
2026-05-29 12:45:00+05:30,684.0,684.0,683.3,683.3,56.0
2026-05-29 12:50:00+05:30,683.3,683.3,682.25,682.55,503.0
2026-05-29 12:55:00+05:30,682.55,682.55,681.1,681.1,135.0
2026-05-29 13:00:00+05:30,680.75,680.75,680.0,680.0,83.0
2026-05-29 13:05:00+05:30,680.45,680.45,679.7,679.85,290.0
2026-05-29 13:10:00+05:30,679.85,680.2,678.05,678.65,262.0
2026-05-29 13:15:00+05:30,678.65,679.9,678.0,678.9,360.0
2026-05-29 13:20:00+05:30,678.05,678.5,677.05,677.7,324.0
2026-05-29 13:25:00+05:30,677.0,678.4,677.0,677.9,423.0
2026-05-29 13:30:00+05:30,678.15,678.7,678.15,678.7,37.0
2026-05-29 13:35:00+05:30,678.55,678.9,677.45,678.2,341.0
2026-05-29 13:40:00+05:30,678.3,678.35,677.5,677.5,307.0
2026-05-29 13:45:00+05:30,677.5,678.4,677.05,677.15,258.0
2026-05-29 13:50:00+05:30,677.3,677.95,677.0,677.8,999.0
2026-05-29 13:55:00+05:30,677.0,677.9,677.0,677.0,231.0
2026-05-29 14:00:00+05:30,677.25,678.4,677.25,678.4,284.0
2026-05-29 14:05:00+05:30,678.4,678.4,676.1,677.0,1567.0
2026-05-29 14:10:00+05:30,676.95,677.7,675.0,677.25,1619.0
2026-05-29 14:15:00+05:30,675.95,676.35,675.3,676.0,669.0
2026-05-29 14:20:00+05:30,676.25,677.3,675.5,676.2,1541.0
2026-05-29 14:25:00+05:30,675.7,677.15,675.35,676.15,385.0
2026-05-29 14:30:00+05:30,676.15,677.45,676.05,677.1,464.0
2026-05-29 14:35:00+05:30,676.2,677.2,676.0,676.5,21249.0
2026-05-29 14:40:00+05:30,678.0,688.65,678.0,681.0,10552.0
2026-05-29 14:45:00+05:30,681.0,681.0,678.5,679.75,2305.0
2026-05-29 14:50:00+05:30,679.95,679.95,679.05,679.65,155.0
2026-05-29 14:55:00+05:30,678.9,680.0,678.9,679.5,746.0
2026-05-29 15:00:00+05:30,678.9,678.9,672.4,674.0,3124.0
2026-05-29 15:05:00+05:30,673.5,674.6,672.0,672.0,990.0
2026-05-29 15:10:00+05:30,672.0,672.3,670.0,671.0,2953.0
2026-05-29 15:15:00+05:30,670.85,671.6,670.05,670.3,1388.0
2026-05-29 15:20:00+05:30,670.35,673.9,670.35,671.1,1643.0
2026-05-29 15:25:00+05:30,671.1,671.8,665.0,666.0,9860.0
2026-06-01 09:15:00+05:30,655.05,666.15,655.05,665.2,6795.0
2026-06-01 09:20:00+05:30,666.15,666.15,660.05,661.0,5139.0
2026-06-01 09:25:00+05:30,661.75,661.75,657.05,657.6,3400.0
2026-06-01 09:30:00+05:30,658.0,658.0,656.05,656.05,2022.0
2026-06-01 09:35:00+05:30,657.0,657.45,653.4,656.35,3878.0
2026-06-01 09:40:00+05:30,656.35,656.55,654.0,655.45,1633.0
2026-06-01 09:45:00+05:30,655.7,659.75,654.55,658.5,2017.0
2026-06-01 09:50:00+05:30,658.8,659.2,655.6,656.0,1347.0
2026-06-01 09:55:00+05:30,656.0,656.0,654.5,654.7,2242.0
2026-06-01 10:00:00+05:30,654.5,655.65,654.0,655.0,926.0
2026-06-01 10:05:00+05:30,655.05,655.8,655.0,655.0,627.0
2026-06-01 10:10:00+05:30,655.55,657.45,655.2,657.0,875.0
2026-06-01 10:15:00+05:30,655.75,656.7,653.0,654.3,2026.0
2026-06-01 10:20:00+05:30,654.75,655.9,653.2,655.15,2133.0
2026-06-01 10:25:00+05:30,655.3,656.8,653.55,655.4,1367.0
2026-06-01 10:30:00+05:30,654.6,654.6,654.6,654.6,357.0
2026-06-01 10:35:00+05:30,655.0,657.0,655.0,657.0,388.0
2026-06-01 10:40:00+05:30,657.05,659.8,656.3,659.25,1585.0
2026-06-01 10:45:00+05:30,659.9,664.3,659.0,663.45,1851.0
2026-06-01 10:50:00+05:30,664.4,664.85,662.95,663.05,1791.0
2026-06-01 10:55:00+05:30,663.3,665.95,662.95,665.6,1015.0
