dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,649.55,654.05,646.05,649.45,3113.0
2026-05-29 09:20:00+05:30,649.45,654.65,647.55,647.55,1822.0
2026-05-29 09:25:00+05:30,648.05,648.6,645.0,646.3,704.0
2026-05-29 09:30:00+05:30,645.55,648.8,645.15,647.55,222.0
2026-05-29 09:35:00+05:30,647.55,649.3,647.55,648.0,151.0
2026-05-29 09:40:00+05:30,648.4,658.0,648.2,656.6,3968.0
2026-05-29 09:45:00+05:30,655.65,657.7,654.15,656.5,285.0
2026-05-29 09:50:00+05:30,657.7,657.9,656.1,656.1,1301.0
2026-05-29 09:55:00+05:30,655.7,655.7,653.6,654.45,149.0
2026-05-29 10:00:00+05:30,653.7,656.3,653.4,655.0,483.0
2026-05-29 10:05:00+05:30,655.2,655.2,654.1,654.9,117.0
2026-05-29 10:10:00+05:30,654.9,656.4,651.55,651.6,581.0
2026-05-29 10:15:00+05:30,652.45,652.5,649.95,650.45,767.0
2026-05-29 10:20:00+05:30,650.45,651.4,649.65,650.0,524.0
2026-05-29 10:25:00+05:30,650.0,650.0,648.65,649.25,236.0
2026-05-29 10:30:00+05:30,649.25,649.25,648.05,649.05,126.0
2026-05-29 10:35:00+05:30,649.55,649.65,648.95,649.1,57.0
2026-05-29 10:40:00+05:30,649.35,649.8,648.25,649.3,127.0
2026-05-29 10:45:00+05:30,648.0,649.0,647.35,648.85,817.0
2026-05-29 10:50:00+05:30,648.65,649.3,647.6,649.3,103.0
2026-05-29 10:55:00+05:30,648.3,650.0,648.0,648.0,174.0
2026-05-29 11:00:00+05:30,647.75,649.1,647.55,649.05,174.0
2026-05-29 11:05:00+05:30,648.4,650.0,648.4,649.5,469.0
2026-05-29 11:10:00+05:30,649.75,649.95,647.7,647.85,156.0
2026-05-29 11:15:00+05:30,647.85,649.35,647.85,648.8,547.0
2026-05-29 11:20:00+05:30,648.0,650.0,648.0,649.15,618.0
2026-05-29 11:25:00+05:30,649.15,650.25,649.0,649.95,353.0
2026-05-29 11:30:00+05:30,649.35,650.0,649.15,649.3,93.0
2026-05-29 11:35:00+05:30,649.3,649.85,648.2,649.1,173.0
2026-05-29 11:40:00+05:30,649.2,649.8,648.1,648.2,46.0
2026-05-29 11:45:00+05:30,648.8,649.55,648.0,648.0,91.0
2026-05-29 11:50:00+05:30,648.55,648.55,647.65,647.7,53.0
2026-05-29 11:55:00+05:30,647.7,650.1,647.7,648.4,703.0
2026-05-29 12:00:00+05:30,649.15,649.45,648.05,648.45,64.0
2026-05-29 12:05:00+05:30,648.45,649.3,648.1,648.4,109.0
2026-05-29 12:10:00+05:30,648.4,648.85,646.2,646.2,639.0
2026-05-29 12:15:00+05:30,647.1,647.6,645.3,646.5,611.0
2026-05-29 12:20:00+05:30,646.4,647.45,645.75,646.25,468.0
2026-05-29 12:25:00+05:30,646.25,647.45,645.0,647.0,702.0
2026-05-29 12:30:00+05:30,647.0,647.2,645.95,645.95,64.0
2026-05-29 12:35:00+05:30,645.0,646.9,639.9,645.85,12180.0
2026-05-29 12:40:00+05:30,645.75,647.25,645.7,646.25,493.0
2026-05-29 12:45:00+05:30,646.35,647.6,646.3,647.6,262.0
