dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,100.8,101.18,99.25,100.5,37593.0
2026-05-29 09:20:00+05:30,100.49,101.22,99.9,100.02,86244.0
2026-05-29 09:25:00+05:30,99.79,100.0,99.52,99.52,6865.0
2026-05-29 09:30:00+05:30,99.52,99.52,98.86,99.2,9135.0
2026-05-29 09:35:00+05:30,99.29,100.0,98.81,99.81,19695.0
2026-05-29 09:40:00+05:30,99.9,100.19,99.51,100.08,7237.0
2026-05-29 09:45:00+05:30,100.12,100.36,99.01,99.71,14070.0
2026-05-29 09:50:00+05:30,99.73,99.94,99.54,99.71,4127.0
2026-05-29 09:55:00+05:30,99.46,99.46,99.0,99.39,5031.0
2026-05-29 10:00:00+05:30,99.15,99.29,99.02,99.06,2369.0
2026-05-29 10:05:00+05:30,99.03,99.27,99.03,99.27,211.0
2026-05-29 10:10:00+05:30,99.16,99.26,99.14,99.25,620.0
2026-05-29 10:15:00+05:30,99.15,99.59,99.14,99.48,1659.0
2026-05-29 10:20:00+05:30,99.46,99.59,99.23,99.59,2307.0
2026-05-29 10:25:00+05:30,99.43,99.55,99.43,99.5,231.0
2026-05-29 10:30:00+05:30,99.5,99.6,99.4,99.5,5768.0
2026-05-29 10:35:00+05:30,99.5,99.5,99.14,99.45,2611.0
2026-05-29 10:40:00+05:30,99.37,99.5,99.2,99.2,2102.0
2026-05-29 10:45:00+05:30,99.2,99.2,99.19,99.2,581.0
2026-05-29 10:50:00+05:30,99.2,99.2,99.15,99.15,943.0
2026-05-29 10:55:00+05:30,99.14,99.28,99.02,99.28,3253.0
2026-05-29 11:00:00+05:30,99.23,99.23,98.83,99.0,4734.0
2026-05-29 11:05:00+05:30,99.0,99.28,99.0,99.0,7572.0
2026-05-29 11:10:00+05:30,98.99,99.1,98.99,99.1,2379.0
2026-05-29 11:15:00+05:30,99.1,99.1,99.1,99.1,655.0
2026-05-29 11:20:00+05:30,99.1,99.19,99.0,99.19,646.0
2026-05-29 11:25:00+05:30,99.29,99.36,99.23,99.23,1100.0
2026-05-29 11:30:00+05:30,99.23,99.23,98.53,98.53,3174.0
2026-05-29 11:35:00+05:30,98.66,98.81,98.52,98.81,1266.0
2026-05-29 11:40:00+05:30,98.81,98.81,98.7,98.76,2333.0
2026-05-29 11:45:00+05:30,98.83,98.83,98.61,98.74,713.0
2026-05-29 11:50:00+05:30,98.77,98.87,98.55,98.87,2572.0
2026-05-29 11:55:00+05:30,98.87,98.9,98.75,98.88,1340.0
2026-05-29 12:00:00+05:30,98.84,98.84,98.84,98.84,350.0
2026-05-29 12:05:00+05:30,98.77,98.89,98.77,98.78,610.0
2026-05-29 12:10:00+05:30,98.78,98.89,98.77,98.77,1215.0
2026-05-29 12:15:00+05:30,98.77,98.77,98.24,98.4,15821.0
2026-05-29 12:20:00+05:30,98.4,98.69,98.31,98.31,3571.0
2026-05-29 12:25:00+05:30,98.4,98.55,98.4,98.55,48.0
2026-05-29 12:30:00+05:30,98.55,98.61,98.55,98.61,100.0
2026-05-29 12:35:00+05:30,98.55,98.55,98.22,98.25,2832.0
2026-05-29 12:40:00+05:30,98.1,98.24,98.1,98.24,2301.0
2026-05-29 12:45:00+05:30,98.63,98.63,97.21,97.45,13589.0
2026-05-29 12:50:00+05:30,97.63,98.2,97.62,98.01,7335.0
2026-05-29 12:55:00+05:30,97.85,98.06,97.85,98.06,213.0
2026-05-29 13:00:00+05:30,98.05,98.05,97.98,98.0,390.0
2026-05-29 13:05:00+05:30,98.0,98.0,97.52,97.88,1876.0
2026-05-29 13:10:00+05:30,97.89,97.89,97.55,97.56,1246.0
2026-05-29 13:15:00+05:30,97.56,97.75,97.55,97.55,1020.0
2026-05-29 13:20:00+05:30,97.55,97.6,97.46,97.6,615.0
2026-05-29 13:25:00+05:30,97.6,97.6,97.06,97.2,5390.0
2026-05-29 13:30:00+05:30,97.35,97.63,97.01,97.56,7463.0
2026-05-29 13:35:00+05:30,97.55,97.55,97.18,97.28,4040.0
2026-05-29 13:40:00+05:30,97.28,97.35,97.16,97.29,1176.0
2026-05-29 13:45:00+05:30,97.34,97.69,97.22,97.69,5280.0
2026-05-29 13:50:00+05:30,97.47,97.99,97.47,97.51,2544.0
2026-05-29 13:55:00+05:30,97.5,97.66,97.41,97.41,669.0
2026-05-29 14:00:00+05:30,97.54,97.54,97.54,97.54,87.0
2026-05-29 14:05:00+05:30,97.7,97.7,97.53,97.53,1677.0
2026-05-29 14:10:00+05:30,97.53,97.53,97.53,97.53,0.0
2026-05-29 14:15:00+05:30,97.53,97.68,97.48,97.48,3252.0
2026-05-29 14:20:00+05:30,97.4,97.4,97.13,97.14,1707.0
2026-05-29 14:25:00+05:30,97.13,97.13,97.12,97.12,105.0
2026-05-29 14:30:00+05:30,97.3,97.58,97.3,97.58,4300.0
2026-05-29 14:35:00+05:30,97.58,97.72,97.12,97.13,4146.0
2026-05-29 14:40:00+05:30,97.11,97.39,97.11,97.17,878.0
2026-05-29 14:45:00+05:30,97.42,97.67,97.11,97.46,4190.0
2026-05-29 14:50:00+05:30,97.46,97.5,97.39,97.5,154.0
2026-05-29 14:55:00+05:30,97.5,97.5,97.49,97.49,351.0
2026-05-29 15:00:00+05:30,97.35,97.35,96.51,96.51,9780.0
2026-05-29 15:05:00+05:30,96.47,96.47,95.65,95.7,28632.0
2026-05-29 15:10:00+05:30,95.69,96.22,95.0,95.67,33956.0
2026-05-29 15:15:00+05:30,95.84,96.38,95.37,95.54,16447.0
2026-05-29 15:20:00+05:30,95.76,96.15,95.0,95.62,31815.0
2026-05-29 15:25:00+05:30,95.61,96.15,95.52,95.52,11129.0
2026-06-01 09:15:00+05:30,100.11,101.25,96.14,97.73,65622.0
2026-06-01 09:20:00+05:30,97.75,98.2,97.75,98.05,5421.0
2026-06-01 09:25:00+05:30,98.05,98.6,98.05,98.2,15382.0
2026-06-01 09:30:00+05:30,98.39,98.72,98.1,98.5,14121.0
2026-06-01 09:35:00+05:30,98.71,99.39,98.5,99.13,18024.0
2026-06-01 09:40:00+05:30,99.1,100.85,99.0,99.72,65027.0
2026-06-01 09:45:00+05:30,99.67,100.47,99.63,99.95,14639.0
2026-06-01 09:50:00+05:30,100.14,100.27,99.42,100.27,28094.0
