dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,311.2,314.1,308.0,313.85,62701.35
2026-05-29 09:20:00+05:30,313.55,315.0,312.85,314.25,19729.35
2026-05-29 09:25:00+05:30,314.25,318.65,314.25,316.8,65753.35
2026-05-29 09:30:00+05:30,317.1,317.2,314.8,315.3,33878.65
2026-05-29 09:35:00+05:30,315.5,315.7,313.0,314.9,49197.35
2026-05-29 09:40:00+05:30,315.3,316.1,313.7,314.1,15464.0
2026-05-29 09:45:00+05:30,314.55,315.0,313.1,314.1,17088.0
2026-05-29 09:50:00+05:30,313.8,314.9,313.8,314.9,2288.0
2026-05-29 09:55:00+05:30,313.9,314.2,313.5,313.9,11977.35
2026-05-29 10:00:00+05:30,313.9,315.35,312.75,314.35,10141.35
2026-05-29 10:05:00+05:30,314.85,315.65,314.25,315.25,13269.35
2026-05-29 10:10:00+05:30,315.25,320.15,314.5,319.0,67902.65
2026-05-29 10:15:00+05:30,319.05,320.85,318.45,320.0,33069.35
2026-05-29 10:20:00+05:30,319.95,319.95,316.3,316.3,25425.35
2026-05-29 10:25:00+05:30,316.55,317.2,313.35,313.35,46142.65
2026-05-29 10:30:00+05:30,313.65,314.0,312.95,313.6,17828.0
2026-05-29 10:35:00+05:30,313.95,314.6,313.6,313.6,9069.35
2026-05-29 10:40:00+05:30,313.6,314.3,313.05,313.5,6214.65
2026-05-29 10:45:00+05:30,313.25,313.25,312.4,312.75,9630.65
2026-05-29 10:50:00+05:30,312.9,313.05,311.6,312.35,11745.35
2026-05-29 10:55:00+05:30,312.4,312.5,311.6,312.5,3438.65
2026-05-29 11:00:00+05:30,312.45,312.75,312.2,312.75,3357.35
2026-05-29 11:05:00+05:30,312.6,312.75,311.9,312.35,14685.35
2026-05-29 11:10:00+05:30,312.2,312.4,311.25,312.4,13657.35
2026-05-29 11:15:00+05:30,312.4,312.75,312.2,312.65,6292.0
2026-05-29 11:20:00+05:30,312.3,312.75,312.3,312.5,1497.35
2026-05-29 11:25:00+05:30,312.75,313.3,312.5,313.05,3145.35
2026-05-29 11:30:00+05:30,312.75,312.85,312.25,312.3,2428.0
2026-05-29 11:35:00+05:30,312.3,312.5,311.8,312.2,21594.65
2026-05-29 11:40:00+05:30,312.2,313.95,311.6,313.65,4357.35
2026-05-29 11:45:00+05:30,313.7,314.0,313.0,313.7,2497.35
2026-05-29 11:50:00+05:30,313.7,313.7,312.65,313.7,4921.35
2026-05-29 11:55:00+05:30,313.7,313.7,312.95,312.95,1725.35
2026-05-29 12:00:00+05:30,313.0,313.25,312.8,313.25,2508.0
2026-05-29 12:05:00+05:30,313.25,313.3,312.85,312.9,1572.0
2026-05-29 12:10:00+05:30,313.0,313.1,311.25,311.75,6324.0
2026-05-29 12:15:00+05:30,312.05,312.6,311.4,311.8,6801.35
2026-05-29 12:20:00+05:30,312.35,312.4,311.9,312.4,662.65
2026-05-29 12:25:00+05:30,312.0,312.4,311.75,312.0,1529.35
2026-05-29 12:30:00+05:30,312.0,312.1,311.35,311.6,2514.65
2026-05-29 12:35:00+05:30,311.6,311.6,310.5,311.0,6293.35
2026-05-29 12:40:00+05:30,311.0,311.35,310.7,311.35,2425.35
2026-05-29 12:45:00+05:30,311.0,311.35,310.5,310.5,1757.35
2026-05-29 12:50:00+05:30,310.4,310.4,309.85,309.85,2309.35
2026-05-29 12:55:00+05:30,309.85,310.25,309.85,309.85,6270.65
2026-05-29 13:00:00+05:30,310.0,310.3,309.25,310.05,8898.65
2026-05-29 13:05:00+05:30,309.7,310.25,309.7,309.85,3386.65
2026-05-29 13:10:00+05:30,309.85,309.9,309.4,309.4,1802.65
2026-05-29 13:15:00+05:30,309.45,310.1,309.1,310.1,4121.35
2026-05-29 13:20:00+05:30,310.1,310.1,309.05,309.5,4044.0
2026-05-29 13:25:00+05:30,309.5,309.7,309.15,309.25,1826.65
2026-05-29 13:30:00+05:30,309.65,309.85,309.2,309.45,4782.65
2026-05-29 13:35:00+05:30,309.6,311.15,309.4,310.4,9089.35
2026-05-29 13:40:00+05:30,309.9,310.25,309.5,309.5,1356.0
2026-05-29 13:45:00+05:30,309.75,310.25,309.4,309.45,1841.35
2026-05-29 13:50:00+05:30,309.75,309.8,309.1,309.1,1446.65
2026-05-29 13:55:00+05:30,309.45,309.85,309.1,309.85,4984.0
2026-05-29 14:00:00+05:30,309.85,309.85,309.0,309.3,2996.0
2026-05-29 14:05:00+05:30,309.8,309.8,309.4,309.6,1176.0
2026-05-29 14:10:00+05:30,309.6,309.6,309.0,309.3,13349.35
2026-05-29 14:15:00+05:30,309.3,309.85,309.3,309.3,2866.65
2026-05-29 14:20:00+05:30,309.5,309.7,309.3,309.7,422.65
2026-05-29 14:25:00+05:30,309.4,309.85,309.35,309.85,1252.0
2026-05-29 14:30:00+05:30,309.9,310.0,309.15,309.75,2897.35
2026-05-29 14:35:00+05:30,310.0,310.05,309.8,309.8,890.65
2026-05-29 14:40:00+05:30,309.8,310.4,309.8,310.4,914.65
2026-05-29 14:45:00+05:30,310.4,310.8,310.2,310.5,1922.65
2026-05-29 14:50:00+05:30,310.5,311.1,310.5,311.05,5934.65
2026-05-29 14:55:00+05:30,311.4,311.75,311.1,311.7,5281.35
2026-05-29 15:00:00+05:30,311.45,311.45,309.0,309.0,12282.65
2026-05-29 15:05:00+05:30,309.0,309.4,309.0,309.05,10158.65
2026-05-29 15:10:00+05:30,309.0,309.3,308.6,309.3,24836.0
2026-05-29 15:15:00+05:30,309.3,309.75,307.15,307.25,20505.35
2026-05-29 15:20:00+05:30,307.2,307.25,303.75,303.8,24382.65
2026-05-29 15:25:00+05:30,303.95,305.0,302.4,305.0,33756.0
2026-06-01 09:15:00+05:30,307.7,311.95,307.4,307.95,30621.35
2026-06-01 09:20:00+05:30,308.3,308.3,305.75,306.85,20322.65
2026-06-01 09:25:00+05:30,306.95,307.35,305.9,306.45,7390.65
2026-06-01 09:30:00+05:30,306.6,308.75,306.3,307.55,6546.65
2026-06-01 09:35:00+05:30,307.45,307.7,305.5,307.6,7829.35
2026-06-01 09:40:00+05:30,308.15,308.65,307.05,307.5,8956.0
2026-06-01 09:45:00+05:30,308.0,310.4,307.7,310.1,14488.0
2026-06-01 09:50:00+05:30,310.5,315.15,310.4,313.2,61326.65
2026-06-01 09:55:00+05:30,313.45,314.8,311.7,314.65,17148.0
2026-06-01 10:00:00+05:30,314.7,316.5,314.25,314.6,22688.0
2026-06-01 10:05:00+05:30,314.15,317.35,314.15,317.35,36269.35
2026-06-01 10:10:00+05:30,317.4,323.75,317.2,322.8,205728.0
2026-06-01 10:15:00+05:30,323.0,323.95,320.15,320.25,57534.65
2026-06-01 10:20:00+05:30,320.65,324.0,320.0,321.75,63908.0
2026-06-01 10:25:00+05:30,322.25,322.25,319.7,321.05,22414.65
2026-06-01 10:30:00+05:30,321.3,322.7,319.8,320.25,19629.35
2026-06-01 10:35:00+05:30,319.9,322.2,319.8,321.4,27033.35
2026-06-01 10:40:00+05:30,321.75,322.9,321.0,322.15,27352.0
2026-06-01 10:45:00+05:30,322.65,322.8,320.1,320.5,30444.0
2026-06-01 10:50:00+05:30,320.4,320.6,319.7,320.0,16049.35
2026-06-01 10:55:00+05:30,320.5,320.9,320.15,320.65,7013.35
2026-06-01 11:00:00+05:30,320.9,321.65,319.1,321.15,33913.35
2026-06-01 11:05:00+05:30,321.35,322.25,320.65,321.2,8830.65
2026-06-01 11:10:00+05:30,321.4,321.6,320.4,320.4,21661.35
2026-06-01 11:15:00+05:30,320.3,320.5,319.75,320.4,1929.35
2026-06-01 11:20:00+05:30,320.75,321.1,319.8,320.3,2506.65
2026-06-01 11:25:00+05:30,320.9,320.9,319.8,319.9,3485.35
2026-06-01 11:30:00+05:30,319.5,319.5,318.75,318.8,4661.35
2026-06-01 11:35:00+05:30,318.75,319.75,318.75,319.5,7426.65
2026-06-01 11:40:00+05:30,319.4,322.75,319.0,322.75,32781.35
2026-06-01 11:45:00+05:30,322.7,326.15,322.25,324.8,96685.35
2026-06-01 11:50:00+05:30,324.2,326.25,323.35,325.2,55568.0
2026-06-01 11:55:00+05:30,325.5,325.9,323.5,323.5,34360.0
2026-06-01 12:00:00+05:30,324.0,324.6,320.6,322.7,64900.0
2026-06-01 12:05:00+05:30,322.05,322.8,321.25,321.7,7058.65
2026-06-01 12:10:00+05:30,321.75,322.4,321.15,321.9,6882.65
2026-06-01 12:15:00+05:30,322.2,322.4,320.25,320.25,17564.0
2026-06-01 12:20:00+05:30,320.15,320.25,319.1,319.45,5489.35
2026-06-01 12:25:00+05:30,319.45,319.5,318.5,319.3,39470.65
2026-06-01 12:30:00+05:30,319.15,319.35,318.1,318.55,3652.0
2026-06-01 12:35:00+05:30,318.1,318.85,316.25,316.7,24241.35
2026-06-01 12:40:00+05:30,316.8,317.25,316.25,316.9,19914.65
2026-06-01 12:45:00+05:30,317.05,317.75,316.8,317.7,12281.35
2026-06-01 12:50:00+05:30,317.65,317.95,317.4,317.8,4665.35
2026-06-01 12:55:00+05:30,317.85,317.85,317.25,317.5,3596.0
2026-06-01 13:00:00+05:30,317.25,317.55,317.1,317.1,905.35
2026-06-01 13:05:00+05:30,317.25,317.5,316.0,316.35,6065.35
2026-06-01 13:10:00+05:30,316.35,316.5,315.15,316.5,8917.35
2026-06-01 13:15:00+05:30,316.8,316.95,316.5,316.7,4269.35
2026-06-01 13:20:00+05:30,316.5,316.5,315.15,315.5,8136.0
2026-06-01 13:25:00+05:30,315.5,315.5,314.35,314.4,6609.35
2026-06-01 13:30:00+05:30,314.4,314.95,314.4,314.85,1953.35
2026-06-01 13:35:00+05:30,314.6,314.9,314.4,314.75,2144.0
2026-06-01 13:40:00+05:30,314.75,314.9,314.6,314.8,3989.35
2026-06-01 13:45:00+05:30,314.85,315.0,314.6,314.9,2717.35
2026-06-01 13:50:00+05:30,314.5,314.65,313.4,313.4,12428.0
2026-06-01 13:55:00+05:30,313.4,314.15,312.25,312.35,18937.35
2026-06-01 14:00:00+05:30,312.35,312.65,311.5,312.2,28586.65
2026-06-01 14:05:00+05:30,312.4,312.4,310.5,311.3,16693.35
2026-06-01 14:10:00+05:30,311.05,311.25,310.1,310.2,13606.65
2026-06-01 14:15:00+05:30,310.25,310.9,310.0,310.9,11594.65
2026-06-01 14:20:00+05:30,310.85,311.1,310.15,310.15,5698.65
2026-06-01 14:25:00+05:30,310.2,311.15,310.15,310.4,6014.65
2026-06-01 14:30:00+05:30,310.4,310.6,308.25,310.1,45344.0
2026-06-01 14:35:00+05:30,309.55,310.05,308.45,309.2,24288.0
2026-06-01 14:40:00+05:30,309.5,310.3,309.05,309.95,6538.65
2026-06-01 14:45:00+05:30,310.0,310.0,308.95,309.3,5582.65
2026-06-01 14:50:00+05:30,309.6,309.6,307.4,308.0,23544.0
2026-06-01 14:55:00+05:30,308.1,308.6,306.85,307.35,15966.65
