dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,206.9,207.49,205.93,207.04,5548.0
2026-05-29 09:20:00+05:30,207.0,208.5,206.81,206.88,8000.0
2026-05-29 09:25:00+05:30,207.42,207.75,207.02,207.04,2224.0
2026-05-29 09:30:00+05:30,207.04,207.52,206.5,206.5,5326.0
2026-05-29 09:35:00+05:30,206.4,206.99,206.15,206.73,6636.0
2026-05-29 09:40:00+05:30,206.9,206.9,206.15,206.15,824.0
2026-05-29 09:45:00+05:30,206.15,206.43,205.91,206.29,3681.0
2026-05-29 09:50:00+05:30,206.49,206.49,206.25,206.25,140.0
2026-05-29 09:55:00+05:30,206.0,206.0,204.63,204.87,4543.0
2026-05-29 10:00:00+05:30,205.24,205.49,205.24,205.45,1043.0
2026-05-29 10:05:00+05:30,205.45,205.79,205.45,205.79,20.0
2026-05-29 10:10:00+05:30,205.79,207.08,205.79,206.66,3529.0
2026-05-29 10:15:00+05:30,206.66,206.66,205.31,205.77,15341.0
2026-05-29 10:20:00+05:30,205.71,206.14,205.27,206.14,1458.0
2026-05-29 10:25:00+05:30,205.76,206.38,205.76,206.0,1151.0
2026-05-29 10:30:00+05:30,205.95,205.95,205.07,205.59,6231.0
2026-05-29 10:35:00+05:30,206.09,206.21,203.36,204.5,27358.0
2026-05-29 10:40:00+05:30,204.5,204.82,204.5,204.72,5689.0
2026-05-29 10:45:00+05:30,204.92,204.92,204.5,204.79,1363.0
2026-05-29 10:50:00+05:30,204.8,204.89,204.54,204.8,3849.0
2026-05-29 10:55:00+05:30,204.6,204.6,204.3,204.47,1830.0
2026-05-29 11:00:00+05:30,204.61,204.97,204.61,204.97,1145.0
2026-05-29 11:05:00+05:30,205.05,205.2,204.81,205.2,3734.0
2026-05-29 11:10:00+05:30,205.2,205.25,205.12,205.19,349.0
2026-05-29 11:15:00+05:30,205.12,205.12,204.76,204.81,1181.0
2026-05-29 11:20:00+05:30,204.81,204.81,204.81,204.81,250.0
2026-05-29 11:25:00+05:30,205.11,205.57,204.95,205.45,2503.0
