dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,167.4,167.4,164.05,166.92,2066.0
2026-05-29 09:20:00+05:30,167.39,167.69,167.38,167.38,2167.0
2026-05-29 09:25:00+05:30,167.38,167.65,167.1,167.58,783.0
2026-05-29 09:30:00+05:30,167.02,167.13,166.45,167.13,1166.0
2026-05-29 09:35:00+05:30,167.13,167.35,166.81,166.86,684.0
2026-05-29 09:40:00+05:30,166.95,166.95,166.44,166.44,153.0
2026-05-29 09:45:00+05:30,166.99,167.79,166.98,167.79,2637.0
2026-05-29 09:50:00+05:30,167.42,168.4,167.42,167.8,1625.0
2026-05-29 09:55:00+05:30,167.8,167.8,167.32,167.35,176.0
2026-05-29 10:00:00+05:30,167.35,167.35,167.12,167.12,163.0
2026-05-29 10:05:00+05:30,167.12,167.68,167.12,167.53,100.0
2026-05-29 10:10:00+05:30,167.53,167.95,167.53,167.95,2952.0
2026-05-29 10:15:00+05:30,167.95,168.17,167.75,168.14,681.0
2026-05-29 10:20:00+05:30,168.14,168.14,167.67,167.7,351.0
2026-05-29 10:25:00+05:30,167.9,167.9,167.9,167.9,525.0
2026-05-29 10:30:00+05:30,167.9,169.0,167.9,169.0,3505.0
2026-05-29 10:35:00+05:30,169.2,170.0,169.13,169.13,3874.0
2026-05-29 10:40:00+05:30,169.3,169.51,169.22,169.32,896.0
2026-05-29 10:45:00+05:30,169.13,169.13,168.74,168.75,617.0
2026-05-29 10:50:00+05:30,168.75,168.75,168.75,168.75,0.0
2026-05-29 10:55:00+05:30,169.0,169.72,168.98,169.71,3612.0
2026-05-29 11:00:00+05:30,169.64,169.64,169.26,169.5,1849.0
2026-05-29 11:05:00+05:30,169.5,169.98,169.32,169.32,1477.0
2026-05-29 11:10:00+05:30,169.34,169.43,169.34,169.35,101.0
2026-05-29 11:15:00+05:30,169.35,169.35,169.35,169.35,0.0
2026-05-29 11:20:00+05:30,169.35,169.59,169.35,169.59,47.0
2026-05-29 11:25:00+05:30,169.59,170.3,169.59,170.0,2754.0
2026-05-29 11:30:00+05:30,169.78,172.0,169.78,170.73,8386.0
2026-05-29 11:35:00+05:30,170.73,171.0,170.69,170.98,1307.0
2026-05-29 11:40:00+05:30,170.93,171.0,170.4,170.72,2042.0
2026-05-29 11:45:00+05:30,170.72,171.0,170.4,171.0,1610.0
2026-05-29 11:50:00+05:30,171.0,171.36,170.5,171.0,3740.0
2026-05-29 11:55:00+05:30,171.0,171.53,171.0,171.53,3113.0
2026-05-29 12:00:00+05:30,171.53,171.75,171.0,171.45,4069.0
2026-05-29 12:05:00+05:30,171.55,172.49,171.45,172.1,4483.0
2026-05-29 12:10:00+05:30,172.05,172.05,171.0,171.0,3131.0
2026-05-29 12:15:00+05:30,171.0,171.0,169.21,169.84,6871.0
2026-05-29 12:20:00+05:30,169.95,169.99,169.5,169.5,847.0
2026-05-29 12:25:00+05:30,169.99,169.99,169.9,169.9,1410.0
2026-05-29 12:30:00+05:30,169.9,169.9,169.7,169.7,200.0
2026-05-29 12:35:00+05:30,169.7,169.9,169.7,169.9,550.0
2026-05-29 12:40:00+05:30,169.9,169.99,169.9,169.99,45.0
2026-05-29 12:45:00+05:30,169.99,169.99,169.56,169.93,104.0
2026-05-29 12:50:00+05:30,169.94,170.0,169.41,169.41,1027.0
2026-05-29 12:55:00+05:30,169.41,169.91,169.41,169.91,31.0
2026-05-29 13:00:00+05:30,169.62,170.0,169.61,169.61,1909.0
2026-05-29 13:05:00+05:30,169.88,169.91,169.5,169.51,2998.0
2026-05-29 13:10:00+05:30,169.51,169.51,169.0,169.01,1363.0
2026-05-29 13:15:00+05:30,169.01,169.38,169.01,169.38,150.0
2026-05-29 13:20:00+05:30,169.38,169.49,169.15,169.15,175.0
2026-05-29 13:25:00+05:30,169.72,169.72,169.5,169.5,679.0
2026-05-29 13:30:00+05:30,169.94,169.94,169.54,169.54,411.0
2026-05-29 13:35:00+05:30,169.54,169.79,169.54,169.79,200.0
2026-05-29 13:40:00+05:30,169.79,169.9,169.75,169.75,675.0
2026-05-29 13:45:00+05:30,169.96,169.96,169.3,169.3,623.0
2026-05-29 13:50:00+05:30,169.3,169.85,169.3,169.85,30.0
2026-05-29 13:55:00+05:30,169.61,169.61,169.61,169.61,317.0
2026-05-29 14:00:00+05:30,169.61,169.61,169.4,169.4,22.0
2026-05-29 14:05:00+05:30,164.82,165.0,164.46,165.0,147150.0
2026-05-29 14:10:00+05:30,165.0,165.0,164.65,164.92,17200.0
2026-05-29 14:15:00+05:30,164.98,165.0,164.65,164.96,2808.0
2026-05-29 14:20:00+05:30,164.96,165.0,164.75,165.0,2434.0
2026-05-29 14:25:00+05:30,165.0,165.0,165.0,165.0,2238.0
2026-05-29 14:30:00+05:30,165.0,165.0,164.99,165.0,7492.0
2026-05-29 14:35:00+05:30,165.0,165.0,164.99,165.0,522.0
2026-05-29 14:40:00+05:30,165.0,165.0,164.58,164.58,2728.0
2026-05-29 14:45:00+05:30,164.58,164.79,164.5,164.7,730.0
2026-05-29 14:50:00+05:30,164.99,164.99,164.7,164.7,2588.0
2026-05-29 14:55:00+05:30,164.7,164.73,164.54,164.73,1203.0
2026-05-29 15:00:00+05:30,164.74,164.74,163.08,163.48,4461.0
2026-05-29 15:05:00+05:30,163.38,163.76,162.65,163.2,3584.0
2026-05-29 15:10:00+05:30,163.22,163.34,162.65,162.65,2134.0
2026-05-29 15:15:00+05:30,163.15,163.4,162.77,163.0,2920.0
2026-05-29 15:20:00+05:30,162.93,163.36,162.71,163.33,1980.0
2026-05-29 15:25:00+05:30,163.5,165.0,163.0,165.0,8247.0
2026-06-01 09:15:00+05:30,165.0,165.99,158.6,160.0,52988.0
2026-06-01 09:20:00+05:30,160.0,160.0,159.5,160.0,52102.0
2026-06-01 09:25:00+05:30,159.99,160.0,159.8,159.99,24026.0
2026-06-01 09:30:00+05:30,159.98,162.14,159.86,161.09,27056.0
2026-06-01 09:35:00+05:30,161.37,161.69,161.0,161.4,2493.0
2026-06-01 09:40:00+05:30,161.33,161.67,159.25,159.88,29379.0
2026-06-01 09:45:00+05:30,159.88,160.0,159.88,160.0,30843.0
2026-06-01 09:50:00+05:30,160.0,160.0,159.75,160.0,4751.0
2026-06-01 09:55:00+05:30,160.0,160.0,159.56,159.87,2548.0
2026-06-01 10:00:00+05:30,159.77,159.9,159.2,159.25,1159.0
2026-06-01 10:05:00+05:30,158.96,159.19,158.71,158.86,2742.0
2026-06-01 10:10:00+05:30,159.13,159.43,158.91,159.43,2538.0
2026-06-01 10:15:00+05:30,159.05,159.38,159.0,159.32,838.0
2026-06-01 10:20:00+05:30,158.96,159.3,158.96,159.13,504.0
2026-06-01 10:25:00+05:30,159.13,159.79,159.01,159.31,1372.0
2026-06-01 10:30:00+05:30,159.35,159.75,159.23,159.23,1333.0
2026-06-01 10:35:00+05:30,159.79,159.79,159.4,159.77,3885.0
2026-06-01 10:40:00+05:30,159.78,159.78,159.69,159.69,31.0
2026-06-01 10:45:00+05:30,159.5,159.87,159.5,159.86,157.0
2026-06-01 10:50:00+05:30,159.86,159.99,159.86,159.99,1408.0
2026-06-01 10:55:00+05:30,159.99,160.0,159.99,160.0,25465.0
2026-06-01 11:00:00+05:30,160.0,160.68,160.0,160.6,5272.0
2026-06-01 11:05:00+05:30,161.0,161.37,161.0,161.08,1771.0
2026-06-01 11:10:00+05:30,161.08,161.47,161.02,161.02,943.0
2026-06-01 11:15:00+05:30,161.0,161.4,161.0,161.27,846.0
2026-06-01 11:20:00+05:30,161.0,161.0,160.51,160.79,3436.0
2026-06-01 11:25:00+05:30,160.79,160.79,160.19,160.19,20.0
2026-06-01 11:30:00+05:30,160.33,160.73,160.33,160.42,585.0
2026-06-01 11:35:00+05:30,160.65,160.98,160.52,160.74,228.0
2026-06-01 11:40:00+05:30,160.44,161.0,160.26,160.26,1345.0
2026-06-01 11:45:00+05:30,160.26,160.6,160.26,160.59,179.0
2026-06-01 11:50:00+05:30,160.59,160.59,160.59,160.59,0.0
2026-06-01 11:55:00+05:30,160.59,160.59,159.66,159.66,3011.0
2026-06-01 12:00:00+05:30,160.0,160.0,159.99,159.99,318.0
2026-06-01 12:05:00+05:30,159.99,159.99,159.89,159.89,70.0
2026-06-01 12:10:00+05:30,159.93,159.93,159.5,159.5,2946.0
2026-06-01 12:15:00+05:30,159.5,160.48,159.5,160.48,2379.0
2026-06-01 12:20:00+05:30,160.32,160.32,159.9,159.9,1178.0
2026-06-01 12:25:00+05:30,159.98,160.39,159.65,160.17,2363.0
