dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,74.1,74.3,73.76,74.02,411025.0
2026-05-29 09:20:00+05:30,74.06,74.98,74.06,74.4,720360.0
2026-05-29 09:25:00+05:30,74.37,74.82,74.25,74.82,508148.0
2026-05-29 09:30:00+05:30,74.75,75.2,74.61,74.61,637133.0
2026-05-29 09:35:00+05:30,74.61,74.8,74.55,74.73,479261.0
2026-05-29 09:40:00+05:30,74.73,75.04,74.65,74.71,475238.0
2026-05-29 09:45:00+05:30,74.71,75.39,74.61,75.07,606974.0
2026-05-29 09:50:00+05:30,75.08,75.33,74.83,75.2,256531.0
2026-05-29 09:55:00+05:30,75.15,75.6,75.09,75.33,517992.0
2026-05-29 10:00:00+05:30,75.33,75.5,75.23,75.31,347592.0
2026-05-29 10:05:00+05:30,75.31,75.37,75.2,75.2,66252.0
2026-05-29 10:10:00+05:30,75.2,75.49,75.1,75.39,114184.0
2026-05-29 10:15:00+05:30,75.46,75.48,75.25,75.25,96785.0
2026-05-29 10:20:00+05:30,75.25,75.69,75.25,75.58,287303.0
2026-05-29 10:25:00+05:30,75.55,75.65,75.46,75.55,124208.0
2026-05-29 10:30:00+05:30,75.55,75.79,75.46,75.64,243238.0
2026-05-29 10:35:00+05:30,75.57,76.19,75.55,76.0,947724.0
2026-05-29 10:40:00+05:30,76.0,76.1,75.63,75.63,469950.0
2026-05-29 10:45:00+05:30,75.67,75.75,75.61,75.75,187320.0
2026-05-29 10:50:00+05:30,75.75,75.75,75.61,75.62,68373.0
2026-05-29 10:55:00+05:30,75.62,75.7,75.54,75.61,159819.0
2026-05-29 11:00:00+05:30,75.6,75.7,75.57,75.64,54073.0
2026-05-29 11:05:00+05:30,75.6,75.64,75.51,75.52,43744.0
2026-05-29 11:10:00+05:30,75.52,75.67,75.51,75.54,76495.0
2026-05-29 11:15:00+05:30,75.55,75.79,75.55,75.74,77527.0
2026-05-29 11:20:00+05:30,75.7,75.83,75.66,75.82,85871.0
2026-05-29 11:25:00+05:30,75.81,75.98,75.71,75.73,121503.0
2026-05-29 11:30:00+05:30,75.73,75.75,75.51,75.52,161301.0
2026-05-29 11:35:00+05:30,75.54,75.6,75.47,75.54,111066.0
2026-05-29 11:40:00+05:30,75.54,75.6,75.46,75.52,69976.0
2026-05-29 11:45:00+05:30,75.49,75.68,75.49,75.6,141802.0
2026-05-29 11:50:00+05:30,75.55,75.65,75.53,75.6,28710.0
2026-05-29 11:55:00+05:30,75.58,75.58,75.51,75.58,29386.0
2026-05-29 12:00:00+05:30,75.58,75.66,75.53,75.55,40453.0
2026-05-29 12:05:00+05:30,75.52,75.6,75.41,75.45,87165.0
2026-05-29 12:10:00+05:30,75.45,75.47,75.25,75.38,259307.0
2026-05-29 12:15:00+05:30,75.3,75.33,75.25,75.3,123440.0
2026-05-29 12:20:00+05:30,75.3,75.35,75.21,75.3,79269.0
2026-05-29 12:25:00+05:30,75.3,75.41,75.26,75.37,63427.0
2026-05-29 12:30:00+05:30,75.37,75.42,75.25,75.25,28380.0
2026-05-29 12:35:00+05:30,75.25,75.3,75.23,75.29,15143.0
2026-05-29 12:40:00+05:30,75.29,75.29,75.23,75.25,21566.0
2026-05-29 12:45:00+05:30,75.25,75.29,75.18,75.24,75975.0
2026-05-29 12:50:00+05:30,75.27,75.34,75.18,75.19,45672.0
2026-05-29 12:55:00+05:30,75.18,75.23,75.16,75.19,73763.0
2026-05-29 13:00:00+05:30,75.19,75.19,75.11,75.14,108205.0
2026-05-29 13:05:00+05:30,75.11,75.17,75.11,75.15,83071.0
2026-05-29 13:10:00+05:30,75.12,75.15,74.99,75.0,357305.0
2026-05-29 13:15:00+05:30,75.0,75.0,74.84,74.9,121752.0
2026-05-29 13:20:00+05:30,74.9,74.92,74.81,74.82,75668.0
2026-05-29 13:25:00+05:30,74.82,74.88,74.78,74.87,45233.0
2026-05-29 13:30:00+05:30,74.87,74.87,74.74,74.75,29927.0
2026-05-29 13:35:00+05:30,74.74,74.74,74.63,74.65,102973.0
2026-05-29 13:40:00+05:30,74.69,74.75,74.64,74.64,28722.0
2026-05-29 13:45:00+05:30,74.67,74.7,74.56,74.58,56752.0
2026-05-29 13:50:00+05:30,74.57,74.59,74.35,74.39,136261.0
2026-05-29 13:55:00+05:30,74.37,74.56,74.35,74.51,49116.0
2026-05-29 14:00:00+05:30,74.51,74.55,74.41,74.52,40875.0
2026-05-29 14:05:00+05:30,74.49,74.9,74.45,74.75,156920.0
2026-05-29 14:10:00+05:30,74.75,74.75,74.66,74.71,20942.0
2026-05-29 14:15:00+05:30,74.71,74.77,74.68,74.71,47411.0
2026-05-29 14:20:00+05:30,74.71,74.94,74.71,74.94,72062.0
2026-05-29 14:25:00+05:30,74.94,74.96,74.78,74.84,44226.0
2026-05-29 14:30:00+05:30,74.8,75.1,74.8,75.01,147623.0
2026-05-29 14:35:00+05:30,74.97,74.99,74.9,74.91,26151.0
2026-05-29 14:40:00+05:30,74.91,74.91,74.81,74.89,26305.0
2026-05-29 14:45:00+05:30,74.89,75.0,74.83,74.99,65622.0
2026-05-29 14:50:00+05:30,74.99,75.0,74.89,74.92,14776.0
2026-05-29 14:55:00+05:30,74.95,74.95,74.8,74.87,70339.0
2026-05-29 15:00:00+05:30,74.81,74.83,74.25,74.3,217180.0
2026-05-29 15:05:00+05:30,74.33,74.33,73.86,73.96,358883.0
2026-05-29 15:10:00+05:30,73.96,74.01,73.5,73.58,293914.0
2026-05-29 15:15:00+05:30,73.59,73.65,73.43,73.65,424538.0
2026-05-29 15:20:00+05:30,73.64,73.85,73.62,73.73,315794.0
2026-05-29 15:25:00+05:30,73.69,73.7,73.4,73.61,187018.0
2026-06-01 09:15:00+05:30,74.0,74.33,73.51,74.03,270841.0
2026-06-01 09:20:00+05:30,74.03,74.15,73.79,73.79,156852.0
2026-06-01 09:25:00+05:30,73.86,73.94,73.65,73.84,140669.0
2026-06-01 09:30:00+05:30,73.85,74.15,73.8,73.83,117120.0
2026-06-01 09:35:00+05:30,73.8,73.87,73.49,73.7,504841.0
2026-06-01 09:40:00+05:30,73.65,73.75,73.28,73.28,151705.0
2026-06-01 09:45:00+05:30,73.32,73.44,73.2,73.29,54106.0
2026-06-01 09:50:00+05:30,73.29,73.38,73.12,73.2,78720.0
2026-06-01 09:55:00+05:30,73.18,73.18,73.01,73.09,127019.0
2026-06-01 10:00:00+05:30,73.11,73.15,72.95,72.95,126008.0
2026-06-01 10:05:00+05:30,72.97,73.1,72.95,73.02,27179.0
2026-06-01 10:10:00+05:30,73.02,73.19,73.0,73.05,45299.0
2026-06-01 10:15:00+05:30,73.08,73.08,72.96,73.05,60942.0
2026-06-01 10:20:00+05:30,73.05,73.12,73.01,73.12,27412.0
2026-06-01 10:25:00+05:30,73.07,73.24,73.03,73.08,38293.0
2026-06-01 10:30:00+05:30,73.08,73.13,72.9,72.91,79189.0
2026-06-01 10:35:00+05:30,72.98,73.12,72.95,73.03,22051.0
2026-06-01 10:40:00+05:30,73.07,73.21,73.05,73.2,82843.0
2026-06-01 10:45:00+05:30,73.2,73.39,73.16,73.37,20860.0
2026-06-01 10:50:00+05:30,73.36,73.5,73.32,73.41,29527.0
2026-06-01 10:55:00+05:30,73.5,73.58,73.4,73.49,44920.0
2026-06-01 11:00:00+05:30,73.5,73.58,73.48,73.56,22723.0
2026-06-01 11:05:00+05:30,73.56,73.7,73.53,73.69,10973.0
2026-06-01 11:10:00+05:30,73.69,73.7,73.55,73.63,20682.0
2026-06-01 11:15:00+05:30,73.63,73.69,73.56,73.56,15325.0
2026-06-01 11:20:00+05:30,73.56,73.6,73.35,73.39,30761.0
2026-06-01 11:25:00+05:30,73.42,73.42,73.22,73.28,21803.0
2026-06-01 11:30:00+05:30,73.28,73.28,73.01,73.12,35247.0
2026-06-01 11:35:00+05:30,73.12,73.25,73.12,73.23,16453.0
2026-06-01 11:40:00+05:30,73.2,73.22,73.15,73.16,9365.0
2026-06-01 11:45:00+05:30,73.15,73.2,73.07,73.17,22162.0
2026-06-01 11:50:00+05:30,73.17,73.29,73.12,73.25,11283.0
2026-06-01 11:55:00+05:30,73.24,73.29,73.01,73.03,22608.0
2026-06-01 12:00:00+05:30,73.03,73.1,73.01,73.1,10485.0
2026-06-01 12:05:00+05:30,73.07,73.23,73.07,73.11,18038.0
2026-06-01 12:10:00+05:30,73.13,73.13,73.05,73.13,13342.0
2026-06-01 12:15:00+05:30,73.12,73.18,73.1,73.1,10004.0
2026-06-01 12:20:00+05:30,73.1,73.14,73.05,73.1,16349.0
2026-06-01 12:25:00+05:30,73.15,73.19,73.06,73.06,13314.0
2026-06-01 12:30:00+05:30,73.1,73.15,73.04,73.1,19857.0
2026-06-01 12:35:00+05:30,73.1,73.16,73.02,73.05,31253.0
2026-06-01 12:40:00+05:30,73.1,73.16,73.01,73.11,9367.0
2026-06-01 12:45:00+05:30,73.11,73.17,73.07,73.15,3118.0
2026-06-01 12:50:00+05:30,73.15,73.21,73.1,73.16,3852.0
2026-06-01 12:55:00+05:30,73.16,73.2,73.06,73.13,16895.0
2026-06-01 13:00:00+05:30,73.09,73.15,73.05,73.1,4200.0
2026-06-01 13:05:00+05:30,73.1,73.11,73.01,73.01,21223.0
2026-06-01 13:10:00+05:30,73.01,73.02,72.76,72.77,108990.0
2026-06-01 13:15:00+05:30,72.76,72.96,72.76,72.9,13915.0
2026-06-01 13:20:00+05:30,72.93,72.98,72.88,72.92,13123.0
2026-06-01 13:25:00+05:30,72.92,72.97,72.82,72.9,49008.0
2026-06-01 13:30:00+05:30,72.95,72.99,72.82,72.94,17462.0
2026-06-01 13:35:00+05:30,72.95,72.95,72.84,72.85,11637.0
2026-06-01 13:40:00+05:30,72.85,72.93,72.82,72.87,6430.0
2026-06-01 13:45:00+05:30,72.85,72.93,72.82,72.82,14372.0
2026-06-01 13:50:00+05:30,72.88,72.96,72.8,72.82,27477.0
2026-06-01 13:55:00+05:30,72.85,72.91,72.6,72.75,115753.0
2026-06-01 14:00:00+05:30,72.76,72.8,72.62,72.68,22706.0
2026-06-01 14:05:00+05:30,72.7,72.73,72.55,72.57,50378.0
2026-06-01 14:10:00+05:30,72.57,72.63,72.45,72.48,93616.0
2026-06-01 14:15:00+05:30,72.47,72.51,72.28,72.47,73553.0
2026-06-01 14:20:00+05:30,72.5,72.5,72.37,72.43,14704.0
2026-06-01 14:25:00+05:30,72.4,72.53,72.4,72.4,18075.0
2026-06-01 14:30:00+05:30,72.42,72.61,72.42,72.51,25992.0
2026-06-01 14:35:00+05:30,72.53,72.61,72.48,72.55,20993.0
2026-06-01 14:40:00+05:30,72.55,72.67,72.47,72.51,179289.0
2026-06-01 14:45:00+05:30,72.51,72.64,72.44,72.57,44959.0
2026-06-01 14:50:00+05:30,72.56,72.56,72.3,72.46,44283.0
2026-06-01 14:55:00+05:30,72.46,72.46,72.3,72.34,25576.0
2026-06-01 15:00:00+05:30,72.34,72.39,72.2,72.39,87859.0
2026-06-01 15:05:00+05:30,72.39,72.39,72.01,72.13,230926.0
2026-06-01 15:10:00+05:30,72.13,72.2,72.06,72.15,93768.0
2026-06-01 15:15:00+05:30,72.15,72.15,72.0,72.05,132804.0
2026-06-01 15:20:00+05:30,72.05,72.05,71.86,71.93,121058.0
2026-06-01 15:25:00+05:30,71.92,72.0,71.82,71.94,136393.0
2026-06-02 09:15:00+05:30,72.1,72.48,71.48,72.48,251051.0
2026-06-02 09:20:00+05:30,72.51,72.63,72.29,72.38,266394.0
2026-06-02 09:25:00+05:30,72.42,72.5,72.21,72.34,98927.0
2026-06-02 09:30:00+05:30,72.36,72.36,72.2,72.29,35673.0
2026-06-02 09:35:00+05:30,72.29,72.74,72.29,72.68,71658.0
2026-06-02 09:40:00+05:30,72.71,72.81,72.42,72.59,63190.0
2026-06-02 09:45:00+05:30,72.59,72.75,72.46,72.55,57041.0
2026-06-02 09:50:00+05:30,72.58,72.7,72.51,72.63,21772.0
2026-06-02 09:55:00+05:30,72.7,72.79,72.59,72.74,48935.0
2026-06-02 10:00:00+05:30,72.74,72.84,72.67,72.78,48113.0
2026-06-02 10:05:00+05:30,72.78,72.84,72.52,72.6,35209.0
2026-06-02 10:10:00+05:30,72.6,72.64,72.42,72.42,36255.0
2026-06-02 10:15:00+05:30,72.45,72.47,72.3,72.39,24053.0
2026-06-02 10:20:00+05:30,72.37,72.65,72.37,72.65,38074.0
2026-06-02 10:25:00+05:30,72.65,72.78,72.6,72.7,23346.0
2026-06-02 10:30:00+05:30,72.71,72.78,72.51,72.55,21615.0
2026-06-02 10:35:00+05:30,72.58,72.6,72.5,72.6,22289.0
2026-06-02 10:40:00+05:30,72.52,72.62,72.52,72.55,17513.0
2026-06-02 10:45:00+05:30,72.56,72.61,72.47,72.58,17757.0
2026-06-02 10:50:00+05:30,72.58,72.62,72.36,72.42,32623.0
2026-06-02 10:55:00+05:30,72.35,72.45,72.33,72.45,13568.0
2026-06-02 11:00:00+05:30,72.45,72.49,72.37,72.39,29099.0
2026-06-02 11:05:00+05:30,72.41,72.49,72.35,72.35,18374.0
2026-06-02 11:10:00+05:30,72.38,72.48,72.35,72.42,7197.0
2026-06-02 11:15:00+05:30,72.47,72.48,72.35,72.43,17057.0
2026-06-02 11:20:00+05:30,72.43,72.54,72.4,72.51,19662.0
2026-06-02 11:25:00+05:30,72.55,72.55,72.36,72.42,9512.0
2026-06-02 11:30:00+05:30,72.43,72.49,72.37,72.43,12436.0
2026-06-02 11:35:00+05:30,72.43,72.44,72.21,72.25,14091.0
2026-06-02 11:40:00+05:30,72.25,73.11,72.22,73.07,252255.0
2026-06-02 11:45:00+05:30,73.02,73.25,73.0,73.11,205468.0
2026-06-02 11:50:00+05:30,73.14,73.15,72.76,72.76,77460.0
2026-06-02 11:55:00+05:30,72.79,72.79,72.54,72.6,42656.0
2026-06-02 12:00:00+05:30,72.64,72.95,72.6,72.84,62718.0
2026-06-02 12:05:00+05:30,72.85,72.87,72.7,72.77,11542.0
2026-06-02 12:10:00+05:30,72.81,72.81,72.5,72.5,26731.0
2026-06-02 12:15:00+05:30,72.5,72.65,72.5,72.57,16057.0
2026-06-02 12:20:00+05:30,72.56,72.59,72.36,72.4,16913.0
2026-06-02 12:25:00+05:30,72.36,72.5,72.36,72.42,24610.0
2026-06-02 12:30:00+05:30,72.41,72.55,72.37,72.5,21573.0
2026-06-02 12:35:00+05:30,72.46,72.53,72.43,72.47,11683.0
2026-06-02 12:40:00+05:30,72.44,72.6,72.44,72.58,16878.0
2026-06-02 12:45:00+05:30,72.59,72.79,72.54,72.7,29420.0
2026-06-02 12:50:00+05:30,72.72,72.89,72.71,72.79,20558.0
2026-06-02 12:55:00+05:30,72.81,73.05,72.8,72.92,50040.0
2026-06-02 13:00:00+05:30,72.95,73.03,72.9,72.99,39191.0
2026-06-02 13:05:00+05:30,72.98,73.05,72.91,73.02,19568.0
2026-06-02 13:10:00+05:30,73.0,73.13,72.98,73.03,37240.0
2026-06-02 13:15:00+05:30,73.03,73.11,73.0,73.07,31602.0
