dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,846.2,853.85,844.95,853.85,778.0
2026-05-29 09:20:00+05:30,853.1,853.1,849.55,851.85,518.0
2026-05-29 09:25:00+05:30,850.35,850.4,846.05,846.05,725.0
2026-05-29 09:30:00+05:30,848.85,849.9,845.9,846.1,270.0
2026-05-29 09:35:00+05:30,845.55,845.55,842.5,844.9,182.0
2026-05-29 09:40:00+05:30,844.9,845.5,837.05,837.05,1305.0
2026-05-29 09:45:00+05:30,837.05,842.4,837.05,841.45,372.0
2026-05-29 09:50:00+05:30,841.45,845.3,841.45,843.9,288.0
2026-05-29 09:55:00+05:30,843.9,843.9,842.25,842.25,14.0
2026-05-29 10:00:00+05:30,844.25,844.4,842.75,844.4,525.0
2026-05-29 10:05:00+05:30,844.15,844.95,843.5,843.5,407.0
2026-05-29 10:10:00+05:30,843.5,845.4,843.2,845.0,1110.0
2026-05-29 10:15:00+05:30,845.85,846.0,843.15,843.15,106.0
2026-05-29 10:20:00+05:30,846.0,851.3,845.2,851.3,536.0
2026-05-29 10:25:00+05:30,851.3,851.9,849.0,851.0,373.0
2026-05-29 10:30:00+05:30,851.5,851.5,851.2,851.2,100.0
2026-05-29 10:35:00+05:30,851.2,851.4,851.2,851.4,6.0
2026-05-29 10:40:00+05:30,850.15,850.65,848.95,848.95,39.0
2026-05-29 10:45:00+05:30,850.45,850.45,848.55,849.05,62.0
2026-05-29 10:50:00+05:30,849.05,849.05,846.8,846.8,235.0
2026-05-29 10:55:00+05:30,849.05,849.05,848.65,848.65,13.0
2026-05-29 11:00:00+05:30,848.65,848.65,843.75,843.75,882.0
2026-05-29 11:05:00+05:30,843.75,843.75,842.15,843.15,142.0
2026-05-29 11:10:00+05:30,843.15,845.0,842.35,845.0,190.0
2026-05-29 11:15:00+05:30,842.15,845.45,842.15,844.5,192.0
2026-05-29 11:20:00+05:30,844.45,844.45,844.45,844.45,6.0
2026-05-29 11:25:00+05:30,844.45,844.45,844.45,844.45,53.0
2026-05-29 11:30:00+05:30,840.0,845.15,840.0,842.1,866.0
2026-05-29 11:35:00+05:30,842.1,845.2,842.0,844.5,493.0
2026-05-29 11:40:00+05:30,843.55,844.0,840.2,843.45,366.0
2026-05-29 11:45:00+05:30,844.0,847.0,844.0,846.85,201.0
2026-05-29 11:50:00+05:30,846.85,846.85,846.8,846.8,20.0
2026-05-29 11:55:00+05:30,846.8,846.8,845.2,845.2,95.0
2026-05-29 12:00:00+05:30,845.55,845.55,845.55,845.55,108.0
2026-05-29 12:05:00+05:30,847.55,847.55,846.35,846.35,34.0
2026-05-29 12:10:00+05:30,847.65,847.65,840.55,842.95,717.0
2026-05-29 12:15:00+05:30,842.95,842.95,842.95,842.95,54.0
2026-05-29 12:20:00+05:30,842.95,844.45,842.95,844.45,11.0
2026-05-29 12:25:00+05:30,844.35,844.35,844.35,844.35,7.0
2026-05-29 12:30:00+05:30,845.95,845.95,845.95,845.95,9.0
2026-05-29 12:35:00+05:30,844.55,844.55,844.0,844.0,633.0
2026-05-29 12:40:00+05:30,844.0,844.45,844.0,844.45,50.0
2026-05-29 12:45:00+05:30,844.45,844.45,844.45,844.45,0.0
2026-05-29 12:50:00+05:30,844.45,846.0,844.45,846.0,156.0
2026-05-29 12:55:00+05:30,845.8,846.15,844.55,846.15,609.0
2026-05-29 13:00:00+05:30,846.15,847.95,846.15,847.7,296.0
2026-05-29 13:05:00+05:30,847.85,848.45,847.05,848.45,56.0
2026-05-29 13:10:00+05:30,848.65,848.8,847.5,847.5,132.0
2026-05-29 13:15:00+05:30,847.5,848.15,846.4,847.5,42.0
2026-05-29 13:20:00+05:30,847.5,847.5,846.9,846.9,14.0
2026-05-29 13:25:00+05:30,845.55,846.0,840.25,840.25,598.0
2026-05-29 13:30:00+05:30,842.2,844.1,840.2,842.3,203.0
2026-05-29 13:35:00+05:30,842.3,843.8,840.05,840.05,196.0
2026-05-29 13:40:00+05:30,840.05,842.55,840.0,842.15,136.0
2026-05-29 13:45:00+05:30,841.0,843.15,840.0,841.3,193.0
2026-05-29 13:50:00+05:30,841.25,842.75,840.0,840.0,129.0
2026-05-29 13:55:00+05:30,840.0,841.9,840.0,840.25,149.0
2026-05-29 14:00:00+05:30,840.25,842.0,840.0,842.0,66.0
2026-05-29 14:05:00+05:30,843.9,845.85,843.7,845.85,321.0
2026-05-29 14:10:00+05:30,845.8,850.9,845.0,850.9,694.0
2026-05-29 14:15:00+05:30,850.95,852.0,846.1,852.0,1437.0
2026-05-29 14:20:00+05:30,852.0,852.0,850.55,852.0,2863.0
2026-05-29 14:25:00+05:30,852.0,860.7,852.0,860.25,2501.0
2026-05-29 14:30:00+05:30,860.3,861.9,860.0,861.9,1143.0
2026-05-29 14:35:00+05:30,861.9,864.9,860.65,860.65,1164.0
2026-05-29 14:40:00+05:30,860.8,861.5,859.65,859.65,803.0
2026-05-29 14:45:00+05:30,857.85,859.45,857.85,858.3,1035.0
2026-05-29 14:50:00+05:30,858.3,858.3,856.6,856.65,499.0
2026-05-29 14:55:00+05:30,857.45,858.35,857.25,858.2,1126.0
2026-05-29 15:00:00+05:30,857.0,857.0,850.6,850.6,610.0
2026-05-29 15:05:00+05:30,850.55,850.55,848.25,848.25,1253.0
2026-05-29 15:10:00+05:30,848.25,848.25,842.4,845.8,1309.0
2026-05-29 15:15:00+05:30,845.8,857.95,845.8,856.5,1229.0
2026-05-29 15:20:00+05:30,852.75,856.4,843.2,853.6,1268.0
2026-05-29 15:25:00+05:30,851.75,855.0,844.05,844.05,1206.0
2026-06-01 09:15:00+05:30,855.0,880.0,854.1,866.35,4462.0
