dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,1037.8,1071.7,1037.8,1051.3,18164.0
2026-05-29 09:20:00+05:30,1054.0,1066.3,1038.7,1045.6,27776.0
2026-05-29 09:25:00+05:30,1040.8,1044.0,1010.0,1012.6,22721.0
2026-05-29 09:30:00+05:30,1011.0,1018.9,1004.9,1018.9,7686.0
2026-05-29 09:35:00+05:30,1019.7,1019.9,1011.2,1011.2,2236.0
2026-05-29 09:40:00+05:30,1010.9,1010.9,999.0,1000.2,4733.0
2026-05-29 09:45:00+05:30,1000.0,1006.6,998.5,1003.7,3276.0
2026-05-29 09:50:00+05:30,1003.1,1005.3,998.5,998.5,1953.0
2026-05-29 09:55:00+05:30,998.1,998.1,990.5,994.0,4686.0
2026-05-29 10:00:00+05:30,994.0,995.9,992.0,994.6,1704.0
2026-05-29 10:05:00+05:30,996.2,997.2,993.7,995.5,711.0
2026-05-29 10:10:00+05:30,994.0,997.3,983.7,991.4,5906.0
2026-05-29 10:15:00+05:30,991.0,992.9,987.2,987.8,2253.0
2026-05-29 10:20:00+05:30,987.5,988.7,985.2,986.9,2721.0
2026-05-29 10:25:00+05:30,986.9,991.8,986.2,990.5,2481.0
2026-05-29 10:30:00+05:30,991.4,991.4,987.5,989.8,794.0
2026-05-29 10:35:00+05:30,990.0,990.9,983.1,984.3,4497.0
2026-05-29 10:40:00+05:30,982.0,983.5,980.5,980.9,1295.0
2026-05-29 10:45:00+05:30,979.0,979.5,976.9,978.0,3294.0
2026-05-29 10:50:00+05:30,975.6,976.8,972.0,972.0,2360.0
2026-05-29 10:55:00+05:30,973.3,973.3,965.2,966.0,5863.0
2026-05-29 11:00:00+05:30,967.7,971.9,966.0,970.5,3331.0
2026-05-29 11:05:00+05:30,971.0,971.0,963.1,964.4,4328.0
2026-05-29 11:10:00+05:30,964.5,967.0,963.0,964.0,1819.0
2026-05-29 11:15:00+05:30,964.9,967.5,964.0,967.0,736.0
2026-05-29 11:20:00+05:30,967.0,988.9,966.0,981.9,15406.0
2026-05-29 11:25:00+05:30,980.7,984.5,975.8,976.6,3439.0
2026-05-29 11:30:00+05:30,976.5,976.5,971.9,973.1,2519.0
2026-05-29 11:35:00+05:30,972.1,973.9,970.7,973.5,808.0
2026-05-29 11:40:00+05:30,973.4,973.4,970.8,971.7,659.0
2026-05-29 11:45:00+05:30,971.6,973.7,970.1,971.8,1816.0
2026-05-29 11:50:00+05:30,970.9,972.3,968.6,970.3,2904.0
2026-05-29 11:55:00+05:30,969.9,976.0,969.5,975.9,2103.0
2026-05-29 12:00:00+05:30,975.8,977.6,972.7,972.7,1633.0
2026-05-29 12:05:00+05:30,973.6,974.2,972.0,973.0,358.0
2026-05-29 12:10:00+05:30,973.0,973.0,970.2,971.1,585.0
2026-05-29 12:15:00+05:30,970.6,972.9,969.1,972.9,866.0
2026-05-29 12:20:00+05:30,972.8,973.9,972.8,973.9,249.0
2026-05-29 12:25:00+05:30,973.5,974.6,971.8,973.4,423.0
2026-05-29 12:30:00+05:30,973.4,973.7,971.0,971.0,545.0
2026-05-29 12:35:00+05:30,971.0,971.9,969.4,971.9,564.0
2026-05-29 12:40:00+05:30,971.3,971.8,970.1,970.8,296.0
2026-05-29 12:45:00+05:30,970.8,970.8,969.9,970.2,344.0
2026-05-29 12:50:00+05:30,970.2,970.4,967.4,967.4,1230.0
2026-05-29 12:55:00+05:30,968.2,968.2,966.0,967.0,466.0
2026-05-29 13:00:00+05:30,966.9,966.9,964.4,964.9,618.0
2026-05-29 13:05:00+05:30,964.9,964.9,954.6,960.3,6187.0
2026-05-29 13:10:00+05:30,960.4,967.0,959.5,960.9,4486.0
2026-05-29 13:15:00+05:30,959.9,960.1,958.1,958.6,1295.0
2026-05-29 13:20:00+05:30,958.6,958.6,955.1,955.9,1776.0
2026-05-29 13:25:00+05:30,955.9,956.4,952.8,955.8,1487.0
2026-05-29 13:30:00+05:30,956.3,957.8,955.6,957.7,803.0
2026-05-29 13:35:00+05:30,957.7,957.7,952.8,952.8,2281.0
2026-05-29 13:40:00+05:30,953.7,954.5,950.0,952.0,3017.0
2026-05-29 13:45:00+05:30,952.9,953.9,952.0,953.0,437.0
2026-05-29 13:50:00+05:30,954.5,954.5,951.6,952.6,1136.0
2026-05-29 13:55:00+05:30,952.6,953.0,946.6,952.4,4020.0
2026-05-29 14:00:00+05:30,952.5,952.5,950.0,950.0,277.0
2026-05-29 14:05:00+05:30,949.9,950.9,948.0,949.2,1508.0
2026-05-29 14:10:00+05:30,949.0,950.4,948.0,950.4,1153.0
2026-05-29 14:15:00+05:30,949.7,950.0,947.1,947.1,2126.0
2026-05-29 14:20:00+05:30,947.1,950.7,945.3,950.0,1776.0
2026-05-29 14:25:00+05:30,949.5,949.9,943.1,943.1,2731.0
2026-05-29 14:30:00+05:30,943.2,946.6,943.0,945.0,1724.0
2026-05-29 14:35:00+05:30,945.9,945.9,940.0,941.7,4600.0
2026-05-29 14:40:00+05:30,942.0,943.3,941.2,943.1,1305.0
2026-05-29 14:45:00+05:30,942.6,944.5,942.1,943.1,690.0
2026-05-29 14:50:00+05:30,942.9,943.8,938.9,940.0,5631.0
2026-05-29 14:55:00+05:30,940.9,942.6,939.5,941.9,2371.0
2026-05-29 15:00:00+05:30,940.8,940.8,935.0,935.1,5303.0
2026-05-29 15:05:00+05:30,935.0,936.2,926.5,931.8,15783.0
2026-05-29 15:10:00+05:30,931.8,932.0,923.0,927.4,11079.0
2026-05-29 15:15:00+05:30,928.4,934.8,924.0,928.4,11459.0
2026-05-29 15:20:00+05:30,928.3,933.4,923.4,932.9,11522.0
2026-05-29 15:25:00+05:30,935.2,935.2,925.0,928.0,7923.0
2026-06-01 09:15:00+05:30,940.0,940.0,927.6,927.6,5036.0
2026-06-01 09:20:00+05:30,927.3,927.3,915.0,918.0,8645.0
2026-06-01 09:25:00+05:30,915.05,917.8,909.5,914.8,4792.0
2026-06-01 09:30:00+05:30,914.8,928.35,913.75,925.7,4319.0
2026-06-01 09:35:00+05:30,925.7,926.4,915.0,918.65,3198.0
2026-06-01 09:40:00+05:30,918.75,918.75,915.0,915.0,1946.0
2026-06-01 09:45:00+05:30,916.0,920.25,915.5,916.25,2458.0
2026-06-01 09:50:00+05:30,916.95,924.3,916.35,920.55,2013.0
2026-06-01 09:55:00+05:30,920.15,925.5,919.75,923.1,1633.0
2026-06-01 10:00:00+05:30,923.2,925.3,921.45,921.5,1617.0
2026-06-01 10:05:00+05:30,921.45,925.5,921.0,923.15,863.0
2026-06-01 10:10:00+05:30,923.15,925.45,920.05,923.5,8270.0
2026-06-01 10:15:00+05:30,924.25,924.25,919.4,919.4,1886.0
2026-06-01 10:20:00+05:30,918.8,920.25,916.5,917.15,236.0
2026-06-01 10:25:00+05:30,917.15,918.45,912.9,917.3,1013.0
2026-06-01 10:30:00+05:30,917.35,922.5,916.35,920.6,316.0
2026-06-01 10:35:00+05:30,920.55,921.6,913.35,914.85,8700.0
2026-06-01 10:40:00+05:30,913.1,913.95,910.4,913.3,1481.0
2026-06-01 10:45:00+05:30,913.5,915.55,912.55,913.9,1029.0
2026-06-01 10:50:00+05:30,913.9,919.75,913.35,918.5,346.0
2026-06-01 10:55:00+05:30,918.65,920.0,918.45,918.45,365.0
2026-06-01 11:00:00+05:30,920.0,921.55,919.8,920.1,656.0
2026-06-01 11:05:00+05:30,920.1,921.3,919.15,920.0,712.0
2026-06-01 11:10:00+05:30,919.55,919.9,917.1,919.45,643.0
2026-06-01 11:15:00+05:30,917.9,920.0,917.75,919.05,237.0
2026-06-01 11:20:00+05:30,920.0,920.05,917.35,917.35,257.0
2026-06-01 11:25:00+05:30,917.35,918.35,915.0,915.0,334.0
2026-06-01 11:30:00+05:30,915.0,916.15,915.0,915.0,646.0
2026-06-01 11:35:00+05:30,915.0,915.7,912.6,912.6,888.0
2026-06-01 11:40:00+05:30,914.0,917.45,913.1,915.85,1100.0
2026-06-01 11:45:00+05:30,916.95,917.1,915.5,915.55,228.0
2026-06-01 11:50:00+05:30,917.05,920.0,917.0,919.4,1756.0
2026-06-01 11:55:00+05:30,922.5,924.85,921.45,921.55,1801.0
2026-06-01 12:00:00+05:30,921.55,923.0,921.1,921.1,179.0
2026-06-01 12:05:00+05:30,921.0,922.4,918.8,918.8,795.0
2026-06-01 12:10:00+05:30,918.8,919.6,918.25,918.6,206.0
2026-06-01 12:15:00+05:30,918.55,919.65,918.0,918.35,123.0
2026-06-01 12:20:00+05:30,918.35,919.6,918.35,918.6,106.0
2026-06-01 12:25:00+05:30,918.6,918.95,918.55,918.65,108.0
2026-06-01 12:30:00+05:30,918.65,919.75,918.65,918.75,93.0
2026-06-01 12:35:00+05:30,918.75,919.85,918.7,918.8,98.0
2026-06-01 12:40:00+05:30,918.8,919.3,918.5,919.3,279.0
2026-06-01 12:45:00+05:30,919.25,919.8,919.0,919.0,161.0
2026-06-01 12:50:00+05:30,919.0,919.55,919.0,919.0,130.0
2026-06-01 12:55:00+05:30,918.95,919.9,918.95,919.1,703.0
2026-06-01 13:00:00+05:30,918.95,921.45,918.95,921.0,634.0
2026-06-01 13:05:00+05:30,921.05,923.75,920.0,921.5,930.0
2026-06-01 13:10:00+05:30,921.5,922.65,920.6,921.5,408.0
2026-06-01 13:15:00+05:30,921.5,922.3,921.5,921.5,98.0
2026-06-01 13:20:00+05:30,921.55,922.4,921.3,921.5,111.0
2026-06-01 13:25:00+05:30,921.5,922.2,921.05,922.2,314.0
2026-06-01 13:30:00+05:30,921.5,923.4,921.0,922.3,362.0
2026-06-01 13:35:00+05:30,922.25,922.25,921.0,921.05,1106.0
2026-06-01 13:40:00+05:30,921.05,921.8,921.0,921.0,106.0
2026-06-01 13:45:00+05:30,921.0,921.0,916.5,916.5,871.0
2026-06-01 13:50:00+05:30,916.5,918.4,915.1,915.1,247.0
2026-06-01 13:55:00+05:30,915.0,916.0,915.0,915.0,102.0
2026-06-01 14:00:00+05:30,915.0,915.2,912.2,912.2,162.0
2026-06-01 14:05:00+05:30,912.15,913.6,912.05,912.05,306.0
2026-06-01 14:10:00+05:30,912.05,913.2,911.05,911.1,170.0
2026-06-01 14:15:00+05:30,911.0,912.35,910.4,910.55,518.0
2026-06-01 14:20:00+05:30,910.1,910.5,910.0,910.0,348.0
2026-06-01 14:25:00+05:30,909.6,910.5,907.0,907.0,1292.0
2026-06-01 14:30:00+05:30,907.4,907.4,902.25,903.4,4064.0
2026-06-01 14:35:00+05:30,903.4,905.8,903.4,904.85,219.0
2026-06-01 14:40:00+05:30,905.4,905.55,903.3,905.2,392.0
2026-06-01 14:45:00+05:30,904.95,911.45,904.6,911.1,2040.0
2026-06-01 14:50:00+05:30,911.1,913.45,909.4,909.4,1237.0
2026-06-01 14:55:00+05:30,909.35,911.3,909.15,909.35,343.0
2026-06-01 15:00:00+05:30,909.4,909.4,905.45,906.9,960.0
2026-06-01 15:05:00+05:30,905.85,914.1,905.85,914.1,1637.0
2026-06-01 15:10:00+05:30,912.25,913.25,902.0,903.6,2825.0
2026-06-01 15:15:00+05:30,905.75,908.8,901.3,905.45,3009.0
2026-06-01 15:20:00+05:30,905.45,906.0,902.8,903.95,1656.0
2026-06-01 15:25:00+05:30,902.3,906.5,902.05,902.95,2501.0
2026-06-02 09:15:00+05:30,905.65,906.1,900.55,905.9,1517.0
2026-06-02 09:20:00+05:30,908.95,913.3,908.15,910.0,1230.0
2026-06-02 09:25:00+05:30,907.3,914.25,907.3,909.95,915.0
2026-06-02 09:30:00+05:30,908.8,908.8,903.9,903.9,280.0
2026-06-02 09:35:00+05:30,905.25,910.55,904.6,907.95,470.0
2026-06-02 09:40:00+05:30,909.2,913.45,907.5,908.2,804.0
2026-06-02 09:45:00+05:30,907.6,908.95,906.15,906.8,395.0
2026-06-02 09:50:00+05:30,908.05,909.05,902.45,902.7,1393.0
2026-06-02 09:55:00+05:30,902.55,904.75,900.0,904.45,1510.0
2026-06-02 10:00:00+05:30,904.45,905.0,904.45,905.0,159.0
2026-06-02 10:05:00+05:30,904.55,905.9,902.85,905.2,705.0
2026-06-02 10:10:00+05:30,905.0,905.0,903.0,903.0,553.0
2026-06-02 10:15:00+05:30,902.5,902.5,900.2,900.2,333.0
2026-06-02 10:20:00+05:30,901.4,902.5,901.4,902.3,476.0
2026-06-02 10:25:00+05:30,903.85,904.85,901.8,904.85,326.0
2026-06-02 10:30:00+05:30,904.55,904.55,901.0,902.0,259.0
2026-06-02 10:35:00+05:30,902.35,905.0,902.35,905.0,329.0
2026-06-02 10:40:00+05:30,905.0,907.0,905.0,907.0,135.0
2026-06-02 10:45:00+05:30,906.65,906.65,904.65,904.8,345.0
2026-06-02 10:50:00+05:30,904.2,905.45,901.35,901.35,478.0
