dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,165.12,171.73,165.12,169.8,181889.0
2026-05-29 09:20:00+05:30,169.69,169.86,167.42,167.43,53449.0
2026-05-29 09:25:00+05:30,167.43,167.43,166.44,166.44,28931.0
2026-05-29 09:30:00+05:30,166.48,167.19,166.48,167.08,9658.0
2026-05-29 09:35:00+05:30,167.19,167.55,166.86,167.34,17308.0
2026-05-29 09:40:00+05:30,167.39,167.44,166.65,166.9,24974.0
2026-05-29 09:45:00+05:30,166.81,167.35,166.77,167.17,7854.0
2026-05-29 09:50:00+05:30,167.19,168.55,167.09,168.16,34285.0
2026-05-29 09:55:00+05:30,168.16,168.16,167.69,167.9,6294.0
2026-05-29 10:00:00+05:30,167.83,168.07,167.59,168.0,7883.0
2026-05-29 10:05:00+05:30,168.0,168.14,167.86,168.0,9294.0
2026-05-29 10:10:00+05:30,168.0,168.63,168.0,168.45,14040.0
2026-05-29 10:15:00+05:30,168.24,168.7,168.24,168.53,8352.0
2026-05-29 10:20:00+05:30,168.52,168.64,168.2,168.3,11308.0
2026-05-29 10:25:00+05:30,168.2,168.31,167.8,168.03,7947.0
2026-05-29 10:30:00+05:30,168.04,168.31,167.86,168.1,9770.0
2026-05-29 10:35:00+05:30,168.14,168.16,167.76,167.86,4867.0
2026-05-29 10:40:00+05:30,167.73,167.8,167.37,167.48,5890.0
2026-05-29 10:45:00+05:30,167.5,167.57,167.33,167.34,5113.0
2026-05-29 10:50:00+05:30,167.42,167.46,167.12,167.21,4521.0
2026-05-29 10:55:00+05:30,167.15,167.5,167.15,167.28,6521.0
2026-05-29 11:00:00+05:30,167.32,167.58,167.26,167.52,6081.0
2026-05-29 11:05:00+05:30,167.54,167.6,167.34,167.54,4982.0
2026-05-29 11:10:00+05:30,167.44,167.5,167.0,167.0,12239.0
2026-05-29 11:15:00+05:30,167.11,168.9,167.11,168.8,18325.0
2026-05-29 11:20:00+05:30,168.75,169.0,168.22,168.84,18819.0
2026-05-29 11:25:00+05:30,168.81,168.89,168.42,168.79,6930.0
2026-05-29 11:30:00+05:30,168.65,168.78,168.53,168.59,5223.0
2026-05-29 11:35:00+05:30,168.59,168.74,168.41,168.41,6461.0
2026-05-29 11:40:00+05:30,168.41,168.89,168.41,168.78,9918.0
2026-05-29 11:45:00+05:30,168.78,168.9,168.15,168.3,14058.0
2026-05-29 11:50:00+05:30,168.6,168.68,168.41,168.54,4007.0
2026-05-29 11:55:00+05:30,168.55,168.59,168.3,168.31,3715.0
2026-05-29 12:00:00+05:30,168.14,168.31,167.64,167.71,4515.0
2026-05-29 12:05:00+05:30,167.74,167.8,167.61,167.73,9550.0
2026-05-29 12:10:00+05:30,167.65,167.7,167.17,167.36,2393.0
2026-05-29 12:15:00+05:30,167.36,167.4,167.12,167.38,4972.0
2026-05-29 12:20:00+05:30,167.37,167.5,167.16,167.2,10556.0
2026-05-29 12:25:00+05:30,167.2,167.5,167.2,167.37,6022.0
2026-05-29 12:30:00+05:30,167.36,167.53,167.23,167.44,3792.0
2026-05-29 12:35:00+05:30,167.23,167.46,167.18,167.46,4723.0
2026-05-29 12:40:00+05:30,167.34,167.52,167.14,167.47,9948.0
2026-05-29 12:45:00+05:30,167.47,167.51,167.26,167.42,3049.0
2026-05-29 12:50:00+05:30,167.2,167.37,167.02,167.02,8161.0
2026-05-29 12:55:00+05:30,167.15,167.15,166.82,166.97,8313.0
2026-05-29 13:00:00+05:30,166.96,166.96,166.76,166.78,3775.0
2026-05-29 13:05:00+05:30,166.75,166.87,166.31,166.6,6995.0
2026-05-29 13:10:00+05:30,166.39,166.63,166.3,166.41,10028.0
2026-05-29 13:15:00+05:30,166.25,166.42,166.25,166.39,2840.0
2026-05-29 13:20:00+05:30,166.4,166.44,166.11,166.38,4401.0
2026-05-29 13:25:00+05:30,166.4,166.85,166.38,166.47,8816.0
2026-05-29 13:30:00+05:30,166.47,166.86,166.46,166.73,6842.0
2026-05-29 13:35:00+05:30,166.73,166.94,166.49,166.94,11312.0
2026-05-29 13:40:00+05:30,166.99,168.7,166.82,168.6,38173.0
2026-05-29 13:45:00+05:30,168.6,169.48,168.6,169.21,67809.0
2026-05-29 13:50:00+05:30,169.24,169.25,168.8,169.03,30451.0
2026-05-29 13:55:00+05:30,169.02,169.3,168.89,169.29,22241.0
2026-05-29 14:00:00+05:30,169.29,169.3,168.92,169.05,28431.0
2026-05-29 14:05:00+05:30,169.05,169.12,168.77,168.88,24957.0
2026-05-29 14:10:00+05:30,168.88,168.99,168.64,168.78,16710.0
2026-05-29 14:15:00+05:30,168.78,168.87,168.2,168.24,25289.0
2026-05-29 14:20:00+05:30,168.29,168.43,168.23,168.41,14939.0
2026-05-29 14:25:00+05:30,168.41,168.98,167.96,168.21,38261.0
2026-05-29 14:30:00+05:30,168.27,168.81,168.0,168.46,107139.0
2026-05-29 14:35:00+05:30,168.46,168.98,168.12,168.43,41132.0
2026-05-29 14:40:00+05:30,168.39,168.48,168.16,168.46,17782.0
2026-05-29 14:45:00+05:30,168.48,168.65,168.2,168.3,19508.0
2026-05-29 14:50:00+05:30,168.3,168.32,168.0,168.2,16672.0
2026-05-29 14:55:00+05:30,168.21,168.66,168.04,168.31,17642.0
2026-05-29 15:00:00+05:30,168.28,169.15,168.12,168.88,108290.0
