dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,75.25,78.3,75.25,77.89,885587.0
2026-05-29 09:20:00+05:30,77.89,77.89,75.51,75.84,539664.0
2026-05-29 09:25:00+05:30,75.72,76.33,75.25,75.55,355397.0
2026-05-29 09:30:00+05:30,75.5,76.0,75.2,76.0,169726.0
2026-05-29 09:35:00+05:30,75.94,76.71,75.81,76.22,277846.0
2026-05-29 09:40:00+05:30,76.23,76.38,75.31,75.57,208793.0
2026-05-29 09:45:00+05:30,75.54,75.99,75.48,75.84,113146.0
2026-05-29 09:50:00+05:30,75.78,76.0,75.7,75.75,79210.0
2026-05-29 09:55:00+05:30,75.86,75.91,75.48,75.68,71787.0
2026-05-29 10:00:00+05:30,75.82,75.84,75.1,75.42,167839.0
2026-05-29 10:05:00+05:30,75.44,75.8,75.3,75.76,85118.0
2026-05-29 10:10:00+05:30,75.76,75.89,75.3,75.35,111487.0
2026-05-29 10:15:00+05:30,75.33,75.62,75.33,75.43,64038.0
2026-05-29 10:20:00+05:30,75.43,75.64,75.37,75.5,49376.0
2026-05-29 10:25:00+05:30,75.51,75.62,75.32,75.32,47976.0
2026-05-29 10:30:00+05:30,75.32,75.57,75.2,75.43,134497.0
2026-05-29 10:35:00+05:30,75.43,75.65,75.2,75.2,134926.0
2026-05-29 10:40:00+05:30,75.2,75.37,75.12,75.22,80403.0
2026-05-29 10:45:00+05:30,75.22,75.49,75.15,75.21,40150.0
2026-05-29 10:50:00+05:30,75.23,75.5,75.23,75.4,49881.0
2026-05-29 10:55:00+05:30,75.4,75.4,75.2,75.25,47750.0
2026-05-29 11:00:00+05:30,75.25,75.48,75.22,75.22,92656.0
2026-05-29 11:05:00+05:30,75.22,75.46,75.22,75.3,28783.0
2026-05-29 11:10:00+05:30,75.47,75.49,75.26,75.33,32372.0
2026-05-29 11:15:00+05:30,75.45,75.6,75.31,75.52,47744.0
2026-05-29 11:20:00+05:30,75.58,76.64,75.2,75.47,580572.0
2026-05-29 11:25:00+05:30,75.49,75.73,75.31,75.36,63026.0
2026-05-29 11:30:00+05:30,75.33,75.71,75.22,75.41,79345.0
2026-05-29 11:35:00+05:30,75.41,75.49,75.2,75.3,31506.0
2026-05-29 11:40:00+05:30,75.29,75.3,74.57,74.91,230064.0
2026-05-29 11:45:00+05:30,74.99,74.99,74.76,74.95,55017.0
2026-05-29 11:50:00+05:30,74.94,75.11,74.85,75.01,34003.0
2026-05-29 11:55:00+05:30,75.13,75.14,74.95,75.01,30741.0
2026-05-29 12:00:00+05:30,75.02,75.12,74.98,75.02,10605.0
2026-05-29 12:05:00+05:30,75.14,75.14,74.98,74.98,16130.0
2026-05-29 12:10:00+05:30,74.98,75.0,74.74,74.91,53971.0
2026-05-29 12:15:00+05:30,74.99,75.14,74.92,74.95,14586.0
2026-05-29 12:20:00+05:30,75.01,75.22,75.0,75.0,17424.0
2026-05-29 12:25:00+05:30,74.95,74.99,74.83,74.98,18922.0
2026-05-29 12:30:00+05:30,74.98,75.04,74.9,75.04,21227.0
2026-05-29 12:35:00+05:30,74.96,75.05,74.9,75.04,11149.0
2026-05-29 12:40:00+05:30,74.96,75.05,74.91,75.0,7861.0
2026-05-29 12:45:00+05:30,75.0,75.23,74.92,75.0,35624.0
2026-05-29 12:50:00+05:30,75.0,75.3,74.9,75.0,34277.0
2026-05-29 12:55:00+05:30,75.1,75.1,74.95,74.96,5245.0
2026-05-29 13:00:00+05:30,74.99,75.0,74.95,74.98,20058.0
2026-05-29 13:05:00+05:30,74.98,75.0,74.87,74.89,43809.0
2026-05-29 13:10:00+05:30,74.95,74.98,74.86,74.86,9544.0
2026-05-29 13:15:00+05:30,74.9,74.92,74.62,74.87,30095.0
2026-05-29 13:20:00+05:30,74.87,74.99,74.5,74.7,63258.0
2026-05-29 13:25:00+05:30,74.61,74.93,74.6,74.74,34809.0
2026-05-29 13:30:00+05:30,74.75,75.17,74.74,74.96,62065.0
2026-05-29 13:35:00+05:30,74.92,75.09,74.68,74.72,42858.0
2026-05-29 13:40:00+05:30,74.89,74.94,74.77,74.83,9259.0
2026-05-29 13:45:00+05:30,74.82,74.95,74.77,74.79,8704.0
2026-05-29 13:50:00+05:30,74.91,75.01,74.78,74.81,28646.0
2026-05-29 13:55:00+05:30,75.0,75.0,74.51,74.61,133355.0
2026-05-29 14:00:00+05:30,74.74,75.48,74.74,74.9,58725.0
2026-05-29 14:05:00+05:30,74.91,75.11,74.85,74.9,29454.0
