dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,635.95,639.7,628.85,632.75,25368.0
2026-05-29 09:20:00+05:30,632.95,637.0,632.05,634.15,9718.0
2026-05-29 09:25:00+05:30,634.1,634.15,631.0,631.0,7244.0
2026-05-29 09:30:00+05:30,630.0,630.3,621.05,622.1,25092.0
2026-05-29 09:35:00+05:30,621.7,622.3,619.0,619.25,11713.0
2026-05-29 09:40:00+05:30,619.95,619.95,614.0,614.5,51077.0
2026-05-29 09:45:00+05:30,614.9,619.45,614.9,619.45,5871.0
2026-05-29 09:50:00+05:30,620.0,620.0,617.9,619.55,8308.0
2026-05-29 09:55:00+05:30,619.65,621.9,615.55,619.8,12894.0
2026-05-29 10:00:00+05:30,620.95,626.3,620.95,626.05,9551.0
2026-05-29 10:05:00+05:30,625.2,626.35,624.0,624.15,2416.0
2026-05-29 10:10:00+05:30,624.2,625.75,624.0,625.15,1421.0
2026-05-29 10:15:00+05:30,624.15,625.2,623.7,625.0,5288.0
2026-05-29 10:20:00+05:30,625.95,625.95,620.0,620.95,7321.0
2026-05-29 10:25:00+05:30,620.9,621.4,620.25,620.75,2053.0
2026-05-29 10:30:00+05:30,620.7,623.15,620.05,622.6,5484.0
2026-05-29 10:35:00+05:30,622.8,623.7,622.0,623.1,966.0
2026-05-29 10:40:00+05:30,623.3,623.3,622.2,622.85,1052.0
2026-05-29 10:45:00+05:30,622.2,623.0,622.0,622.8,875.0
2026-05-29 10:50:00+05:30,622.8,623.25,622.1,622.9,908.0
2026-05-29 10:55:00+05:30,623.2,623.7,621.7,622.95,1007.0
2026-05-29 11:00:00+05:30,623.65,623.95,623.1,623.65,1000.0
2026-05-29 11:05:00+05:30,623.65,623.7,622.3,623.45,4984.0
2026-05-29 11:10:00+05:30,623.35,623.6,622.85,623.6,419.0
2026-05-29 11:15:00+05:30,623.6,624.15,623.0,623.0,1418.0
2026-05-29 11:20:00+05:30,623.45,623.95,619.15,620.45,12757.0
2026-05-29 11:25:00+05:30,620.45,620.45,619.05,619.6,516.0
2026-05-29 11:30:00+05:30,620.2,620.65,619.05,619.95,2863.0
2026-05-29 11:35:00+05:30,620.0,620.15,618.0,619.7,3379.0
2026-05-29 11:40:00+05:30,620.3,620.3,619.0,619.8,1753.0
2026-05-29 11:45:00+05:30,619.25,619.25,616.95,616.95,6172.0
2026-05-29 11:50:00+05:30,617.0,619.2,616.0,617.65,6035.0
2026-05-29 11:55:00+05:30,617.6,617.65,616.2,616.75,2853.0
2026-05-29 12:00:00+05:30,616.75,616.9,615.8,616.2,3095.0
2026-05-29 12:05:00+05:30,616.45,616.45,611.4,613.5,23002.0
2026-05-29 12:10:00+05:30,613.5,614.0,612.0,613.2,3602.0
2026-05-29 12:15:00+05:30,613.2,614.25,613.0,614.1,2811.0
2026-05-29 12:20:00+05:30,613.85,615.2,613.85,614.2,1845.0
2026-05-29 12:25:00+05:30,613.1,615.7,613.1,614.45,3738.0
2026-05-29 12:30:00+05:30,615.45,615.55,614.55,614.65,4768.0
2026-05-29 12:35:00+05:30,615.45,615.95,614.55,615.95,1596.0
2026-05-29 12:40:00+05:30,615.95,615.95,614.45,615.0,1186.0
2026-05-29 12:45:00+05:30,615.0,615.9,614.95,615.85,3746.0
2026-05-29 12:50:00+05:30,615.85,615.9,612.4,612.75,4634.0
2026-05-29 12:55:00+05:30,612.75,613.2,612.05,613.15,2623.0
2026-05-29 13:00:00+05:30,613.25,613.25,612.0,612.7,369.0
2026-05-29 13:05:00+05:30,612.85,612.85,612.0,612.5,1820.0
2026-05-29 13:10:00+05:30,612.5,612.65,611.55,612.0,812.0
2026-05-29 13:15:00+05:30,611.55,612.9,611.1,612.9,2781.0
2026-05-29 13:20:00+05:30,612.2,613.1,611.2,612.7,6934.0
2026-05-29 13:25:00+05:30,613.0,613.7,610.5,611.35,10911.0
2026-05-29 13:30:00+05:30,612.45,612.45,610.55,611.0,8505.0
2026-05-29 13:35:00+05:30,611.55,611.7,610.55,610.75,1479.0
