dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,75.0,75.63,74.5,75.4,213432.0
2026-05-29 09:20:00+05:30,75.54,75.73,75.4,75.4,72381.0
2026-05-29 09:25:00+05:30,75.48,75.48,74.4,74.49,93251.0
2026-05-29 09:30:00+05:30,74.4,74.45,74.19,74.43,65696.0
2026-05-29 09:35:00+05:30,74.41,74.74,74.26,74.31,49957.0
2026-05-29 09:40:00+05:30,74.43,74.47,73.64,73.72,62977.0
2026-05-29 09:45:00+05:30,73.7,74.05,73.66,73.9,31729.0
2026-05-29 09:50:00+05:30,73.85,73.87,73.25,73.33,130289.0
2026-05-29 09:55:00+05:30,73.27,73.29,73.0,73.09,111025.0
2026-05-29 10:00:00+05:30,73.16,73.39,73.14,73.31,21853.0
2026-05-29 10:05:00+05:30,73.31,73.39,73.15,73.38,31490.0
2026-05-29 10:10:00+05:30,73.33,73.37,73.14,73.25,8799.0
2026-05-29 10:15:00+05:30,73.12,73.15,72.83,72.9,49157.0
2026-05-29 10:20:00+05:30,72.9,72.92,72.7,72.79,127419.0
2026-05-29 10:25:00+05:30,72.75,72.79,72.6,72.6,33171.0
2026-05-29 10:30:00+05:30,72.67,72.78,72.6,72.78,23991.0
2026-05-29 10:35:00+05:30,72.72,73.12,72.71,73.05,13501.0
2026-05-29 10:40:00+05:30,73.05,73.05,72.83,73.0,21303.0
2026-05-29 10:45:00+05:30,73.0,73.0,72.83,72.83,4810.0
2026-05-29 10:50:00+05:30,72.83,72.99,72.83,72.95,4400.0
2026-05-29 10:55:00+05:30,73.0,73.29,73.0,73.25,10319.0
2026-05-29 11:00:00+05:30,73.25,73.29,73.19,73.21,25790.0
2026-05-29 11:05:00+05:30,73.15,73.33,73.1,73.29,54593.0
2026-05-29 11:10:00+05:30,73.25,73.3,73.23,73.25,3273.0
2026-05-29 11:15:00+05:30,73.28,73.28,73.25,73.28,783.0
2026-05-29 11:20:00+05:30,73.24,73.33,73.22,73.28,98023.0
2026-05-29 11:25:00+05:30,73.3,73.78,73.3,73.68,213327.0
2026-05-29 11:30:00+05:30,73.59,73.6,73.36,73.43,14652.0
2026-05-29 11:35:00+05:30,73.43,73.5,73.36,73.49,8668.0
2026-05-29 11:40:00+05:30,73.5,73.5,73.36,73.47,15082.0
2026-05-29 11:45:00+05:30,73.45,73.68,73.45,73.64,11113.0
2026-05-29 11:50:00+05:30,73.57,73.65,73.57,73.6,1410.0
2026-05-29 11:55:00+05:30,73.6,73.72,73.57,73.57,6573.0
2026-05-29 12:00:00+05:30,73.62,73.62,73.32,73.32,30329.0
2026-05-29 12:05:00+05:30,73.45,73.45,73.29,73.33,12517.0
2026-05-29 12:10:00+05:30,73.2,73.31,73.0,73.18,18111.0
2026-05-29 12:15:00+05:30,73.17,73.24,73.02,73.23,5673.0
2026-05-29 12:20:00+05:30,73.14,73.21,73.14,73.18,613.0
2026-05-29 12:25:00+05:30,73.21,73.34,73.21,73.25,4344.0
2026-05-29 12:30:00+05:30,73.25,73.3,73.2,73.27,2855.0
2026-05-29 12:35:00+05:30,73.2,73.29,73.1,73.18,16496.0
2026-05-29 12:40:00+05:30,73.27,73.27,73.24,73.24,480.0
2026-05-29 12:45:00+05:30,73.24,73.27,73.14,73.26,2710.0
2026-05-29 12:50:00+05:30,73.2,73.25,73.14,73.14,1926.0
2026-05-29 12:55:00+05:30,73.11,73.15,73.05,73.06,22293.0
2026-05-29 13:00:00+05:30,73.1,73.18,73.1,73.1,1933.0
2026-05-29 13:05:00+05:30,73.06,73.26,73.02,73.26,23374.0
2026-05-29 13:10:00+05:30,73.26,73.3,73.19,73.24,13086.0
2026-05-29 13:15:00+05:30,73.24,73.34,73.15,73.3,8927.0
2026-05-29 13:20:00+05:30,73.3,73.3,73.14,73.16,3456.0
2026-05-29 13:25:00+05:30,73.14,73.23,73.09,73.22,2755.0
2026-05-29 13:30:00+05:30,73.22,73.22,73.11,73.21,4677.0
2026-05-29 13:35:00+05:30,73.14,73.25,73.13,73.13,4134.0
2026-05-29 13:40:00+05:30,73.13,73.34,73.13,73.3,22629.0
2026-05-29 13:45:00+05:30,73.3,73.38,73.1,73.23,26647.0
2026-05-29 13:50:00+05:30,73.23,73.23,73.12,73.12,1837.0
2026-05-29 13:55:00+05:30,73.15,73.24,73.0,73.15,35525.0
2026-05-29 14:00:00+05:30,73.22,73.22,73.15,73.22,1837.0
2026-05-29 14:05:00+05:30,73.22,73.29,73.19,73.25,6258.0
2026-05-29 14:10:00+05:30,73.19,73.3,73.19,73.3,4078.0
2026-05-29 14:15:00+05:30,73.3,73.3,73.15,73.18,3625.0
2026-05-29 14:20:00+05:30,73.19,73.19,72.91,73.04,85195.0
2026-05-29 14:25:00+05:30,73.01,73.03,72.84,73.0,49038.0
2026-05-29 14:30:00+05:30,73.03,73.4,73.03,73.25,62143.0
2026-05-29 14:35:00+05:30,73.28,73.28,73.1,73.27,14897.0
2026-05-29 14:40:00+05:30,73.27,73.4,73.27,73.39,22598.0
2026-05-29 14:45:00+05:30,73.35,73.35,73.18,73.32,14087.0
2026-05-29 14:50:00+05:30,73.27,73.31,73.17,73.17,664.0
2026-05-29 14:55:00+05:30,73.15,73.15,73.0,73.0,17803.0
2026-05-29 15:00:00+05:30,73.06,73.06,72.6,72.6,81840.0
2026-05-29 15:05:00+05:30,72.6,72.76,72.5,72.6,72569.0
2026-05-29 15:10:00+05:30,72.61,72.67,71.65,71.65,196834.0
2026-05-29 15:15:00+05:30,71.76,72.11,71.75,72.11,71122.0
2026-05-29 15:20:00+05:30,72.11,72.16,71.81,71.99,58295.0
