dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,69.0,69.1,68.55,69.1,916.0
2026-05-29 09:20:00+05:30,69.1,69.1,68.54,68.54,2233.0
2026-05-29 09:25:00+05:30,68.72,68.72,68.66,68.66,141.0
2026-05-29 09:30:00+05:30,68.66,68.94,68.3,68.6,3396.0
2026-05-29 09:35:00+05:30,68.61,68.98,68.3,68.59,2193.0
2026-05-29 09:40:00+05:30,68.59,68.59,68.45,68.45,697.0
2026-05-29 09:45:00+05:30,68.45,68.63,68.34,68.63,448.0
2026-05-29 09:50:00+05:30,68.32,68.65,68.32,68.49,171.0
2026-05-29 09:55:00+05:30,68.47,68.89,68.45,68.87,2742.0
2026-05-29 10:00:00+05:30,68.87,68.87,68.82,68.82,50.0
2026-05-29 10:05:00+05:30,68.82,68.82,68.64,68.64,50.0
2026-05-29 10:10:00+05:30,68.64,68.86,68.64,68.67,2037.0
2026-05-29 10:15:00+05:30,68.67,68.68,68.67,68.68,232.0
2026-05-29 10:20:00+05:30,68.68,68.68,68.52,68.6,565.0
2026-05-29 10:25:00+05:30,68.6,68.7,68.6,68.7,3.0
2026-05-29 10:30:00+05:30,68.69,68.86,68.69,68.85,211.0
2026-05-29 10:35:00+05:30,68.85,68.85,68.55,68.55,130.0
2026-05-29 10:40:00+05:30,68.55,68.68,68.55,68.68,417.0
2026-05-29 10:45:00+05:30,68.68,68.68,68.68,68.68,0.0
2026-05-29 10:50:00+05:30,68.68,68.68,68.35,68.35,1300.0
2026-05-29 10:55:00+05:30,68.35,68.58,68.35,68.58,227.0
2026-05-29 11:00:00+05:30,68.58,68.58,68.54,68.54,41.0
2026-05-29 11:05:00+05:30,68.54,68.54,68.54,68.54,0.0
2026-05-29 11:10:00+05:30,68.54,68.54,68.54,68.54,100.0
2026-05-29 11:15:00+05:30,68.54,68.54,68.45,68.45,2928.0
2026-05-29 11:20:00+05:30,68.45,68.45,68.45,68.45,1059.0
2026-05-29 11:25:00+05:30,68.45,68.45,68.45,68.45,0.0
2026-05-29 11:30:00+05:30,68.45,68.45,68.4,68.4,82.0
2026-05-29 11:35:00+05:30,68.4,68.4,68.0,68.11,5188.0
2026-05-29 11:40:00+05:30,68.11,68.11,68.01,68.01,332.0
2026-05-29 11:45:00+05:30,68.01,68.27,68.01,68.27,35.0
2026-05-29 11:50:00+05:30,68.27,68.33,68.27,68.33,15.0
2026-05-29 11:55:00+05:30,68.33,68.33,68.0,68.0,2540.0
2026-05-29 12:00:00+05:30,68.0,68.18,68.0,68.18,270.0
2026-05-29 12:05:00+05:30,68.18,68.18,68.18,68.18,100.0
2026-05-29 12:10:00+05:30,68.18,68.21,68.18,68.21,75.0
2026-05-29 12:15:00+05:30,68.21,68.39,68.03,68.39,1051.0
2026-05-29 12:20:00+05:30,68.39,68.39,67.77,67.83,1055.0
2026-05-29 12:25:00+05:30,67.83,67.83,67.83,67.83,0.0
2026-05-29 12:30:00+05:30,67.83,67.86,67.83,67.86,100.0
2026-05-29 12:35:00+05:30,67.86,68.1,67.86,68.1,218.0
2026-05-29 12:40:00+05:30,67.9,67.91,67.9,67.9,293.0
2026-05-29 12:45:00+05:30,67.9,67.9,67.9,67.9,0.0
2026-05-29 12:50:00+05:30,67.92,67.92,67.83,67.83,1109.0
2026-05-29 12:55:00+05:30,67.83,68.04,67.83,68.04,150.0
2026-05-29 13:00:00+05:30,67.83,68.09,67.83,68.09,1054.0
2026-05-29 13:05:00+05:30,68.06,68.06,68.06,68.06,3.0
2026-05-29 13:10:00+05:30,68.06,68.06,68.06,68.06,0.0
2026-05-29 13:15:00+05:30,67.83,67.83,67.78,67.78,1613.0
2026-05-29 13:20:00+05:30,67.78,68.11,67.75,67.88,2794.0
2026-05-29 13:25:00+05:30,67.88,67.88,67.66,67.66,530.0
2026-05-29 13:30:00+05:30,67.89,67.9,67.57,67.79,1254.0
2026-05-29 13:35:00+05:30,67.77,67.77,67.75,67.75,17.0
2026-05-29 13:40:00+05:30,67.75,67.75,67.75,67.75,1.0
2026-05-29 13:45:00+05:30,67.75,67.94,67.75,67.94,150.0
2026-05-29 13:50:00+05:30,67.94,67.94,67.92,67.92,2.0
2026-05-29 13:55:00+05:30,67.75,67.89,67.56,67.89,493.0
2026-05-29 14:00:00+05:30,67.84,67.84,67.5,67.84,868.0
2026-05-29 14:05:00+05:30,67.82,67.82,67.82,67.82,100.0
2026-05-29 14:10:00+05:30,67.51,67.84,67.51,67.77,56.0
2026-05-29 14:15:00+05:30,67.53,67.53,67.53,67.53,266.0
2026-05-29 14:20:00+05:30,67.53,67.69,67.53,67.69,138.0
2026-05-29 14:25:00+05:30,67.69,67.7,67.54,67.54,665.0
2026-05-29 14:30:00+05:30,67.54,67.56,67.54,67.56,30.0
2026-05-29 14:35:00+05:30,67.56,67.77,67.56,67.6,118.0
2026-05-29 14:40:00+05:30,67.6,67.72,67.6,67.7,445.0
2026-05-29 14:45:00+05:30,67.7,67.77,67.7,67.77,401.0
2026-05-29 14:50:00+05:30,67.77,67.89,67.61,67.84,618.0
2026-05-29 14:55:00+05:30,67.6,67.62,67.6,67.6,1134.0
2026-05-29 15:00:00+05:30,67.89,67.89,67.45,67.5,6183.0
2026-05-29 15:05:00+05:30,67.67,67.67,67.22,67.5,623.0
2026-05-29 15:10:00+05:30,67.46,67.46,67.25,67.43,1297.0
