dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,636.95,636.95,629.8,633.0,2893.0
2026-05-29 09:20:00+05:30,634.45,636.0,634.0,635.1,5099.0
2026-05-29 09:25:00+05:30,635.1,636.75,635.0,635.2,1430.0
2026-05-29 09:30:00+05:30,635.2,635.9,634.85,635.45,383.0
2026-05-29 09:35:00+05:30,635.6,636.7,635.05,635.95,4019.0
2026-05-29 09:40:00+05:30,635.35,636.0,633.0,633.0,2361.0
2026-05-29 09:45:00+05:30,633.1,635.5,633.1,635.45,1042.0
2026-05-29 09:50:00+05:30,635.35,635.4,633.9,634.0,1965.0
2026-05-29 09:55:00+05:30,634.0,634.5,634.0,634.0,1893.0
2026-05-29 10:00:00+05:30,634.0,634.8,634.0,634.75,836.0
2026-05-29 10:05:00+05:30,634.75,635.5,634.55,635.5,914.0
2026-05-29 10:10:00+05:30,635.5,636.0,635.2,636.0,822.0
2026-05-29 10:15:00+05:30,636.0,636.95,635.0,636.95,2594.0
2026-05-29 10:20:00+05:30,637.2,638.55,637.2,638.55,1110.0
2026-05-29 10:25:00+05:30,638.65,640.95,637.5,640.0,12348.0
2026-05-29 10:30:00+05:30,638.6,638.6,635.7,636.0,684.0
2026-05-29 10:35:00+05:30,636.0,636.75,636.0,636.25,54.0
2026-05-29 10:40:00+05:30,636.7,636.7,635.65,635.85,49.0
2026-05-29 10:45:00+05:30,635.4,635.7,635.15,635.15,208.0
2026-05-29 10:50:00+05:30,635.15,635.4,635.0,635.35,101.0
2026-05-29 10:55:00+05:30,635.7,635.8,635.55,635.7,241.0
2026-05-29 11:00:00+05:30,635.7,636.1,635.1,635.65,246.0
2026-05-29 11:05:00+05:30,635.7,635.75,635.35,635.75,209.0
2026-05-29 11:10:00+05:30,636.0,636.0,635.0,635.0,331.0
2026-05-29 11:15:00+05:30,635.65,636.0,635.65,636.0,148.0
2026-05-29 11:20:00+05:30,636.0,636.5,635.0,635.7,519.0
2026-05-29 11:25:00+05:30,635.7,635.7,635.7,635.7,18.0
2026-05-29 11:30:00+05:30,635.5,635.5,635.0,635.0,112.0
2026-05-29 11:35:00+05:30,635.0,635.6,635.0,635.6,366.0
2026-05-29 11:40:00+05:30,635.3,635.8,635.3,635.8,14.0
2026-05-29 11:45:00+05:30,635.8,635.8,635.0,635.0,152.0
2026-05-29 11:50:00+05:30,635.0,636.05,635.0,635.6,235.0
2026-05-29 11:55:00+05:30,636.3,636.3,635.55,635.55,248.0
2026-05-29 12:00:00+05:30,635.05,635.85,635.0,635.0,210.0
2026-05-29 12:05:00+05:30,635.0,635.9,635.0,635.35,146.0
2026-05-29 12:10:00+05:30,635.15,635.7,635.0,635.7,3882.0
2026-05-29 12:15:00+05:30,635.0,635.1,635.0,635.0,667.0
2026-05-29 12:20:00+05:30,633.85,633.85,633.0,633.15,905.0
2026-05-29 12:25:00+05:30,633.15,633.2,631.0,632.35,12585.0
2026-05-29 12:30:00+05:30,631.5,632.05,629.2,629.3,2625.0
2026-05-29 12:35:00+05:30,629.3,629.3,627.5,627.85,488.0
2026-05-29 12:40:00+05:30,627.8,629.45,627.1,629.45,745.0
2026-05-29 12:45:00+05:30,629.4,629.4,628.6,629.35,141.0
2026-05-29 12:50:00+05:30,628.8,628.8,626.0,626.4,1347.0
2026-05-29 12:55:00+05:30,625.9,625.9,624.25,625.55,2340.0
2026-05-29 13:00:00+05:30,625.95,627.45,625.95,627.45,1549.0
2026-05-29 13:05:00+05:30,626.8,630.8,626.15,630.2,1716.0
2026-05-29 13:10:00+05:30,630.0,630.75,629.95,630.0,1706.0
2026-05-29 13:15:00+05:30,630.35,630.5,630.0,630.05,1757.0
2026-05-29 13:20:00+05:30,630.05,630.5,630.0,630.0,666.0
2026-05-29 13:25:00+05:30,630.0,630.5,629.7,630.0,2112.0
2026-05-29 13:30:00+05:30,629.75,630.35,629.75,630.0,773.0
2026-05-29 13:35:00+05:30,630.0,630.9,629.95,630.9,1334.0
2026-05-29 13:40:00+05:30,630.9,630.9,630.0,630.0,28.0
2026-05-29 13:45:00+05:30,630.2,630.55,630.0,630.25,390.0
2026-05-29 13:50:00+05:30,630.9,631.05,630.0,630.05,846.0
2026-05-29 13:55:00+05:30,630.35,630.35,630.0,630.35,41.0
2026-05-29 14:00:00+05:30,630.0,630.9,630.0,630.9,592.0
2026-05-29 14:05:00+05:30,630.2,630.5,629.85,630.0,486.0
2026-05-29 14:10:00+05:30,630.0,630.2,630.0,630.2,206.0
2026-05-29 14:15:00+05:30,630.2,630.2,630.0,630.05,196.0
2026-05-29 14:20:00+05:30,630.0,630.45,630.0,630.45,389.0
2026-05-29 14:25:00+05:30,630.1,630.25,630.0,630.2,1392.0
2026-05-29 14:30:00+05:30,630.0,630.85,630.0,630.3,1225.0
2026-05-29 14:35:00+05:30,630.75,630.75,630.65,630.65,18.0
2026-05-29 14:40:00+05:30,630.75,631.05,630.0,630.45,481.0
2026-05-29 14:45:00+05:30,630.45,630.45,630.0,630.05,100.0
2026-05-29 14:50:00+05:30,630.35,630.4,627.5,627.75,1347.0
2026-05-29 14:55:00+05:30,627.75,627.75,626.05,626.55,744.0
2026-05-29 15:00:00+05:30,627.95,628.2,622.0,622.25,21898.0
2026-05-29 15:05:00+05:30,622.85,622.9,619.15,621.45,22088.0
2026-05-29 15:10:00+05:30,621.45,623.0,620.25,622.45,21171.0
2026-05-29 15:15:00+05:30,622.55,622.55,620.95,621.35,15248.0
2026-05-29 15:20:00+05:30,621.35,621.35,620.25,620.3,14722.0
2026-05-29 15:25:00+05:30,620.3,624.0,620.25,624.0,14422.0
2026-06-01 09:15:00+05:30,623.15,625.9,619.05,625.9,2954.0
2026-06-01 09:20:00+05:30,624.7,625.65,622.15,624.45,1584.0
2026-06-01 09:25:00+05:30,623.5,625.3,622.65,624.1,1395.0
2026-06-01 09:30:00+05:30,623.6,627.85,623.0,625.1,1367.0
2026-06-01 09:35:00+05:30,624.0,624.3,621.0,621.55,1505.0
2026-06-01 09:40:00+05:30,621.75,623.6,620.55,620.95,1433.0
2026-06-01 09:45:00+05:30,621.95,623.35,621.95,622.35,724.0
2026-06-01 09:50:00+05:30,623.0,623.15,621.2,621.4,784.0
2026-06-01 09:55:00+05:30,621.8,622.5,620.0,621.75,684.0
2026-06-01 10:00:00+05:30,622.1,622.2,620.35,620.6,296.0
2026-06-01 10:05:00+05:30,620.6,623.25,620.6,623.2,398.0
2026-06-01 10:10:00+05:30,623.2,623.25,622.8,622.8,170.0
2026-06-01 10:15:00+05:30,623.3,623.3,621.7,622.05,171.0
2026-06-01 10:20:00+05:30,622.3,622.5,621.95,621.95,182.0
2026-06-01 10:25:00+05:30,621.4,623.35,621.4,621.65,2570.0
2026-06-01 10:30:00+05:30,620.5,621.75,620.2,620.8,957.0
2026-06-01 10:35:00+05:30,620.2,620.8,619.4,619.8,874.0
2026-06-01 10:40:00+05:30,620.1,620.85,620.1,620.75,228.0
2026-06-01 10:45:00+05:30,620.75,621.5,620.75,621.5,323.0
2026-06-01 10:50:00+05:30,620.7,622.4,620.25,622.4,2253.0
2026-06-01 10:55:00+05:30,622.4,622.9,621.8,622.25,390.0
2026-06-01 11:00:00+05:30,622.35,622.85,622.25,622.8,174.0
2026-06-01 11:05:00+05:30,622.8,622.95,622.0,622.5,235.0
2026-06-01 11:10:00+05:30,623.1,623.1,622.2,623.05,493.0
2026-06-01 11:15:00+05:30,623.0,623.3,622.55,622.95,156.0
2026-06-01 11:20:00+05:30,622.95,622.95,619.95,620.85,853.0
2026-06-01 11:25:00+05:30,620.7,620.75,619.4,619.4,841.0
2026-06-01 11:30:00+05:30,619.4,620.0,618.9,618.9,888.0
2026-06-01 11:35:00+05:30,618.9,618.9,617.7,618.25,826.0
2026-06-01 11:40:00+05:30,618.55,618.95,617.15,617.15,1201.0
2026-06-01 11:45:00+05:30,617.0,618.0,617.0,617.75,2211.0
2026-06-01 11:50:00+05:30,617.35,617.6,617.0,617.0,754.0
2026-06-01 11:55:00+05:30,617.7,617.7,616.0,616.0,1541.0
2026-06-01 12:00:00+05:30,616.05,617.2,616.05,617.1,200.0
2026-06-01 12:05:00+05:30,617.1,617.2,616.25,617.2,265.0
2026-06-01 12:10:00+05:30,616.7,617.15,616.55,617.15,113.0
2026-06-01 12:15:00+05:30,617.4,617.4,616.75,617.3,280.0
2026-06-01 12:20:00+05:30,617.2,617.2,616.15,616.15,451.0
2026-06-01 12:25:00+05:30,616.35,617.45,616.15,617.45,508.0
2026-06-01 12:30:00+05:30,617.45,617.45,616.05,616.75,424.0
2026-06-01 12:35:00+05:30,616.35,617.25,616.0,617.25,1507.0
2026-06-01 12:40:00+05:30,617.25,617.45,616.7,617.2,378.0
2026-06-01 12:45:00+05:30,617.2,617.3,616.65,617.3,103.0
2026-06-01 12:50:00+05:30,616.7,617.85,616.7,617.85,527.0
2026-06-01 12:55:00+05:30,617.85,617.85,617.8,617.8,35.0
2026-06-01 13:00:00+05:30,617.65,618.5,617.65,618.15,143.0
2026-06-01 13:05:00+05:30,618.15,618.4,617.3,618.25,446.0
2026-06-01 13:10:00+05:30,618.25,618.25,615.45,616.35,1570.0
2026-06-01 13:15:00+05:30,616.2,617.9,615.65,616.75,1230.0
2026-06-01 13:20:00+05:30,616.75,617.4,616.55,617.0,197.0
2026-06-01 13:25:00+05:30,616.8,617.25,615.7,615.75,437.0
2026-06-01 13:30:00+05:30,616.05,617.0,616.05,616.5,129.0
2026-06-01 13:35:00+05:30,616.5,616.95,616.5,616.95,131.0
2026-06-01 13:40:00+05:30,616.7,616.95,615.55,616.35,769.0
2026-06-01 13:45:00+05:30,616.15,616.15,613.8,613.8,1872.0
2026-06-01 13:50:00+05:30,613.8,613.8,613.15,613.5,273.0
2026-06-01 13:55:00+05:30,613.8,613.9,613.0,613.25,522.0
2026-06-01 14:00:00+05:30,613.25,613.7,613.0,613.45,298.0
2026-06-01 14:05:00+05:30,613.5,613.85,613.0,613.75,231.0
2026-06-01 14:10:00+05:30,613.5,613.5,607.5,609.55,8641.0
2026-06-01 14:15:00+05:30,610.0,610.0,609.2,609.8,185.0
2026-06-01 14:20:00+05:30,609.75,610.5,608.55,609.6,6279.0
2026-06-01 14:25:00+05:30,609.6,616.95,609.6,616.35,2213.0
2026-06-01 14:30:00+05:30,615.8,615.95,615.0,615.45,712.0
2026-06-01 14:35:00+05:30,615.45,615.85,615.0,615.1,774.0
2026-06-01 14:40:00+05:30,615.5,615.8,615.0,615.55,232.0
2026-06-01 14:45:00+05:30,615.55,616.35,615.5,615.9,195.0
2026-06-01 14:50:00+05:30,615.65,615.7,615.0,615.6,439.0
2026-06-01 14:55:00+05:30,615.7,616.0,615.0,615.7,478.0
2026-06-01 15:00:00+05:30,615.0,615.8,614.35,615.05,1345.0
2026-06-01 15:05:00+05:30,615.0,615.25,614.1,614.85,1959.0
2026-06-01 15:10:00+05:30,614.15,615.05,614.15,615.0,1031.0
2026-06-01 15:15:00+05:30,615.0,615.1,615.0,615.0,1777.0
2026-06-01 15:20:00+05:30,615.0,615.05,614.0,614.9,6122.0
2026-06-01 15:25:00+05:30,614.05,615.55,614.0,615.1,5310.0
2026-06-02 09:15:00+05:30,614.9,614.9,610.15,612.25,3994.0
2026-06-02 09:20:00+05:30,612.35,621.45,612.35,620.45,5894.0
2026-06-02 09:25:00+05:30,621.05,625.0,620.4,623.2,2709.0
2026-06-02 09:30:00+05:30,623.1,623.75,620.25,623.0,1871.0
2026-06-02 09:35:00+05:30,623.0,626.8,623.0,625.4,1283.0
2026-06-02 09:40:00+05:30,625.8,625.95,624.45,625.35,841.0
2026-06-02 09:45:00+05:30,625.75,625.8,624.85,625.5,1143.0
2026-06-02 09:50:00+05:30,625.3,625.5,624.85,624.85,792.0
2026-06-02 09:55:00+05:30,625.25,625.45,624.65,625.0,306.0
2026-06-02 10:00:00+05:30,625.25,626.65,624.85,626.35,1586.0
2026-06-02 10:05:00+05:30,626.35,627.0,624.95,625.95,545.0
2026-06-02 10:10:00+05:30,625.5,625.95,624.2,625.1,848.0
2026-06-02 10:15:00+05:30,624.45,625.95,624.25,625.3,2597.0
2026-06-02 10:20:00+05:30,625.3,625.3,622.15,624.95,6951.0
2026-06-02 10:25:00+05:30,624.85,625.3,617.35,621.85,8866.0
2026-06-02 10:30:00+05:30,622.15,623.1,620.5,621.3,1991.0
2026-06-02 10:35:00+05:30,621.7,622.7,620.35,620.75,1530.0
2026-06-02 10:40:00+05:30,620.75,620.75,618.25,619.8,1207.0
2026-06-02 10:45:00+05:30,619.75,619.8,618.1,618.95,629.0
2026-06-02 10:50:00+05:30,619.0,619.0,616.95,617.6,2872.0
2026-06-02 10:55:00+05:30,617.15,621.3,615.85,616.7,3549.0
2026-06-02 11:00:00+05:30,616.8,616.95,613.0,613.0,1250.0
2026-06-02 11:05:00+05:30,613.0,614.65,613.0,614.0,1157.0
2026-06-02 11:10:00+05:30,614.0,614.85,613.85,614.55,320.0
2026-06-02 11:15:00+05:30,614.5,615.0,613.5,614.75,654.0
2026-06-02 11:20:00+05:30,614.75,614.85,613.7,614.8,230.0
2026-06-02 11:25:00+05:30,614.8,615.0,613.5,614.0,560.0
2026-06-02 11:30:00+05:30,614.05,615.0,613.55,614.45,911.0
2026-06-02 11:35:00+05:30,614.45,614.65,612.5,613.0,891.0
2026-06-02 11:40:00+05:30,613.0,613.0,612.8,612.9,59.0
