dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,881.95,889.95,877.9,881.95,4128.0
2026-05-29 09:20:00+05:30,881.9,885.2,881.9,883.0,1701.0
2026-05-29 09:25:00+05:30,882.45,886.0,881.4,885.1,3562.0
2026-05-29 09:30:00+05:30,884.8,885.8,882.7,884.55,1081.0
2026-05-29 09:35:00+05:30,884.0,888.5,883.7,887.0,1963.0
2026-05-29 09:40:00+05:30,886.45,886.45,882.0,884.35,2458.0
2026-05-29 09:45:00+05:30,884.45,887.1,884.2,887.1,342.0
2026-05-29 09:50:00+05:30,886.65,888.8,886.0,888.8,473.0
2026-05-29 09:55:00+05:30,886.8,887.3,881.2,881.55,2263.0
2026-05-29 10:00:00+05:30,881.55,883.7,881.3,881.85,454.0
2026-05-29 10:05:00+05:30,882.5,884.9,882.5,883.9,317.0
2026-05-29 10:10:00+05:30,883.7,886.15,883.2,885.75,396.0
2026-05-29 10:15:00+05:30,884.85,886.6,884.85,885.7,205.0
2026-05-29 10:20:00+05:30,885.7,886.75,884.55,885.25,183.0
2026-05-29 10:25:00+05:30,886.0,886.35,884.7,885.7,725.0
2026-05-29 10:30:00+05:30,885.7,886.5,882.55,885.3,2521.0
2026-05-29 10:35:00+05:30,885.8,886.45,884.6,885.8,2016.0
2026-05-29 10:40:00+05:30,885.55,885.55,881.0,881.0,2196.0
2026-05-29 10:45:00+05:30,881.95,882.6,880.1,882.4,1149.0
2026-05-29 10:50:00+05:30,882.6,882.85,880.45,882.15,1599.0
2026-05-29 10:55:00+05:30,882.15,887.35,881.7,886.25,1000.0
2026-05-29 11:00:00+05:30,884.45,886.05,883.15,885.1,3505.0
2026-05-29 11:05:00+05:30,883.8,885.35,882.4,884.95,1597.0
2026-05-29 11:10:00+05:30,885.0,893.0,883.75,892.4,6858.0
2026-05-29 11:15:00+05:30,890.05,891.4,888.0,890.45,4938.0
2026-05-29 11:20:00+05:30,889.5,890.4,887.75,889.9,2650.0
2026-05-29 11:25:00+05:30,889.85,890.75,889.0,890.75,374.0
2026-05-29 11:30:00+05:30,890.7,892.0,890.65,891.25,462.0
2026-05-29 11:35:00+05:30,891.25,893.0,889.85,890.0,1820.0
2026-05-29 11:40:00+05:30,890.15,892.0,890.0,891.0,730.0
2026-05-29 11:45:00+05:30,891.05,896.65,891.05,896.65,2438.0
2026-05-29 11:50:00+05:30,895.2,897.45,895.05,895.05,758.0
2026-05-29 11:55:00+05:30,895.0,896.85,895.0,896.85,704.0
2026-05-29 12:00:00+05:30,895.7,896.95,893.55,895.85,2255.0
2026-05-29 12:05:00+05:30,895.85,896.55,895.0,896.1,1646.0
2026-05-29 12:10:00+05:30,896.1,896.1,894.3,895.55,790.0
2026-05-29 12:15:00+05:30,895.0,896.3,894.55,895.4,718.0
2026-05-29 12:20:00+05:30,897.0,897.95,895.05,896.85,7484.0
2026-05-29 12:25:00+05:30,896.85,899.0,896.15,898.8,3276.0
2026-05-29 12:30:00+05:30,898.8,899.5,896.65,899.0,1757.0
2026-05-29 12:35:00+05:30,899.0,899.0,896.95,897.5,1655.0
2026-05-29 12:40:00+05:30,897.35,898.0,897.35,897.75,212.0
2026-05-29 12:45:00+05:30,897.75,898.8,897.5,897.6,1308.0
2026-05-29 12:50:00+05:30,896.95,897.75,893.0,895.75,6766.0
2026-05-29 12:55:00+05:30,895.15,895.15,894.65,894.9,389.0
2026-05-29 13:00:00+05:30,895.5,895.8,894.65,895.55,445.0
2026-05-29 13:05:00+05:30,895.55,895.75,894.4,894.85,547.0
2026-05-29 13:10:00+05:30,894.8,896.1,893.25,894.8,14197.0
2026-05-29 13:15:00+05:30,895.85,900.95,895.8,899.75,4076.0
2026-05-29 13:20:00+05:30,899.35,901.35,898.55,899.75,1590.0
2026-05-29 13:25:00+05:30,899.75,903.5,899.75,903.5,2467.0
2026-05-29 13:30:00+05:30,903.45,905.15,902.8,904.5,4048.0
2026-05-29 13:35:00+05:30,904.5,905.0,903.0,904.4,807.0
2026-05-29 13:40:00+05:30,904.3,905.0,903.05,903.05,1689.0
2026-05-29 13:45:00+05:30,903.05,904.25,902.5,902.5,2884.0
2026-05-29 13:50:00+05:30,902.5,903.0,899.2,902.45,3626.0
2026-05-29 13:55:00+05:30,901.0,901.85,900.0,901.25,1381.0
2026-05-29 14:00:00+05:30,900.7,900.7,900.0,900.5,517.0
2026-05-29 14:05:00+05:30,900.5,901.55,900.5,901.0,617.0
2026-05-29 14:10:00+05:30,900.85,903.2,900.1,900.3,1612.0
2026-05-29 14:15:00+05:30,900.0,901.0,897.05,899.4,6904.0
2026-05-29 14:20:00+05:30,898.7,901.25,898.0,898.0,3491.0
2026-05-29 14:25:00+05:30,897.95,899.55,896.05,896.2,7088.0
2026-05-29 14:30:00+05:30,895.8,898.95,895.0,898.35,12212.0
2026-05-29 14:35:00+05:30,899.05,899.25,894.9,896.35,9338.0
2026-05-29 14:40:00+05:30,896.8,898.15,896.0,897.35,724.0
2026-05-29 14:45:00+05:30,898.35,898.7,895.15,897.95,2817.0
2026-05-29 14:50:00+05:30,898.65,901.15,897.15,899.7,3750.0
2026-05-29 14:55:00+05:30,899.1,901.7,897.15,899.95,2137.0
2026-05-29 15:00:00+05:30,900.8,900.8,890.15,890.15,10888.0
2026-05-29 15:05:00+05:30,891.3,891.95,887.35,890.65,8699.0
2026-05-29 15:10:00+05:30,890.7,894.7,890.15,890.5,8351.0
2026-05-29 15:15:00+05:30,890.15,898.3,890.15,896.25,10794.0
2026-05-29 15:20:00+05:30,896.25,899.35,894.55,898.05,11516.0
2026-05-29 15:25:00+05:30,898.15,902.15,892.1,902.15,13398.0
2026-06-01 09:15:00+05:30,890.0,895.0,883.05,883.05,2579.0
2026-06-01 09:20:00+05:30,882.7,890.95,882.7,890.3,1625.0
2026-06-01 09:25:00+05:30,890.3,892.85,883.0,885.75,5979.0
2026-06-01 09:30:00+05:30,885.75,891.5,885.05,889.75,6914.0
2026-06-01 09:35:00+05:30,889.35,893.9,887.9,893.45,3722.0
2026-06-01 09:40:00+05:30,893.85,894.6,890.25,892.0,700.0
2026-06-01 09:45:00+05:30,891.05,891.05,886.6,887.2,2965.0
2026-06-01 09:50:00+05:30,889.0,892.95,887.0,890.0,5650.0
2026-06-01 09:55:00+05:30,891.4,892.35,887.0,890.8,1978.0
2026-06-01 10:00:00+05:30,890.4,891.15,888.05,888.55,3070.0
2026-06-01 10:05:00+05:30,888.95,889.45,885.6,887.55,3841.0
2026-06-01 10:10:00+05:30,887.55,888.0,885.25,886.65,1339.0
2026-06-01 10:15:00+05:30,886.65,886.95,885.25,885.35,605.0
2026-06-01 10:20:00+05:30,885.3,886.85,885.2,885.85,614.0
2026-06-01 10:25:00+05:30,885.85,887.3,885.45,886.15,275.0
2026-06-01 10:30:00+05:30,886.15,886.6,885.5,885.5,223.0
2026-06-01 10:35:00+05:30,886.0,887.0,885.5,886.0,416.0
2026-06-01 10:40:00+05:30,886.0,886.75,885.65,885.8,195.0
2026-06-01 10:45:00+05:30,885.8,886.9,885.5,886.9,425.0
2026-06-01 10:50:00+05:30,886.75,887.4,885.7,886.0,487.0
2026-06-01 10:55:00+05:30,886.75,887.5,885.5,887.5,400.0
2026-06-01 11:00:00+05:30,887.45,887.55,886.05,886.75,482.0
2026-06-01 11:05:00+05:30,886.75,887.3,886.05,886.55,273.0
2026-06-01 11:10:00+05:30,887.5,887.6,886.15,886.15,244.0
2026-06-01 11:15:00+05:30,886.15,886.9,886.0,886.0,242.0
2026-06-01 11:20:00+05:30,886.95,886.95,885.5,885.5,518.0
2026-06-01 11:25:00+05:30,885.5,887.55,883.15,884.15,7442.0
2026-06-01 11:30:00+05:30,882.6,882.6,880.05,880.4,2280.0
2026-06-01 11:35:00+05:30,880.2,880.7,875.0,875.4,4564.0
2026-06-01 11:40:00+05:30,876.5,877.5,875.0,876.45,3496.0
2026-06-01 11:45:00+05:30,876.15,877.25,875.15,875.4,848.0
2026-06-01 11:50:00+05:30,875.4,876.75,875.4,876.15,518.0
2026-06-01 11:55:00+05:30,876.15,877.2,875.0,875.2,1053.0
2026-06-01 12:00:00+05:30,875.2,882.5,875.15,877.3,2684.0
2026-06-01 12:05:00+05:30,877.3,879.35,876.85,878.65,1898.0
2026-06-01 12:10:00+05:30,879.1,879.1,877.1,877.55,338.0
2026-06-01 12:15:00+05:30,877.85,878.75,876.95,877.2,292.0
2026-06-01 12:20:00+05:30,877.2,878.3,876.75,877.2,209.0
2026-06-01 12:25:00+05:30,877.25,878.25,875.25,875.25,1259.0
2026-06-01 12:30:00+05:30,875.0,875.5,872.0,873.95,5807.0
2026-06-01 12:35:00+05:30,873.95,874.4,872.4,873.95,430.0
2026-06-01 12:40:00+05:30,873.25,873.25,870.05,871.2,3560.0
2026-06-01 12:45:00+05:30,871.15,873.6,870.0,872.0,2093.0
2026-06-01 12:50:00+05:30,872.15,873.05,871.4,871.9,611.0
2026-06-01 12:55:00+05:30,871.9,873.9,871.4,872.9,551.0
2026-06-01 13:00:00+05:30,872.35,872.8,871.6,871.65,277.0
2026-06-01 13:05:00+05:30,871.65,872.5,871.4,871.55,358.0
2026-06-01 13:10:00+05:30,871.55,871.9,870.45,870.45,1168.0
2026-06-01 13:15:00+05:30,870.45,871.4,870.45,871.0,263.0
2026-06-01 13:20:00+05:30,871.0,871.4,868.5,869.0,2576.0
2026-06-01 13:25:00+05:30,869.0,870.15,867.45,868.0,1072.0
2026-06-01 13:30:00+05:30,869.0,869.55,868.0,868.15,412.0
2026-06-01 13:35:00+05:30,868.05,869.55,868.0,868.75,280.0
2026-06-01 13:40:00+05:30,869.0,870.7,868.15,868.25,919.0
2026-06-01 13:45:00+05:30,868.8,870.15,868.2,869.6,319.0
2026-06-01 13:50:00+05:30,869.6,869.9,866.0,866.0,2402.0
2026-06-01 13:55:00+05:30,866.0,867.25,865.0,866.6,2719.0
