dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,11.79,11.8,11.7,11.79,20416.0
2026-05-29 09:20:00+05:30,11.74,11.78,11.72,11.75,60518.0
2026-05-29 09:25:00+05:30,11.76,11.85,11.75,11.85,47009.0
2026-05-29 09:30:00+05:30,11.84,11.84,11.74,11.83,62002.0
2026-05-29 09:35:00+05:30,11.85,12.01,11.81,11.95,386786.0
2026-05-29 09:40:00+05:30,11.95,12.09,11.92,12.04,492169.0
2026-05-29 09:45:00+05:30,12.03,12.3,12.0,12.1,411713.0
2026-05-29 09:50:00+05:30,12.08,12.09,12.02,12.09,104680.0
2026-05-29 09:55:00+05:30,12.09,12.09,11.97,12.0,263340.0
2026-05-29 10:00:00+05:30,12.01,12.02,11.92,11.92,57028.0
2026-05-29 10:05:00+05:30,11.92,11.99,11.91,11.99,28277.0
2026-05-29 10:10:00+05:30,11.99,11.99,11.91,11.92,26512.0
2026-05-29 10:15:00+05:30,11.92,12.16,11.66,11.75,1532862.0
2026-05-29 10:20:00+05:30,11.75,11.75,11.73,11.75,379337.0
2026-05-29 10:25:00+05:30,11.75,11.76,11.74,11.75,355856.0
2026-05-29 10:30:00+05:30,11.76,11.82,11.67,11.72,7466684.0
2026-05-29 10:35:00+05:30,11.72,11.76,11.66,11.67,220928.0
2026-05-29 10:40:00+05:30,11.69,11.7,11.58,11.62,221701.0
2026-05-29 10:45:00+05:30,11.52,11.58,11.32,11.44,404537.0
2026-05-29 10:50:00+05:30,11.44,11.56,11.44,11.53,130271.0
2026-05-29 10:55:00+05:30,11.5,11.56,11.48,11.54,141156.0
2026-05-29 11:00:00+05:30,11.54,11.54,11.5,11.54,39129.0
2026-05-29 11:05:00+05:30,11.54,11.54,11.53,11.54,51706.0
2026-05-29 11:10:00+05:30,11.54,11.57,11.52,11.52,78905.0
2026-05-29 11:15:00+05:30,11.53,11.55,11.51,11.53,24938.0
2026-05-29 11:20:00+05:30,11.55,11.56,11.52,11.55,39851.0
2026-05-29 11:25:00+05:30,11.55,11.55,11.52,11.54,13017.0
2026-05-29 11:30:00+05:30,11.54,11.54,11.53,11.54,3641.0
2026-05-29 11:35:00+05:30,11.54,11.55,11.53,11.55,18052.0
2026-05-29 11:40:00+05:30,11.55,11.59,11.53,11.53,61269.0
2026-05-29 11:45:00+05:30,11.58,11.58,11.53,11.53,34688.0
2026-05-29 11:50:00+05:30,11.56,11.56,11.52,11.55,23035.0
2026-05-29 11:55:00+05:30,11.55,11.57,11.52,11.57,30577.0
2026-05-29 12:00:00+05:30,11.57,11.58,11.55,11.58,55792.0
2026-05-29 12:05:00+05:30,11.58,11.58,11.56,11.57,17199.0
2026-05-29 12:10:00+05:30,11.57,11.61,11.56,11.61,19900.0
2026-05-29 12:15:00+05:30,11.61,11.62,11.58,11.58,17885.0
2026-05-29 12:20:00+05:30,11.57,11.6,11.57,11.59,10288.0
2026-05-29 12:25:00+05:30,11.59,11.59,11.56,11.56,9958.0
2026-05-29 12:30:00+05:30,11.56,11.59,11.56,11.58,6422.0
