dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,31.15,31.27,31.0,31.03,76323.0
2026-05-29 09:20:00+05:30,31.07,31.21,31.07,31.15,19919.0
2026-05-29 09:25:00+05:30,31.14,31.25,31.1,31.1,42153.0
2026-05-29 09:30:00+05:30,31.11,31.2,31.0,31.15,32890.0
2026-05-29 09:35:00+05:30,31.15,31.4,31.15,31.25,66939.0
2026-05-29 09:40:00+05:30,31.25,31.25,31.15,31.16,10572.0
2026-05-29 09:45:00+05:30,31.19,31.28,31.11,31.2,15530.0
2026-05-29 09:50:00+05:30,31.25,31.29,31.19,31.2,14049.0
2026-05-29 09:55:00+05:30,31.24,31.24,31.11,31.12,23178.0
2026-05-29 10:00:00+05:30,31.1,31.16,31.04,31.07,23425.0
2026-05-29 10:05:00+05:30,31.07,31.09,31.03,31.08,10778.0
2026-05-29 10:10:00+05:30,31.08,31.08,31.03,31.05,12609.0
2026-05-29 10:15:00+05:30,31.08,31.09,30.99,31.05,18925.0
2026-05-29 10:20:00+05:30,31.05,31.06,30.97,31.04,29770.0
2026-05-29 10:25:00+05:30,31.0,31.04,30.84,30.85,50181.0
2026-05-29 10:30:00+05:30,30.85,30.9,30.85,30.85,10748.0
2026-05-29 10:35:00+05:30,30.85,30.96,30.85,30.93,18132.0
2026-05-29 10:40:00+05:30,30.89,31.0,30.89,30.95,8101.0
2026-05-29 10:45:00+05:30,30.95,30.95,30.85,30.85,5541.0
2026-05-29 10:50:00+05:30,30.85,30.89,30.82,30.85,18461.0
2026-05-29 10:55:00+05:30,30.85,30.9,30.82,30.9,3916.0
2026-05-29 11:00:00+05:30,30.89,30.94,30.85,30.94,2820.0
2026-05-29 11:05:00+05:30,30.94,30.95,30.89,30.9,2533.0
2026-05-29 11:10:00+05:30,30.9,30.9,30.85,30.89,3263.0
2026-05-29 11:15:00+05:30,30.85,30.86,30.85,30.86,1192.0
2026-05-29 11:20:00+05:30,30.86,30.9,30.81,30.86,11526.0
2026-05-29 11:25:00+05:30,30.82,30.87,30.82,30.82,1461.0
2026-05-29 11:30:00+05:30,30.87,30.87,30.74,30.74,10939.0
2026-05-29 11:35:00+05:30,30.75,30.84,30.61,30.84,36872.0
2026-05-29 11:40:00+05:30,30.84,30.84,30.76,30.76,8152.0
2026-05-29 11:45:00+05:30,30.81,30.82,30.73,30.75,10436.0
2026-05-29 11:50:00+05:30,30.8,30.8,30.75,30.8,2625.0
2026-05-29 11:55:00+05:30,30.75,30.8,30.75,30.8,1464.0
2026-05-29 12:00:00+05:30,30.8,30.8,30.76,30.8,2981.0
2026-05-29 12:05:00+05:30,30.76,30.8,30.76,30.78,1894.0
2026-05-29 12:10:00+05:30,30.76,30.76,30.66,30.67,44091.0
2026-05-29 12:15:00+05:30,30.66,30.79,30.65,30.79,12506.0
2026-05-29 12:20:00+05:30,30.79,30.79,30.7,30.75,4778.0
