dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,161.3,161.58,160.1,160.93,34999.0
2026-05-29 09:20:00+05:30,160.92,160.92,160.3,160.34,17758.0
2026-05-29 09:25:00+05:30,160.5,160.55,160.1,160.23,12291.0
2026-05-29 09:30:00+05:30,160.14,160.22,159.7,159.83,10682.0
2026-05-29 09:35:00+05:30,159.78,160.13,159.68,159.68,15827.0
2026-05-29 09:40:00+05:30,159.77,159.96,159.51,159.6,11478.0
2026-05-29 09:45:00+05:30,159.5,159.85,159.24,159.85,9122.0
2026-05-29 09:50:00+05:30,159.68,159.77,159.32,159.41,5393.0
2026-05-29 09:55:00+05:30,159.26,159.58,159.1,159.48,5162.0
2026-05-29 10:00:00+05:30,159.48,159.73,159.35,159.61,3407.0
2026-05-29 10:05:00+05:30,159.62,159.87,159.62,159.62,6973.0
2026-05-29 10:10:00+05:30,159.63,160.21,159.62,160.0,6078.0
2026-05-29 10:15:00+05:30,160.0,160.17,159.91,160.12,2327.0
2026-05-29 10:20:00+05:30,160.15,160.4,160.08,160.16,12385.0
2026-05-29 10:25:00+05:30,160.08,160.16,159.8,159.8,3161.0
2026-05-29 10:30:00+05:30,159.81,160.1,159.81,159.99,2825.0
2026-05-29 10:35:00+05:30,159.99,160.13,159.94,159.94,1163.0
2026-05-29 10:40:00+05:30,159.94,159.94,159.84,159.85,2109.0
2026-05-29 10:45:00+05:30,159.85,160.03,159.85,159.95,3930.0
2026-05-29 10:50:00+05:30,159.95,160.01,159.71,159.71,2261.0
2026-05-29 10:55:00+05:30,159.71,159.77,159.65,159.77,1974.0
2026-05-29 11:00:00+05:30,159.77,160.19,159.72,160.19,3600.0
2026-05-29 11:05:00+05:30,160.06,160.22,159.79,160.2,2365.0
2026-05-29 11:10:00+05:30,160.07,160.07,159.82,159.91,1207.0
2026-05-29 11:15:00+05:30,159.91,159.98,159.88,159.91,1680.0
2026-05-29 11:20:00+05:30,159.91,160.0,159.91,159.91,1032.0
2026-05-29 11:25:00+05:30,159.91,159.97,159.91,159.95,1532.0
2026-05-29 11:30:00+05:30,159.91,160.0,159.78,159.89,2000.0
2026-05-29 11:35:00+05:30,159.88,159.88,159.69,159.83,2052.0
2026-05-29 11:40:00+05:30,159.79,159.84,159.66,159.7,1091.0
2026-05-29 11:45:00+05:30,159.71,159.87,159.71,159.84,1275.0
2026-05-29 11:50:00+05:30,159.79,159.84,159.6,159.69,3996.0
2026-05-29 11:55:00+05:30,159.69,159.7,159.51,159.66,1020.0
2026-05-29 12:00:00+05:30,159.55,159.59,159.5,159.52,1149.0
2026-05-29 12:05:00+05:30,159.5,159.59,159.42,159.43,1131.0
2026-05-29 12:10:00+05:30,159.43,159.47,158.83,158.98,11080.0
2026-05-29 12:15:00+05:30,159.0,159.0,158.92,159.0,2027.0
