dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,82.96,85.02,82.96,84.79,43017.0
2026-05-29 09:20:00+05:30,84.77,84.77,84.4,84.74,13708.0
2026-05-29 09:25:00+05:30,84.82,84.93,84.56,84.73,59830.0
2026-05-29 09:30:00+05:30,84.77,84.84,84.49,84.82,34543.0
2026-05-29 09:35:00+05:30,84.75,84.97,84.47,84.85,41016.0
2026-05-29 09:40:00+05:30,84.85,84.91,84.61,84.61,12174.0
2026-05-29 09:45:00+05:30,84.62,85.06,84.58,84.86,61563.0
2026-05-29 09:50:00+05:30,84.85,85.19,84.56,84.94,69939.0
2026-05-29 09:55:00+05:30,84.9,85.25,84.9,85.0,37895.0
2026-05-29 10:00:00+05:30,85.0,85.11,84.9,85.07,25528.0
2026-05-29 10:05:00+05:30,85.07,85.14,84.97,85.0,50807.0
2026-05-29 10:10:00+05:30,85.0,85.0,84.9,84.97,7173.0
2026-05-29 10:15:00+05:30,85.0,85.01,84.65,84.78,81084.0
2026-05-29 10:20:00+05:30,84.78,84.78,84.71,84.72,10951.0
2026-05-29 10:25:00+05:30,84.72,84.88,84.71,84.88,15847.0
2026-05-29 10:30:00+05:30,84.88,84.98,84.83,84.97,8864.0
2026-05-29 10:35:00+05:30,84.97,85.01,84.86,84.89,14064.0
2026-05-29 10:40:00+05:30,84.88,84.89,84.87,84.88,5182.0
2026-05-29 10:45:00+05:30,84.88,84.89,84.73,84.85,20413.0
2026-05-29 10:50:00+05:30,84.83,84.83,84.6,84.63,18636.0
2026-05-29 10:55:00+05:30,84.63,84.73,84.63,84.72,8310.0
2026-05-29 11:00:00+05:30,84.69,84.77,84.69,84.73,5436.0
2026-05-29 11:05:00+05:30,84.67,84.69,84.61,84.64,2760.0
2026-05-29 11:10:00+05:30,84.63,84.65,84.63,84.65,4029.0
2026-05-29 11:15:00+05:30,84.65,84.72,84.65,84.66,1262.0
2026-05-29 11:20:00+05:30,84.65,85.05,84.65,84.9,57051.0
2026-05-29 11:25:00+05:30,84.9,84.91,84.8,84.9,13301.0
2026-05-29 11:30:00+05:30,84.88,84.92,84.88,84.9,3210.0
2026-05-29 11:35:00+05:30,84.9,85.0,84.9,84.92,12247.0
2026-05-29 11:40:00+05:30,84.92,84.92,84.83,84.92,5742.0
2026-05-29 11:45:00+05:30,84.88,84.95,84.88,84.95,1825.0
2026-05-29 11:50:00+05:30,85.2,85.2,84.52,84.64,101344.0
2026-05-29 11:55:00+05:30,84.58,84.68,84.45,84.66,17300.0
2026-05-29 12:00:00+05:30,84.66,84.75,84.61,84.62,5548.0
2026-05-29 12:05:00+05:30,84.62,84.64,84.58,84.58,3277.0
2026-05-29 12:10:00+05:30,84.57,84.57,84.28,84.28,45516.0
2026-05-29 12:15:00+05:30,84.34,84.34,84.2,84.3,13022.0
2026-05-29 12:20:00+05:30,84.35,84.43,84.33,84.43,5325.0
2026-05-29 12:25:00+05:30,84.37,84.45,84.37,84.43,4114.0
2026-05-29 12:30:00+05:30,84.42,84.49,84.41,84.42,3172.0
2026-05-29 12:35:00+05:30,84.42,84.52,84.42,84.42,4260.0
2026-05-29 12:40:00+05:30,84.42,84.47,84.42,84.47,584.0
2026-05-29 12:45:00+05:30,84.47,84.51,84.44,84.48,1694.0
2026-05-29 12:50:00+05:30,84.48,84.49,84.42,84.42,6431.0
2026-05-29 12:55:00+05:30,84.39,84.39,84.32,84.38,1768.0
2026-05-29 13:00:00+05:30,84.3,84.34,84.25,84.25,3219.0
2026-05-29 13:05:00+05:30,84.21,84.26,84.0,84.22,37262.0
2026-05-29 13:10:00+05:30,84.13,84.34,84.08,84.34,5260.0
2026-05-29 13:15:00+05:30,84.27,84.37,84.1,84.11,2280.0
2026-05-29 13:20:00+05:30,84.11,84.17,84.11,84.11,525.0
2026-05-29 13:25:00+05:30,84.11,84.17,84.07,84.16,5299.0
2026-05-29 13:30:00+05:30,84.16,84.16,84.13,84.14,699.0
2026-05-29 13:35:00+05:30,84.14,84.14,84.01,84.08,18220.0
2026-05-29 13:40:00+05:30,84.08,84.39,84.08,84.27,21183.0
2026-05-29 13:45:00+05:30,84.16,84.16,84.14,84.15,1486.0
2026-05-29 13:50:00+05:30,84.15,84.2,84.14,84.14,2126.0
2026-05-29 13:55:00+05:30,84.14,84.3,84.14,84.3,1761.0
2026-05-29 14:00:00+05:30,84.3,84.3,84.24,84.24,696.0
2026-05-29 14:05:00+05:30,84.24,84.27,84.24,84.27,4333.0
2026-05-29 14:10:00+05:30,84.27,84.3,84.26,84.26,1003.0
2026-05-29 14:15:00+05:30,84.29,84.3,84.26,84.27,2788.0
2026-05-29 14:20:00+05:30,84.27,84.28,84.24,84.24,13454.0
2026-05-29 14:25:00+05:30,84.24,84.24,84.18,84.22,5321.0
2026-05-29 14:30:00+05:30,84.26,84.27,84.19,84.21,2564.0
2026-05-29 14:35:00+05:30,84.22,84.34,84.21,84.32,4738.0
2026-05-29 14:40:00+05:30,84.33,84.4,84.33,84.36,4515.0
