dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,169.14,169.78,168.0,168.56,5782.0
2026-05-29 09:20:00+05:30,168.57,168.65,167.6,167.9,4128.0
2026-05-29 09:25:00+05:30,168.01,168.01,167.31,167.31,4893.0
2026-05-29 09:30:00+05:30,167.33,167.44,166.71,167.08,4832.0
2026-05-29 09:35:00+05:30,167.13,167.82,167.13,167.42,4130.0
2026-05-29 09:40:00+05:30,167.53,167.53,166.72,166.81,3778.0
2026-05-29 09:45:00+05:30,166.81,167.31,166.81,167.31,2113.0
2026-05-29 09:50:00+05:30,167.3,167.35,167.01,167.01,2402.0
2026-05-29 09:55:00+05:30,167.01,167.01,166.8,166.8,1157.0
2026-05-29 10:00:00+05:30,167.04,167.35,166.82,167.07,5734.0
2026-05-29 10:05:00+05:30,167.07,168.0,166.87,167.52,5152.0
2026-05-29 10:10:00+05:30,167.47,167.59,167.19,167.26,2479.0
2026-05-29 10:15:00+05:30,167.26,167.48,167.26,167.3,765.0
2026-05-29 10:20:00+05:30,167.31,167.57,167.3,167.53,2973.0
2026-05-29 10:25:00+05:30,167.54,167.54,167.4,167.53,5567.0
2026-05-29 10:30:00+05:30,167.53,167.75,167.34,167.75,989.0
2026-05-29 10:35:00+05:30,167.64,167.75,167.52,167.54,459.0
2026-05-29 10:40:00+05:30,167.63,167.63,167.41,167.41,439.0
2026-05-29 10:45:00+05:30,167.42,167.48,167.42,167.45,556.0
2026-05-29 10:50:00+05:30,167.45,167.65,167.45,167.5,315.0
2026-05-29 10:55:00+05:30,167.51,167.68,167.41,167.41,1334.0
2026-05-29 11:00:00+05:30,167.53,167.53,167.3,167.45,1446.0
2026-05-29 11:05:00+05:30,167.3,167.36,167.3,167.36,28.0
2026-05-29 11:10:00+05:30,167.39,167.39,167.11,167.11,1258.0
2026-05-29 11:15:00+05:30,167.15,167.39,167.05,167.36,1201.0
2026-05-29 11:20:00+05:30,167.41,167.41,167.15,167.18,293.0
2026-05-29 11:25:00+05:30,167.18,167.18,167.08,167.08,112.0
2026-05-29 11:30:00+05:30,167.08,167.22,167.05,167.05,1551.0
2026-05-29 11:35:00+05:30,167.04,167.04,166.82,166.87,8456.0
2026-05-29 11:40:00+05:30,166.82,167.09,166.82,166.87,1149.0
2026-05-29 11:45:00+05:30,166.87,166.87,166.81,166.81,202.0
2026-05-29 11:50:00+05:30,166.81,167.0,166.81,167.0,567.0
2026-05-29 11:55:00+05:30,167.14,167.14,166.91,167.12,145.0
2026-05-29 12:00:00+05:30,167.12,167.12,166.88,167.09,313.0
2026-05-29 12:05:00+05:30,166.87,166.89,166.83,166.83,373.0
2026-05-29 12:10:00+05:30,166.83,167.02,166.8,166.85,733.0
2026-05-29 12:15:00+05:30,166.85,166.85,166.31,166.52,4336.0
2026-05-29 12:20:00+05:30,166.54,166.68,166.41,166.68,804.0
2026-05-29 12:25:00+05:30,166.72,166.72,166.61,166.61,577.0
2026-05-29 12:30:00+05:30,166.61,166.83,166.55,166.76,231.0
2026-05-29 12:35:00+05:30,166.72,166.72,166.42,166.69,160.0
2026-05-29 12:40:00+05:30,166.69,166.69,166.3,166.31,552.0
2026-05-29 12:45:00+05:30,166.31,166.4,166.31,166.31,226.0
2026-05-29 12:50:00+05:30,166.4,166.4,166.32,166.32,92.0
2026-05-29 12:55:00+05:30,166.32,166.32,166.2,166.2,2882.0
2026-05-29 13:00:00+05:30,166.2,166.2,166.07,166.2,672.0
2026-05-29 13:05:00+05:30,166.12,166.12,166.01,166.01,2503.0
2026-05-29 13:10:00+05:30,166.12,166.32,166.12,166.12,561.0
