dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,283.0,285.65,281.1,285.65,23050.0
2026-05-29 09:20:00+05:30,285.7,287.0,284.65,284.75,10927.0
2026-05-29 09:25:00+05:30,284.25,284.95,283.35,283.35,6270.0
2026-05-29 09:30:00+05:30,283.65,284.5,283.45,283.8,3632.0
2026-05-29 09:35:00+05:30,283.6,283.7,282.45,283.35,2673.0
2026-05-29 09:40:00+05:30,283.35,283.35,281.5,282.4,3973.0
2026-05-29 09:45:00+05:30,282.05,283.7,282.0,283.65,2541.0
2026-05-29 09:50:00+05:30,283.65,284.2,283.15,283.15,4005.0
2026-05-29 09:55:00+05:30,283.1,283.45,282.25,283.45,3024.0
2026-05-29 10:00:00+05:30,283.5,283.5,282.85,283.45,855.0
2026-05-29 10:05:00+05:30,283.7,283.85,283.55,283.55,1286.0
2026-05-29 10:10:00+05:30,283.55,283.85,283.35,283.55,703.0
2026-05-29 10:15:00+05:30,283.45,284.0,283.2,284.0,2045.0
2026-05-29 10:20:00+05:30,284.5,285.5,284.2,285.15,6982.0
2026-05-29 10:25:00+05:30,284.6,285.1,284.5,284.85,1673.0
2026-05-29 10:30:00+05:30,284.85,284.95,283.8,284.45,6541.0
2026-05-29 10:35:00+05:30,284.65,284.7,284.15,284.7,477.0
2026-05-29 10:40:00+05:30,284.7,285.0,284.0,285.0,2965.0
2026-05-29 10:45:00+05:30,285.0,285.0,283.55,283.55,4984.0
2026-05-29 10:50:00+05:30,283.5,283.85,283.05,283.55,2149.0
2026-05-29 10:55:00+05:30,283.7,283.75,283.05,283.45,3267.0
2026-05-29 11:00:00+05:30,283.05,283.65,283.05,283.3,693.0
2026-05-29 11:05:00+05:30,283.75,283.8,283.35,283.8,460.0
2026-05-29 11:10:00+05:30,283.8,283.85,283.4,283.5,401.0
2026-05-29 11:15:00+05:30,287.5,290.0,287.5,288.8,88339.0
2026-05-29 11:20:00+05:30,288.8,288.8,287.25,287.75,8539.0
2026-05-29 11:25:00+05:30,287.75,287.75,286.6,287.0,3784.0
2026-05-29 11:30:00+05:30,287.1,287.45,285.9,286.05,7603.0
