dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,127.12,127.99,127.1,127.37,133580.0
2026-05-29 09:20:00+05:30,127.35,127.72,127.03,127.2,66792.0
2026-05-29 09:25:00+05:30,127.15,127.36,126.75,126.88,45667.0
2026-05-29 09:30:00+05:30,126.8,126.99,126.54,126.9,61581.0
2026-05-29 09:35:00+05:30,126.93,127.5,126.82,127.3,36403.0
2026-05-29 09:40:00+05:30,127.29,127.33,126.79,126.79,35869.0
2026-05-29 09:45:00+05:30,126.9,127.61,126.66,127.56,29651.0
2026-05-29 09:50:00+05:30,127.65,127.76,127.08,127.17,22069.0
2026-05-29 09:55:00+05:30,127.08,127.31,127.05,127.1,61057.0
2026-05-29 10:00:00+05:30,127.1,127.3,126.97,127.14,30088.0
2026-05-29 10:05:00+05:30,127.18,127.58,127.17,127.42,14449.0
2026-05-29 10:10:00+05:30,127.37,127.55,127.33,127.48,12940.0
2026-05-29 10:15:00+05:30,127.42,127.78,127.4,127.6,35269.0
2026-05-29 10:20:00+05:30,127.6,127.85,127.6,127.85,29303.0
2026-05-29 10:25:00+05:30,127.84,127.9,127.6,127.69,39046.0
2026-05-29 10:30:00+05:30,127.7,127.73,127.43,127.64,11049.0
2026-05-29 10:35:00+05:30,127.62,127.82,127.53,127.74,18499.0
2026-05-29 10:40:00+05:30,127.57,127.71,127.32,127.39,16164.0
2026-05-29 10:45:00+05:30,127.35,127.37,127.06,127.19,29718.0
2026-05-29 10:50:00+05:30,127.11,127.34,127.11,127.28,11162.0
2026-05-29 10:55:00+05:30,127.33,127.33,127.09,127.2,9819.0
2026-05-29 11:00:00+05:30,127.18,127.26,127.05,127.16,18838.0
2026-05-29 11:05:00+05:30,127.19,127.26,127.08,127.25,11758.0
2026-05-29 11:10:00+05:30,127.17,127.26,127.1,127.15,7960.0
2026-05-29 11:15:00+05:30,127.15,127.15,127.05,127.1,5805.0
2026-05-29 11:20:00+05:30,127.12,127.12,126.96,127.01,16697.0
2026-05-29 11:25:00+05:30,127.02,127.14,126.82,126.91,29726.0
2026-05-29 11:30:00+05:30,126.85,126.96,126.72,126.72,11543.0
2026-05-29 11:35:00+05:30,126.75,126.8,126.6,126.7,18017.0
2026-05-29 11:40:00+05:30,126.64,126.7,126.57,126.7,13620.0
2026-05-29 11:45:00+05:30,126.66,126.7,126.55,126.65,13604.0
2026-05-29 11:50:00+05:30,126.56,127.29,126.56,127.0,101578.0
2026-05-29 11:55:00+05:30,127.04,127.19,126.97,127.08,9481.0
2026-05-29 12:00:00+05:30,127.0,127.05,126.73,126.82,19586.0
2026-05-29 12:05:00+05:30,126.82,126.89,126.75,126.83,11110.0
2026-05-29 12:10:00+05:30,126.84,126.86,126.5,126.72,30842.0
2026-05-29 12:15:00+05:30,126.63,126.82,126.6,126.72,8235.0
2026-05-29 12:20:00+05:30,126.77,126.82,126.7,126.75,4353.0
2026-05-29 12:25:00+05:30,126.63,127.1,126.63,127.05,20622.0
2026-05-29 12:30:00+05:30,127.05,127.14,126.96,126.97,8081.0
2026-05-29 12:35:00+05:30,126.99,126.99,126.8,126.95,5594.0
2026-05-29 12:40:00+05:30,126.91,127.02,126.85,127.02,6739.0
2026-05-29 12:45:00+05:30,127.0,127.0,126.81,126.83,4778.0
2026-05-29 12:50:00+05:30,126.83,126.9,126.75,126.76,20205.0
2026-05-29 12:55:00+05:30,126.76,126.77,126.65,126.67,4975.0
2026-05-29 13:00:00+05:30,126.7,126.7,126.52,126.66,14732.0
2026-05-29 13:05:00+05:30,126.6,126.67,126.11,126.22,32472.0
2026-05-29 13:10:00+05:30,126.12,126.25,126.12,126.18,18985.0
2026-05-29 13:15:00+05:30,126.2,126.24,126.05,126.24,13983.0
2026-05-29 13:20:00+05:30,126.29,126.35,126.15,126.26,6289.0
2026-05-29 13:25:00+05:30,126.2,126.26,126.01,126.16,12274.0
2026-05-29 13:30:00+05:30,126.16,126.34,126.13,126.31,6615.0
2026-05-29 13:35:00+05:30,126.31,126.42,126.21,126.35,13210.0
2026-05-29 13:40:00+05:30,126.35,126.39,126.21,126.25,3170.0
2026-05-29 13:45:00+05:30,126.25,126.27,125.86,125.86,33598.0
2026-05-29 13:50:00+05:30,125.94,126.0,125.8,125.87,14907.0
2026-05-29 13:55:00+05:30,125.87,126.1,125.81,126.1,13431.0
2026-05-29 14:00:00+05:30,126.09,126.09,125.92,126.0,17454.0
2026-05-29 14:05:00+05:30,126.0,126.11,125.85,126.05,26716.0
2026-05-29 14:10:00+05:30,126.05,126.05,125.83,125.9,4857.0
2026-05-29 14:15:00+05:30,125.95,126.09,125.84,126.06,3938.0
2026-05-29 14:20:00+05:30,126.05,126.1,125.9,126.08,14336.0
2026-05-29 14:25:00+05:30,126.08,126.12,125.96,126.12,4965.0
2026-05-29 14:30:00+05:30,126.12,126.32,126.08,126.28,26022.0
2026-05-29 14:35:00+05:30,126.24,126.35,126.16,126.35,11125.0
2026-05-29 14:40:00+05:30,126.35,126.69,126.29,126.65,24448.0
2026-05-29 14:45:00+05:30,126.64,126.71,126.55,126.71,15108.0
2026-05-29 14:50:00+05:30,126.71,126.85,126.65,126.7,16368.0
2026-05-29 14:55:00+05:30,126.7,126.7,126.22,126.46,32717.0
2026-05-29 15:00:00+05:30,126.49,126.49,125.55,125.68,118595.0
2026-05-29 15:05:00+05:30,125.63,125.68,124.86,124.92,163465.0
2026-05-29 15:10:00+05:30,124.93,126.69,124.85,126.6,269695.0
2026-05-29 15:15:00+05:30,126.61,126.63,126.43,126.6,101062.0
2026-05-29 15:20:00+05:30,126.42,126.72,126.42,126.7,109796.0
2026-05-29 15:25:00+05:30,126.7,126.7,125.6,126.0,86276.0
2026-06-01 09:15:00+05:30,126.0,127.29,125.1,127.08,161769.0
2026-06-01 09:20:00+05:30,127.07,127.44,126.31,127.14,92666.0
2026-06-01 09:25:00+05:30,127.15,127.52,127.01,127.16,66161.0
2026-06-01 09:30:00+05:30,127.24,128.1,126.9,127.65,118065.0
2026-06-01 09:35:00+05:30,127.75,127.75,127.06,127.63,83948.0
