dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,226.34,226.34,224.64,225.74,954.0
2026-05-29 09:20:00+05:30,226.06,226.3,225.21,225.21,1067.0
2026-05-29 09:25:00+05:30,226.48,226.48,223.55,224.42,5305.0
2026-05-29 09:30:00+05:30,223.99,225.77,223.8,224.88,2797.0
2026-05-29 09:35:00+05:30,224.3,224.99,224.3,224.86,92.0
2026-05-29 09:40:00+05:30,224.86,224.86,224.17,224.79,500.0
2026-05-29 09:45:00+05:30,224.79,224.79,224.12,224.72,18.0
2026-05-29 09:50:00+05:30,224.89,224.92,224.38,224.7,1046.0
2026-05-29 09:55:00+05:30,224.6,224.94,224.57,224.57,1214.0
2026-05-29 10:00:00+05:30,224.57,224.57,223.49,223.5,1419.0
2026-05-29 10:05:00+05:30,224.35,224.35,224.09,224.09,102.0
2026-05-29 10:10:00+05:30,224.09,224.09,223.75,223.99,1176.0
2026-05-29 10:15:00+05:30,223.84,224.2,223.84,224.2,163.0
2026-05-29 10:20:00+05:30,224.37,224.4,224.37,224.4,2056.0
2026-05-29 10:25:00+05:30,224.4,224.4,224.4,224.4,0.0
2026-05-29 10:30:00+05:30,225.16,225.16,224.68,224.7,3493.0
2026-05-29 10:35:00+05:30,224.7,224.7,224.0,224.0,2452.0
2026-05-29 10:40:00+05:30,224.0,224.49,223.75,224.49,730.0
2026-05-29 10:45:00+05:30,224.49,224.49,224.24,224.37,755.0
2026-05-29 10:50:00+05:30,224.37,224.37,223.79,223.79,119.0
2026-05-29 10:55:00+05:30,224.19,224.3,223.75,224.3,596.0
2026-05-29 11:00:00+05:30,224.89,224.89,224.63,224.88,470.0
2026-05-29 11:05:00+05:30,224.88,224.88,224.88,224.88,1309.0
2026-05-29 11:10:00+05:30,224.88,224.88,224.5,224.51,91.0
2026-05-29 11:15:00+05:30,224.51,224.51,224.0,224.15,1300.0
2026-05-29 11:20:00+05:30,224.13,224.46,224.0,224.0,536.0
2026-05-29 11:25:00+05:30,224.49,224.49,224.32,224.32,2.0
2026-05-29 11:30:00+05:30,224.26,224.47,223.74,223.75,5233.0
2026-05-29 11:35:00+05:30,223.75,224.08,223.75,224.08,102.0
2026-05-29 11:40:00+05:30,224.25,224.39,223.8,224.39,1246.0
2026-05-29 11:45:00+05:30,224.55,224.55,223.91,223.91,196.0
2026-05-29 11:50:00+05:30,224.0,224.0,224.0,224.0,100.0
2026-05-29 11:55:00+05:30,224.35,224.35,222.54,222.8,3017.0
2026-05-29 12:00:00+05:30,222.8,223.2,222.8,223.2,900.0
2026-05-29 12:05:00+05:30,223.2,223.2,221.42,222.4,3397.0
2026-05-29 12:10:00+05:30,222.3,222.49,222.13,222.15,1098.0
2026-05-29 12:15:00+05:30,222.15,223.19,222.15,222.17,1296.0
2026-05-29 12:20:00+05:30,222.17,222.98,222.17,222.38,142.0
2026-05-29 12:25:00+05:30,222.38,222.38,222.38,222.38,0.0
2026-05-29 12:30:00+05:30,222.38,222.97,222.38,222.97,156.0
2026-05-29 12:35:00+05:30,222.61,222.61,222.21,222.21,32.0
2026-05-29 12:40:00+05:30,224.0,224.0,222.92,222.92,4984.0
2026-05-29 12:45:00+05:30,222.92,223.64,222.92,223.64,5.0
2026-05-29 12:50:00+05:30,223.64,223.9,223.31,223.53,221.0
2026-05-29 12:55:00+05:30,223.53,223.53,223.5,223.5,65.0
2026-05-29 13:00:00+05:30,223.5,223.5,223.5,223.5,0.0
2026-05-29 13:05:00+05:30,223.32,223.32,223.32,223.32,435.0
2026-05-29 13:10:00+05:30,223.0,223.4,223.0,223.4,323.0
2026-05-29 13:15:00+05:30,223.4,223.4,223.4,223.4,0.0
2026-05-29 13:20:00+05:30,223.4,223.4,223.0,223.0,2116.0
2026-05-29 13:25:00+05:30,222.99,222.99,222.48,222.99,253.0
2026-05-29 13:30:00+05:30,222.99,222.99,222.99,222.99,0.0
2026-05-29 13:35:00+05:30,222.99,222.99,222.99,222.99,0.0
2026-05-29 13:40:00+05:30,222.89,222.89,222.89,222.89,20.0
2026-05-29 13:45:00+05:30,222.89,222.89,222.89,222.89,0.0
2026-05-29 13:50:00+05:30,222.89,222.89,222.89,222.89,3.0
2026-05-29 13:55:00+05:30,222.98,222.98,222.98,222.98,5.0
