dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,460.7,466.9,459.35,465.5,8069.0
2026-05-29 09:20:00+05:30,464.8,466.5,460.5,460.85,2265.0
2026-05-29 09:25:00+05:30,461.05,461.3,458.0,458.0,3674.0
2026-05-29 09:30:00+05:30,457.7,459.35,456.55,458.0,2116.0
2026-05-29 09:35:00+05:30,457.9,459.1,454.4,458.5,9489.0
2026-05-29 09:40:00+05:30,458.95,459.9,458.0,458.2,869.0
2026-05-29 09:45:00+05:30,458.0,461.45,457.5,461.45,1705.0
2026-05-29 09:50:00+05:30,461.45,462.0,459.0,459.6,1681.0
2026-05-29 09:55:00+05:30,459.6,459.95,457.15,458.7,2676.0
2026-05-29 10:00:00+05:30,458.7,459.95,457.85,459.25,1502.0
2026-05-29 10:05:00+05:30,459.15,459.75,458.55,459.5,2321.0
2026-05-29 10:10:00+05:30,459.0,461.45,459.0,460.25,1837.0
2026-05-29 10:15:00+05:30,459.35,460.55,458.5,459.45,578.0
2026-05-29 10:20:00+05:30,459.45,460.25,459.2,459.2,295.0
2026-05-29 10:25:00+05:30,459.1,459.1,457.9,458.6,505.0
2026-05-29 10:30:00+05:30,457.7,458.65,456.0,457.3,1296.0
2026-05-29 10:35:00+05:30,456.15,456.6,456.15,456.6,146.0
2026-05-29 10:40:00+05:30,456.6,458.85,456.6,456.65,1277.0
2026-05-29 10:45:00+05:30,457.0,458.15,456.5,458.15,1227.0
2026-05-29 10:50:00+05:30,458.15,458.85,457.8,457.8,250.0
2026-05-29 10:55:00+05:30,457.8,458.35,456.6,458.0,1484.0
2026-05-29 11:00:00+05:30,458.0,458.0,457.1,457.1,550.0
2026-05-29 11:05:00+05:30,457.85,458.05,456.8,458.0,2316.0
2026-05-29 11:10:00+05:30,458.0,458.0,456.95,457.5,40.0
2026-05-29 11:15:00+05:30,457.8,457.8,456.95,456.95,14.0
2026-05-29 11:20:00+05:30,456.95,458.45,456.95,458.45,273.0
2026-05-29 11:25:00+05:30,458.45,458.45,456.95,456.95,38.0
2026-05-29 11:30:00+05:30,456.95,457.2,456.3,457.2,190.0
2026-05-29 11:35:00+05:30,456.0,456.45,455.0,456.45,1203.0
2026-05-29 11:40:00+05:30,456.35,456.8,455.75,456.7,316.0
2026-05-29 11:45:00+05:30,456.55,456.9,456.0,456.8,148.0
2026-05-29 11:50:00+05:30,456.95,456.95,456.1,456.95,33.0
2026-05-29 11:55:00+05:30,456.95,457.0,456.0,456.0,132.0
2026-05-29 12:00:00+05:30,456.0,456.0,455.8,456.0,728.0
2026-05-29 12:05:00+05:30,457.1,457.5,456.55,457.0,648.0
2026-05-29 12:10:00+05:30,456.4,456.8,456.35,456.6,1134.0
2026-05-29 12:15:00+05:30,456.6,457.3,456.0,457.3,3036.0
2026-05-29 12:20:00+05:30,456.2,457.2,455.95,455.95,380.0
2026-05-29 12:25:00+05:30,463.5,480.0,463.5,476.3,55894.0
2026-05-29 12:30:00+05:30,476.7,476.9,473.35,475.55,14217.0
2026-05-29 12:35:00+05:30,473.8,475.0,472.0,473.4,22879.0
2026-05-29 12:40:00+05:30,473.9,476.05,472.05,474.85,4045.0
2026-05-29 12:45:00+05:30,474.85,475.75,473.05,474.45,2620.0
2026-05-29 12:50:00+05:30,475.65,475.65,471.25,471.9,2920.0
2026-05-29 12:55:00+05:30,472.0,473.8,471.05,472.8,3739.0
2026-05-29 13:00:00+05:30,472.75,473.3,472.1,473.25,553.0
2026-05-29 13:05:00+05:30,472.4,472.9,472.15,472.75,2989.0
2026-05-29 13:10:00+05:30,472.55,473.8,472.05,472.05,914.0
2026-05-29 13:15:00+05:30,472.05,475.0,472.0,475.0,1704.0
2026-05-29 13:20:00+05:30,475.0,475.0,473.0,474.3,1087.0
2026-05-29 13:25:00+05:30,473.05,473.05,470.5,470.5,5368.0
2026-05-29 13:30:00+05:30,470.45,471.0,469.55,470.15,3018.0
2026-05-29 13:35:00+05:30,470.15,471.1,467.6,467.6,1417.0
2026-05-29 13:40:00+05:30,466.7,467.35,466.65,467.3,99.0
2026-05-29 13:45:00+05:30,467.3,467.65,466.65,467.65,451.0
2026-05-29 13:50:00+05:30,466.65,466.65,463.4,463.5,11013.0
2026-05-29 13:55:00+05:30,463.5,464.9,463.25,464.9,1355.0
2026-05-29 14:00:00+05:30,464.9,464.9,463.1,464.0,556.0
2026-05-29 14:05:00+05:30,463.05,464.0,463.05,463.75,297.0
2026-05-29 14:10:00+05:30,463.3,464.35,463.15,464.35,1070.0
2026-05-29 14:15:00+05:30,464.35,464.35,463.25,463.45,311.0
2026-05-29 14:20:00+05:30,463.85,464.95,462.2,464.8,1880.0
2026-05-29 14:25:00+05:30,464.75,464.9,463.75,463.75,612.0
2026-05-29 14:30:00+05:30,464.8,466.95,464.8,466.7,3187.0
2026-05-29 14:35:00+05:30,466.0,466.0,465.0,465.0,336.0
2026-05-29 14:40:00+05:30,465.8,466.85,465.3,466.0,242.0
2026-05-29 14:45:00+05:30,465.4,466.4,465.05,465.05,629.0
2026-05-29 14:50:00+05:30,465.05,465.05,464.0,464.0,2278.0
2026-05-29 14:55:00+05:30,465.45,465.85,464.0,464.45,3712.0
2026-05-29 15:00:00+05:30,464.45,464.45,458.05,458.05,4231.0
2026-05-29 15:05:00+05:30,458.5,458.5,455.0,455.8,4767.0
2026-05-29 15:10:00+05:30,455.25,456.85,454.5,455.0,5535.0
2026-05-29 15:15:00+05:30,455.25,456.0,452.35,453.2,4173.0
2026-05-29 15:20:00+05:30,453.25,454.8,450.6,453.55,5862.0
2026-05-29 15:25:00+05:30,453.55,454.95,451.55,454.95,4947.0
2026-06-01 09:15:00+05:30,457.9,460.95,453.75,460.95,3140.0
2026-06-01 09:20:00+05:30,459.85,459.95,456.0,457.95,891.0
2026-06-01 09:25:00+05:30,457.9,460.95,457.9,459.1,5076.0
2026-06-01 09:30:00+05:30,459.2,464.9,459.2,461.05,4821.0
2026-06-01 09:35:00+05:30,461.3,463.35,456.5,459.05,3533.0
2026-06-01 09:40:00+05:30,459.75,460.85,459.05,460.1,1229.0
2026-06-01 09:45:00+05:30,460.3,462.55,459.2,461.95,2169.0
2026-06-01 09:50:00+05:30,462.0,462.0,460.05,460.05,326.0
2026-06-01 09:55:00+05:30,460.05,461.75,459.85,461.75,316.0
2026-06-01 10:00:00+05:30,460.95,461.6,458.6,459.0,1802.0
2026-06-01 10:05:00+05:30,458.1,459.0,456.05,456.05,1269.0
2026-06-01 10:10:00+05:30,456.65,457.5,455.5,456.65,3186.0
2026-06-01 10:15:00+05:30,457.4,457.85,455.6,457.85,1720.0
2026-06-01 10:20:00+05:30,456.15,456.15,455.0,456.15,3271.0
2026-06-01 10:25:00+05:30,456.85,458.85,456.85,457.45,638.0
2026-06-01 10:30:00+05:30,458.0,458.0,456.1,456.1,59.0
2026-06-01 10:35:00+05:30,456.1,458.25,456.1,458.1,239.0
