dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,533.45,536.35,525.25,531.35,66477.0
2026-05-29 09:20:00+05:30,531.45,533.35,526.45,528.2,67284.0
2026-05-29 09:25:00+05:30,528.2,528.5,523.7,524.8,17116.0
2026-05-29 09:30:00+05:30,524.65,526.85,522.95,524.1,24795.0
2026-05-29 09:35:00+05:30,524.1,526.95,522.55,526.6,35163.0
2026-05-29 09:40:00+05:30,526.15,527.85,524.5,525.1,7094.0
2026-05-29 09:45:00+05:30,524.8,528.4,524.3,528.4,17370.0
2026-05-29 09:50:00+05:30,528.15,529.45,526.65,526.65,4228.0
2026-05-29 09:55:00+05:30,526.95,526.95,523.8,523.8,6574.0
2026-05-29 10:00:00+05:30,524.5,524.5,522.4,523.5,7518.0
2026-05-29 10:05:00+05:30,523.0,523.55,522.05,522.85,7459.0
2026-05-29 10:10:00+05:30,523.25,523.25,522.1,522.9,3416.0
2026-05-29 10:15:00+05:30,522.95,523.9,521.0,523.3,12294.0
2026-05-29 10:20:00+05:30,523.55,523.75,522.3,522.45,1245.0
2026-05-29 10:25:00+05:30,522.45,523.55,522.3,523.55,4229.0
2026-05-29 10:30:00+05:30,523.45,525.0,523.05,524.45,1515.0
2026-05-29 10:35:00+05:30,525.0,526.45,525.0,526.0,2039.0
2026-05-29 10:40:00+05:30,525.85,531.15,525.7,530.5,14876.0
2026-05-29 10:45:00+05:30,530.7,535.4,530.55,535.2,22595.0
2026-05-29 10:50:00+05:30,535.2,539.5,534.65,535.35,75016.0
2026-05-29 10:55:00+05:30,535.1,538.0,534.05,537.25,19922.0
2026-05-29 11:00:00+05:30,536.6,543.0,535.7,542.35,59093.0
2026-05-29 11:05:00+05:30,542.4,545.4,542.4,545.1,24482.0
2026-05-29 11:10:00+05:30,545.35,547.0,541.3,541.5,33858.0
2026-05-29 11:15:00+05:30,542.0,544.35,541.0,543.5,13428.0
2026-05-29 11:20:00+05:30,543.45,543.95,541.0,541.0,7790.0
2026-05-29 11:25:00+05:30,541.05,541.75,540.55,541.4,4108.0
2026-05-29 11:30:00+05:30,541.4,542.9,540.75,542.0,4959.0
2026-05-29 11:35:00+05:30,542.0,542.05,540.95,541.55,4320.0
2026-05-29 11:40:00+05:30,541.4,543.4,540.75,542.0,8906.0
2026-05-29 11:45:00+05:30,541.8,541.85,540.1,540.1,4384.0
2026-05-29 11:50:00+05:30,540.75,541.25,540.1,541.25,1426.0
2026-05-29 11:55:00+05:30,541.05,541.75,540.85,541.05,954.0
2026-05-29 12:00:00+05:30,541.55,541.95,540.7,540.7,2066.0
2026-05-29 12:05:00+05:30,541.0,541.25,540.25,540.4,1563.0
2026-05-29 12:10:00+05:30,539.45,539.8,537.25,539.8,15665.0
2026-05-29 12:15:00+05:30,539.65,540.5,538.1,538.1,5828.0
2026-05-29 12:20:00+05:30,537.95,538.75,537.25,538.15,7887.0
2026-05-29 12:25:00+05:30,538.15,542.8,538.0,542.35,13576.0
2026-05-29 12:30:00+05:30,542.35,544.25,542.05,542.7,18416.0
2026-05-29 12:35:00+05:30,542.0,542.4,541.25,542.2,1318.0
2026-05-29 12:40:00+05:30,541.6,542.55,541.4,541.45,2511.0
2026-05-29 12:45:00+05:30,542.2,542.2,541.0,541.75,3662.0
2026-05-29 12:50:00+05:30,541.65,542.05,540.35,540.4,4148.0
2026-05-29 12:55:00+05:30,540.2,540.9,539.25,540.85,7540.0
2026-05-29 13:00:00+05:30,540.4,542.15,539.5,542.15,5439.0
2026-05-29 13:05:00+05:30,541.5,541.9,540.5,541.4,2275.0
2026-05-29 13:10:00+05:30,540.8,541.1,540.0,540.0,1875.0
2026-05-29 13:15:00+05:30,540.05,541.4,540.0,540.75,2940.0
2026-05-29 13:20:00+05:30,541.1,541.3,540.5,541.3,857.0
2026-05-29 13:25:00+05:30,541.35,541.35,540.55,540.6,480.0
2026-05-29 13:30:00+05:30,540.65,542.05,540.6,541.4,1105.0
2026-05-29 13:35:00+05:30,541.4,541.95,540.4,540.45,1115.0
2026-05-29 13:40:00+05:30,540.45,540.85,540.45,540.85,813.0
2026-05-29 13:45:00+05:30,540.8,540.85,540.0,540.0,10927.0
2026-05-29 13:50:00+05:30,539.6,539.6,537.75,538.8,3214.0
2026-05-29 13:55:00+05:30,538.2,539.2,538.05,538.95,2064.0
2026-05-29 14:00:00+05:30,538.0,538.5,538.0,538.5,479.0
2026-05-29 14:05:00+05:30,538.4,538.4,537.25,537.25,3629.0
2026-05-29 14:10:00+05:30,537.25,538.5,537.25,538.0,1690.0
2026-05-29 14:15:00+05:30,537.5,538.4,537.3,537.55,810.0
2026-05-29 14:20:00+05:30,537.5,538.4,537.0,538.4,5347.0
2026-05-29 14:25:00+05:30,538.3,538.6,537.9,538.0,3797.0
2026-05-29 14:30:00+05:30,537.55,539.65,537.55,539.0,3124.0
2026-05-29 14:35:00+05:30,538.95,539.75,538.4,539.0,1699.0
2026-05-29 14:40:00+05:30,538.5,539.95,538.5,539.85,4171.0
2026-05-29 14:45:00+05:30,539.2,548.6,539.0,547.85,47706.0
2026-05-29 14:50:00+05:30,547.9,548.95,545.45,545.45,30019.0
2026-05-29 14:55:00+05:30,545.6,546.35,545.15,545.15,3408.0
2026-05-29 15:00:00+05:30,545.15,545.15,540.5,541.2,26573.0
2026-05-29 15:05:00+05:30,541.2,541.2,538.1,538.2,22043.0
2026-05-29 15:10:00+05:30,538.6,539.95,538.05,539.05,10824.0
2026-05-29 15:15:00+05:30,539.25,541.1,539.0,540.0,19742.0
2026-05-29 15:20:00+05:30,540.0,540.4,538.0,540.0,15707.0
2026-05-29 15:25:00+05:30,539.95,540.8,535.3,538.6,26970.0
2026-06-01 09:15:00+05:30,545.0,555.8,543.15,548.3,98680.0
2026-06-01 09:20:00+05:30,548.0,548.55,544.25,545.05,45912.0
2026-06-01 09:25:00+05:30,545.0,546.25,544.2,544.8,7998.0
2026-06-01 09:30:00+05:30,544.4,547.65,540.55,541.6,28485.0
2026-06-01 09:35:00+05:30,542.0,542.0,538.0,539.55,19882.0
2026-06-01 09:40:00+05:30,540.25,540.25,536.7,537.2,6339.0
2026-06-01 09:45:00+05:30,537.0,539.9,537.0,539.0,4175.0
2026-06-01 09:50:00+05:30,539.3,540.15,538.0,539.85,5910.0
2026-06-01 09:55:00+05:30,539.85,540.3,537.0,539.0,20872.0
2026-06-01 10:00:00+05:30,538.95,540.65,538.0,540.15,8546.0
2026-06-01 10:05:00+05:30,539.55,543.95,539.4,542.85,11450.0
2026-06-01 10:10:00+05:30,543.0,544.0,540.1,543.4,18428.0
2026-06-01 10:15:00+05:30,543.4,547.45,542.55,544.95,16765.0
2026-06-01 10:20:00+05:30,545.0,546.15,544.6,545.3,7700.0
2026-06-01 10:25:00+05:30,545.3,546.45,544.5,544.95,4889.0
2026-06-01 10:30:00+05:30,544.5,544.5,543.0,543.8,3410.0
2026-06-01 10:35:00+05:30,543.8,544.8,543.4,544.3,2626.0
2026-06-01 10:40:00+05:30,544.55,548.95,544.0,547.25,18836.0
2026-06-01 10:45:00+05:30,547.25,549.7,546.9,548.8,11386.0
2026-06-01 10:50:00+05:30,548.95,554.0,548.95,553.35,53691.0
2026-06-01 10:55:00+05:30,553.4,554.25,553.4,553.5,24186.0
2026-06-01 11:00:00+05:30,553.55,553.9,553.0,553.05,6132.0
2026-06-01 11:05:00+05:30,553.5,554.25,549.0,550.2,21098.0
2026-06-01 11:10:00+05:30,550.2,551.5,550.2,550.4,2714.0
