dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,69.5,69.5,68.67,68.78,44559.0
2026-05-29 09:20:00+05:30,68.87,68.89,68.6,68.6,22948.0
2026-05-29 09:25:00+05:30,68.6,68.94,68.6,68.9,106164.0
2026-05-29 09:30:00+05:30,68.78,68.79,68.6,68.6,46495.0
2026-05-29 09:35:00+05:30,68.6,68.64,68.5,68.62,28197.0
2026-05-29 09:40:00+05:30,68.62,68.77,68.62,68.73,31512.0
2026-05-29 09:45:00+05:30,68.7,68.72,68.62,68.69,14283.0
2026-05-29 09:50:00+05:30,68.65,68.7,68.52,68.67,33188.0
2026-05-29 09:55:00+05:30,68.67,68.68,68.61,68.67,9020.0
2026-05-29 10:00:00+05:30,68.61,68.75,68.6,68.75,13530.0
2026-05-29 10:05:00+05:30,68.79,68.79,68.68,68.72,3047.0
2026-05-29 10:10:00+05:30,68.75,68.9,68.75,68.75,10280.0
2026-05-29 10:15:00+05:30,68.77,68.9,68.75,68.83,8342.0
2026-05-29 10:20:00+05:30,68.88,68.94,68.83,68.94,11462.0
2026-05-29 10:25:00+05:30,68.94,68.94,68.87,68.87,5083.0
2026-05-29 10:30:00+05:30,68.9,68.9,68.8,68.87,29095.0
2026-05-29 10:35:00+05:30,68.87,68.87,68.76,68.76,322.0
2026-05-29 10:40:00+05:30,68.75,68.85,68.75,68.85,961.0
2026-05-29 10:45:00+05:30,68.78,68.78,68.75,68.77,915.0
2026-05-29 10:50:00+05:30,68.8,68.9,68.78,68.8,12822.0
2026-05-29 10:55:00+05:30,68.81,68.89,68.8,68.8,3707.0
2026-05-29 11:00:00+05:30,68.87,68.88,68.8,68.8,780.0
2026-05-29 11:05:00+05:30,68.8,68.89,68.8,68.82,3077.0
2026-05-29 11:10:00+05:30,68.88,68.88,68.81,68.81,220.0
2026-05-29 11:15:00+05:30,68.85,68.85,68.79,68.84,6721.0
2026-05-29 11:20:00+05:30,68.79,68.79,68.79,68.79,635.0
2026-05-29 11:25:00+05:30,68.79,68.85,68.79,68.8,2727.0
2026-05-29 11:30:00+05:30,68.79,68.8,68.79,68.79,1280.0
2026-05-29 11:35:00+05:30,68.78,68.82,68.76,68.76,11364.0
2026-05-29 11:40:00+05:30,68.8,68.87,68.76,68.87,5373.0
2026-05-29 11:45:00+05:30,68.87,68.89,68.81,68.81,3316.0
2026-05-29 11:50:00+05:30,68.8,68.91,68.8,68.85,6699.0
2026-05-29 11:55:00+05:30,68.9,68.9,68.81,68.88,3713.0
2026-05-29 12:00:00+05:30,68.8,68.84,68.76,68.82,9300.0
2026-05-29 12:05:00+05:30,68.82,68.89,68.81,68.89,1872.0
2026-05-29 12:10:00+05:30,68.89,68.9,68.84,68.87,1537.0
2026-05-29 12:15:00+05:30,68.81,68.9,68.81,68.9,3653.0
2026-05-29 12:20:00+05:30,68.83,68.9,68.83,68.84,165.0
2026-05-29 12:25:00+05:30,68.84,68.85,68.84,68.85,119.0
2026-05-29 12:30:00+05:30,68.85,68.9,68.85,68.9,74.0
2026-05-29 12:35:00+05:30,68.89,68.89,68.85,68.89,161.0
2026-05-29 12:40:00+05:30,68.89,68.89,68.79,68.83,10219.0
2026-05-29 12:45:00+05:30,68.83,68.9,68.81,68.81,9301.0
2026-05-29 12:50:00+05:30,68.8,68.88,68.8,68.86,4310.0
2026-05-29 12:55:00+05:30,68.8,68.83,68.8,68.83,758.0
2026-05-29 13:00:00+05:30,68.83,68.89,68.83,68.85,1689.0
2026-05-29 13:05:00+05:30,68.85,68.85,68.76,68.8,10617.0
2026-05-29 13:10:00+05:30,68.76,68.79,68.76,68.76,34286.0
2026-05-29 13:15:00+05:30,68.76,68.79,68.76,68.79,4485.0
2026-05-29 13:20:00+05:30,68.79,68.8,68.76,68.8,3205.0
2026-05-29 13:25:00+05:30,68.76,68.77,68.76,68.77,465.0
2026-05-29 13:30:00+05:30,68.8,68.91,68.76,68.91,13199.0
2026-05-29 13:35:00+05:30,68.85,68.87,68.8,68.81,1114.0
2026-05-29 13:40:00+05:30,68.81,68.88,68.76,68.76,30405.0
2026-05-29 13:45:00+05:30,68.76,68.79,68.74,68.79,2867.0
2026-05-29 13:50:00+05:30,68.73,68.79,68.72,68.72,1818.0
2026-05-29 13:55:00+05:30,68.72,68.8,68.72,68.72,2769.0
2026-05-29 14:00:00+05:30,68.77,68.79,68.73,68.73,1247.0
2026-05-29 14:05:00+05:30,68.73,68.78,68.73,68.73,4205.0
2026-05-29 14:10:00+05:30,68.75,68.79,68.74,68.79,1912.0
2026-05-29 14:15:00+05:30,68.74,68.79,68.74,68.76,5122.0
2026-05-29 14:20:00+05:30,68.76,68.81,68.74,68.8,31306.0
2026-05-29 14:25:00+05:30,68.74,68.8,68.74,68.75,15229.0
2026-05-29 14:30:00+05:30,68.75,68.79,68.75,68.79,968.0
2026-05-29 14:35:00+05:30,68.75,68.8,68.75,68.75,5742.0
2026-05-29 14:40:00+05:30,68.74,68.9,68.74,68.9,3454.0
2026-05-29 14:45:00+05:30,68.84,68.93,68.84,68.93,12940.0
2026-05-29 14:50:00+05:30,68.95,69.0,68.9,68.99,30109.0
2026-05-29 14:55:00+05:30,68.99,69.12,68.91,69.09,48673.0
2026-05-29 15:00:00+05:30,69.08,69.09,68.74,68.74,108968.0
2026-05-29 15:05:00+05:30,68.74,68.75,68.6,68.66,27447.0
2026-05-29 15:10:00+05:30,68.66,68.69,68.63,68.68,9677.0
2026-05-29 15:15:00+05:30,68.68,68.75,68.68,68.68,43417.0
2026-05-29 15:20:00+05:30,68.68,68.69,68.5,68.5,83535.0
2026-05-29 15:25:00+05:30,68.51,68.64,68.5,68.5,91881.0
2026-06-01 09:15:00+05:30,68.7,69.19,68.41,68.67,88940.0
2026-06-01 09:20:00+05:30,68.66,68.66,68.26,68.45,21666.0
2026-06-01 09:25:00+05:30,68.39,68.49,68.3,68.46,32984.0
2026-06-01 09:30:00+05:30,68.47,68.47,68.31,68.37,11209.0
2026-06-01 09:35:00+05:30,68.31,68.4,68.21,68.31,38920.0
2026-06-01 09:40:00+05:30,68.4,68.44,68.28,68.37,8124.0
2026-06-01 09:45:00+05:30,68.33,68.39,68.25,68.28,3654.0
2026-06-01 09:50:00+05:30,68.22,68.32,68.22,68.27,11457.0
2026-06-01 09:55:00+05:30,68.29,68.3,68.21,68.3,11584.0
2026-06-01 10:00:00+05:30,68.3,68.3,68.1,68.14,11457.0
2026-06-01 10:05:00+05:30,68.11,68.24,68.1,68.18,2764.0
2026-06-01 10:10:00+05:30,68.23,68.24,68.09,68.19,41628.0
2026-06-01 10:15:00+05:30,68.14,68.18,68.05,68.05,9020.0
2026-06-01 10:20:00+05:30,68.05,68.09,68.01,68.09,3020.0
2026-06-01 10:25:00+05:30,68.05,68.13,68.05,68.13,5230.0
2026-06-01 10:30:00+05:30,68.13,68.16,68.04,68.05,15087.0
