dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,331.7,332.6,322.2,327.25,345521.0
2026-05-29 09:20:00+05:30,326.3,333.0,326.05,331.6,303604.0
2026-05-29 09:25:00+05:30,331.55,332.9,327.8,331.25,213520.0
2026-05-29 09:30:00+05:30,331.35,331.95,328.5,329.3,87593.0
2026-05-29 09:35:00+05:30,329.6,336.75,329.0,335.6,251725.0
2026-05-29 09:40:00+05:30,335.9,336.0,332.35,334.55,235421.0
2026-05-29 09:45:00+05:30,335.3,336.25,333.7,334.65,163371.0
2026-05-29 09:50:00+05:30,335.0,336.95,333.05,333.45,136497.0
2026-05-29 09:55:00+05:30,333.25,334.0,332.3,333.0,70752.0
2026-05-29 10:00:00+05:30,332.7,333.85,331.4,333.5,69674.0
2026-05-29 10:05:00+05:30,333.15,333.4,331.2,331.75,27133.0
2026-05-29 10:10:00+05:30,331.8,333.7,331.35,332.7,35057.0
2026-05-29 10:15:00+05:30,333.0,333.0,332.0,332.2,17643.0
2026-05-29 10:20:00+05:30,332.2,332.9,331.4,331.95,32876.0
2026-05-29 10:25:00+05:30,332.0,332.0,330.3,330.5,47293.0
2026-05-29 10:30:00+05:30,330.3,331.3,330.2,330.4,24913.0
2026-05-29 10:35:00+05:30,330.1,334.0,330.1,333.45,52724.0
2026-05-29 10:40:00+05:30,333.2,333.6,331.5,331.5,31601.0
2026-05-29 10:45:00+05:30,331.5,331.9,330.6,331.1,11774.0
2026-05-29 10:50:00+05:30,330.95,331.7,330.5,331.3,9895.0
2026-05-29 10:55:00+05:30,331.6,331.85,331.1,331.5,8436.0
2026-05-29 11:00:00+05:30,331.85,332.0,331.05,331.1,16889.0
2026-05-29 11:05:00+05:30,331.1,331.4,329.3,329.6,43636.0
2026-05-29 11:10:00+05:30,329.05,330.5,329.0,329.5,30452.0
2026-05-29 11:15:00+05:30,329.55,329.65,328.2,328.35,28331.0
2026-05-29 11:20:00+05:30,328.1,329.35,328.0,329.0,42026.0
2026-05-29 11:25:00+05:30,328.85,328.95,328.35,328.85,16495.0
2026-05-29 11:30:00+05:30,328.9,329.95,328.5,329.4,26182.0
2026-05-29 11:35:00+05:30,329.4,330.5,328.4,330.3,37461.0
2026-05-29 11:40:00+05:30,330.3,330.7,329.7,330.45,11983.0
2026-05-29 11:45:00+05:30,330.0,332.6,329.55,332.3,43338.0
2026-05-29 11:50:00+05:30,332.0,333.0,332.0,332.5,11410.0
2026-05-29 11:55:00+05:30,332.6,332.7,331.0,331.55,22275.0
2026-05-29 12:00:00+05:30,331.5,331.5,330.65,330.8,4337.0
2026-05-29 12:05:00+05:30,331.05,331.9,330.3,330.9,10348.0
2026-05-29 12:10:00+05:30,330.85,331.2,330.05,330.3,10351.0
2026-05-29 12:15:00+05:30,330.6,332.1,330.2,331.15,26909.0
2026-05-29 12:20:00+05:30,331.15,331.15,330.5,330.95,4110.0
2026-05-29 12:25:00+05:30,330.95,331.25,330.0,330.0,14644.0
2026-05-29 12:30:00+05:30,330.0,330.6,330.0,330.0,7355.0
2026-05-29 12:35:00+05:30,330.0,330.6,329.6,330.6,7189.0
2026-05-29 12:40:00+05:30,330.4,330.9,330.0,330.4,10988.0
2026-05-29 12:45:00+05:30,330.1,330.55,329.2,329.2,22051.0
2026-05-29 12:50:00+05:30,329.75,330.15,329.0,330.0,7047.0
2026-05-29 12:55:00+05:30,330.45,333.5,330.4,330.75,63557.0
2026-05-29 13:00:00+05:30,330.75,330.75,329.6,330.0,19554.0
2026-05-29 13:05:00+05:30,329.85,329.85,328.0,328.35,31353.0
2026-05-29 13:10:00+05:30,328.35,328.4,326.25,328.15,61086.0
2026-05-29 13:15:00+05:30,327.95,327.95,327.1,327.55,26597.0
2026-05-29 13:20:00+05:30,327.55,328.35,327.0,327.9,22162.0
2026-05-29 13:25:00+05:30,327.65,328.1,326.5,326.8,12571.0
2026-05-29 13:30:00+05:30,326.8,327.45,325.75,326.85,44092.0
2026-05-29 13:35:00+05:30,326.65,326.8,325.3,326.7,38776.0
2026-05-29 13:40:00+05:30,326.7,327.9,326.0,327.7,35012.0
2026-05-29 13:45:00+05:30,327.7,329.4,327.45,329.2,21220.0
2026-05-29 13:50:00+05:30,329.2,330.65,329.2,330.2,52448.0
2026-05-29 13:55:00+05:30,330.6,331.95,330.2,331.9,36321.0
2026-05-29 14:00:00+05:30,332.0,335.0,332.0,334.4,194932.0
2026-05-29 14:05:00+05:30,334.1,335.0,333.0,334.0,93804.0
2026-05-29 14:10:00+05:30,334.3,334.3,331.9,332.05,34173.0
2026-05-29 14:15:00+05:30,332.4,333.0,332.1,333.0,24107.0
2026-05-29 14:20:00+05:30,333.1,333.85,331.35,332.25,48129.0
2026-05-29 14:25:00+05:30,331.95,332.3,331.4,331.65,16523.0
2026-05-29 14:30:00+05:30,332.0,333.4,332.0,332.05,51620.0
2026-05-29 14:35:00+05:30,332.05,332.4,330.3,330.85,23239.0
2026-05-29 14:40:00+05:30,330.9,331.85,330.6,331.55,18506.0
2026-05-29 14:45:00+05:30,331.5,331.65,330.3,330.55,23949.0
2026-05-29 14:50:00+05:30,330.6,331.1,330.1,330.6,19670.0
2026-05-29 14:55:00+05:30,330.95,331.8,330.6,331.45,14852.0
2026-05-29 15:00:00+05:30,331.4,331.4,326.65,326.7,84004.0
2026-05-29 15:05:00+05:30,327.0,327.4,323.45,326.25,113553.0
2026-05-29 15:10:00+05:30,326.05,328.85,326.05,328.75,36535.0
2026-05-29 15:15:00+05:30,328.85,330.65,327.45,328.95,95643.0
