dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,237.83,238.5,236.77,237.99,4792.0
2026-05-29 09:20:00+05:30,237.88,238.23,237.01,238.12,7389.0
2026-05-29 09:25:00+05:30,237.61,238.13,236.42,236.51,27891.0
2026-05-29 09:30:00+05:30,236.3,237.73,236.01,237.73,6181.0
2026-05-29 09:35:00+05:30,237.48,237.81,237.48,237.54,2515.0
2026-05-29 09:40:00+05:30,237.71,237.8,237.1,237.67,8194.0
2026-05-29 09:45:00+05:30,237.67,238.47,237.6,238.44,84270.0
2026-05-29 09:50:00+05:30,238.3,238.65,238.2,238.26,9768.0
2026-05-29 09:55:00+05:30,238.0,238.07,237.72,238.07,3302.0
2026-05-29 10:00:00+05:30,238.12,238.25,237.73,237.8,2919.0
2026-05-29 10:05:00+05:30,237.8,237.8,237.65,237.69,150.0
2026-05-29 10:10:00+05:30,237.55,237.99,237.5,237.99,1802.0
2026-05-29 10:15:00+05:30,237.99,237.99,237.54,237.69,3301.0
2026-05-29 10:20:00+05:30,237.69,238.09,237.59,237.81,13868.0
2026-05-29 10:25:00+05:30,237.81,237.88,237.77,237.88,337.0
2026-05-29 10:30:00+05:30,237.72,237.86,237.68,237.86,329.0
2026-05-29 10:35:00+05:30,237.86,237.86,237.6,237.86,1026.0
2026-05-29 10:40:00+05:30,237.9,238.04,237.68,237.68,1174.0
2026-05-29 10:45:00+05:30,237.68,237.82,237.68,237.82,248.0
2026-05-29 10:50:00+05:30,237.82,238.42,237.72,237.77,10222.0
2026-05-29 10:55:00+05:30,237.77,237.77,237.54,237.77,8020.0
2026-05-29 11:00:00+05:30,237.75,238.49,237.72,238.29,13515.0
2026-05-29 11:05:00+05:30,238.31,238.43,238.31,238.38,168.0
2026-05-29 11:10:00+05:30,238.38,238.38,238.06,238.06,302.0
2026-05-29 11:15:00+05:30,238.27,238.56,237.79,237.79,7597.0
2026-05-29 11:20:00+05:30,237.76,237.99,237.76,237.99,265.0
2026-05-29 11:25:00+05:30,237.9,238.41,237.9,238.41,43429.0
2026-05-29 11:30:00+05:30,238.25,238.5,237.82,237.95,86666.0
2026-05-29 11:35:00+05:30,238.5,238.5,237.74,238.0,59753.0
2026-05-29 11:40:00+05:30,238.0,238.56,237.73,238.0,28828.0
