dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,267.0,267.9,262.55,266.2,8901.0
2026-05-29 09:20:00+05:30,267.1,267.85,263.2,265.0,25053.0
2026-05-29 09:25:00+05:30,264.9,265.5,264.5,264.7,7806.0
2026-05-29 09:30:00+05:30,264.0,264.5,263.5,264.1,1538.0
2026-05-29 09:35:00+05:30,264.0,265.0,263.8,265.0,2402.0
2026-05-29 09:40:00+05:30,264.8,265.65,264.65,264.65,3472.0
2026-05-29 09:45:00+05:30,264.5,265.4,264.45,265.0,1396.0
2026-05-29 09:50:00+05:30,265.0,265.0,264.75,265.0,1221.0
2026-05-29 09:55:00+05:30,265.0,265.9,264.8,265.05,2482.0
2026-05-29 10:00:00+05:30,265.35,266.2,265.25,265.9,2797.0
2026-05-29 10:05:00+05:30,265.7,268.45,265.7,267.1,11635.0
2026-05-29 10:10:00+05:30,267.1,268.6,267.1,268.45,6527.0
2026-05-29 10:15:00+05:30,268.3,271.45,268.0,271.45,35568.0
2026-05-29 10:20:00+05:30,271.5,272.45,267.15,267.2,29587.0
2026-05-29 10:25:00+05:30,268.0,268.1,266.3,266.9,1073.0
2026-05-29 10:30:00+05:30,266.5,266.65,265.3,265.6,5171.0
2026-05-29 10:35:00+05:30,265.95,267.4,265.95,267.0,2587.0
2026-05-29 10:40:00+05:30,267.15,267.15,265.3,265.3,10534.0
2026-05-29 10:45:00+05:30,265.3,266.0,265.0,265.0,1412.0
2026-05-29 10:50:00+05:30,265.45,265.45,264.6,264.6,12781.0
2026-05-29 10:55:00+05:30,264.95,265.0,264.5,265.0,420.0
2026-05-29 11:00:00+05:30,265.0,265.3,264.95,265.0,917.0
2026-05-29 11:05:00+05:30,265.65,265.9,265.25,265.25,1517.0
2026-05-29 11:10:00+05:30,265.25,265.25,265.25,265.25,159.0
2026-05-29 11:15:00+05:30,265.25,265.85,265.15,265.25,94.0
2026-05-29 11:20:00+05:30,265.25,265.55,264.6,264.6,3418.0
2026-05-29 11:25:00+05:30,264.75,264.95,264.5,264.6,939.0
2026-05-29 11:30:00+05:30,264.6,265.4,264.3,264.65,1952.0
2026-05-29 11:35:00+05:30,264.65,264.95,264.3,264.75,11213.0
2026-05-29 11:40:00+05:30,264.75,265.2,264.2,264.3,444.0
2026-05-29 11:45:00+05:30,264.9,264.95,264.25,264.3,502.0
2026-05-29 11:50:00+05:30,264.3,264.75,264.25,264.3,266.0
2026-05-29 11:55:00+05:30,264.3,264.7,264.25,264.25,150.0
2026-05-29 12:00:00+05:30,264.75,265.0,264.1,264.2,3692.0
2026-05-29 12:05:00+05:30,264.15,264.95,264.15,264.25,2979.0
2026-05-29 12:10:00+05:30,264.3,264.8,263.65,263.65,17570.0
2026-05-29 12:15:00+05:30,263.6,264.05,263.5,264.05,885.0
2026-05-29 12:20:00+05:30,264.8,264.8,264.0,264.05,1246.0
2026-05-29 12:25:00+05:30,264.05,264.55,264.05,264.15,78.0
2026-05-29 12:30:00+05:30,264.15,264.55,264.15,264.55,13.0
2026-05-29 12:35:00+05:30,264.55,264.6,264.15,264.2,250.0
2026-05-29 12:40:00+05:30,264.2,264.8,264.2,264.45,327.0
2026-05-29 12:45:00+05:30,264.45,264.8,264.4,264.4,107.0
2026-05-29 12:50:00+05:30,264.4,264.85,263.8,263.8,6487.0
2026-05-29 12:55:00+05:30,263.8,264.05,263.8,264.0,623.0
2026-05-29 13:00:00+05:30,264.4,264.4,264.0,264.0,188.0
2026-05-29 13:05:00+05:30,264.0,264.9,264.0,264.9,4650.0
2026-05-29 13:10:00+05:30,264.4,264.6,264.25,264.45,41.0
2026-05-29 13:15:00+05:30,264.45,264.95,264.15,264.45,724.0
2026-05-29 13:20:00+05:30,264.45,264.85,264.45,264.5,65.0
2026-05-29 13:25:00+05:30,264.5,264.55,264.0,264.0,2600.0
2026-05-29 13:30:00+05:30,264.0,264.6,264.0,264.35,281.0
2026-05-29 13:35:00+05:30,264.4,264.8,264.3,264.35,390.0
2026-05-29 13:40:00+05:30,264.25,264.75,264.05,264.2,800.0
2026-05-29 13:45:00+05:30,264.15,264.35,264.0,264.3,1136.0
2026-05-29 13:50:00+05:30,264.3,264.8,263.8,263.85,11764.0
2026-05-29 13:55:00+05:30,263.8,264.45,263.5,264.45,2510.0
2026-05-29 14:00:00+05:30,264.3,264.65,264.25,264.25,76.0
2026-05-29 14:05:00+05:30,264.0,264.55,264.0,264.0,1398.0
2026-05-29 14:10:00+05:30,264.0,264.0,264.0,264.0,1930.0
2026-05-29 14:15:00+05:30,264.0,264.65,264.0,264.2,17.0
2026-05-29 14:20:00+05:30,264.2,265.6,264.2,265.1,4192.0
2026-05-29 14:25:00+05:30,265.1,265.15,265.1,265.1,55.0
2026-05-29 14:30:00+05:30,265.95,267.0,265.8,265.8,6552.0
2026-05-29 14:35:00+05:30,265.5,266.5,265.5,266.0,21017.0
2026-05-29 14:40:00+05:30,266.25,266.25,265.5,266.0,1831.0
2026-05-29 14:45:00+05:30,265.95,266.6,265.55,266.05,1106.0
2026-05-29 14:50:00+05:30,266.05,266.45,266.05,266.4,178.0
2026-05-29 14:55:00+05:30,266.05,267.45,265.5,266.0,19271.0
2026-05-29 15:00:00+05:30,266.0,266.0,265.0,265.85,7938.0
2026-05-29 15:05:00+05:30,265.0,265.55,265.0,265.4,11180.0
