dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,40.3,40.45,39.91,40.15,121882.0
2026-05-29 09:20:00+05:30,40.08,40.15,39.7,39.7,242128.0
2026-05-29 09:25:00+05:30,39.7,39.74,39.45,39.68,56409.0
2026-05-29 09:30:00+05:30,39.72,39.81,39.64,39.76,87918.0
2026-05-29 09:35:00+05:30,39.74,39.75,39.53,39.59,90673.0
2026-05-29 09:40:00+05:30,39.59,39.59,39.5,39.59,53407.0
2026-05-29 09:45:00+05:30,39.59,39.68,39.51,39.67,22527.0
2026-05-29 09:50:00+05:30,39.67,39.85,39.65,39.67,107158.0
2026-05-29 09:55:00+05:30,39.66,39.67,39.6,39.63,548579.0
2026-05-29 10:00:00+05:30,39.65,39.75,39.59,39.73,38756.0
2026-05-29 10:05:00+05:30,39.7,39.75,39.7,39.75,10803.0
2026-05-29 10:10:00+05:30,39.75,39.75,39.68,39.7,37220.0
2026-05-29 10:15:00+05:30,39.7,39.84,39.68,39.8,111687.0
2026-05-29 10:20:00+05:30,39.73,39.74,39.69,39.72,48691.0
2026-05-29 10:25:00+05:30,39.74,39.74,39.71,39.71,1175.0
2026-05-29 10:30:00+05:30,39.74,39.78,39.68,39.72,18844.0
2026-05-29 10:35:00+05:30,39.75,39.8,39.74,39.78,3632.0
2026-05-29 10:40:00+05:30,39.78,39.8,39.7,39.7,71470.0
2026-05-29 10:45:00+05:30,39.74,39.76,39.7,39.76,7245.0
2026-05-29 10:50:00+05:30,39.76,39.76,39.7,39.74,3761.0
2026-05-29 10:55:00+05:30,39.74,39.74,39.7,39.74,6756.0
2026-05-29 11:00:00+05:30,39.74,39.74,39.68,39.74,3808.0
2026-05-29 11:05:00+05:30,39.74,39.74,39.7,39.7,1952.0
2026-05-29 11:10:00+05:30,39.7,39.74,39.62,39.65,180934.0
2026-05-29 11:15:00+05:30,39.63,39.68,39.62,39.64,8318.0
2026-05-29 11:20:00+05:30,39.68,39.68,39.64,39.68,2143.0
2026-05-29 11:25:00+05:30,39.68,39.8,39.68,39.79,36585.0
2026-05-29 11:30:00+05:30,39.79,39.79,39.72,39.76,28322.0
2026-05-29 11:35:00+05:30,39.75,39.78,39.69,39.72,42457.0
