dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,91.64,94.4,91.64,94.3,131069.0
2026-05-29 09:20:00+05:30,94.38,94.44,93.45,93.71,35236.0
2026-05-29 09:25:00+05:30,93.65,93.91,93.35,93.63,61164.0
2026-05-29 09:30:00+05:30,93.55,94.3,93.55,94.26,59506.0
2026-05-29 09:35:00+05:30,94.26,95.56,93.95,95.17,241560.0
2026-05-29 09:40:00+05:30,95.17,95.79,94.73,94.96,108172.0
2026-05-29 09:45:00+05:30,94.85,95.44,94.77,94.9,61932.0
2026-05-29 09:50:00+05:30,94.87,95.3,94.75,95.3,31172.0
2026-05-29 09:55:00+05:30,95.24,95.34,94.91,95.26,34060.0
2026-05-29 10:00:00+05:30,95.35,95.5,94.97,95.1,63010.0
2026-05-29 10:05:00+05:30,95.05,95.23,94.66,94.75,83309.0
2026-05-29 10:10:00+05:30,94.75,95.18,94.75,95.1,15700.0
2026-05-29 10:15:00+05:30,95.32,95.75,95.25,95.61,97685.0
2026-05-29 10:20:00+05:30,95.7,95.79,95.57,95.74,21642.0
2026-05-29 10:25:00+05:30,95.67,95.73,95.1,95.41,51320.0
2026-05-29 10:30:00+05:30,95.5,95.95,95.41,95.6,73177.0
2026-05-29 10:35:00+05:30,95.5,95.58,95.31,95.49,18670.0
2026-05-29 10:40:00+05:30,95.38,95.58,95.33,95.34,9085.0
2026-05-29 10:45:00+05:30,95.31,95.47,95.0,95.32,34215.0
2026-05-29 10:50:00+05:30,95.3,95.44,95.17,95.2,14945.0
2026-05-29 10:55:00+05:30,95.2,95.25,94.81,95.0,20184.0
2026-05-29 11:00:00+05:30,95.12,95.7,95.0,95.37,49345.0
2026-05-29 11:05:00+05:30,95.37,95.37,95.09,95.12,19041.0
2026-05-29 11:10:00+05:30,95.12,95.25,95.01,95.21,10878.0
2026-05-29 11:15:00+05:30,95.12,95.27,94.75,94.89,28088.0
2026-05-29 11:20:00+05:30,94.95,94.99,94.83,94.93,6302.0
2026-05-29 11:25:00+05:30,94.87,94.95,94.87,94.94,7831.0
