dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,46.47,46.74,46.36,46.61,2715.0
2026-05-29 09:20:00+05:30,46.6,46.6,46.41,46.53,3660.0
2026-05-29 09:25:00+05:30,46.53,46.6,46.43,46.48,6491.0
2026-05-29 09:30:00+05:30,46.6,46.6,46.5,46.58,6480.0
2026-05-29 09:35:00+05:30,46.51,46.59,46.35,46.35,7977.0
2026-05-29 09:40:00+05:30,46.35,46.52,46.35,46.36,6221.0
2026-05-29 09:45:00+05:30,46.38,46.59,46.35,46.43,17702.0
2026-05-29 09:50:00+05:30,46.5,46.54,46.4,46.54,2017.0
2026-05-29 09:55:00+05:30,46.54,46.54,46.24,46.24,2496.0
2026-05-29 10:00:00+05:30,46.3,46.33,46.24,46.33,577.0
2026-05-29 10:05:00+05:30,46.33,46.43,46.32,46.4,2740.0
2026-05-29 10:10:00+05:30,46.4,46.42,46.25,46.42,170.0
2026-05-29 10:15:00+05:30,46.42,46.42,46.24,46.24,1477.0
2026-05-29 10:20:00+05:30,46.25,46.36,46.25,46.36,504.0
2026-05-29 10:25:00+05:30,46.28,46.4,46.25,46.33,5286.0
2026-05-29 10:30:00+05:30,46.35,46.41,46.24,46.4,2323.0
2026-05-29 10:35:00+05:30,46.33,46.37,46.28,46.28,2146.0
2026-05-29 10:40:00+05:30,46.37,46.37,46.24,46.24,1540.0
2026-05-29 10:45:00+05:30,46.24,46.33,46.24,46.24,5499.0
2026-05-29 10:50:00+05:30,46.22,46.32,46.16,46.32,2119.0
2026-05-29 10:55:00+05:30,46.33,46.36,46.22,46.34,1504.0
2026-05-29 11:00:00+05:30,46.22,46.34,46.11,46.11,11425.0
2026-05-29 11:05:00+05:30,46.11,46.16,46.11,46.16,340.0
2026-05-29 11:10:00+05:30,46.19,46.19,46.1,46.1,694.0
2026-05-29 11:15:00+05:30,46.1,46.16,46.0,46.0,10148.0
2026-05-29 11:20:00+05:30,46.0,46.13,46.0,46.05,99.0
2026-05-29 11:25:00+05:30,46.05,46.18,46.0,46.17,11616.0
2026-05-29 11:30:00+05:30,46.18,46.18,46.05,46.05,6188.0
2026-05-29 11:35:00+05:30,46.05,46.05,46.0,46.05,1897.0
2026-05-29 11:40:00+05:30,46.03,46.05,46.03,46.05,2275.0
2026-05-29 11:45:00+05:30,46.05,46.05,46.05,46.05,4544.0
2026-05-29 11:50:00+05:30,46.07,46.2,46.06,46.2,4287.0
2026-05-29 11:55:00+05:30,46.2,46.2,46.15,46.15,65.0
2026-05-29 12:00:00+05:30,46.15,46.15,46.07,46.08,801.0
2026-05-29 12:05:00+05:30,46.08,46.08,46.06,46.06,152.0
2026-05-29 12:10:00+05:30,46.05,46.08,46.0,46.0,3589.0
2026-05-29 12:15:00+05:30,46.0,46.08,45.98,46.08,653.0
2026-05-29 12:20:00+05:30,46.0,46.0,45.9,45.9,2025.0
2026-05-29 12:25:00+05:30,46.03,46.03,45.96,45.96,30.0
2026-05-29 12:30:00+05:30,45.96,45.96,45.96,45.96,22.0
2026-05-29 12:35:00+05:30,45.96,46.02,45.96,46.02,65.0
2026-05-29 12:40:00+05:30,46.04,46.04,45.95,45.95,1045.0
2026-05-29 12:45:00+05:30,45.9,45.99,45.9,45.99,5143.0
2026-05-29 12:50:00+05:30,45.9,45.97,45.8,45.9,7917.0
2026-05-29 12:55:00+05:30,45.9,45.9,45.81,45.89,377.0
2026-05-29 13:00:00+05:30,45.89,45.89,45.7,45.79,1936.0
2026-05-29 13:05:00+05:30,45.77,45.79,45.71,45.75,583.0
2026-05-29 13:10:00+05:30,45.75,45.75,45.7,45.75,764.0
2026-05-29 13:15:00+05:30,45.66,45.78,45.65,45.78,4266.0
2026-05-29 13:20:00+05:30,45.78,45.79,45.68,45.78,1906.0
2026-05-29 13:25:00+05:30,45.76,45.77,45.69,45.77,43.0
