dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,176.46,180.0,173.0,176.3,34670.0
2026-05-29 09:20:00+05:30,176.0,176.3,170.78,170.78,14034.0
2026-05-29 09:25:00+05:30,170.0,171.99,168.35,171.59,18915.0
2026-05-29 09:30:00+05:30,170.0,171.59,169.1,169.9,12695.0
2026-05-29 09:35:00+05:30,169.76,170.5,169.0,170.31,5901.0
2026-05-29 09:40:00+05:30,170.5,170.86,169.41,170.14,2985.0
2026-05-29 09:45:00+05:30,170.54,171.65,170.1,170.75,5052.0
2026-05-29 09:50:00+05:30,170.75,171.38,170.75,171.07,1091.0
2026-05-29 09:55:00+05:30,171.22,171.78,171.06,171.67,1643.0
2026-05-29 10:00:00+05:30,171.01,172.0,171.01,172.0,5400.0
2026-05-29 10:05:00+05:30,172.0,173.0,172.0,172.77,5316.0
2026-05-29 10:10:00+05:30,172.01,172.87,171.64,172.87,3816.0
2026-05-29 10:15:00+05:30,171.66,172.4,171.66,172.4,1636.0
2026-05-29 10:20:00+05:30,172.4,172.4,171.65,171.89,698.0
2026-05-29 10:25:00+05:30,171.42,171.42,170.7,171.17,769.0
2026-05-29 10:30:00+05:30,171.17,171.17,169.62,170.0,3335.0
2026-05-29 10:35:00+05:30,170.38,170.4,169.67,170.39,837.0
2026-05-29 10:40:00+05:30,170.39,170.39,170.2,170.2,55.0
2026-05-29 10:45:00+05:30,169.81,171.99,169.81,171.7,9154.0
2026-05-29 10:50:00+05:30,171.38,171.47,170.95,171.03,656.0
2026-05-29 10:55:00+05:30,171.03,171.03,171.03,171.03,0.0
2026-05-29 11:00:00+05:30,171.03,171.24,171.03,171.17,51.0
2026-05-29 11:05:00+05:30,170.85,171.09,170.5,170.5,1722.0
2026-05-29 11:10:00+05:30,171.07,171.07,170.5,170.5,2041.0
2026-05-29 11:15:00+05:30,170.5,170.5,170.5,170.5,0.0
2026-05-29 11:20:00+05:30,170.5,170.97,170.07,170.71,3078.0
2026-05-29 11:25:00+05:30,170.98,171.0,170.5,170.92,652.0
2026-05-29 11:30:00+05:30,170.92,170.99,170.92,170.99,719.0
2026-05-29 11:35:00+05:30,170.99,171.09,170.7,171.09,350.0
2026-05-29 11:40:00+05:30,171.24,171.66,171.19,171.65,775.0
2026-05-29 11:45:00+05:30,170.89,170.92,170.89,170.92,74.0
2026-05-29 11:50:00+05:30,170.9,170.9,170.9,170.9,50.0
2026-05-29 11:55:00+05:30,170.9,170.9,170.5,170.5,277.0
2026-05-29 12:00:00+05:30,170.94,170.98,170.9,170.98,196.0
2026-05-29 12:05:00+05:30,170.98,170.98,170.26,170.97,368.0
2026-05-29 12:10:00+05:30,170.97,170.97,170.63,170.86,65.0
2026-05-29 12:15:00+05:30,170.86,171.0,170.86,171.0,250.0
2026-05-29 12:20:00+05:30,171.0,171.0,170.95,170.96,250.0
2026-05-29 12:25:00+05:30,170.96,170.96,170.96,170.96,0.0
2026-05-29 12:30:00+05:30,171.0,171.0,170.62,170.62,185.0
2026-05-29 12:35:00+05:30,170.62,171.4,170.6,171.4,173.0
2026-05-29 12:40:00+05:30,171.4,171.4,171.4,171.4,0.0
2026-05-29 12:45:00+05:30,170.81,170.81,170.34,170.34,334.0
2026-05-29 12:50:00+05:30,170.62,171.28,170.62,170.85,331.0
2026-05-29 12:55:00+05:30,170.78,170.78,170.04,170.25,1728.0
2026-05-29 13:00:00+05:30,170.65,170.65,170.24,170.56,52.0
2026-05-29 13:05:00+05:30,170.21,170.21,170.03,170.03,1493.0
2026-05-29 13:10:00+05:30,170.03,170.03,170.03,170.03,41.0
