dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,133.17,136.97,133.17,135.95,1743.0
2026-05-29 09:20:00+05:30,135.99,135.99,135.5,135.77,3301.0
2026-05-29 09:25:00+05:30,135.01,135.27,135.0,135.0,3452.0
2026-05-29 09:30:00+05:30,135.0,135.0,134.17,134.4,1382.0
2026-05-29 09:35:00+05:30,134.02,134.58,134.02,134.23,776.0
2026-05-29 09:40:00+05:30,134.2,134.88,134.03,134.88,4997.0
2026-05-29 09:45:00+05:30,134.88,134.98,134.73,134.9,1178.0
2026-05-29 09:50:00+05:30,134.99,135.36,134.87,135.1,1011.0
2026-05-29 09:55:00+05:30,134.75,134.75,134.05,134.51,4718.0
2026-05-29 10:00:00+05:30,134.5,134.89,134.02,134.07,4388.0
2026-05-29 10:05:00+05:30,134.24,134.25,134.03,134.23,1626.0
2026-05-29 10:10:00+05:30,134.23,134.38,134.06,134.06,1379.0
2026-05-29 10:15:00+05:30,134.06,134.32,134.04,134.32,1059.0
2026-05-29 10:20:00+05:30,134.32,134.36,134.21,134.32,605.0
2026-05-29 10:25:00+05:30,134.45,134.5,134.2,134.2,1527.0
2026-05-29 10:30:00+05:30,134.27,134.4,134.12,134.4,174.0
2026-05-29 10:35:00+05:30,134.4,134.88,134.4,134.77,3251.0
2026-05-29 10:40:00+05:30,134.79,134.92,134.45,134.55,2458.0
2026-05-29 10:45:00+05:30,134.57,135.0,134.57,134.83,3022.0
2026-05-29 10:50:00+05:30,134.83,134.83,134.59,134.59,871.0
2026-05-29 10:55:00+05:30,134.5,134.69,134.5,134.69,2109.0
2026-05-29 11:00:00+05:30,134.76,134.87,134.5,134.87,2460.0
2026-05-29 11:05:00+05:30,134.54,134.81,134.54,134.68,450.0
2026-05-29 11:10:00+05:30,134.68,134.68,134.31,134.31,1501.0
2026-05-29 11:15:00+05:30,134.31,134.72,134.31,134.45,1730.0
2026-05-29 11:20:00+05:30,134.45,134.64,134.4,134.4,2099.0
2026-05-29 11:25:00+05:30,134.31,134.6,134.31,134.6,1107.0
2026-05-29 11:30:00+05:30,134.62,134.62,134.43,134.43,279.0
2026-05-29 11:35:00+05:30,134.43,134.5,134.43,134.5,150.0
2026-05-29 11:40:00+05:30,134.48,134.48,134.27,134.27,550.0
2026-05-29 11:45:00+05:30,134.27,134.44,134.27,134.27,1333.0
2026-05-29 11:50:00+05:30,134.25,134.42,134.25,134.42,369.0
2026-05-29 11:55:00+05:30,134.4,134.4,134.25,134.25,207.0
2026-05-29 12:00:00+05:30,134.25,134.45,134.25,134.45,1231.0
2026-05-29 12:05:00+05:30,134.45,134.67,134.45,134.67,368.0
2026-05-29 12:10:00+05:30,134.67,134.7,134.4,134.4,785.0
2026-05-29 12:15:00+05:30,134.57,134.57,134.2,134.2,681.0
2026-05-29 12:20:00+05:30,134.52,134.52,134.33,134.49,612.0
2026-05-29 12:25:00+05:30,134.49,134.49,134.26,134.43,13.0
2026-05-29 12:30:00+05:30,134.53,134.68,134.43,134.68,1104.0
2026-05-29 12:35:00+05:30,134.6,134.6,134.12,134.48,5227.0
2026-05-29 12:40:00+05:30,134.34,134.45,134.17,134.21,270.0
2026-05-29 12:45:00+05:30,134.21,134.25,134.12,134.19,912.0
2026-05-29 12:50:00+05:30,134.19,134.43,134.18,134.4,222.0
2026-05-29 12:55:00+05:30,134.1,134.1,133.5,133.61,8190.0
2026-05-29 13:00:00+05:30,133.69,133.98,133.69,133.98,244.0
2026-05-29 13:05:00+05:30,133.73,134.5,133.7,134.17,13088.0
2026-05-29 13:10:00+05:30,134.5,134.5,133.83,134.42,4190.0
2026-05-29 13:15:00+05:30,134.01,134.47,133.95,134.16,2181.0
2026-05-29 13:20:00+05:30,133.7,133.9,133.7,133.9,1651.0
2026-05-29 13:25:00+05:30,133.9,133.9,132.71,132.87,15150.0
2026-05-29 13:30:00+05:30,132.71,132.99,131.92,132.51,6696.0
2026-05-29 13:35:00+05:30,132.51,132.97,132.51,132.91,1049.0
2026-05-29 13:40:00+05:30,132.67,132.85,132.67,132.85,631.0
2026-05-29 13:45:00+05:30,132.84,132.84,132.51,132.51,597.0
2026-05-29 13:50:00+05:30,132.34,132.85,131.91,132.77,41325.0
2026-05-29 13:55:00+05:30,132.76,133.04,132.65,132.65,496.0
2026-05-29 14:00:00+05:30,132.59,132.82,132.53,132.82,876.0
2026-05-29 14:05:00+05:30,132.73,132.81,132.5,132.78,1071.0
2026-05-29 14:10:00+05:30,132.71,132.76,132.48,132.76,235.0
2026-05-29 14:15:00+05:30,132.76,132.99,132.62,132.97,938.0
2026-05-29 14:20:00+05:30,132.86,132.97,132.86,132.97,516.0
2026-05-29 14:25:00+05:30,132.97,133.0,132.72,132.72,2283.0
2026-05-29 14:30:00+05:30,132.72,133.25,132.72,133.25,145.0
2026-05-29 14:35:00+05:30,133.25,133.25,132.62,132.9,1185.0
2026-05-29 14:40:00+05:30,132.71,133.18,132.71,133.18,1006.0
2026-05-29 14:45:00+05:30,133.18,133.18,132.61,133.12,1431.0
2026-05-29 14:50:00+05:30,133.0,133.23,132.95,133.2,436.0
2026-05-29 14:55:00+05:30,133.23,133.33,133.0,133.0,1397.0
2026-05-29 15:00:00+05:30,133.0,133.05,132.5,132.9,13574.0
2026-05-29 15:05:00+05:30,132.9,133.19,132.45,132.49,19663.0
2026-05-29 15:10:00+05:30,132.62,133.0,132.4,133.0,6923.0
2026-05-29 15:15:00+05:30,133.03,133.48,132.9,133.39,3817.0
2026-05-29 15:20:00+05:30,133.4,133.4,132.4,133.33,6207.0
2026-05-29 15:25:00+05:30,133.0,133.5,133.0,133.5,6829.0
2026-06-01 09:15:00+05:30,134.99,134.99,131.5,132.68,9023.0
2026-06-01 09:20:00+05:30,132.98,133.49,132.08,132.25,4316.0
2026-06-01 09:25:00+05:30,132.57,133.37,132.31,132.98,9436.0
2026-06-01 09:30:00+05:30,132.82,133.25,132.82,133.0,2803.0
2026-06-01 09:35:00+05:30,133.18,133.18,132.6,132.75,14896.0
2026-06-01 09:40:00+05:30,133.01,133.18,132.13,132.53,8196.0
2026-06-01 09:45:00+05:30,132.29,132.53,131.16,131.46,9680.0
2026-06-01 09:50:00+05:30,131.51,132.36,131.38,131.85,5211.0
2026-06-01 09:55:00+05:30,131.75,132.0,131.11,131.32,4102.0
2026-06-01 10:00:00+05:30,131.32,131.32,130.15,130.79,5184.0
2026-06-01 10:05:00+05:30,130.31,130.68,130.31,130.42,1452.0
2026-06-01 10:10:00+05:30,130.42,130.67,130.03,130.42,2567.0
2026-06-01 10:15:00+05:30,130.49,130.49,130.42,130.42,231.0
2026-06-01 10:20:00+05:30,130.42,130.42,130.1,130.16,1609.0
2026-06-01 10:25:00+05:30,130.16,130.34,130.01,130.14,4941.0
2026-06-01 10:30:00+05:30,130.33,130.64,130.02,130.02,2792.0
2026-06-01 10:35:00+05:30,130.25,130.25,129.35,129.92,8569.0
2026-06-01 10:40:00+05:30,130.0,130.65,129.92,130.36,1142.0
2026-06-01 10:45:00+05:30,130.7,130.99,130.47,130.99,313.0
2026-06-01 10:50:00+05:30,130.79,131.19,130.65,131.19,1305.0
2026-06-01 10:55:00+05:30,131.57,131.67,131.15,131.26,8904.0
2026-06-01 11:00:00+05:30,131.43,131.64,130.97,131.0,1617.0
2026-06-01 11:05:00+05:30,131.22,131.34,131.04,131.23,3141.0
2026-06-01 11:10:00+05:30,131.34,131.5,131.27,131.5,823.0
2026-06-01 11:15:00+05:30,131.47,131.5,131.15,131.21,1686.0
2026-06-01 11:20:00+05:30,131.39,131.48,131.02,131.02,309.0
2026-06-01 11:25:00+05:30,131.19,131.19,130.63,130.63,1806.0
2026-06-01 11:30:00+05:30,130.75,130.75,130.36,130.59,1433.0
2026-06-01 11:35:00+05:30,130.5,130.59,130.36,130.38,552.0
2026-06-01 11:40:00+05:30,130.38,130.5,130.38,130.5,82.0
2026-06-01 11:45:00+05:30,130.53,130.6,130.5,130.5,1786.0
2026-06-01 11:50:00+05:30,130.5,130.5,130.5,130.5,2.0
2026-06-01 11:55:00+05:30,130.62,130.62,130.2,130.2,537.0
2026-06-01 12:00:00+05:30,130.49,130.49,130.1,130.21,1143.0
2026-06-01 12:05:00+05:30,130.21,130.4,130.1,130.2,688.0
2026-06-01 12:10:00+05:30,130.06,130.22,130.0,130.09,2266.0
2026-06-01 12:15:00+05:30,130.09,130.24,130.09,130.12,119.0
2026-06-01 12:20:00+05:30,130.12,130.24,130.12,130.12,126.0
2026-06-01 12:25:00+05:30,130.12,130.24,130.12,130.2,94.0
2026-06-01 12:30:00+05:30,130.2,130.2,129.8,129.8,17927.0
2026-06-01 12:35:00+05:30,129.82,129.97,129.8,129.8,710.0
2026-06-01 12:40:00+05:30,129.8,130.07,129.8,130.07,447.0
2026-06-01 12:45:00+05:30,130.07,130.11,130.07,130.07,128.0
2026-06-01 12:50:00+05:30,130.07,130.07,130.0,130.0,97.0
2026-06-01 12:55:00+05:30,130.0,130.11,130.0,130.11,601.0
2026-06-01 13:00:00+05:30,130.11,130.11,129.8,129.8,2020.0
2026-06-01 13:05:00+05:30,129.8,129.81,129.6,129.6,4750.0
2026-06-01 13:10:00+05:30,129.7,129.75,129.5,129.51,3007.0
2026-06-01 13:15:00+05:30,129.51,129.82,129.51,129.77,1439.0
2026-06-01 13:20:00+05:30,129.8,129.97,129.77,129.77,248.0
2026-06-01 13:25:00+05:30,129.77,129.77,129.75,129.77,1295.0
2026-06-01 13:30:00+05:30,129.77,129.77,129.6,129.62,1187.0
2026-06-01 13:35:00+05:30,129.66,130.0,129.6,129.6,3946.0
2026-06-01 13:40:00+05:30,129.6,129.69,129.6,129.6,52.0
2026-06-01 13:45:00+05:30,129.6,129.87,129.6,129.67,511.0
2026-06-01 13:50:00+05:30,129.67,129.95,129.67,129.95,851.0
2026-06-01 13:55:00+05:30,129.8,130.02,129.8,130.0,2912.0
2026-06-01 14:00:00+05:30,130.0,130.0,129.8,129.85,2106.0
2026-06-01 14:05:00+05:30,129.85,130.06,129.3,129.3,3101.0
2026-06-01 14:10:00+05:30,129.15,129.36,129.1,129.23,3347.0
2026-06-01 14:15:00+05:30,129.23,129.89,128.51,128.78,27663.0
2026-06-01 14:20:00+05:30,128.71,128.71,128.51,128.51,1280.0
2026-06-01 14:25:00+05:30,128.51,128.73,128.51,128.51,616.0
2026-06-01 14:30:00+05:30,128.81,129.01,128.5,128.95,15005.0
2026-06-01 14:35:00+05:30,128.95,129.02,128.95,129.02,636.0
2026-06-01 14:40:00+05:30,129.35,129.41,129.14,129.39,948.0
2026-06-01 14:45:00+05:30,129.5,130.42,129.44,130.01,7930.0
2026-06-01 14:50:00+05:30,130.01,130.48,129.8,130.04,2044.0
2026-06-01 14:55:00+05:30,130.04,130.32,130.0,130.01,1023.0
2026-06-01 15:00:00+05:30,130.15,130.29,130.0,130.2,2470.0
2026-06-01 15:05:00+05:30,130.19,130.42,129.4,129.44,20861.0
2026-06-01 15:10:00+05:30,130.29,130.29,128.81,129.07,8746.0
2026-06-01 15:15:00+05:30,129.11,130.0,128.85,129.88,12094.0
2026-06-01 15:20:00+05:30,129.93,129.93,128.1,128.7,17461.0
2026-06-01 15:25:00+05:30,128.69,128.95,128.2,128.93,10523.0
2026-06-02 09:15:00+05:30,129.3,129.3,126.12,127.74,6441.0
2026-06-02 09:20:00+05:30,128.41,129.0,127.87,128.53,3993.0
2026-06-02 09:25:00+05:30,128.5,129.03,128.3,128.67,2065.0
2026-06-02 09:30:00+05:30,129.0,129.0,127.74,127.74,5938.0
2026-06-02 09:35:00+05:30,127.74,128.16,127.74,128.0,3187.0
2026-06-02 09:40:00+05:30,128.0,128.2,127.64,127.65,10595.0
2026-06-02 09:45:00+05:30,127.86,127.86,127.64,127.64,800.0
2026-06-02 09:50:00+05:30,127.65,127.65,127.5,127.61,1400.0
2026-06-02 09:55:00+05:30,127.65,128.08,127.53,127.96,1220.0
2026-06-02 10:00:00+05:30,127.96,128.0,127.9,127.99,895.0
2026-06-02 10:05:00+05:30,128.1,128.1,127.7,127.7,2443.0
2026-06-02 10:10:00+05:30,127.81,127.81,127.7,127.72,606.0
2026-06-02 10:15:00+05:30,127.89,128.0,127.7,127.91,1678.0
2026-06-02 10:20:00+05:30,127.91,128.0,127.91,127.99,2295.0
2026-06-02 10:25:00+05:30,127.99,128.2,127.91,128.0,1661.0
2026-06-02 10:30:00+05:30,127.95,128.01,127.9,127.9,3248.0
2026-06-02 10:35:00+05:30,127.9,127.95,127.54,127.87,2987.0
2026-06-02 10:40:00+05:30,127.87,128.0,127.72,127.75,2820.0
2026-06-02 10:45:00+05:30,128.0,128.0,127.77,127.77,2001.0
2026-06-02 10:50:00+05:30,127.85,127.92,127.5,127.5,3875.0
2026-06-02 10:55:00+05:30,127.75,127.82,127.6,127.63,358.0
2026-06-02 11:00:00+05:30,127.64,127.8,127.64,127.79,597.0
2026-06-02 11:05:00+05:30,127.79,127.79,127.65,127.65,409.0
2026-06-02 11:10:00+05:30,127.77,127.78,127.65,127.7,127.0
2026-06-02 11:15:00+05:30,127.7,127.74,127.58,127.62,875.0
2026-06-02 11:20:00+05:30,127.6,127.73,127.6,127.61,344.0
2026-06-02 11:25:00+05:30,127.61,127.7,127.61,127.61,6.0
2026-06-02 11:30:00+05:30,127.61,127.76,127.61,127.66,177.0
2026-06-02 11:35:00+05:30,127.73,127.73,127.5,127.5,10322.0
2026-06-02 11:40:00+05:30,127.54,127.54,127.5,127.5,135.0
2026-06-02 11:45:00+05:30,127.5,127.54,127.5,127.51,2335.0
2026-06-02 11:50:00+05:30,127.51,127.54,127.5,127.51,12.0
2026-06-02 11:55:00+05:30,127.51,127.51,127.5,127.5,67.0
2026-06-02 12:00:00+05:30,127.51,127.82,127.5,127.78,6709.0
2026-06-02 12:05:00+05:30,127.62,127.87,127.62,127.69,315.0
2026-06-02 12:10:00+05:30,127.84,127.92,127.69,127.73,127.0
2026-06-02 12:15:00+05:30,127.73,127.81,127.6,127.63,1662.0
2026-06-02 12:20:00+05:30,128.09,128.09,127.57,127.57,5378.0
2026-06-02 12:25:00+05:30,127.57,127.65,127.5,127.51,4226.0
2026-06-02 12:30:00+05:30,127.61,127.74,127.51,127.63,696.0
2026-06-02 12:35:00+05:30,127.63,128.0,127.63,128.0,624.0
2026-06-02 12:40:00+05:30,127.99,128.0,127.83,127.83,307.0
2026-06-02 12:45:00+05:30,127.83,127.9,127.83,127.9,5.0
2026-06-02 12:50:00+05:30,127.9,127.95,127.9,127.95,2.0
2026-06-02 12:55:00+05:30,127.95,127.95,127.91,127.95,496.0
2026-06-02 13:00:00+05:30,128.0,128.0,127.9,127.95,403.0
2026-06-02 13:05:00+05:30,127.95,128.09,127.95,128.09,721.0
2026-06-02 13:10:00+05:30,128.09,128.09,127.94,127.94,716.0
2026-06-02 13:15:00+05:30,127.9,128.0,127.9,127.92,759.0
2026-06-02 13:20:00+05:30,128.0,128.0,127.92,127.93,1423.0
2026-06-02 13:25:00+05:30,128.0,128.0,127.92,128.0,214.0
2026-06-02 13:30:00+05:30,128.0,128.04,127.81,127.86,3559.0
2026-06-02 13:35:00+05:30,128.0,128.0,127.86,127.87,219.0
2026-06-02 13:40:00+05:30,128.0,128.0,127.9,127.9,388.0
2026-06-02 13:45:00+05:30,127.92,128.0,127.9,127.92,1542.0
2026-06-02 13:50:00+05:30,128.0,128.0,127.91,127.93,76.0
2026-06-02 13:55:00+05:30,127.93,128.0,127.92,128.0,395.0
2026-06-02 14:00:00+05:30,128.17,128.17,127.92,127.95,2972.0
2026-06-02 14:05:00+05:30,128.0,128.59,127.9,127.93,14059.0
2026-06-02 14:10:00+05:30,127.9,128.09,127.9,127.9,15139.0
2026-06-02 14:15:00+05:30,128.17,128.25,127.96,128.2,2553.0
2026-06-02 14:20:00+05:30,128.36,128.37,127.91,127.98,4205.0
2026-06-02 14:25:00+05:30,128.17,128.18,127.97,127.98,1551.0
2026-06-02 14:30:00+05:30,127.98,128.2,127.98,128.0,1126.0
2026-06-02 14:35:00+05:30,128.1,128.2,127.98,128.04,3115.0
2026-06-02 14:40:00+05:30,128.1,128.1,127.9,127.9,1959.0
2026-06-02 14:45:00+05:30,128.04,128.3,127.9,128.3,509.0
2026-06-02 14:50:00+05:30,128.11,128.41,127.9,127.93,2726.0
2026-06-02 14:55:00+05:30,127.93,128.0,127.9,127.91,1990.0
2026-06-02 15:00:00+05:30,128.0,128.1,127.8,127.98,3808.0
2026-06-02 15:05:00+05:30,128.0,128.0,127.89,127.99,13410.0
2026-06-02 15:10:00+05:30,128.39,128.4,127.9,127.91,2451.0
2026-06-02 15:15:00+05:30,127.96,128.39,127.5,128.0,21711.0
2026-06-02 15:20:00+05:30,128.0,130.11,128.0,128.4,10735.0
2026-06-02 15:25:00+05:30,128.4,129.99,128.0,128.0,25520.0
2026-06-03 09:15:00+05:30,127.55,129.1,126.6,127.67,16309.0
2026-06-03 09:20:00+05:30,127.43,127.82,127.43,127.52,1586.0
2026-06-03 09:25:00+05:30,127.78,127.78,127.04,127.41,3942.0
2026-06-03 09:30:00+05:30,127.41,127.56,126.7,126.85,9728.0
2026-06-03 09:35:00+05:30,126.71,127.2,125.32,126.16,23025.0
2026-06-03 09:40:00+05:30,126.36,126.59,126.11,126.23,1740.0
2026-06-03 09:45:00+05:30,126.59,126.63,126.01,126.01,6448.0
2026-06-03 09:50:00+05:30,126.35,126.88,126.2,126.33,2977.0
2026-06-03 09:55:00+05:30,126.3,126.31,126.06,126.25,950.0
2026-06-03 10:00:00+05:30,126.25,126.5,126.0,126.1,6291.0
2026-06-03 10:05:00+05:30,126.1,126.52,126.1,126.25,217.0
2026-06-03 10:10:00+05:30,126.36,126.36,126.12,126.15,354.0
2026-06-03 10:15:00+05:30,126.39,126.4,125.75,126.0,3721.0
2026-06-03 10:20:00+05:30,126.02,126.56,126.02,126.08,2879.0
2026-06-03 10:25:00+05:30,126.3,126.34,126.13,126.16,62.0
2026-06-03 10:30:00+05:30,126.41,126.47,126.08,126.08,254.0
2026-06-03 10:35:00+05:30,126.03,126.39,126.0,126.23,2666.0
2026-06-03 10:40:00+05:30,126.23,126.51,126.16,126.3,597.0
2026-06-03 10:45:00+05:30,126.45,126.45,126.17,126.35,1393.0
2026-06-03 10:50:00+05:30,126.35,126.35,126.18,126.18,10.0
2026-06-03 10:55:00+05:30,126.18,126.37,126.17,126.17,246.0
2026-06-03 11:00:00+05:30,126.17,126.35,125.61,125.61,3500.0
2026-06-03 11:05:00+05:30,125.5,125.89,125.5,125.54,2910.0
