dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,26.86,27.03,26.37,26.92,70545.0
2026-05-29 09:20:00+05:30,26.91,27.19,26.91,27.09,84681.0
2026-05-29 09:25:00+05:30,27.11,27.12,27.01,27.01,4265.0
2026-05-29 09:30:00+05:30,26.95,27.0,26.91,27.0,15406.0
2026-05-29 09:35:00+05:30,27.05,27.09,27.0,27.0,8594.0
2026-05-29 09:40:00+05:30,27.02,27.04,27.0,27.0,1594.0
2026-05-29 09:45:00+05:30,27.04,27.13,27.04,27.09,6820.0
2026-05-29 09:50:00+05:30,27.08,27.08,27.08,27.08,7.0
2026-05-29 09:55:00+05:30,27.08,27.08,26.93,26.93,10522.0
2026-05-29 10:00:00+05:30,26.94,26.99,26.91,26.91,1901.0
2026-05-29 10:05:00+05:30,26.97,26.97,26.97,26.97,101.0
2026-05-29 10:10:00+05:30,26.96,26.96,26.91,26.93,467.0
2026-05-29 10:15:00+05:30,26.95,27.01,26.95,26.99,2507.0
2026-05-29 10:20:00+05:30,26.95,26.96,26.93,26.96,910.0
2026-05-29 10:25:00+05:30,26.96,27.0,26.96,27.0,1445.0
2026-05-29 10:30:00+05:30,27.0,27.0,26.95,26.95,1732.0
2026-05-29 10:35:00+05:30,26.96,26.96,26.92,26.93,4250.0
2026-05-29 10:40:00+05:30,26.93,26.93,26.93,26.93,625.0
2026-05-29 10:45:00+05:30,26.9,26.9,26.82,26.87,26075.0
2026-05-29 10:50:00+05:30,26.88,26.93,26.88,26.93,11276.0
2026-05-29 10:55:00+05:30,26.93,26.93,26.87,26.9,5105.0
2026-05-29 11:00:00+05:30,26.9,26.9,26.87,26.88,2720.0
2026-05-29 11:05:00+05:30,26.85,26.88,26.85,26.85,2061.0
2026-05-29 11:10:00+05:30,26.85,26.9,26.85,26.87,4637.0
2026-05-29 11:15:00+05:30,26.87,26.9,26.85,26.85,771.0
2026-05-29 11:20:00+05:30,26.85,26.89,26.85,26.86,2.0
2026-05-29 11:25:00+05:30,26.86,26.89,26.86,26.86,1590.0
2026-05-29 11:30:00+05:30,26.86,26.9,26.86,26.9,102.0
2026-05-29 11:35:00+05:30,26.9,26.93,26.9,26.93,3003.0
2026-05-29 11:40:00+05:30,26.93,26.93,26.87,26.87,15018.0
