dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,75.8,76.69,75.75,76.55,310790.0
2026-05-29 09:20:00+05:30,76.55,77.13,76.52,76.99,468337.0
2026-05-29 09:25:00+05:30,76.95,77.25,76.82,76.95,342777.0
2026-05-29 09:30:00+05:30,76.95,77.5,76.91,77.34,329145.0
2026-05-29 09:35:00+05:30,77.29,77.49,77.06,77.14,182382.0
2026-05-29 09:40:00+05:30,77.14,77.18,76.6,76.62,266888.0
2026-05-29 09:45:00+05:30,76.66,77.8,76.6,77.65,502803.0
2026-05-29 09:50:00+05:30,77.72,77.72,77.08,77.08,164014.0
2026-05-29 09:55:00+05:30,77.14,77.16,76.99,77.09,102974.0
2026-05-29 10:00:00+05:30,77.11,77.3,77.06,77.26,69073.0
2026-05-29 10:05:00+05:30,77.24,77.3,77.21,77.3,41284.0
2026-05-29 10:10:00+05:30,77.3,77.4,77.2,77.3,104295.0
2026-05-29 10:15:00+05:30,77.3,77.4,77.26,77.4,41991.0
2026-05-29 10:20:00+05:30,77.4,77.4,77.2,77.26,47559.0
2026-05-29 10:25:00+05:30,77.29,77.3,77.1,77.11,36553.0
2026-05-29 10:30:00+05:30,77.11,77.18,77.0,77.16,84583.0
2026-05-29 10:35:00+05:30,77.16,77.19,77.11,77.19,33716.0
2026-05-29 10:40:00+05:30,77.18,77.2,77.02,77.02,40876.0
2026-05-29 10:45:00+05:30,77.06,77.14,77.0,77.12,48790.0
2026-05-29 10:50:00+05:30,77.12,77.14,77.0,77.06,37355.0
2026-05-29 10:55:00+05:30,77.01,77.2,76.95,77.16,45816.0
2026-05-29 11:00:00+05:30,77.16,77.27,77.13,77.24,29958.0
2026-05-29 11:05:00+05:30,77.24,77.24,77.13,77.18,14195.0
2026-05-29 11:10:00+05:30,77.17,77.17,77.02,77.08,18730.0
2026-05-29 11:15:00+05:30,77.03,77.16,77.01,77.15,23262.0
2026-05-29 11:20:00+05:30,77.16,77.16,77.08,77.13,17842.0
2026-05-29 11:25:00+05:30,77.13,77.14,77.01,77.05,22260.0
2026-05-29 11:30:00+05:30,77.05,77.09,76.85,76.95,40632.0
2026-05-29 11:35:00+05:30,76.89,77.04,76.89,77.04,15288.0
2026-05-29 11:40:00+05:30,77.0,77.0,76.85,76.88,15594.0
2026-05-29 11:45:00+05:30,76.88,76.91,76.85,76.85,15558.0
2026-05-29 11:50:00+05:30,76.85,76.95,76.81,76.93,23969.0
2026-05-29 11:55:00+05:30,76.9,76.93,76.81,76.88,30603.0
2026-05-29 12:00:00+05:30,76.88,76.88,76.7,76.79,46840.0
2026-05-29 12:05:00+05:30,76.71,76.81,76.71,76.77,20223.0
2026-05-29 12:10:00+05:30,76.75,76.77,76.59,76.61,61551.0
2026-05-29 12:15:00+05:30,76.66,76.79,76.6,76.79,34385.0
2026-05-29 12:20:00+05:30,76.8,76.86,76.69,76.86,31650.0
2026-05-29 12:25:00+05:30,76.85,76.91,76.8,76.84,23656.0
2026-05-29 12:30:00+05:30,76.86,76.86,76.7,76.71,12491.0
2026-05-29 12:35:00+05:30,76.71,76.76,76.63,76.63,26406.0
2026-05-29 12:40:00+05:30,76.65,76.76,76.63,76.76,41436.0
2026-05-29 12:45:00+05:30,76.71,76.76,76.68,76.73,9689.0
2026-05-29 12:50:00+05:30,76.68,76.73,76.57,76.62,42834.0
2026-05-29 12:55:00+05:30,76.55,76.63,76.32,76.42,187012.0
2026-05-29 13:00:00+05:30,76.45,76.48,76.4,76.4,15198.0
2026-05-29 13:05:00+05:30,76.43,76.43,76.32,76.35,38004.0
2026-05-29 13:10:00+05:30,76.39,76.39,76.15,76.15,125720.0
2026-05-29 13:15:00+05:30,76.15,76.26,76.12,76.25,20815.0
2026-05-29 13:20:00+05:30,76.25,76.25,76.11,76.17,22848.0
2026-05-29 13:25:00+05:30,76.13,76.2,76.1,76.16,18007.0
2026-05-29 13:30:00+05:30,76.18,76.23,76.16,76.17,15455.0
2026-05-29 13:35:00+05:30,76.17,76.25,76.16,76.24,11380.0
2026-05-29 13:40:00+05:30,76.24,76.25,76.14,76.16,31118.0
2026-05-29 13:45:00+05:30,76.17,76.3,76.14,76.26,50123.0
2026-05-29 13:50:00+05:30,76.26,76.31,76.22,76.28,12600.0
2026-05-29 13:55:00+05:30,76.24,76.4,76.24,76.37,12524.0
2026-05-29 14:00:00+05:30,76.37,76.39,76.27,76.3,21722.0
2026-05-29 14:05:00+05:30,76.28,76.34,76.25,76.27,16004.0
2026-05-29 14:10:00+05:30,76.27,76.34,76.21,76.27,33649.0
2026-05-29 14:15:00+05:30,76.27,76.3,76.18,76.26,24012.0
2026-05-29 14:20:00+05:30,76.26,76.38,76.19,76.3,36039.0
2026-05-29 14:25:00+05:30,76.26,76.29,76.2,76.24,74530.0
2026-05-29 14:30:00+05:30,76.26,76.49,76.24,76.43,43671.0
2026-05-29 14:35:00+05:30,76.41,76.51,76.3,76.39,54718.0
2026-05-29 14:40:00+05:30,76.38,76.48,76.36,76.4,22544.0
2026-05-29 14:45:00+05:30,76.45,76.55,76.37,76.46,18247.0
2026-05-29 14:50:00+05:30,76.45,76.51,76.4,76.49,9218.0
2026-05-29 14:55:00+05:30,76.49,76.5,76.4,76.5,33174.0
2026-05-29 15:00:00+05:30,76.53,76.56,75.5,75.62,696637.0
2026-05-29 15:05:00+05:30,75.55,75.8,75.0,75.0,415310.0
2026-05-29 15:10:00+05:30,75.06,75.12,74.97,74.97,461009.0
2026-05-29 15:15:00+05:30,74.98,75.01,74.7,74.78,526510.0
2026-05-29 15:20:00+05:30,74.8,74.99,74.7,74.76,445596.0
2026-05-29 15:25:00+05:30,74.77,75.43,74.25,75.3,399954.0
2026-06-01 09:15:00+05:30,75.55,75.69,75.02,75.32,130477.0
2026-06-01 09:20:00+05:30,75.24,75.27,74.3,74.51,216042.0
2026-06-01 09:25:00+05:30,74.51,74.61,74.1,74.2,171969.0
2026-06-01 09:30:00+05:30,74.2,74.37,73.92,74.0,186592.0
2026-06-01 09:35:00+05:30,73.96,74.05,73.8,73.99,86419.0
2026-06-01 09:40:00+05:30,73.99,74.1,73.66,73.73,108317.0
2026-06-01 09:45:00+05:30,73.73,73.99,73.65,73.72,70251.0
2026-06-01 09:50:00+05:30,73.77,73.89,73.55,73.8,68679.0
